pFat pLiver pSlow kMet fAbs
1.586035264453624052e+02 5.905131861847223718e+02 9.765582134912366428e+02 6.191207685529701621e+02 7.133955837271750422e-01
8.270368010222749433e+01 2.768891377578057700e+02 5.278414985852250538e+02 3.937129643814149631e+02 6.841387064674940843e-01
2.356175044920386199e+02 6.596669536055599110e+02 5.658305799354436658e+02 3.977861741616632685e+02 4.660118331175781003e-01
2.967789984749723544e+02 5.917471974566150266e+02 8.578966168494496287e+02 7.298703294449683199e+02 5.435718479706033168e-01
1.417221915455064334e+02 2.431478327998971452e+02 3.946533702112703281e+02 2.487786707476388415e+02 4.511171855164190503e-01
1.182381544101873487e+02 2.847770139762860708e+02 7.013960836626329183e+02 3.745415168795690306e+02 5.712350656460725151e-01
1.346333606805617364e+02 3.516095412870242853e+02 4.713041763361339918e+02 1.543008074669660630e+02 1.716611984097298205e-01
1.502372915334174479e+02 3.997798171172242405e+02 9.472933004225776585e+02 5.056436422197767797e+02 7.233138739473219392e-01
1.247195211522837326e+02 2.428074065571870221e+02 3.424234090593736823e+02 1.759054568994203009e+02 3.452241955879984392e-01
1.205518313321580735e+02 1.672926379659111547e+02 5.995101542827899266e+02 4.087630753563304324e+02 9.118326483956780137e-01
9.430784161986979086e+01 2.231039774787767840e+02 7.058020685579546125e+02 3.213259509999339230e+02 5.528787379408284242e-01
8.493071058132063911e+01 7.231144836344578835e+02 7.817258087776892808e+02 4.941935564574213231e+02 8.130793073755480105e-01
7.271195519419850939e+01 1.574807569092577637e+02 4.696457897880033556e+02 2.904068312533888729e+02 8.439538712059698744e-01
1.305772395652441560e+02 3.417725321192910428e+02 8.074699754654799335e+02 6.903544040046364216e+02 9.693879843396687734e-01
1.319776413977165817e+02 3.710271835933036755e+02 2.494622845351973410e+02 1.487582585947373843e+02 2.331403104988569730e-01
6.545911674402336189e+01 3.253679413395890379e+02 7.770738177076076454e+02 5.445745052628591338e+02 8.625187958362399154e-01
3.133111398934491376e+02 3.392278809607336711e+02 8.274837429844582175e+02 5.583832128646504316e+02 7.187656752728628362e-01
1.331173387823763790e+02 4.925170957431948295e+02 7.028377272355810419e+02 3.511913387369442034e+02 3.858317485575024630e-01
1.317491016952814675e+02 3.973952339509290823e+02 8.334423664308319530e+02 4.906584089063466649e+02 9.448106206287487652e-01
1.160842414892136389e+02 3.793500382582585644e+02 5.258394057371327790e+02 3.869459014179569749e+02 6.590238901556291218e-01
9.954566692609283507e+01 2.614359683799145273e+02 6.314725007695028580e+02 3.608867344213302886e+02 5.474674142766510210e-01
6.057925925126669853e+01 2.014075678869879482e+02 4.623840177746113795e+02 3.050130984868449104e+02 5.936712176271111696e-01
1.161846155633919864e+02 3.918103291836352469e+02 3.553667479692470579e+02 2.023830939626021461e+02 3.366305173350079283e-01
1.846006461438987571e+02 4.654002120609115423e+02 5.651819899825042057e+02 3.120400199109379287e+02 2.372505770786205170e-01
1.119709592753274308e+02 2.649495450693539169e+02 5.714548554292498466e+02 3.101351062650480799e+02 6.577150038671520926e-01
5.565555138674971403e+01 2.977531172466528915e+02 7.071732607387687040e+02 4.154688741035022872e+02 7.187800919053656257e-01
1.386115907517008452e+02 3.389679021208635845e+02 5.241792128260887011e+02 2.778682489980703281e+02 4.005039327747497158e-01
1.293964190491725788e+02 3.729779968804900818e+02 8.367809821727504414e+02 3.683784286926495497e+02 4.641899764823598229e-01
8.935309959684069270e+01 1.470965622858039410e+02 6.124649803374834391e+02 3.833042943882426812e+02 8.133993886441304166e-01
1.208666779138670790e+02 3.257164904425450231e+02 8.395623623024351900e+02 3.647777351548856473e+02 3.304935406908784401e-01
1.709149561819522205e+02 3.840913505050431240e+02 5.772695590069895388e+02 3.286391942562871122e+02 3.956577021122554272e-01
6.196709418881078335e+01 1.733143215120071545e+02 3.479079687734511594e+02 1.335237866254235541e+02 2.467543249260994997e-01
2.382226874942471113e+02 5.856527324988046530e+02 8.905757504638694400e+02 6.135015328103252159e+02 7.862529641388121826e-01
1.742148297984488750e+02 3.601047730429539229e+02 6.364905266744432311e+02 5.100610312983736208e+02 5.561991827189726179e-01
