logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.534881576489715371e+02 -5.594808719356628899e+02 2.049999999999999878e-01
-5.594808719356628899e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.150887230903203431e+02 -4.210839373770116367e+02 1.175000000000000044e+00
-4.210839373770116367e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.099278088409699876e+02 -4.159255231276612790e+02 1.120000000000000107e+00
-4.159197887886425633e+02 3.900229738267765356e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -4.018552965038404636e+02 -4.078555107905317527e+02 6.700000000000000400e-01
-4.078551962618432754e+02 4.947075302811763997e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -3.917071316677459549e+02 -3.977098459544372417e+02 1.064999999999999947e+00
-3.977098066970113450e+02 5.870854506159311370e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -3.890668794504820198e+02 -3.950720937371733044e+02 1.145000000000000018e+00
-3.950030111847846683e+02 3.313959232843849634e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -3.890221622798297290e+02 -3.950298765665210681e+02 8.699999999999999956e-01
-3.943232064792139226e+02 9.644491303013127403e-01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.026314992612528840e+02 -3.086417135479442209e+02 1.915000000000000036e+00
-3.086417135479442209e+02 4.041835187986922762e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.015492959349169269e+02 -3.075620102216082614e+02 1.455000000000000071e+00
-3.072695672828566558e+02 3.786674853415647846e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -2.896682889639879477e+02 -2.956835032506792800e+02 6.949999999999999512e-01
-2.956834939560022235e+02 6.224501647511216262e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -2.761129551576427730e+02 -2.821306694443341030e+02 9.300000000000000488e-01
-2.821306681439165800e+02 6.748471776906439956e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -2.754747891545676453e+02 -2.814950034412589730e+02 1.215000000000000080e+00
-2.810700080593873622e+02 6.879244078789982453e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -2.731920909727730873e+02 -2.792148052594644128e+02 1.310000000000000053e+00
-2.790694751808011915e+02 7.209475913529630908e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -2.719372447467059146e+02 -2.779624590333972378e+02 6.850000000000000533e-01
-2.776768713138291105e+02 1.692525498171729259e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -2.694274328466742077e+02 -2.754551471333655286e+02 4.500000000000000111e-01
-2.753522097434885723e+02 1.164210470521112262e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -2.554591017629355463e+02 -2.614893160496268365e+02 3.950000000000000178e-01
-2.614893150959053969e+02 7.476762611968190697e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -2.527729860221346883e+02 -2.588057003088259762e+02 5.550000000000000488e-01
-2.587396169562197201e+02 6.390554169371983839e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -2.488236064037621134e+02 -2.548588206904534275e+02 2.000000000000000111e-01
-2.548383963072898837e+02 6.394233790590597266e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.455470686779878235e+02 -2.515847829646791354e+02 1.950000000000000067e-01
