weight logl pFat pLiver pSlow kMet fAbs
2.677911997084727051e-238 -5.534881576489715371e+02 5.450894724215874021e+02 6.070734274709492411e+02 1.058016752954645767e+02 7.625407368504043006e+02 6.220359481105885990e-03
3.410525429440233169e-178 -4.150887230903203431e+02 8.140288603335942526e+02 5.333475601884990738e+02 1.005273181837023628e+02 2.983287616908831978e+02 3.290877386849300201e-03
5.930511274961533125e-176 -4.099278088409699876e+02 3.797126207484407701e+02 6.206679740227418733e+02 2.882911021928144351e+02 7.489212375302607825e+02 1.222088966237910856e-02
1.896068236349466564e-172 -4.018552965038404636e+02 1.465095063598093645e+02 4.132961753619152034e+01 8.854876606530579011e+02 6.793197471462468684e+02 1.923846757517344574e-02
4.831257843955005666e-168 -3.917071316677459549e+02 1.127280520804157504e+02 1.682205100394969293e+02 4.052768769352516642e+02 1.131541808427712397e+02 1.699966813445863423e-03
6.754939271452196644e-167 -3.890668794504820198e+02 3.317277230449041667e+02 3.370610328285993091e+02 9.255743060166238365e+02 8.817580709262980463e+02 1.023386794241443187e-02
7.046218936307687443e-167 -3.890221622798297290e+02 3.833882855274133590e+02 4.128763877623397320e+02 5.064200937584441675e+01 7.848013082487998560e+00 8.918627697257602849e-01
2.321980851447937115e-129 -3.026314992612528840e+02 7.977895474189643892e+02 9.267198241746515350e+02 7.874056905616411086e+02 6.969892561106431685e+02 7.642068383952982380e-03
6.835461329024351856e-129 -3.015492959349169269e+02 5.688671865194776700e+01 6.440669818977019077e+02 7.206595519841154101e+02 1.152063627754474311e+02 2.920017058273383093e-03
9.852305305412754209e-124 -2.896682889639879477e+02 5.316699039869930630e+02 8.928743765486511563e+01 1.382825054788181092e+02 8.553983859804283156e+02 7.813836283310526820e-02
7.576328513516191312e-118 -2.761129551576427730e+02 7.489856771561093183e+02 2.630864597563708571e+02 5.126650793518017508e+02 9.960184006353240420e+02 3.637451340954622747e-02
1.430622447333206208e-117 -2.754747891545676453e+02 7.284388786828994853e+02 3.070946573483574866e+02 2.385530315286797531e+02 6.796240201247685491e+02 2.964869665297020784e-02
1.398951064589164889e-116 -2.731920909727730873e+02 5.596013123026742733e+02 3.896124156481517389e+02 7.237740107903290436e+02 6.112485299088818920e+02 1.226263858261045225e-02
4.894288643263601797e-116 -2.719372447467059146e+02 5.113779596394986697e+02 7.299643269389530360e+02 2.023862405618649802e+02 5.677676895579373877e+02 2.094588201693314833e-02
6.006220903333923866e-115 -2.694274328466742077e+02 8.222837327596578234e+02 9.481127467799865371e+02 5.101160747386633716e+02 1.778945055711939460e+01 8.724937969079966660e-01
