weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.099923700456935876e+03 5.270494926792235191e-02 7.771518319569670208e-02 6.075618455083741098e-01 9.917352365504293887e-01 1.717069781947189178e-03
3.083015622989518810e-306 -7.078560971742496122e+02 5.172171405726617710e-01 4.525425358565250411e-01 6.065776512915691532e-01 8.340169527675332928e-01 1.720659098592980385e-03
2.350745208843204530e-173 -4.018809556343627492e+02 3.691358663879507063e-02 8.731299740072746562e-01 4.171724472406768136e-02 9.785791686786387000e-01 4.303440140204350950e-02
1.955614088144309588e-160 -3.721288775577760930e+02 6.774802466628294662e-01 1.687707187098252959e-02 1.104608744502731943e-01 7.264084766606254684e-01 7.326043638781876144e-02
4.336105309567529136e-158 -3.667249350763810867e+02 2.392914556507841350e-02 8.013894622529368350e-01 5.992006697429390627e-01 8.783596594267648605e-01 2.551894805004117917e-02
1.790596692097943043e-152 -3.537913521576755898e+02 5.432157217757381806e-01 2.971146163103899340e-03 9.234020412012987622e-01 9.300752300264872874e-01 1.110585308199123489e-01
2.543582241319064698e-145 -3.373197319998873240e+02 9.772583763373102750e-01 1.546542577229415016e-03 4.141633742203311153e-01 2.709520593606677963e-01 3.815927432551546872e-02
5.960305516105874458e-135 -3.134398327477672410e+02 8.799314852793593822e-02 6.582744770882903440e-01 1.669574152397501621e-02 3.738603769178809877e-01 2.470525862090933167e-02
1.396647169207239552e-130 -3.033754545384783796e+02 9.096092224169727292e-01 9.744430112709345781e-02 1.308050051609750408e-01 4.226720561729958581e-01 2.054758116572474869e-02
5.416973483258185436e-128 -2.974123215760974404e+02 3.531210445793052655e-01 8.680186714845191664e-01 5.227165602631833607e-02 1.851181335821505680e-02 8.062037152266362527e-01
5.070065312593429903e-126 -2.928708349519874332e+02 3.357808368915948805e-01 4.799792043930201091e-01 7.613104540295452249e-01 9.551209373592078888e-01 2.091732213658792361e-02
2.989577323457894381e-124 -2.887913864516699505e+02 4.396911598739665639e-01 1.245681809846782562e-01 2.035117535737118732e-02 7.491579191262677240e-01 6.647845021687293077e-02
4.008935358723961719e-118 -2.746799821982330627e+02 8.553312903190501970e-03 1.148256719875230258e-01 1.185329342161534072e-03 8.228568299641891848e-01 2.310497842338973262e-01
