10:17:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=scripts/calibration/fit_updated_intake/1,2,3,4,6,7,8-HpCDD/run2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:18:10 [ultranest] [INFO] Sampling 400 live points from prior ...
11:06:52 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:06:52 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:06:52 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:07:00 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-553.49, Lmax=-6.17
11:07:07 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-559.48, remainder_fraction=100.0000%, Lmin=-415.09, Lmax=-6.17
11:07:16 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-421.08, remainder_fraction=100.0000%, Lmin=-409.93, Lmax=-6.17
11:07:24 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-415.92, remainder_fraction=100.0000%, Lmin=-401.86, Lmax=-6.17
11:07:31 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-407.86, remainder_fraction=100.0000%, Lmin=-391.71, Lmax=-6.17
11:07:38 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-397.71, remainder_fraction=100.0000%, Lmin=-389.07, Lmax=-6.17
11:07:46 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-395.00, remainder_fraction=100.0000%, Lmin=-389.02, Lmax=-6.17
11:07:53 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-394.32, remainder_fraction=100.0000%, Lmin=-302.63, Lmax=-6.17
11:08:00 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-308.64, remainder_fraction=100.0000%, Lmin=-301.55, Lmax=-6.17
11:08:08 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-307.27, remainder_fraction=100.0000%, Lmin=-289.67, Lmax=-6.17
11:08:15 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-295.68, remainder_fraction=100.0000%, Lmin=-276.11, Lmax=-6.17
11:08:24 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-282.13, remainder_fraction=100.0000%, Lmin=-275.47, Lmax=-6.17
11:08:31 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-281.07, remainder_fraction=100.0000%, Lmin=-273.19, Lmax=-6.17
11:08:38 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-279.07, remainder_fraction=100.0000%, Lmin=-271.94, Lmax=-6.17
11:08:46 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-277.68, remainder_fraction=100.0000%, Lmin=-269.43, Lmax=-6.17
11:08:53 [ultranest] [DEBUG] iteration=15, ncalls=416, regioncalls=640, ndraw=40, logz=-275.35, remainder_fraction=100.0000%, Lmin=-255.46, Lmax=-6.17
11:09:01 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-261.49, remainder_fraction=100.0000%, Lmin=-252.77, Lmax=-6.17
11:09:09 [ultranest] [DEBUG] iteration=17, ncalls=418, regioncalls=720, ndraw=40, logz=-258.74, remainder_fraction=100.0000%, Lmin=-248.82, Lmax=-6.17
11:09:17 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-254.84, remainder_fraction=100.0000%, Lmin=-245.55, Lmax=-6.17
11:09:24 [ultranest] [DEBUG] iteration=19, ncalls=420, regioncalls=800, ndraw=40, logz=-251.55, remainder_fraction=100.0000%, Lmin=-240.14, Lmax=-6.17
11:09:32 [ultranest] [DEBUG] iteration=20, ncalls=421, regioncalls=840, ndraw=40, logz=-246.18, remainder_fraction=100.0000%, Lmin=-230.32, Lmax=-6.17
11:09:39 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-236.36, remainder_fraction=100.0000%, Lmin=-223.57, Lmax=-6.17
11:09:54 [ultranest] [DEBUG] iteration=22, ncalls=424, regioncalls=960, ndraw=40, logz=-229.61, remainder_fraction=100.0000%, Lmin=-212.44, Lmax=-6.17
11:10:01 [ultranest] [DEBUG] iteration=23, ncalls=425, regioncalls=1000, ndraw=40, logz=-218.49, remainder_fraction=100.0000%, Lmin=-211.83, Lmax=-6.17
11:10:15 [ultranest] [DEBUG] iteration=24, ncalls=427, regioncalls=1080, ndraw=40, logz=-217.45, remainder_fraction=100.0000%, Lmin=-207.56, Lmax=-6.17
11:10:22 [ultranest] [DEBUG] iteration=25, ncalls=428, regioncalls=1120, ndraw=40, logz=-213.59, remainder_fraction=100.0000%, Lmin=-207.20, Lmax=-6.17
11:10:29 [ultranest] [DEBUG] iteration=26, ncalls=429, regioncalls=1160, ndraw=40, logz=-212.71, remainder_fraction=100.0000%, Lmin=-203.59, Lmax=-6.17
11:10:37 [ultranest] [DEBUG] iteration=27, ncalls=430, regioncalls=1200, ndraw=40, logz=-209.61, remainder_fraction=100.0000%, Lmin=-202.91, Lmax=-6.17
11:10:44 [ultranest] [DEBUG] iteration=28, ncalls=431, regioncalls=1240, ndraw=40, logz=-208.54, remainder_fraction=100.0000%, Lmin=-196.97, Lmax=-6.17
11:10:58 [ultranest] [DEBUG] iteration=29, ncalls=433, regioncalls=1320, ndraw=40, logz=-203.03, remainder_fraction=100.0000%, Lmin=-196.88, Lmax=-6.17
11:11:05 [ultranest] [DEBUG] iteration=30, ncalls=434, regioncalls=1360, ndraw=40, logz=-202.29, remainder_fraction=100.0000%, Lmin=-191.51, Lmax=-6.17
11:11:12 [ultranest] [DEBUG] iteration=31, ncalls=435, regioncalls=1400, ndraw=40, logz=-197.57, remainder_fraction=100.0000%, Lmin=-190.19, Lmax=-6.17
11:11:20 [ultranest] [DEBUG] iteration=32, ncalls=436, regioncalls=1440, ndraw=40, logz=-196.02, remainder_fraction=100.0000%, Lmin=-176.52, Lmax=-6.17
11:11:27 [ultranest] [DEBUG] iteration=33, ncalls=437, regioncalls=1480, ndraw=40, logz=-182.59, remainder_fraction=100.0000%, Lmin=-176.17, Lmax=-6.17
11:11:36 [ultranest] [DEBUG] iteration=34, ncalls=438, regioncalls=1520, ndraw=40, logz=-181.71, remainder_fraction=100.0000%, Lmin=-171.76, Lmax=-6.17
11:11:49 [ultranest] [DEBUG] iteration=35, ncalls=440, regioncalls=1600, ndraw=40, logz=-177.82, remainder_fraction=100.0000%, Lmin=-167.00, Lmax=-6.17
11:11:58 [ultranest] [DEBUG] iteration=36, ncalls=441, regioncalls=1640, ndraw=40, logz=-173.07, remainder_fraction=100.0000%, Lmin=-165.04, Lmax=-6.17
11:12:05 [ultranest] [DEBUG] iteration=37, ncalls=442, regioncalls=1680, ndraw=40, logz=-170.99, remainder_fraction=100.0000%, Lmin=-162.91, Lmax=-6.17
11:12:13 [ultranest] [DEBUG] iteration=38, ncalls=443, regioncalls=1720, ndraw=40, logz=-168.87, remainder_fraction=100.0000%, Lmin=-161.36, Lmax=-6.17
11:12:20 [ultranest] [DEBUG] iteration=39, ncalls=444, regioncalls=1760, ndraw=40, logz=-167.23, remainder_fraction=100.0000%, Lmin=-159.50, Lmax=-6.17
11:12:28 [ultranest] [DEBUG] iteration=40, ncalls=445, regioncalls=1800, ndraw=40, logz=-165.41, remainder_fraction=100.0000%, Lmin=-159.26, Lmax=-6.17
11:12:35 [ultranest] [DEBUG] iteration=41, ncalls=446, regioncalls=1840, ndraw=40, logz=-164.69, remainder_fraction=100.0000%, Lmin=-159.25, Lmax=-6.17
11:12:43 [ultranest] [DEBUG] iteration=42, ncalls=447, regioncalls=1880, ndraw=40, logz=-164.27, remainder_fraction=100.0000%, Lmin=-158.05, Lmax=-6.17
11:12:50 [ultranest] [DEBUG] iteration=43, ncalls=448, regioncalls=1920, ndraw=40, logz=-163.51, remainder_fraction=100.0000%, Lmin=-157.70, Lmax=-6.17
11:12:59 [ultranest] [DEBUG] iteration=44, ncalls=449, regioncalls=1960, ndraw=40, logz=-162.95, remainder_fraction=100.0000%, Lmin=-155.60, Lmax=-6.17
11:13:07 [ultranest] [DEBUG] iteration=45, ncalls=450, regioncalls=2000, ndraw=40, logz=-161.45, remainder_fraction=100.0000%, Lmin=-152.57, Lmax=-6.17
11:13:14 [ultranest] [DEBUG] iteration=46, ncalls=451, regioncalls=2040, ndraw=40, logz=-158.61, remainder_fraction=100.0000%, Lmin=-148.55, Lmax=-6.17
11:13:28 [ultranest] [DEBUG] iteration=47, ncalls=453, regioncalls=2120, ndraw=40, logz=-154.63, remainder_fraction=100.0000%, Lmin=-147.63, Lmax=-6.17
11:13:36 [ultranest] [DEBUG] iteration=48, ncalls=454, regioncalls=2160, ndraw=40, logz=-153.40, remainder_fraction=100.0000%, Lmin=-147.60, Lmax=-6.17
11:13:44 [ultranest] [DEBUG] iteration=49, ncalls=455, regioncalls=2200, ndraw=40, logz=-152.85, remainder_fraction=100.0000%, Lmin=-143.87, Lmax=-6.17
11:13:51 [ultranest] [DEBUG] iteration=50, ncalls=456, regioncalls=2240, ndraw=40, logz=-149.93, remainder_fraction=100.0000%, Lmin=-140.54, Lmax=-6.17
11:13:58 [ultranest] [DEBUG] iteration=51, ncalls=457, regioncalls=2280, ndraw=40, logz=-146.62, remainder_fraction=100.0000%, Lmin=-139.52, Lmax=-6.17
11:14:06 [ultranest] [DEBUG] iteration=52, ncalls=458, regioncalls=2320, ndraw=40, logz=-145.32, remainder_fraction=100.0000%, Lmin=-134.82, Lmax=-6.17
11:14:13 [ultranest] [DEBUG] iteration=53, ncalls=459, regioncalls=2360, ndraw=40, logz=-140.93, remainder_fraction=100.0000%, Lmin=-134.76, Lmax=-6.17
11:14:21 [ultranest] [DEBUG] iteration=54, ncalls=460, regioncalls=2400, ndraw=40, logz=-140.21, remainder_fraction=100.0000%, Lmin=-133.88, Lmax=-6.17
11:14:29 [ultranest] [DEBUG] iteration=55, ncalls=461, regioncalls=2440, ndraw=40, logz=-139.41, remainder_fraction=100.0000%, Lmin=-133.52, Lmax=-6.17
11:14:37 [ultranest] [DEBUG] iteration=56, ncalls=462, regioncalls=2480, ndraw=40, logz=-138.83, remainder_fraction=100.0000%, Lmin=-132.42, Lmax=-6.17
11:14:43 [ultranest] [DEBUG] iteration=57, ncalls=463, regioncalls=2520, ndraw=40, logz=-137.99, remainder_fraction=100.0000%, Lmin=-130.45, Lmax=-6.17
11:14:51 [ultranest] [DEBUG] iteration=58, ncalls=464, regioncalls=2560, ndraw=40, logz=-136.36, remainder_fraction=100.0000%, Lmin=-129.52, Lmax=-6.17
11:14:58 [ultranest] [DEBUG] iteration=59, ncalls=465, regioncalls=2600, ndraw=40, logz=-135.26, remainder_fraction=100.0000%, Lmin=-128.87, Lmax=-6.17
11:15:07 [ultranest] [DEBUG] iteration=60, ncalls=466, regioncalls=2640, ndraw=40, logz=-134.43, remainder_fraction=100.0000%, Lmin=-127.44, Lmax=-6.17
11:15:14 [ultranest] [DEBUG] iteration=61, ncalls=467, regioncalls=2680, ndraw=40, logz=-133.23, remainder_fraction=100.0000%, Lmin=-126.89, Lmax=-6.17
11:15:22 [ultranest] [DEBUG] iteration=62, ncalls=468, regioncalls=2720, ndraw=40, logz=-132.44, remainder_fraction=100.0000%, Lmin=-126.58, Lmax=-6.17
11:15:30 [ultranest] [DEBUG] iteration=63, ncalls=469, regioncalls=2760, ndraw=40, logz=-131.88, remainder_fraction=100.0000%, Lmin=-126.45, Lmax=-6.17
11:15:38 [ultranest] [DEBUG] iteration=64, ncalls=470, regioncalls=2800, ndraw=40, logz=-131.48, remainder_fraction=100.0000%, Lmin=-124.80, Lmax=-6.17
11:15:46 [ultranest] [DEBUG] iteration=65, ncalls=471, regioncalls=2840, ndraw=40, logz=-130.49, remainder_fraction=100.0000%, Lmin=-124.52, Lmax=-6.17
11:15:54 [ultranest] [DEBUG] iteration=66, ncalls=472, regioncalls=2880, ndraw=40, logz=-129.88, remainder_fraction=100.0000%, Lmin=-124.37, Lmax=-6.17
11:16:03 [ultranest] [DEBUG] iteration=67, ncalls=473, regioncalls=2920, ndraw=40, logz=-129.46, remainder_fraction=100.0000%, Lmin=-122.80, Lmax=-6.17
11:16:10 [ultranest] [DEBUG] iteration=68, ncalls=474, regioncalls=2960, ndraw=40, logz=-128.48, remainder_fraction=100.0000%, Lmin=-114.58, Lmax=-6.17
11:16:18 [ultranest] [DEBUG] iteration=69, ncalls=475, regioncalls=3000, ndraw=40, logz=-120.74, remainder_fraction=100.0000%, Lmin=-112.24, Lmax=-6.17
11:16:25 [ultranest] [DEBUG] iteration=70, ncalls=476, regioncalls=3040, ndraw=40, logz=-118.31, remainder_fraction=100.0000%, Lmin=-112.14, Lmax=-6.17
11:16:32 [ultranest] [DEBUG] iteration=71, ncalls=477, regioncalls=3080, ndraw=40, logz=-117.62, remainder_fraction=100.0000%, Lmin=-111.63, Lmax=-6.17
11:16:41 [ultranest] [DEBUG] iteration=72, ncalls=478, regioncalls=3120, ndraw=40, logz=-117.01, remainder_fraction=100.0000%, Lmin=-111.12, Lmax=-6.17
11:16:55 [ultranest] [DEBUG] iteration=73, ncalls=480, regioncalls=3200, ndraw=40, logz=-116.45, remainder_fraction=100.0000%, Lmin=-108.29, Lmax=-6.17
11:17:02 [ultranest] [DEBUG] iteration=74, ncalls=481, regioncalls=3240, ndraw=40, logz=-114.33, remainder_fraction=100.0000%, Lmin=-107.56, Lmax=-6.17
11:17:17 [ultranest] [DEBUG] iteration=75, ncalls=483, regioncalls=3320, ndraw=40, logz=-113.30, remainder_fraction=100.0000%, Lmin=-107.20, Lmax=-6.17
11:17:25 [ultranest] [DEBUG] iteration=76, ncalls=484, regioncalls=3360, ndraw=40, logz=-112.65, remainder_fraction=100.0000%, Lmin=-107.10, Lmax=-6.17
11:17:34 [ultranest] [DEBUG] iteration=77, ncalls=485, regioncalls=3400, ndraw=40, logz=-112.22, remainder_fraction=100.0000%, Lmin=-106.26, Lmax=-6.17
11:17:47 [ultranest] [DEBUG] iteration=78, ncalls=487, regioncalls=3480, ndraw=40, logz=-111.64, remainder_fraction=100.0000%, Lmin=-105.78, Lmax=-6.17
11:17:55 [ultranest] [DEBUG] iteration=79, ncalls=488, regioncalls=3520, ndraw=40, logz=-111.10, remainder_fraction=100.0000%, Lmin=-104.79, Lmax=-6.17
11:18:03 [ultranest] [DEBUG] iteration=80, ncalls=489, regioncalls=3560, ndraw=40, logz=-110.34, remainder_fraction=100.0000%, Lmin=-102.91, Lmax=-6.17
11:18:10 [ultranest] [DEBUG] iteration=81, ncalls=490, regioncalls=3600, ndraw=40, logz=-108.85, remainder_fraction=100.0000%, Lmin=-101.85, Lmax=-6.17
11:18:18 [ultranest] [DEBUG] iteration=82, ncalls=491, regioncalls=3640, ndraw=40, logz=-107.68, remainder_fraction=100.0000%, Lmin=-101.79, Lmax=-6.17
11:18:25 [ultranest] [DEBUG] iteration=83, ncalls=492, regioncalls=3680, ndraw=40, logz=-107.12, remainder_fraction=100.0000%, Lmin=-100.84, Lmax=-6.17
11:18:33 [ultranest] [DEBUG] iteration=84, ncalls=493, regioncalls=3720, ndraw=40, logz=-106.39, remainder_fraction=100.0000%, Lmin=-100.57, Lmax=-6.17
11:18:40 [ultranest] [DEBUG] iteration=85, ncalls=494, regioncalls=3760, ndraw=40, logz=-105.87, remainder_fraction=100.0000%, Lmin=-100.28, Lmax=-6.17
11:19:00 [ultranest] [DEBUG] iteration=86, ncalls=497, regioncalls=3880, ndraw=40, logz=-105.44, remainder_fraction=100.0000%, Lmin=-100.11, Lmax=-6.17
11:19:07 [ultranest] [DEBUG] iteration=87, ncalls=498, regioncalls=3920, ndraw=40, logz=-105.09, remainder_fraction=100.0000%, Lmin=-99.70, Lmax=-6.17
11:19:16 [ultranest] [DEBUG] iteration=88, ncalls=499, regioncalls=3960, ndraw=40, logz=-104.73, remainder_fraction=100.0000%, Lmin=-99.10, Lmax=-6.17
11:19:29 [ultranest] [DEBUG] iteration=89, ncalls=501, regioncalls=4040, ndraw=40, logz=-104.28, remainder_fraction=100.0000%, Lmin=-98.31, Lmax=-6.17
11:19:36 [ultranest] [DEBUG] iteration=90, ncalls=502, regioncalls=4080, ndraw=40, logz=-103.70, remainder_fraction=100.0000%, Lmin=-98.31, Lmax=-6.17
11:19:44 [ultranest] [DEBUG] iteration=91, ncalls=503, regioncalls=4120, ndraw=40, logz=-103.34, remainder_fraction=100.0000%, Lmin=-98.15, Lmax=-6.17
11:19:52 [ultranest] [DEBUG] iteration=92, ncalls=504, regioncalls=4160, ndraw=40, logz=-103.03, remainder_fraction=100.0000%, Lmin=-97.71, Lmax=-6.17
11:20:00 [ultranest] [DEBUG] iteration=93, ncalls=505, regioncalls=4200, ndraw=40, logz=-102.69, remainder_fraction=100.0000%, Lmin=-95.94, Lmax=-6.17
11:20:08 [ultranest] [DEBUG] iteration=94, ncalls=506, regioncalls=4240, ndraw=40, logz=-101.70, remainder_fraction=100.0000%, Lmin=-95.06, Lmax=-6.17
11:20:24 [ultranest] [DEBUG] iteration=95, ncalls=508, regioncalls=4320, ndraw=40, logz=-100.78, remainder_fraction=100.0000%, Lmin=-93.88, Lmax=-6.17
11:20:44 [ultranest] [DEBUG] iteration=96, ncalls=511, regioncalls=4440, ndraw=40, logz=-99.69, remainder_fraction=100.0000%, Lmin=-93.72, Lmax=-6.17
11:20:51 [ultranest] [DEBUG] iteration=97, ncalls=512, regioncalls=4480, ndraw=40, logz=-99.12, remainder_fraction=100.0000%, Lmin=-93.20, Lmax=-6.17
11:21:00 [ultranest] [DEBUG] iteration=98, ncalls=513, regioncalls=4520, ndraw=40, logz=-98.57, remainder_fraction=100.0000%, Lmin=-92.66, Lmax=-6.17
11:21:07 [ultranest] [DEBUG] iteration=99, ncalls=514, regioncalls=4560, ndraw=40, logz=-98.03, remainder_fraction=100.0000%, Lmin=-92.57, Lmax=-6.17
