pFat pLiver pSlow kMet fAbs
8.350708928952523991e+01 1.450984401107221800e+02 8.465392223250088364e+02 8.813089955571275596e+02 7.369836638264346540e-01
8.902618636804434971e+01 1.356216995745830332e+02 6.058579833436257331e+02 6.466223305793066629e+02 5.107425847064808178e-01
1.395712033567531307e+02 3.077538868396406428e+02 5.601640558273657007e+02 8.262327470071459175e+02 6.828836602562416980e-01
1.378062863612461229e+02 2.408505071001594331e+02 6.837125937917617193e+02 9.467808107050574336e+02 5.242336619124146058e-01
1.922152460528554059e+02 2.331245766959748380e+02 4.922766397922725901e+02 7.238432745897363247e+02 6.119339576740288056e-01
1.548616004515757822e+02 1.977045337573499921e+02 7.883159127407922142e+02 9.218760600712189444e+02 6.246066420076805681e-01
1.259159790118215199e+02 1.423001949731232401e+02 6.856598665720205190e+02 7.421177418004962192e+02 5.506102485805426383e-01
8.948868564352271449e+01 4.431563462849958341e+02 5.288825667888676207e+02 6.701649845526385434e+02 5.063160092801400891e-01
1.568063094879364314e+02 2.382988446680928689e+02 8.148282869428780941e+02 9.112696140329426271e+02 4.688744630862702878e-01
1.400730859628211817e+02 1.921447469119016773e+02 6.471392715359459089e+02 7.613029313992738025e+02 6.652939227666416766e-01
1.513422770347679318e+02 1.296058594430980691e+02 6.780701263657707614e+02 8.518583587282797680e+02 7.076699386575471262e-01
7.619301647671642286e+01 8.906745380169964221e+01 5.491139586216706903e+02 5.810647725699204784e+02 4.640152475473016125e-01
5.931933180867250854e+01 1.718535800906729207e+02 4.638890904024765405e+02 4.118244665209533650e+02 3.382077400643592746e-01
7.283173512333577548e+01 2.770514962364086955e+02 7.110154981044867100e+02 7.017176129147970869e+02 6.185038395817218371e-01
1.530761980448784527e+02 2.694917860913813570e+02 9.255547355164000010e+02 8.285523056143368876e+02 4.881200570503118064e-01
8.954800605729343488e+01 2.397718616361671309e+02 7.158096499082442961e+02 8.210360538345812529e+02 7.660624626949149585e-01
1.405393199989141237e+02 1.344853472343359613e+02 6.013155975793837342e+02 7.494947084453298203e+02 7.681845204564756724e-01
1.766533903371546614e+02 1.678463832992952973e+02 4.579169661465186323e+02 3.299157309550566879e+02 2.279612008435716319e-01
1.293005537233161135e+02 1.925371126959823869e+02 7.573136626623659140e+02 8.128052450851243975e+02 6.634597873416347991e-01
