weight logl pFat pLiver pSlow kMet fAbs
6.162932977228965050e-214 -5.068219076832650671e+02 4.030150599932200066e+02 6.154042135461627367e+02 5.416619311559755090e+01 8.928480344625622678e+00 4.745753739403140159e-01
9.765347109394845852e-208 -4.925436098122242470e+02 2.054858650159743263e+02 4.622130586845404423e+02 2.203276890862497623e+02 6.473166963060283940e+00 9.682596591754197846e-01
2.695765598295584499e-205 -4.869205123981981842e+02 8.560810851477068582e+02 7.886087088111182766e+02 4.999769691165622021e+02 8.548105067029817974e+02 1.622300287064559754e-03
5.665530815884556381e-178 -4.240054965413359582e+02 4.269076040406270778e+01 9.844588795633151221e+02 5.344734379471611874e+02 8.312533429278164476e+02 6.290561141706563220e-03
5.737620613252527672e-162 -3.871489910473886766e+02 2.775124695936097510e+02 9.673544307119457244e+02 3.381736712690058084e+02 3.850076428969733655e+01 8.342244062676922312e-01
1.878842457317621873e-159 -3.813551244924706225e+02 3.695005731891851610e+02 9.629421641287083276e+02 1.181112122717348711e+02 3.417786799614325588e+01 5.421230295754804196e-01
6.902248576558522823e-154 -3.685385076613433171e+02 6.760630008521308127e+02 6.720194190063579072e+02 7.656764132914559013e+02 1.279576603019334158e+01 7.480844115450233645e-01
9.486390672630881467e-146 -3.497973159458326791e+02 1.911207786358835108e+02 9.745887582133495926e+02 5.409715077734423403e+02 3.471086425861528113e+01 8.609865344914109375e-01
1.229787853030754669e-145 -3.495352473862755573e+02 9.642947702988982428e+02 5.036013588789106166e+02 2.895114902731419875e+02 2.505971824832137784e+01 4.251040668242790366e-01
3.392737213274664174e-142 -3.416101967514568969e+02 6.471219918955276853e+02 2.049902404260435844e+02 8.646049946524253471e+01 1.842711189411274475e+01 3.506931320573624111e-01
1.386439142666069837e-140 -3.378974249062686113e+02 9.714601595936760532e+02 5.382212466860549966e+02 9.400029224537971686e+02 2.025451658991091008e+01 7.181132485525429932e-01
6.286667073938614993e-134 -3.225677219873180661e+02 6.700150760795698943e+02 2.629619377213356302e+02 5.372749181890262662e+02 1.016272465262565383e+01 5.504595709211015375e-01
4.445167238849423591e-132 -3.183066653623544084e+02 8.810189379358662336e+02 2.531412016598380035e+02 2.853332183567504217e+02 4.510216344550115082e+02 3.370567463014562115e-03
4.388918914420156684e-130 -3.137117297328547920e+02 9.817618628155830720e+02 6.634426760014657702e+02 2.411546944507641115e+02 8.253121463092865895e+01 6.515717852276512456e-01
3.584979961314222756e-128 -3.093063895982300551e+02 7.141538025184457865e+02 7.827481835865927451e+02 8.261104303597123817e+02 8.792434703991311551e+01 8.690394439304630625e-01
9.113688764513037654e-128 -3.083708649395805423e+02 3.984319692307403216e+02 8.015070215336388628e+02 7.575657265876616293e+02 6.044618844679105507e+01 8.286930595826972334e-01
1.014767314747889369e-127 -3.082608980500214670e+02 9.255109082722473204e+02 9.527007348456971840e+02 9.954191461222632142e+02 6.488478872055553381e+01 6.868753852508840962e-01
3.637347137408085243e-126 -3.046792176891520398e+02 3.734735495362165807e+02 6.381016610208901056e+02 4.310592131421934710e+02 9.207602816561031034e+01 9.992696419926934137e-01
1.751783611355646793e-121 -2.938944123563300650e+02 7.140326206189646996e+01 9.228239185258706812e+02 7.320742370878691645e+02 9.756571388050607538e+02 1.199779409822521181e-02
4.007864841313918737e-116 -2.815513627257590201e+02 7.759917228858485032e+02 4.283940119413379648e+02 7.657936678964869088e+02 7.378694523536394456e+01 7.363614701009630892e-01
1.231279060105220540e-115 -2.804264827584103159e+02 8.091430675935115460e+02 9.060002074167172168e+02 3.388263380822826321e+02 1.671503787324693491e+01 2.052501857452487810e-01
1.634013446513912678e-111 -2.709306566761710542e+02 4.681414127356754307e+02 7.568811156345161635e+02 6.241889739355863185e+02 9.658963286003059068e+01 7.393014946825989808e-01
2.515911783879320185e-109 -2.658913904396152361e+02 5.885092675090525063e+02 2.207600634623758538e+02 8.500592635192620605e+01 6.940323293391212189e+01 8.275581082803609156e-01
3.416589648176777851e-108 -2.632802977481283619e+02 1.385445655927557027e+02 2.521308040792886516e+02 7.431169362430041474e+02 3.247262558995419113e+01 9.881716399450943822e-01
2.599331777943935967e-105 -2.566434309402994245e+02 2.526332151871665133e+01 1.461439598850257084e+02 6.420846107435551176e+02 6.462748100881161690e+02 2.379073773706563699e-02
1.233463015213507469e-102 -2.504786043919044118e+02 3.277057947880956590e+02 4.955448556610876381e+02 6.105637425994671048e+02 4.077201228003450240e+01 5.012347185460287458e-01
2.639374103403487503e-101 -2.474128031648294836e+02 5.489676284426573147e+02 6.109141399514223849e+02 7.609244423014040422e+02 1.431702567346519004e+02 8.899135278403303984e-01
2.745273145046677329e-100 -2.450683793024378474e+02 8.531522558004853636e+02 3.632876377127601586e+02 2.846623101841022958e+02 9.295583040679157705e+01 5.555326270642126918e-01
2.844069538345594998e-100 -2.450305239163039914e+02 4.144162480766551084e+02 4.164773629086870983e+02 1.823279712334921498e+02 9.300185837910820510e+02 2.489022910193494642e-02
1.672993906175934725e-99 -2.432560600063021639e+02 5.744108009494125326e+02 2.875094427214525581e+02 1.666020472493704006e+02 5.162460197388338656e+01 3.852074474689519690e-01
6.070599772096765816e-99 -2.419647173764153933e+02 8.522358282498639710e+02 6.969037413598648527e+02 4.281441694869233174e+02 1.888822670818197196e+02 9.511666992655970487e-01
9.687615877102147464e-99 -2.414948264297318588e+02 9.629806589440355538e+02 7.977265490540148676e+02 4.493812374283942290e+01 8.285097831161708655e+02 1.508676858974322688e-02
3.655309577395673591e-98 -2.401644089035403056e+02 7.737127610170422258e+02 5.367269364327941048e+02 8.338770233219468082e+02 1.683796595300860588e+02 8.929359999021667660e-01
4.512569801568459979e-98 -2.399512229008221027e+02 2.123313434034678551e+02 9.255187116922762698e+02 2.333365990708329605e+02 8.229672559216498939e+01 5.755794587239345672e-01
