logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.064257026663671013e+02 -4.124184169530583972e+02 8.399999999999999689e-01
-4.124184169530583972e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.125508331014218584e+02 -3.185460473881131520e+02 1.049999999999999961e-01
-3.185460473881131520e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.486962452643437018e+02 -2.546939595510350216e+02 1.189999999999999947e+00
-2.546939595510350216e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.470060472409581962e+02 -2.530062615276495137e+02 1.479999999999999982e+00
-2.528365653593038758e+02 1.802195795444303883e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -2.268721226109241798e+02 -2.328748368976154950e+02 1.004999999999999893e+00
-2.328748368954739192e+02 1.011744381394271564e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -2.104195104622916404e+02 -2.164247247489829533e+02 2.700000000000000178e-01
-2.164247246772354174e+02 1.354914219364388117e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -2.040518555630779360e+02 -2.100595698497692467e+02 1.409999999999999920e+00
-2.100578508530291231e+02 1.207829457778439419e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.899754568849670022e+02 -1.959856711716583106e+02 9.949999999999999956e-01
-1.959856703980344719e+02 1.634474814963718714e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.863320839819511150e+02 -1.923447982686424211e+02 9.849999999999999867e-01
-1.923189069031304541e+02 9.554319058940516030e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -1.859710741216652252e+02 -1.919862884083565291e+02 1.195000000000000062e+00
-1.914456843766200791e+02 5.164999471718271451e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.812331868111343169e+02 -1.872509010978256185e+02 1.995000000000000107e+00
-1.872359395727530966e+02 2.516811007482739448e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -1.716450624605382416e+02 -1.776652767472295409e+02 3.549999999999999822e-01
-1.776652070045222160e+02 6.070719632229340412e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -1.711202665172086199e+02 -1.771429808038999454e+02 1.479999999999999982e+00
-1.766772371742837322e+02 6.404161740150979831e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -1.697367308890216577e+02 -1.757619451757129809e+02 5.799999999999999600e-01
-1.754251874849223896e+02 4.617905042790868109e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.695814851098144231e+02 -1.756091993965057441e+02 5.250000000000000222e-01
-1.748198196702456926e+02 8.236655372923049612e-01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.676284910210807197e+02 -1.736587053077720384e+02 3.699999999999999956e-01
-1.733862863475864629e+02 1.148599579070974874e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.665699835868095136e+02 -1.726026978735008299e+02 1.564999999999999947e+00
-1.722264803490002123e+02 1.313559485233294355e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -1.659988068857543340e+02 -1.720340211724456481e+02 1.280000000000000027e+00
-1.714324806415763476e+02 1.412913813667734830e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -1.648088412037898820e+02 -1.708465554904811938e+02 3.900000000000000133e-01
-1.704040575139773637e+02 5.008899273513551798e-01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.608331929687806792e+02 -1.668734072554719887e+02 1.280000000000000027e+00
-1.668445420273959598e+02 1.945179662439935786e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.598772605145424848e+02 -1.659199748012337920e+02 1.070000000000000062e+00
-1.655858602957072776e+02 1.265229712686872343e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.595937141578912417e+02 -1.656389284445825467e+02 1.395000000000000018e+00
-1.649188952023321235e+02 6.045652267687011694e-01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.585208356809829411e+02 -1.645685499676742438e+02 7.049999999999999600e-01
-1.640353105117432051e+02 1.085043452170578737e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -1.558764686429174731e+02 -1.619266829296087735e+02 5.899999999999999689e-01
-1.618121010389859009e+02 1.133221776153202409e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -1.523299913791424558e+02 -1.583827056658337824e+02 1.040000000000000036e+00
-1.583508131531751815e+02 1.499066554245233940e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -1.497127382164673861e+02 -1.557679525031587104e+02 1.070000000000000062e+00
-1.556951133240669662e+02 2.157739103967538874e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -1.496000569169998187e+02 -1.556577712036911407e+02 1.580000000000000071e+00
-1.549831207892012230e+02 2.228901007803843815e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -1.468301951989861323e+02 -1.528904094856774520e+02 9.649999999999999689e-01
-1.527740922022338168e+02 1.547174257552314414e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -1.452477344203707048e+02 -1.513104487070620223e+02 2.300000000000000100e-01
-1.511023037442668056e+02 1.381948594873651626e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -1.435194359692015098e+02 -1.495846502558928250e+02 1.049999999999999961e-01
-1.493864342711493691e+02 9.191879429787618294e-01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.422033178120580317e+02 -1.482710320987493446e+02 1.679999999999999938e+00
-1.479875211431177320e+02 1.392086250609789744e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -1.416888007832251333e+02 -1.477590150699164440e+02 8.549999999999999822e-01
-1.471736081985818601e+02 1.850519009858432762e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -1.379400549527937017e+02 -1.440127692394850101e+02 1.950000000000000067e-01
-1.439712529300133497e+02 1.206252549863786161e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -1.378383229847263465e+02 -1.439135372714176526e+02 1.669999999999999929e+00
-1.432488315907795879e+02 1.296809872983217371e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.342002649804878445e+02 -1.402779792671791483e+02 5.649999999999999467e-01
-1.402279902010854187e+02 1.918266482498343528e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -1.340195810466036903e+02 -1.400997953332949919e+02 1.294999999999999929e+00
-1.394686927512098009e+02 1.137514820016446437e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -1.337375441768614337e+02 -1.398202584635527330e+02 1.475000000000000089e+00
-1.389359575365412240e+02 6.583985347775823671e-01 -9.250000000000004052e-02 4.000000000000000000e+02 -1.332805674324399376e+02 -1.393657817191312631e+02 4.450000000000000067e-01
-1.384348044559999664e+02 8.119323466045319515e-01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.332264376320102599e+02 -1.393141519187015831e+02 1.020000000000000018e+00
-1.380876370024226389e+02 7.001349959622326091e-01 -9.750000000000004496e-02 4.000000000000000000e+02 -1.299982092193116898e+02 -1.360884235060030107e+02 1.560000000000000053e+00
-1.359614017089547247e+02 1.711368431350576147e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -1.298523389134522859e+02 -1.359450532001436045e+02 1.699999999999999956e+00
-1.352600468651437211e+02 1.565184838615200524e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -1.281939487070173413e+02 -1.342891629937086577e+02 1.310000000000000053e+00
-1.339679870617133588e+02 1.110179104890422375e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -1.279539989339473607e+02 -1.340517132206386748e+02 1.304999999999999938e+00
-1.333158269577285751e+02 1.061277517966257911e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -1.250808871006837535e+02 -1.311811013873750653e+02 1.225000000000000089e+00
-1.310693122395383341e+02 9.646820572791474646e-01 -1.100000000000000561e-01 4.000000000000000000e+02 -1.244358393536625584e+02 -1.305385536403538822e+02 5.550000000000000488e-01
-1.300759783935070288e+02 9.080076555651918069e-01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.229620070290637415e+02 -1.290672213157550630e+02 6.750000000000000444e-01
-1.287563072406206004e+02 1.254849565887326435e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -1.227532504871338404e+02 -1.288609647738251454e+02 1.290000000000000036e+00
-1.281141203011571292e+02 6.419277875766127295e-01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.226651313460654649e+02 -1.287753456327567676e+02 2.099999999999999922e-01
-1.276979009556655598e+02 6.047313524098016924e-01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.215875831761798338e+02 -1.277002974628711485e+02 1.310000000000000053e+00
-1.270059513108027289e+02 6.294626373219446291e-01 -1.225000000000000672e-01 4.000000000000000000e+02 -1.195893182843629887e+02 -1.257045325710543011e+02 3.649999999999999911e-01
-1.254638277923120171e+02 9.249795200060810796e-01 -1.250000000000000555e-01 4.000000000000000000e+02 -1.142854130486876869e+02 -1.204031273353789970e+02 1.010000000000000009e+00
-1.203968062393893206e+02 3.003027108273760959e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -1.142373057329000545e+02 -1.203575200195913624e+02 6.450000000000000178e-01
-1.196838230354526615e+02 3.064878434745066826e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -1.141095015157043377e+02 -1.202322158023956433e+02 1.955000000000000071e+00
-1.192277422249129160e+02 2.493684452115731975e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -1.131856496399093430e+02 -1.193108639266006605e+02 1.250000000000000000e+00
-1.185752924915526307e+02 1.176778383420867380e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -1.119993610973153437e+02 -1.181270753840066590e+02 1.070000000000000062e+00
-1.176331318717050038e+02 1.799013559803353868e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -1.109572200850426498e+02 -1.170874343717339627e+02 8.750000000000000000e-01
-1.166303656104099531e+02 1.015998918298569587e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -1.107513108237613011e+02 -1.168840251104526118e+02 8.750000000000000000e-01
-1.160560267577891693e+02 1.046782590835658056e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -1.088923907071409474e+02 -1.150276049938322558e+02 7.600000000000000089e-01
-1.147219080332870078e+02 8.630061282099651399e-01 -1.450000000000000733e-01 4.000000000000000000e+02 -1.075673942149753231e+02 -1.137051085016666434e+02 1.959999999999999964e+00
-1.133963372316439973e+02 1.186738987474695861e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -1.074851427963124451e+02 -1.136253570830037631e+02 1.919999999999999929e+00
-1.128111579935103919e+02 8.593266745110548221e-01 -1.500000000000000777e-01 4.000000000000000000e+02 -1.062041346731713531e+02 -1.123468489598626689e+02 5.699999999999999512e-01
-1.118591470756453674e+02 9.133396433903289147e-01 -1.525000000000000799e-01 4.000000000000000000e+02 -1.048971349493969143e+02 -1.110423492360882278e+02 1.774999999999999911e+00
-1.106764262142962849e+02 1.219010688139469778e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -1.038163638505651818e+02 -1.099640781372564931e+02 1.364999999999999991e+00
-1.095649724519602728e+02 8.874381262184061203e-01 -1.575000000000000844e-01 4.000000000000000000e+02 -1.029220183879259025e+02 -1.090722326746172115e+02 6.800000000000000488e-01
-1.085954084638389503e+02 1.583585954281891972e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -1.016213809198066116e+02 -1.077740952064979183e+02 1.665000000000000036e+00
-1.074095537411104715e+02 2.026472084925058148e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -1.012687912977843183e+02 -1.074240055844756370e+02 8.649999999999999911e-01
-1.067236063754882167e+02 2.107107896152900839e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -1.001185903338665639e+02 -1.062763046205578803e+02 1.905000000000000027e+00
-1.057820042181158868e+02 2.262423644877025630e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -9.915090562409399411e+01 -1.053111199107853082e+02 6.750000000000000444e-01
-1.048259507255638994e+02 2.380007145867812035e+00 -1.700000000000000955e-01 4.000000000000000000e+02 -9.701383748602502521e+01 -1.031765517727163370e+02 1.084999999999999964e+00
-1.030007804768102062e+02 1.223179894793742006e+00 -1.725000000000000977e-01 4.000000000000000000e+02 -9.686633262633027641e+01 -1.030315469130215860e+02 1.399999999999999911e+00
-1.023228981973226865e+02 1.457611223783567223e+00 -1.750000000000000999e-01 4.000000000000000000e+02 -9.656385133443343705e+01 -1.027315656211247443e+02 1.465000000000000080e+00
-1.018133522695183331e+02 6.616723304030476260e-01 -1.775000000000001021e-01 4.000000000000000000e+02 -9.461283026667025808e+01 -1.007830445533615773e+02 2.300000000000000100e-01
-1.004778439891927775e+02 8.012419408685043098e-01 -1.800000000000001044e-01 4.000000000000000000e+02 -9.258068650501348884e+01 -9.875340079170480578e+01 1.979999999999999982e+00
-9.858935159006072979e+01 1.334314423207647593e+00 -1.825000000000001066e-01 4.000000000000000000e+02 -9.180159780307364770e+01 -9.797681208976496237e+01 2.999999999999999889e-01
