weight logl pFat pLiver pSlow kMet fAbs
1.114462862779834243e-169 -4.006511891413996409e+02 9.803873661365594128e-01 7.997227389489457439e-01 7.745355156794595519e-01 6.070734011087264292e-03 7.981229059681078652e-01
4.373594157420330401e-167 -3.946763063741101973e+02 9.662712773935087096e-01 5.128977706891683086e-01 2.454651581537957705e-01 2.128017832730344505e-02 5.481748730991240492e-01
2.809638466418226436e-166 -3.928137505984090012e+02 9.835076949044508909e-01 8.854633817109014426e-02 2.000946060435305762e-01 2.610598989477574960e-02 8.956489495186575889e-01
1.197704775954254106e-162 -3.844535590032953110e+02 2.808096364469216955e-01 2.584699627712060410e-01 2.586851991054267552e-01 1.708192677917885760e-03 6.105915311796193956e-01
1.292502749948916964e-153 -3.636516197498988845e+02 4.033107136744269461e-01 8.818170335422226280e-01 3.357827881180370788e-01 3.686051982683113959e-02 6.949479024706746166e-01
8.372855660837041215e-136 -3.226367586195882495e+02 6.836150365141914209e-01 3.237345889558803647e-01 7.986086705795845120e-01 1.500004652346331735e-02 7.974401010119466227e-01
7.339714814817173047e-121 -2.882271772408030870e+02 5.257798817609948827e-02 4.379903645654023014e-01 2.243471588598644484e-01 9.298369322904176393e-03 4.411431280737855287e-01
4.712416563425790276e-118 -2.817600211028819217e+02 2.646685700097539673e-01 7.750007240540819353e-01 9.884568899092631700e-01 4.423689968245303472e-02 8.794664183350762166e-01
7.017206358264449554e-118 -2.813593567659559085e+02 3.080031279295789570e-01 5.052392257830540245e-01 6.360955188882414513e-01 6.034528013951545589e-02 8.678549432341153835e-01
2.757700372067946526e-116 -2.776856546302372521e+02 2.686548752395534478e-01 3.759167245815939751e-01 1.004411972675786080e-01 5.397707820615593732e-02 7.563949623381243104e-01
5.310389609172373356e-114 -2.724227163728616006e+02 9.196535565661694278e-01 7.309185716374257957e-01 9.021394098515012061e-01 1.251624854145721999e-01 8.421000602209525177e-01
1.803922269750218356e-113 -2.711973331521646742e+02 8.475095484800804213e-01 1.790339571612387104e-01 5.911993089974688642e-01 8.461670943164356640e-02 9.044321656374276763e-01
7.649869038087950388e-113 -2.697501079566675344e+02 2.477547257937284808e-01 4.395867855628823317e-01 7.387290111806056325e-01 2.045643795758556038e-03 5.552823534461880373e-01
6.503645274998341738e-110 -2.630021783749293149e+02 7.536928615678790688e-01 1.925876451610402107e-01 9.369490741537304102e-01 7.123841702525623987e-02 9.570443637641289358e-01
6.400505781559076317e-104 -2.492001536325971642e+02 9.653789285370795170e-01 8.274775065371897664e-01 4.977438615338605210e-01 1.674424920252292059e-01 7.849455213038692980e-01
4.115625205727469588e-100 -2.404288995202961985e+02 8.157860661088345289e-02 2.621134586821349810e-01 5.449449417402159046e-01 2.749379309686483808e-02 7.880784923670129949e-01
6.378909401964992596e-100 -2.399881931336187506e+02 1.305200604190615010e-02 6.532987258704351374e-01 5.973706630193049705e-01 3.013410399841109921e-02 8.222793419906601065e-01
3.114850355447563283e-97 -2.337947538861497776e+02 2.947435988307957055e-01 3.092159421876158332e-01 5.583146769256734920e-01 6.063586789302466418e-02 6.716440479995754442e-01
3.838534884673378086e-95 -2.289781740579174993e+02 2.473333738473950660e-01 4.898536310903510715e-01 9.214935727507121976e-01 8.711413160487646579e-02 8.833087533590918694e-01
1.113462530800260234e-92 -2.233055349750635799e+02 7.954189010548008421e-01 9.896362540484743286e-01 8.855055786913645921e-01 1.946153664214872459e-01 7.411611268073206027e-01
1.963463859841116197e-91 -2.204332142504084402e+02 9.563093062925658305e-01 8.902299095080622449e-01 9.187344375217239012e-01 1.460550445145221143e-01 5.528116124602827641e-01
5.106581031229937586e-90 -2.171723092401298629e+02 7.264095168293543958e-01 4.851031057291488313e-01 1.382685374496844810e-01 3.524126347968447037e-01 4.076625376396858513e-03
6.974375838703309254e-90 -2.168580965080793987e+02 6.797849167853444730e-01 3.313682335254334310e-01 3.343904635222049171e-01 5.336300949591732401e-02 3.237842600028510986e-01
1.586185277056487233e-89 -2.160339223165701981e+02 6.428047102249915268e-01 1.353696717758715584e-01 3.444191152939388711e-01 6.795424977172779268e-01 1.286613790143986691e-02
2.619025558858055454e-88 -2.132273668358120062e+02 5.131388457605138287e-01 7.154872655498005773e-01 9.130387809112764375e-01 3.853966302251388143e-02 3.651241090655688026e-01
1.622044173320084846e-87 -2.114013968781281676e+02 2.858369767148594143e-02 6.665400176111836439e-01 6.261240231219314945e-01 7.337491815881902468e-02 8.703256290142429297e-01
7.093231433526604964e-86 -2.076208579641881045e+02 7.076903058881678366e-02 8.602567365366314833e-01 6.239401281312466629e-01 5.380244333002504042e-02 5.278968330834027389e-01
1.026593370666951125e-85 -2.072486679677606389e+02 7.272825619838660938e-01 1.823871785099638876e-01 6.782937158376731723e-01 9.541922749812359328e-02 6.171775130304835155e-01
1.650587242053413138e-85 -2.067712827524535726e+02 5.377660843907917654e-01 8.475389795066727849e-01 3.074267841207659613e-01 9.756440210507261179e-01 1.196038548305711213e-02
9.341378846840150353e-85 -2.050354600118358235e+02 2.596756776183893889e-01 3.490928119712799482e-02 4.920554601113017457e-01 7.598053499211991912e-01 3.353085703699543174e-02
9.269127522081234717e-84 -2.027381395316174064e+02 2.550464068577213972e-01 3.585232969842674366e-01 8.798750644505052287e-01 4.369235396279680383e-02 5.564383223354465446e-01
9.974937114144098651e-82 -1.980570829439302258e+02 9.100361020888876329e-01 2.227033664990097916e-01 7.997107707925014131e-01 1.181028717048525634e-01 5.886015307733535318e-01
8.759973890969559243e-80 -1.935792954918908038e+02 8.643688328868811555e-01 7.143593336909493940e-01 6.124907931810503747e-01 1.014305892346245574e-01 3.327670382626871648e-01
9.925252916692632396e-79 -1.911493210143189287e+02 6.843679052443731869e-01 9.471754713739314324e-01 9.678345409469735205e-02 1.456234757342239616e-01 6.633531649562256494e-01
2.469903215232701018e-78 -1.902351392646077954e+02 7.436818685154411579e-01 7.470673261060297721e-01 6.443257338892098840e-01 1.943679974262715326e-01 6.166393212716009264e-01
3.244568288113223329e-77 -1.876572508351662805e+02 1.652877010630549037e-03 5.146237693191946239e-01 7.914739972929351053e-01 3.723175989420191012e-02 7.784114458184103746e-01
4.588337857785008298e-77 -1.873082153013662605e+02 5.076111722311670293e-01 9.557340960868807578e-01 4.839439341631305291e-01 1.125177174872988850e-01 3.635747890321826548e-01
8.949231273619492843e-77 -1.866376654999873779e+02 2.188085152049227267e-01 1.069532619873858614e-03 6.861479614203108701e-01 1.953154183653615927e-02 6.745990355239266378e-01
3.106377067102760925e-76 -1.853906909274350312e+02 4.403655454117217927e-01 8.744996937621115629e-01 5.563918597990137327e-01 9.633735861417946911e-02 3.458602510776053185e-01
1.044877015618510007e-74 -1.818725786682998375e+02 8.398634090704375499e-01 8.235548498582621058e-01 3.075087747737397237e-01 2.642707196562409377e-01 9.499396230452660239e-01
6.890325587793516496e-74 -1.799838595193559456e+02 1.228996419546102281e-02 5.219093598297119829e-01 4.520651122302304925e-01 1.057869306518818275e-01 9.874833875318590470e-01
9.440137701183038746e-74 -1.796665072913467043e+02 7.076706873846908552e-01 1.828608525771466820e-01 9.996282795567912327e-01 1.821836141767706474e-01 8.523647418359188155e-01
1.244518572297015423e-73 -1.793876439991782377e+02 9.543527084424547891e-01 7.631179493879171050e-01 6.546886091626047399e-02 9.390154412651647853e-01 1.634476314254185159e-02
4.066685274898057843e-73 -1.782010645265381754e+02 4.307691284640504659e-01 6.061670939503149835e-01 5.730680784730488586e-01 9.426794237469304782e-02 3.695282288607871779e-01
7.659572998645477376e-73 -1.775654365274968427e+02 2.260970060187185160e-01 6.742992084020916765e-01 9.361113299260139797e-01 1.298033987022632063e-01 6.365527163501005781e-01
5.217576576121163409e-72 -1.756442746357537317e+02 3.954296567306385679e-01 2.856924983925754891e-01 8.809877085877150238e-01 4.191911610876730698e-03 2.750744526247349553e-01
2.590220264999635238e-71 -1.740394796629085477e+02 8.202113424629497995e-01 7.323194011537328407e-01 9.309991358337273981e-01 3.005359890858151362e-01 7.942530485091329195e-01
1.885645328500337932e-67 -1.651441120957802866e+02 5.886385073409717839e-01 3.550274493274897525e-01 9.069831988924725863e-01 2.677742576387679430e-01 9.479714228622200256e-01
3.024753378067394194e-64 -1.577612973681993935e+02 2.070181399045867288e-02 4.646295557689443800e-01 8.927535002776443296e-01 3.343597321072333539e-02 5.339355861902492784e-01
9.840868684787794821e-62 -1.519739127543168991e+02 1.016967443085462497e-01 9.479806520877154252e-02 5.485851229440225074e-01 7.927798251441375843e-02 7.470067454080708824e-01
6.749123707275449183e-61 -1.500459589741522848e+02 4.185513453339854140e-01 3.855711647072400661e-01 9.986098282781630253e-03 1.311073990960746061e-01 9.312189380272862804e-01
8.663230489533218700e-60 -1.474911988677141323e+02 6.682960336820573666e-01 9.336588963686474063e-01 3.807046836333815021e-01 2.720648407222886478e-01 6.837219943951976520e-01
1.576394697179904380e-58 -1.445874759680294517e+02 8.595111450295574995e-01 6.793149849236868043e-01 5.587013026514169312e-01 3.868962133867948072e-01 9.368946990657918139e-01
3.091480357664490258e-58 -1.439114663141450023e+02 2.890397743400425767e-01 1.977739691199592587e-01 1.101014505957708112e-01 2.893516001662155279e-02 1.319035014232617931e-01
1.950071268934778660e-57 -1.420671653574092090e+02 4.355484969265437378e-01 7.610718525822541825e-01 4.486683791074620453e-01 2.966150710567145854e-01 8.982199748323963506e-01
3.177610290623934808e-57 -1.415764018441358019e+02 9.124380427377304370e-01 4.060591967534249447e-01 9.668834702406372550e-01 3.109103178762605557e-01 6.649745198865071316e-01
4.330398562565291513e-57 -1.412643716929285063e+02 5.950793897981925262e-01 9.910573781397212789e-01 7.557779096072458902e-02 2.056864963995536089e-01 7.230994732068340980e-01
1.139606922558631769e-55 -1.379916776933261531e+02 1.203272769732539604e-01 4.922280351180590152e-01 2.691302994704112272e-01 1.123337275856597373e-01 5.021983936433347395e-01
3.425412031945743908e-55 -1.368886393257240002e+02 4.667015287989266792e-01 4.463129514181632951e-01 1.273148191409172458e-01 8.524886441832235651e-01 3.037662840964017175e-02
4.110385546703510079e-55 -1.367038442604082320e+02 5.161379622656854238e-01 3.697234282118766480e-03 7.753150711875689272e-02 5.542428639783205657e-01 2.538229124260280578e-01
8.399368460519815727e-55 -1.359867045717491862e+02 1.063092561704719330e-01 7.163645465697406900e-01 6.050752128103883409e-01 1.240247928825300994e-01 4.277140209314017616e-01
8.903545482140987591e-55 -1.359259115253103971e+02 6.387506309443325980e-01 5.074872313552817316e-01 3.223629416376327939e-01 1.012575227726265625e-01 2.175212749976365156e-01
1.118031165491720470e-54 -1.356957067480514922e+02 7.508342137641322855e-01 8.584853347144336677e-01 8.174078803966493556e-01 4.897844995530016288e-01 9.844533202582068654e-01
1.569264680441333068e-54 -1.353541688452662299e+02 4.568898872763610397e-01 5.069441050405298910e-02 6.841492007636043038e-01 1.861201424053083864e-01 8.182122317658139243e-01
5.283014937072526209e-54 -1.341377790529438130e+02 6.851273405244466819e-01 4.870315160045277647e-01 4.779274298259698073e-01 1.074591757298413164e-01 2.190616850168650709e-01
7.695793319483591535e-54 -1.337591021410802057e+02 3.508089089954513629e-02 4.659287927798748674e-01 4.535424443643720771e-01 9.014108231245558933e-01 5.893641072234989675e-02
9.942617778016457754e-54 -1.335004456545613323e+02 6.732534761512484200e-01 6.585712079451173651e-01 1.408198240073771368e-01 1.642594476663636893e-01 4.648638447622452929e-01
1.488544711911118278e-53 -1.330943919662560688e+02 1.736580382085755048e-01 6.750811231656359546e-01 9.884981391359572989e-01 1.828683215363762216e-01 5.578485979703150521e-01
2.068690947097740101e-53 -1.327627748909862362e+02 2.347921740601344176e-01 7.575012497680571055e-01 8.066045644059396391e-01 1.992758084184493850e-01 5.154443381556215176e-01
2.784675311364722203e-53 -1.324630596237180384e+02 1.471342887482929296e-02 4.626921401729263694e-01 6.242811823576277508e-02 6.411802591563253717e-02 6.061754873669481514e-01
3.781933420384377585e-52 -1.298518704467776104e+02 5.895265322168298239e-01 8.967113143914920981e-01 9.533108284844377112e-01 3.411878224922694214e-01 5.926721199988143063e-01
4.161094842762681105e-52 -1.297538275895155380e+02 2.050001065034906533e-01 6.993547485907510852e-01 8.295148004149428544e-01 1.079681981448564754e-01 3.141617193191077462e-01
9.281925962084760699e-52 -1.289490367482358408e+02 6.132223493613147003e-01 9.668980632271775288e-01 4.366426725280427856e-01 3.363092500668812823e-01 7.324543699698645716e-01
1.002577217214827006e-50 -1.265668617246448235e+02 9.918534207051875606e-01 4.112428618852589368e-01 5.686927446181888612e-01 8.976412253580222655e-01 2.317175470174548391e-02
4.160777044972631488e-50 -1.251412337800433079e+02 5.061889947884249397e-01 7.955363050258369428e-01 4.264286976997552214e-01 3.231342436182521594e-01 7.912286847324239147e-01
5.076643186468871078e-50 -1.249397853734231205e+02 5.099437359123890623e-01 5.138813596530088512e-01 1.783691068827255588e-01 2.555542947902589290e-01 9.455464570829495985e-01
1.102509340306293756e-49 -1.241617617333001817e+02 6.178195526648806446e-01 1.223660752345299141e-01 4.839524007389310878e-01 6.352455113757493610e-02 1.926092984534534258e-01
3.155254710782321384e-49 -1.231077813083827124e+02 4.298471948475866000e-01 5.456851316069191160e-01 9.439577426027765394e-01 3.681649234321215935e-02 1.563346202199539237e-01
4.130275243000339279e-49 -1.228360064839897632e+02 9.293515570560292316e-01 6.610896603918783310e-01 5.315855062490432159e-01 1.749348400493476730e-01 2.454652518038789033e-01
1.659473195884968420e-48 -1.214427652404171027e+02 4.816752098804959470e-01 7.730662472400157137e-01 3.655067809668298695e-01 2.397552543966725569e-01 5.389802119745074060e-01
2.601829190364534034e-48 -1.209905507081238056e+02 1.946701674241255731e-01 1.110432802393914731e-01 1.740418703228073793e-01 8.838748932387952006e-02 4.929002225720841013e-01
2.745374349247951776e-48 -1.209343479999252793e+02 9.699326500216975955e-01 1.102279510446130262e-01 6.612968591290357967e-01 3.826580983559771942e-01 9.786262578694986392e-01
2.207060812057012572e-47 -1.188475186664815055e+02 9.649011561007538873e-01 5.483743181862997806e-01 6.562872584546597388e-02 3.030451843045265381e-01 8.753390680458992268e-01
2.522999459914376481e-47 -1.187112318919541849e+02 2.193770615769438104e-01 5.845339636287795182e-01 5.083916018586996932e-01 3.090062026575298715e-01 9.961100880556084114e-01
3.859685401050594434e-46 -1.159810095767174261e+02 1.389154660054066071e-01 2.651314573479084391e-01 4.332131236235370331e-02 8.448967864883767387e-01 7.205168885588031369e-02
8.892141273978616988e-46 -1.151439273708165558e+02 7.426789738400886298e-01 8.199416322392435452e-01 6.374789632457162902e-01 1.078158535735033174e-01 1.382154787098643922e-01
6.265981167605602977e-45 -1.131888749745236993e+02 7.184910226737741823e-01 7.392458462019344534e-01 5.797435662178214155e-01 4.899638652712903220e-01 9.481664230987785214e-01
3.699665165797626669e-44 -1.114106827487412659e+02 8.445326849408131276e-01 4.937644233958293771e-01 4.184434307886836235e-01 2.642566640978524228e-01 4.589586268870161634e-01
6.269191738794052165e-44 -1.108807776315140217e+02 3.698060304167599677e-01 4.550254096755578237e-01 9.731665173338120978e-01 3.440727673499786032e-01 7.390603153539859749e-01
6.270120874370052108e-44 -1.108781294358981455e+02 7.216562622856270703e-02 1.048165345786157276e-01 2.231952121116945742e-01 8.173017329498820649e-01 9.574505091632334874e-02
2.554333203763106762e-43 -1.094710487629775315e+02 4.550533286618835271e-01 3.662602885797939800e-01 2.315555130850965870e-01 1.108146378203312965e-01 2.475101295559821724e-01
3.507878777768836139e-43 -1.091513284575973586e+02 9.405200704598210004e-01 4.316564669401368182e-02 4.681520793112129430e-01 9.399104303613836642e-02 1.737166553949068826e-01
5.649115079893835091e-43 -1.086723410657079967e+02 6.692369046138457733e-04 5.451878916426277089e-01 6.395503981945529492e-01 2.189009425620334071e-01 8.655790684446409422e-01
1.392044582545644075e-42 -1.077679812934878072e+02 1.494589556505452332e-01 6.892604940740273411e-01 9.168585655955940883e-02 1.869168003206337358e-01 8.657876728116211673e-01
1.595333806749479918e-42 -1.076291718850093559e+02 5.495742533244176720e-01 8.301822146657689139e-01 5.449144342559756327e-01 4.869815896100732067e-01 9.809839303195972970e-01
2.289035765041439766e-42 -1.072656242169845768e+02 7.091750091225889063e-01 1.509292678378686414e-01 1.176112114381285823e-01 2.333524506892510342e-01 8.834541996468235903e-01
1.391285345248616131e-41 -1.054584417609091958e+02 3.699426663173592811e-01 6.677673901647981358e-01 7.544740821456119573e-01 3.940462860359589259e-01 7.723499322852183102e-01
3.417838219405245135e-41 -1.045571615379577111e+02 4.438556470862973224e-01 4.267299859079166646e-01 8.972837984912439557e-01 4.151890446251736977e-01 8.386205517874822934e-01
6.871115059114541877e-41 -1.038563433880611058e+02 5.855616780310445302e-01 6.616240220691401719e-01 6.600817450550556797e-01 3.464068455039883698e-01 5.468805811278082407e-01
1.211546585680174922e-40 -1.032866869831615020e+02 1.883626073860465988e-01 4.427765706023227832e-01 1.337246591195311307e-01 1.540573446443291861e-01 6.533926513119272528e-01
2.635593856994676731e-40 -1.025069761673156847e+02 6.122418911828556576e-01 8.673648794192834188e-01 5.095698384040291407e-01 3.892981624660242224e-01 6.334329509393935576e-01
2.638945867639010747e-40 -1.025032051517311658e+02 1.194091805243789883e-01 7.036055411050133879e-01 6.033613153456903744e-01 3.515361622195746216e-01 9.965998855006796830e-01
3.318276024301582885e-40 -1.022716393183174262e+02 6.195398124121520578e-01 1.018929474172608485e-01 8.284202085043571584e-01 3.095408774994081735e-01 6.868507317910174104e-01
3.814198861931588526e-40 -1.021298540507783628e+02 9.098384240875057039e-03 9.763474282866758669e-01 9.197761423840435935e-01 7.898483372532569824e-01 9.307324158746788090e-02
5.117861112892548669e-40 -1.018333480962090789e+02 2.598357886880920953e-01 5.824510077505343775e-01 5.675793270178275396e-02 1.953719473718202870e-01 8.059221830611184023e-01
6.331534652913957869e-40 -1.016180420485993068e+02 9.138955056349307160e-01 4.117208480703181683e-01 4.022818400562955254e-01 2.297723993070959203e-01 3.360602748169371212e-01
1.169429303107487964e-39 -1.010019837489089838e+02 2.398052138347251949e-01 1.464332411632529585e-01 3.466165490876702560e-01 7.098461322062461498e-01 5.376275551959852628e-02
2.289134055252543395e-39 -1.003278259993544737e+02 6.995217911345539274e-01 1.392187561809643537e-02 8.242419221468734181e-01 3.110447154335975739e-01 5.377766640697932976e-01
2.318038157091983502e-39 -1.003127783976006810e+02 4.579471503643212094e-01 8.161870066757941355e-01 8.323611439110397692e-01 3.341130152529677710e-01 4.634821266169809606e-01
4.159113414018451260e-39 -9.972569767366650240e+01 8.879347385004408011e-01 2.597154484734086610e-01 9.043612787710864076e-02 3.262244568803662759e-01 9.571005545817400373e-01
4.506746060099152262e-39 -9.964292420491841540e+01 4.683848111259736324e-02 6.387877499350240740e-01 7.059469454127181853e-01 2.957340779636259409e-01 8.856349433112412628e-01
5.646679640172913008e-39 -9.941493190549141445e+01 1.765261347528866986e-01 6.720859158854004534e-01 7.649083555328795025e-01 1.508922218903934187e-01 2.830506210101768616e-01
1.330758217783111386e-38 -9.855516564224816989e+01 7.460659236727866794e-01 9.639376003663286951e-01 8.635401711221601939e-01 5.296278501648540304e-01 6.311052651925578294e-01
1.834539228941078498e-37 -9.592903606902697788e+01 9.954416218482314838e-01 8.278967775328868184e-01 3.799885006605552284e-01 3.090691855145066835e-01 3.651894550400092143e-01
1.978895931417723683e-37 -9.585079033881891064e+01 3.415837768303747746e-01 4.256514573171075178e-01 8.196989572867573459e-01 3.219544257959051636e-01 6.090239391505393174e-01
2.278967171614695986e-37 -9.570710707218043467e+01 1.439855876138494972e-01 7.486791608722787039e-01 3.739798375225240612e-01 2.524154959302811196e-01 6.540378524251808656e-01
2.342659706397704923e-37 -9.567704250704349533e+01 2.317849389913492208e-01 3.658326525010942021e-01 8.589705606028718021e-01 1.871524853207909844e-01 1.047285158778921144e-02
2.627757209302117349e-37 -9.555969870736356597e+01 9.630250940588863662e-01 8.148580293929862384e-01 7.716195757883503870e-01 4.027942203963522649e-01 4.014434041994473512e-01
2.881136833882969027e-37 -9.546514446735973536e+01 8.848666429481745199e-01 6.482220371720651686e-01 8.294639719748020390e-02 2.334096022474940746e-01 4.470766500970213553e-01
3.331912832022467538e-37 -9.531728285450297733e+01 7.901202708662080632e-02 4.181037812820598276e-02 8.119569378613321620e-01 6.571468833582134739e-01 9.981851079949832783e-02
4.473263989696986283e-37 -9.502021107641054698e+01 9.750868041272104936e-01 1.404468611754006169e-02 9.840861372474920543e-01 5.883285626690354375e-01 6.951993416196754483e-01
3.793418062678914112e-35 -9.057739175545620469e+01 7.770460342001628273e-01 2.695501740221339926e-02 8.303344000850231277e-01 2.048555405677391361e-01 2.639059744727225709e-01
5.380894446393685907e-35 -9.022530461728811702e+01 9.652603565928318252e-01 2.342997239125053088e-01 8.486894540756271255e-01 2.885976769081167737e-01 3.326783446726950810e-01
6.299846816558933568e-35 -9.006513391334971175e+01 6.130372788538650530e-01 2.288117410125340978e-01 5.764028327642239935e-01 3.164136634933861769e-01 5.735605872621689638e-01
1.397701052408144313e-34 -8.926574535716008540e+01 2.775287025157568976e-02 5.299855245841321727e-01 2.446247865349739925e-01 4.006035061193680136e-03 4.277794227130504723e-02
1.416229646014801113e-34 -8.925007597711477558e+01 4.634676670769157791e-01 7.570299737921234451e-01 7.799206543095954514e-01 5.355386879806436351e-01 8.125262500178453973e-01
4.778647624778450081e-34 -8.803141655583924319e+01 7.811903344247043135e-01 7.049946358363201604e-02 8.460045829472396806e-01 4.766294704651534708e-01 8.601154397641733729e-01
