weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.354879729154511097e+02 7.422092916289257403e+01 1.091716919854273016e+01 9.381909792882560168e+02 9.511840022393761274e+02 1.078626716280495224e-02
7.933636096001165399e-225 -5.245755791163054482e+02 5.646298829423989218e+02 4.148442569564996916e+02 4.340232732338564006e+02 6.681129037522148337e+02 8.753072600484190779e-03
1.739126878807025548e-218 -5.099727117264928893e+02 3.923710954429573121e+02 2.437076359546932451e+02 4.156413606288855789e+01 9.765896696172789007e+02 3.624941679136661765e-02
1.254431483865927672e-185 -4.343116043821419794e+02 6.944708525353686923e+01 1.163795675799370031e+02 4.154012743083571308e+02 7.304501889548891995e+02 5.789450277557772750e-02
2.160650376898294233e-180 -4.222524521094256329e+02 5.377347189199131208e+02 5.820352763261162465e+01 3.309984686001637328e+02 9.851019993579689071e+02 6.643792209913579327e-02
9.610797789111455943e-167 -3.908238679411999783e+02 7.219456841143876318e+02 9.465821956197768259e+02 4.553312434280624643e+02 7.756437778229849300e+02 1.582577027970066830e-02
1.535037279059489413e-166 -3.903531154175227584e+02 1.306499330802499799e+02 6.952798643866582324e+02 7.548464368806083939e+02 8.390258664245892533e+02 2.711439426614015158e-02
1.140509465601541347e-161 -3.791347695571020608e+02 1.623903082878811404e+02 9.949073684405537961e+02 5.653049554634699234e+02 8.829903632349555664e+02 3.242538442761011552e-02
1.176930220554719694e-156 -3.675879096136879980e+02 6.237350323520315669e+02 9.017135549085700177e+02 9.593160526629208107e+01 6.857863232992050371e+02 2.863868597619800838e-02
7.317606744293430487e-136 -3.197063339674645590e+02 8.161726302627529321e+02 7.789555632411894521e+02 8.245820144770998468e+02 8.092288607146956565e+02 1.887612108093117413e-02
1.225539002879111758e-134 -3.168855663589154688e+02 2.492422356653201234e+02 1.187890583496662629e+02 1.753860638626238426e+02 5.870059566915193727e+02 8.077238928603125423e-02
1.317492809897535192e-134 -3.168107165644545944e+02 9.609888487863005366e+02 6.723937276299138830e+02 9.819655797343989434e+02 3.475613728382239174e+02 6.764079347765128425e-03
1.890957992923975480e-130 -3.072365231612966454e+02 4.644158852518985441e+02 6.172822985880745819e+02 1.711467833759590178e+02 8.919391142432830293e+02 6.736291887311340876e-02
9.964881790118232404e-123 -2.894539439944678634e+02 1.000638472419125264e+02 2.966446070628015832e+02 6.724355882548251202e+02 7.090719227345921354e+02 6.255370747047817037e-02
1.454460122164392624e-121 -2.867707061178587082e+02 8.502350467596528460e+02 7.219430996684028514e+02 1.912841815764088267e+02 8.621474339831305542e+02 5.348833917361950352e-02
4.015315652914718032e-115 -2.719372143788848462e+02 1.457536869874984404e+02 9.276181480792120055e+02 1.300712572189530647e+02 5.773581204298867533e+02 7.811243892732189220e-02
6.249652663905930654e-115 -2.714923044531739720e+02 9.846499563268355359e+02 3.053842108944338634e+02 3.585309107274395615e+02 5.832348595839271184e+02 3.227989445734191776e-02
1.223400644680114339e-106 -2.523974301098726301e+02 1.248993325913072994e+02 9.136272575277271244e+02 5.686351613150794719e+02 8.529915464670890515e+02 8.465559852515869288e-02
7.011127165374553054e-100 -2.368335554646524201e+02 4.095882487539922181e+02 2.167553925507347969e+02 1.786096495417168910e+02 6.225952893852409034e+02 1.060228712443321841e-01
4.797077818727386500e-98 -2.326053768159420088e+02 1.487960018243959439e+02 1.285110141300130522e+02 3.184100116860127514e+02 9.864978969276689895e+02 2.818504063848632502e-01
7.011530982540969039e-94 -2.230129873117354293e+02 1.910436164329939572e+02 5.057152878723234721e+02 1.396427800636385257e+02 9.497371822333487899e+02 2.211572417591057826e-01
4.065405228304198382e-92 -2.189503597775488970e+02 7.724950038040159370e+02 2.644453904749842081e+02 5.938006254039499936e+02 8.946719070090138075e+02 8.270009585755344617e-02
7.283510995499985187e-90 -2.137595899912010395e+02 4.393325886792317760e+02 8.115822078157384567e+02 6.132309649477782187e+01 2.715768953852335343e+01 9.651363240212558203e-01
2.391334548490943209e-89 -2.125682663251652968e+02 6.859103858189143921e+02 8.775543126082777690e+01 8.511388190677233467e+01 8.372008832294442300e+02 2.535332748572954875e-01
9.143333319437926716e-85 -2.020142525370199564e+02 3.549542024175298707e+02 2.595018039395683900e+02 6.182805741870630527e+02 6.146431220095555545e+02 6.797852442107754634e-02
1.078114902790524657e-84 -2.018469784031214544e+02 1.590122915047531933e+02 7.464769125370968368e+02 8.363521309170126870e+02 9.902587473779869924e+02 1.149437715223018408e-01
2.167904312456675668e-84 -2.011459315125049159e+02 6.827355641028813125e+02 9.403955494838063487e+02 3.847801392790852901e+02 4.664589255114710120e+00 7.480150536946174045e-01
2.581411655375724129e-83 -1.986662709632473423e+02 2.908008155388326372e+02 8.146939961372380878e+01 4.952485078437909038e+01 4.423137776258108147e+02 2.047382796626524559e-01
5.688544111691894234e-83 -1.978736530182875129e+02 7.995364739548861053e+02 3.462739405935813579e+02 5.446246377546792701e+02 8.601404965458815468e+02 8.849635854968818105e-02
9.787161581922760756e-83 -1.973285358816339965e+02 6.667643236753359588e+02 4.510569171436146974e+01 6.277910586214622981e+02 5.454579756040167240e+02 9.762801012809663170e-02
8.870876708224271262e-78 -1.859114082696765138e+02 2.614449963230955518e+02 5.171185766471112544e+01 2.696343366916501338e+01 9.999903030121511165e+02 7.219472367031555260e-01
1.536768262118664187e-77 -1.853594151274972432e+02 8.512230621138465949e+02 2.226502679408944374e+01 1.829184592733564330e+02 7.899338922744136653e+02 4.828052349288698419e-01
1.494751446221157922e-75 -1.807794666855289449e+02 6.011601069345159658e+02 3.205319791683976405e+01 9.383904399947732600e+02 7.041839330123102627e+02 1.671191875247391989e-01
2.023367584267932093e-73 -1.758689931916187845e+02 3.081731568165069461e+02 8.496120574031568822e+02 3.924038518000335785e+02 8.538068433203719678e+02 1.492352288372882363e-01
1.877775110292449000e-71 -1.713359986258275001e+02 3.909486153653628548e+02 9.210375140331058219e+02 2.589148784947961985e+02 6.889388910280276832e+02 1.247755613287647725e-01
9.916748017726755741e-71 -1.696693612031068596e+02 4.585123131203499156e+02 3.414503884175065878e+02 2.418852396492554533e+02 8.839902579714291733e+02 2.258365263853860938e-01
4.466926098465953982e-68 -1.635566304725346640e+02 1.333165527594907473e+02 3.098260119832924602e+02 6.294904357702826019e+02 9.648728032589257282e+02 2.642036753295085028e-01
