11:05:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/parameter_fit_updated/1,2,3,6,7,8-HxCDD/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:06:14 [ultranest] [INFO] Sampling 400 live points from prior ...
11:52:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:52:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:52:59 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:53:07 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-717.50, Lmax=-29.58
11:53:14 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-723.49, remainder_fraction=100.0000%, Lmin=-549.32, Lmax=-29.58
11:53:21 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-555.32, remainder_fraction=100.0000%, Lmin=-545.83, Lmax=-27.11
11:53:30 [ultranest] [DEBUG] iteration=3, ncalls=405, regioncalls=200, ndraw=40, logz=-551.80, remainder_fraction=100.0000%, Lmin=-545.19, Lmax=-27.11
11:53:38 [ultranest] [DEBUG] iteration=4, ncalls=406, regioncalls=240, ndraw=40, logz=-550.76, remainder_fraction=100.0000%, Lmin=-511.62, Lmax=-27.11
11:53:45 [ultranest] [DEBUG] iteration=5, ncalls=407, regioncalls=280, ndraw=40, logz=-517.63, remainder_fraction=100.0000%, Lmin=-500.10, Lmax=-27.11
11:53:53 [ultranest] [DEBUG] iteration=6, ncalls=408, regioncalls=320, ndraw=40, logz=-506.10, remainder_fraction=100.0000%, Lmin=-478.83, Lmax=-27.11
11:54:01 [ultranest] [DEBUG] iteration=7, ncalls=409, regioncalls=360, ndraw=40, logz=-484.84, remainder_fraction=100.0000%, Lmin=-469.79, Lmax=-27.11
11:54:08 [ultranest] [DEBUG] iteration=8, ncalls=410, regioncalls=400, ndraw=40, logz=-475.80, remainder_fraction=100.0000%, Lmin=-466.15, Lmax=-27.11
11:54:15 [ultranest] [DEBUG] iteration=9, ncalls=411, regioncalls=440, ndraw=40, logz=-472.14, remainder_fraction=100.0000%, Lmin=-450.52, Lmax=-27.11
11:54:21 [ultranest] [DEBUG] iteration=10, ncalls=412, regioncalls=480, ndraw=40, logz=-456.53, remainder_fraction=100.0000%, Lmin=-450.13, Lmax=-27.11
11:54:29 [ultranest] [DEBUG] iteration=11, ncalls=413, regioncalls=520, ndraw=40, logz=-455.63, remainder_fraction=100.0000%, Lmin=-429.65, Lmax=-27.11
11:54:36 [ultranest] [DEBUG] iteration=12, ncalls=414, regioncalls=560, ndraw=40, logz=-435.67, remainder_fraction=100.0000%, Lmin=-404.92, Lmax=-27.11
11:54:43 [ultranest] [DEBUG] iteration=13, ncalls=415, regioncalls=600, ndraw=40, logz=-410.94, remainder_fraction=100.0000%, Lmin=-396.68, Lmax=-27.11
11:54:50 [ultranest] [DEBUG] iteration=14, ncalls=416, regioncalls=640, ndraw=40, logz=-402.71, remainder_fraction=100.0000%, Lmin=-387.85, Lmax=-27.11
11:54:59 [ultranest] [DEBUG] iteration=15, ncalls=417, regioncalls=680, ndraw=40, logz=-393.87, remainder_fraction=100.0000%, Lmin=-387.22, Lmax=-27.11
11:55:06 [ultranest] [DEBUG] iteration=16, ncalls=418, regioncalls=720, ndraw=40, logz=-392.82, remainder_fraction=100.0000%, Lmin=-372.53, Lmax=-27.11
11:55:14 [ultranest] [DEBUG] iteration=17, ncalls=419, regioncalls=760, ndraw=40, logz=-378.56, remainder_fraction=100.0000%, Lmin=-367.73, Lmax=-27.11
11:55:21 [ultranest] [DEBUG] iteration=18, ncalls=420, regioncalls=800, ndraw=40, logz=-373.76, remainder_fraction=100.0000%, Lmin=-366.51, Lmax=-27.11
11:55:35 [ultranest] [DEBUG] iteration=19, ncalls=422, regioncalls=880, ndraw=40, logz=-372.28, remainder_fraction=100.0000%, Lmin=-363.59, Lmax=-27.11
11:55:41 [ultranest] [DEBUG] iteration=20, ncalls=423, regioncalls=920, ndraw=40, logz=-369.57, remainder_fraction=100.0000%, Lmin=-363.38, Lmax=-27.11
11:55:48 [ultranest] [DEBUG] iteration=21, ncalls=424, regioncalls=960, ndraw=40, logz=-368.80, remainder_fraction=100.0000%, Lmin=-356.82, Lmax=-27.11
11:55:57 [ultranest] [DEBUG] iteration=22, ncalls=425, regioncalls=1000, ndraw=40, logz=-362.86, remainder_fraction=100.0000%, Lmin=-345.51, Lmax=-27.11
11:56:02 [ultranest] [DEBUG] iteration=23, ncalls=426, regioncalls=1040, ndraw=40, logz=-351.56, remainder_fraction=100.0000%, Lmin=-339.84, Lmax=-27.11
11:56:09 [ultranest] [DEBUG] iteration=24, ncalls=427, regioncalls=1080, ndraw=40, logz=-345.89, remainder_fraction=100.0000%, Lmin=-332.76, Lmax=-27.11
11:56:17 [ultranest] [DEBUG] iteration=25, ncalls=428, regioncalls=1120, ndraw=40, logz=-338.81, remainder_fraction=100.0000%, Lmin=-329.08, Lmax=-27.11
