pFat pLiver pSlow kMet fAbs
6.905612987679677417e+01 2.489770487859376757e+01 1.466511163267542202e+02 9.688481008479193690e+01 9.656586668070568091e-01
9.915077207106489254e+01 5.326455215035021951e+01 5.418473956850700546e+01 8.280428936276940988e+01 5.264164718522768016e-01
1.435701207615698536e+02 1.374286848402958583e+02 1.896311018699630893e+02 2.973503973552266189e+02 8.449189347663252914e-01
1.237847382983548812e+02 7.148863602023146768e+01 1.235266557141668358e+02 1.693669274098448625e+02 9.276109322045054117e-01
1.028224602054512928e+02 6.864137015522612728e+01 1.231049502831382654e+02 1.612612566339574016e+02 8.255244267937552616e-01
1.479988539651818940e+02 6.975124623092906972e+01 1.177221640498130881e+02 1.983235370227743601e+02 8.647981247923803849e-01
2.822786528765717549e+02 1.027069396243668251e+02 6.909382812355883630e+01 1.426788494435528207e+02 4.740380991926910759e-01
4.068438586228674581e+02 1.724682498196248446e+02 1.970930841886699056e+02 2.946145695719633295e+02 6.828114366698834203e-01
9.085365753475151962e+01 3.736564551275611024e+01 6.243498396983591192e+01 8.233071677084478779e+01 7.225387008598340710e-01
1.259457561930998111e+02 2.994286365181919507e+01 9.940843530953343077e+01 1.543889378502271086e+02 8.000675086697576210e-01
1.091137856057667221e+02 5.362905348534562933e+01 7.732762573775158899e+01 1.227502649189551533e+02 5.977456484868638453e-01
6.865960074860359441e+01 2.901745855940039931e+01 7.791395863401911015e+01 9.541261100543033535e+01 8.927395261181874098e-01
8.326493928768447006e+01 7.596815235819224199e+01 2.579629189675772238e+01 5.591244370217371085e+01 3.371475379071621203e-01
9.148351742075625737e+01 7.771905927203326314e+01 5.760121197659586301e+01 1.340929634962748196e+02 5.101821588673174368e-01
1.146081383543527323e+02 9.150113541849428600e+01 8.743192728723421681e+01 2.565963853290596717e+02 9.827171403002594730e-01
1.183293626194023318e+02 9.303575305432298137e+01 1.497224695450762795e+02 2.157823567350930318e+02 8.731609432238535140e-01
1.184820516977923575e+02 1.463411582254443033e+02 3.337763175618823652e+01 7.987196542938779942e+01 2.723658883422159227e-01
1.348631948058477406e+02 8.000654301262048307e+01 4.309227019056581298e+01 1.415707756854187380e+02 6.577065242631051634e-01
1.128529669605832595e+02 4.814091378036062707e+01 1.280761493122773054e+01 1.377428155641472927e+02 8.219136334929653120e-01
1.118849260134222732e+02 4.009388993657788802e+01 4.647988254915856743e+01 8.252766423243538441e+01 5.445621522635507583e-01
1.802222648576299946e+02 1.745368174725292647e+02 1.793087180945153989e+02 2.036569580327624465e+02 5.511532732770001441e-01
1.050140021756854622e+02 4.695310411127276495e+01 6.570514911287349946e+01 8.941438901998692756e+01 5.187588860014831216e-01
1.538577927934954630e+02 4.680160003821519155e+01 3.143670908006023978e+01 1.161228436913474695e+02 6.596580047990747708e-01
2.136142704808066810e+02 7.845900627367304025e+01 5.400615544578302973e+01 1.246821215897174540e+02 5.577600559281619130e-01
1.239168016922576498e+02 9.181275903986232834e+01 2.186106216369618380e+02 1.855689449540839746e+02 5.368774641387302760e-01
1.382569019765327027e+02 7.861188433983606672e+01 6.277967014888606911e+01 1.547767822653281371e+02 9.902582944344477944e-01
7.317083639994652344e+01 2.316004025972540248e+01 5.689371088343906990e+01 9.566136673783238109e+01 7.416919820270577723e-01
1.435791624040822683e+02 7.396720239539121167e+01 4.425860726394620315e+01 1.150954380526103193e+02 5.852192367927948613e-01
1.189883406547944276e+02 6.677289508591736933e+01 1.587016214895525934e+02 1.955683235394710664e+02 7.056784625718640624e-01
1.048239087876461184e+02 4.203140456423786731e+01 3.531725510902223419e+01 8.047763476320186271e+01 5.141207982880214855e-01
1.298823837390922904e+02 4.162512287579045989e+01 1.726446642407962884e+01 5.182591943919957345e+01 3.345891409207416012e-01
2.846345374839547731e+02 5.680273966317670897e+01 6.303159735670688235e+01 1.959584983884213329e+02 7.666985449476559911e-01
1.835393450052730202e+02 7.496246182443215389e+01 2.178141999568198059e+02 2.512181892805161851e+02 7.201902630047170017e-01
8.087158420841484485e+01 4.641283205570768899e+01 4.621453483255466921e+01 1.024957479201538746e+02 6.142117338732501208e-01
1.013806006044975874e+02 7.228141492604696339e+01 1.150381220676341911e+02 1.927305395463146453e+02 7.817939068926345048e-01
1.322140485925669964e+02 5.869213549741472491e+01 1.247089836556133804e+02 1.458279660759648095e+02 9.462971045869099651e-01
2.737195479275783327e+02 1.032309641228787314e+02 1.936317138430062528e+02 3.510508587029132741e+02 9.636272851449891874e-01
2.604514992553983461e+02 1.344995051391468337e+02 9.074612704013513564e+01 2.683536010087288446e+02 7.306788417210524633e-01
2.241093590524951651e+02 8.496191818990260458e+01 8.547176102501212824e+01 1.311766598976624039e+02 5.673955211496811701e-01
8.029827168701781659e+01 6.239921032293470660e+01 1.517259191432247434e+01 7.489043322348818776e+01 4.919314498096916122e-01
