logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.337689886613936778e+02 -6.397617029480850306e+02 9.699999999999999734e-01
-6.397617029480850306e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.826081159454865883e+02 -5.886033302321778820e+02 7.049999999999999600e-01
-5.886033302321778820e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.706203688714388136e+02 -5.766180831581301618e+02 1.709999999999999964e+00
-5.766180769226201619e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -4.569063647768134047e+02 -4.629065790635046937e+02 2.949999999999999845e-01
-4.629065790635046937e+02 6.025357524734207715e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -4.328447203465876783e+02 -4.388474346332789651e+02 6.149999999999999911e-01
-4.388474346332433811e+02 5.326825711520508122e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -2.974336137490568603e+02 -3.034388280357482017e+02 8.449999999999999734e-01
-3.034388280357482017e+02 8.739975530181250463e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -2.872561806925794485e+02 -2.932638949792707876e+02 1.754999999999999893e+00
-2.932638568661559475e+02 8.567282511044214743e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -2.429257089643087966e+02 -2.489359232510001050e+02 1.905000000000000027e+00
-2.489359232510001050e+02 9.538228872676758385e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -2.416269658747307574e+02 -2.476396801614220635e+02 5.350000000000000311e-01
-2.473978659202414008e+02 5.400538400634908243e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -2.275021549292147540e+02 -2.335173692159060579e+02 1.054999999999999938e+00
-2.335173682788260408e+02 5.666615349802326307e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -2.221715003594520681e+02 -2.281892146461433697e+02 6.600000000000000311e-01
-2.281843733618878218e+02 7.635446864548958601e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -2.162672916030147405e+02 -2.222875058897060399e+02 1.719999999999999973e+00
-2.222847616190031488e+02 7.346346977325277194e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -2.103302233879535379e+02 -2.163529376746448634e+02 3.549999999999999822e-01
-2.163502875518394433e+02 8.782678264509726773e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -2.017575376959557616e+02 -2.077827519826470848e+02 1.645000000000000018e+00
-2.077825618199690609e+02 5.043750366370240101e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.936282654591902030e+02 -1.996559797458815240e+02 1.205000000000000071e+00
-1.996556842128200628e+02 2.554485859034298478e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -1.878440679512553970e+02 -1.938742822379467157e+02 1.094999999999999973e+00
