weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.240082134749249008e+02 7.800183101131378862e+02 1.334459621430129914e+02 5.089732603271308449e+02 5.210356298965756423e+02 7.216441319063404691e-04
0.000000000000000000e+00 -8.328670486461791143e+02 1.546363035833868516e+01 6.302599027248687662e+02 9.526347531173568086e+02 4.975139869487109650e+02 2.659955264732061231e-03
4.524659983741998832e-227 -5.350045575221618037e+02 2.334310682549462683e+02 1.216801586283857972e+02 7.956586530164428268e+02 3.663791829358888208e+02 4.419145678367208951e-03
2.345651179656117265e-209 -4.942125052289806035e+02 5.902925234247254593e+02 2.781706464935050462e+02 3.593441991887585800e+02 8.003972469847994944e+02 6.932880432374499691e-03
2.302285725157970877e-201 -4.758079851139347056e+02 2.668160189678509937e+02 4.612552113749512728e+02 4.134532350914697645e+02 5.267408752691429754e+02 5.540781665767324782e-03
6.489694319377571299e-193 -4.563484913636217470e+02 5.856843379254693218e+02 3.398409273859319768e+01 6.961111807584226199e+02 1.614557528097682280e+02 4.186383301383100886e-03
3.679392956314951501e-171 -4.062565869660587055e+02 8.887833599033477867e+02 4.426762488978086481e+02 2.181870317870582596e+02 4.991294616131700081e+02 5.536048084983535844e-03
3.740564278179557120e-163 -3.878169175265927606e+02 3.680383098311725121e+02 4.457793514392896554e+02 3.018133897472390572e+02 8.925386918974677428e+02 1.465389721652399224e-02
3.551543102334366942e-143 -3.418145699575194953e+02 6.382687723699259408e+01 4.219368028126983745e+02 1.117836309250610896e+02 2.967202637164596126e+02 1.257785369258912489e-02
7.319679599476835670e-142 -3.387863004938301401e+02 1.137455345691110011e+02 2.334233897491113794e+02 3.571557459994404553e+02 6.948736950985327212e+02 2.747126076307027098e-02
3.975508580167550009e-122 -2.933425125057829064e+02 3.176923037761268915e+02 8.918629155452483701e+02 2.924819137942577640e+02 8.145265193369298231e+02 2.233424204443379413e-02
7.266535261033324626e-106 -2.558955241048771256e+02 2.749456405898036238e+01 9.518458504945859886e+02 1.462418418860482916e+02 7.788258818856478456e+02 8.529284371898404604e-02
4.351861958580887506e-105 -2.541031148195279741e+02 1.695278026323678091e+02 1.874634243845381718e+02 2.349545253519637811e+02 5.194530024522397298e+02 3.457378854809489699e-02
5.626785814367491627e-103 -2.492385100476996058e+02 7.829377059136888874e+02 1.393513112334358262e+00 5.608790910029755423e+02 9.893807601190526384e+02 5.074763818047305364e-01
6.767056390292129497e-102 -2.467488971401747335e+02 5.070433790049095819e+02 3.006562438671656423e+02 5.348096098657468929e+02 3.904535862188271267e+02 1.692446112042522710e-02
7.470934340204754492e-91 -2.213190072372528050e+02 8.796646150563636866e+02 3.111294386798084020e+02 9.357719430956949225e+01 2.185127878620586372e+01 8.686778588873335094e-01
2.203445717502932771e-89 -2.179323347512720375e+02 6.367535115412041478e+02 4.727986870249798699e+02 1.500109414356064974e+02 2.630956022747685452e+01 9.724058941170120596e-01
7.980791207385464406e-89 -2.166428195662557528e+02 4.643018111516055342e+02 6.416935224903381823e+02 5.351491303142599776e+01 1.935152921272289461e+01 6.328901563680778830e-01
3.556745360655982600e-87 -2.128433410334386622e+02 3.844581678760685577e+02 3.140584607410543754e+02 6.961524300677385781e+02 8.409304112825259381e+02 5.201494212781110349e-02
8.245425198625208641e-87 -2.120000284104456512e+02 8.301554784198633570e+02 2.802482950915050353e+01 3.444037467927258831e+02 8.314752796900007752e+02 1.046985395688940779e-01
9.726298381162390868e-86 -2.095297684523916075e+02 1.534205277926431421e+01 2.468418437030587427e+02 4.326547916407337198e+02 5.695357605141493877e+02 1.447468038469257312e-01
5.579267064857166946e-84 -2.054778742392455229e+02 6.074928451734648434e+02 7.184057381096495192e+02 1.460941598275497597e+02 3.654567544086972219e+01 9.188703208119218813e-01
1.850930320882860225e-74 -1.835528923378437582e+02 3.331051920818161420e+02 1.105425759345620662e+02 8.702515384014169513e+02 3.802945400101572773e+02 4.590380716815145590e-02
2.887981888631205991e-73 -1.808029376839316740e+02 5.341560435320773195e+02 2.550771224628555842e+02 9.042287326480934553e+02 9.445067329654606283e+02 7.557714224243339274e-02
5.462490791143411169e-67 -1.663475802011403175e+02 1.279716145410628911e+02 7.839690133237117209e+01 1.864109175023468765e+02 9.558278174092513382e+02 2.027925946129490731e-01
1.443827712327771281e-66 -1.653731022621747684e+02 8.034541565793977043e+02 5.909492930917222111e+02 4.602461507250511090e+02 7.600622838474535001e+02 4.986534605750392313e-02
1.248316332418774745e-65 -1.632135191804224519e+02 5.828593736713371243e+01 6.733181488969346162e+01 7.231019273618677516e+02 3.092296290530119904e+02 9.448647135171506228e-02
2.424958461442121044e-65 -1.625470004948001019e+02 5.429832612601651363e+02 6.406766176987030121e+02 4.063887712520428863e+02 9.559927975861712639e+02 7.166339442155389428e-02
2.760250062575386361e-63 -1.578098234257452361e+02 7.964457892539534214e+02 1.064863804547182013e+02 9.352093978309688964e+02 9.111562716750305526e+02 1.116399762332868084e-01
1.754089078671860117e-62 -1.559581099320821806e+02 7.925213267004090767e+02 7.551872227222075935e+02 9.652697387692946904e+02 1.380506710275753157e+01 8.482614099980243516e-01
3.504056142628859625e-61 -1.529610533223789162e+02 2.626043230381444573e+02 6.099734472850672091e+02 5.298225880431984933e+02 7.031217212792394093e+02 7.396778003960580161e-02
6.894114994908082007e-61 -1.522818063693754596e+02 3.425984401550439884e+02 3.581387362956239713e+02 5.380754585206507272e+02 9.798708771268878763e+02 1.071432822723203948e-01
1.184162150488796240e-59 -1.494357688532651878e+02 2.992169310042540928e+02 4.695499829597375196e+01 7.761102941934299224e+02 1.180760058193090316e+02 3.849292443880725223e-02
1.524374413994612634e-57 -1.445755500402236748e+02 2.205755473870929961e+01 3.032868427874324979e+01 2.176319665358290933e+02 7.673174481743038768e+02 5.240601067293295667e-01
1.763627544800004465e-56 -1.421246762599069484e+02 4.256825489743758908e+02 5.663693260579320850e+02 4.521737440190133839e+02 5.840729496202873179e+02 5.917095659026760934e-02
