weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.240082134749249008e+02 7.777962728415533933e-01 1.325785406836966773e-01 5.084817420692000489e-01 5.205561860826583009e-01 7.216441319063404691e-04
0.000000000000000000e+00 -8.328670486461791143e+02 5.518818543776449204e-03 6.298897925173861934e-01 9.525873404578145687e-01 4.970109979466575956e-01 2.659955264732061231e-03
4.524659983741998832e-227 -5.350045575221618037e+02 2.256879477322689675e-01 1.208009595879737663e-01 7.954541071235663452e-01 3.657449278637525669e-01 4.419145678367208951e-03
2.345651179656117265e-209 -4.942125052289806035e+02 5.861540640653792877e-01 2.774480945880931637e-01 3.587029020908494292e-01 8.001974444292286881e-01 6.932880432374499691e-03
2.302285725157970877e-201 -4.758079851139347056e+02 2.594101201695464542e-01 4.607159273022535251e-01 4.128661011926624269e-01 5.262671424115544783e-01 5.540781665767324782e-03
6.489694319377571299e-193 -4.563484913636217470e+02 5.814993312378478052e-01 3.301710984844163921e-02 6.958069877461687813e-01 1.606163691789471715e-01 4.186383301383100886e-03
3.679392956314951501e-171 -4.062565869660587055e+02 8.876599594983310970e-01 4.421183672650736973e-01 2.174044362232815386e-01 4.986280897028728676e-01 5.536048084983535844e-03
3.740564278179557120e-163 -3.878169175265927606e+02 3.616548584153257417e-01 4.452245760153049625e-01 3.011145042514905557e-01 8.924311230204882150e-01 1.465389721652399224e-02
3.551543102334366942e-143 -3.418145699575194953e+02 5.437058306766928695e-02 4.213581609736720690e-01 1.108945254505115940e-01 2.960162799964560776e-01 1.257785369258912489e-02
7.319679599476835670e-142 -3.387863004938301401e+02 1.047934692617282781e-01 2.326560457949062855e-01 3.565122582576981669e-01 6.945682633618945889e-01 2.747126076307027098e-02
3.975508580167550009e-122 -2.933425125057829064e+02 3.108003068445726047e-01 8.917546702154638405e-01 2.917736874817394854e-01 8.143408601971269256e-01 2.233424204443379413e-02
7.266535261033324626e-106 -2.558955241048771256e+02 1.767127682725289084e-02 9.517976481427287139e-01 1.453872291151634411e-01 7.786044863720198439e-01 8.529284371898404604e-02
4.351861958580887506e-105 -2.541031148195279741e+02 1.611391945781492918e-01 1.866500744589971728e-01 2.341887140660298128e-01 5.189719744266664270e-01 3.457378854809489699e-02
5.626785814367491627e-103 -2.492385100476996058e+02 7.807451574885746481e-01 3.939070193537119735e-04 5.604395305335090338e-01 9.893701302493019822e-01 5.074763818047305364e-01
6.767056390292129497e-102 -2.467488971401747335e+02 5.020640191968783750e-01 2.999562000672328921e-01 5.343439538195664529e-01 3.898434296484756256e-01 1.692446112042522710e-02
7.470934340204754492e-91 -2.213190072372528050e+02 8.784491061175391247e-01 3.104398785583667442e-01 9.266986417374323270e-02 2.087215093714300806e-02 8.686778588873335094e-01
2.203445717502932771e-89 -2.179323347512720375e+02 6.330843550921253504e-01 4.722709579829628135e-01 1.491601015371436523e-01 2.533489512259945453e-02 9.724058941170120596e-01
7.980791207385464406e-89 -2.166428195662557528e+02 4.588907183349550944e-01 6.413348573476859160e-01 5.256748051193793625e-02 1.836989911183473101e-02 6.328901563680778830e-01
3.556745360655982600e-87 -2.128433410334386622e+02 3.782405736121904338e-01 3.133718325736279953e-01 6.958482783460846477e-01 8.407711824649909405e-01 5.201494212781110349e-02
8.245425198625208641e-87 -2.120000284104456512e+02 8.284398771917811377e-01 2.705188139054104379e-02 3.437474942870129002e-01 8.313065862762770708e-01 1.046985395688940779e-01
9.726298381162390868e-86 -2.095297684523916075e+02 5.396012908347791459e-03 2.460879316346934464e-01 4.320868785192529815e-01 5.691048653795288681e-01 1.447468038469257312e-01
5.579267064857166946e-84 -2.054778742392455229e+02 6.035281264378432597e-01 7.181238619716211469e-01 1.452393992267765332e-01 3.558125669756728726e-02 9.188703208119218813e-01
1.850930320882860225e-74 -1.835528923378437582e+02 3.263688808907233563e-01 1.096522281627247963e-01 8.701216600614783969e-01 3.796742142243816343e-01 4.590380716815145590e-02
2.887981888631205991e-73 -1.808029376839316740e+02 5.294505490223003763e-01 2.543314539167723654e-01 9.041328655136070536e-01 9.444511841496102678e-01 7.557714224243339274e-02
5.462490791143411169e-67 -1.663475802011403175e+02 1.191632470111746445e-01 7.747437570807924612e-02 1.855965140163632343e-01 9.557836010102616076e-01 2.027925946129490731e-01
1.443827712327771281e-66 -1.653731022621747684e+02 8.014688450296946209e-01 5.905398329246468458e-01 4.597058565816327658e-01 7.598221059534069344e-01 4.986534605750392313e-02
1.248316332418774745e-65 -1.632135191804224519e+02 4.877367410821586979e-02 6.639821310279625521e-02 7.228247521139817833e-01 3.085381672202321957e-01 9.448647135171506228e-02
2.424958461442121044e-65 -1.625470004948001019e+02 5.383669305658234094e-01 6.403169346333363876e-01 4.057945658178607751e-01 9.559487463325038181e-01 7.166339442155389428e-02
2.760250062575386361e-63 -1.578098234257452361e+02 7.943896861151045208e-01 1.055919724271453530e-01 9.351445423733422135e-01 9.110673390140445749e-01 1.116399762332868084e-01
1.754089078671860117e-62 -1.559581099320821806e+02 7.904255825256657486e-01 7.549421648870946466e-01 9.652349737430376830e-01 1.281788498774527607e-02 8.482614099980243516e-01
3.504056142628859625e-61 -1.529610533223789162e+02 2.551558818567115638e-01 6.095830303153826346e-01 5.293519399831816408e-01 7.028245458250644839e-01 7.396778003960580161e-02
6.894114994908082007e-61 -1.522818063693754596e+02 3.359580203586303160e-01 3.574962325281521025e-01 5.376130715922429193e-01 9.798507278547425869e-01 1.071432822723203948e-01
1.184162150488796240e-59 -1.494357688532651878e+02 2.921383141457112309e-01 4.600099929526901832e-02 7.758861803738037466e-01 1.171931990183273653e-01 3.849292443880725223e-02
1.524374413994612634e-57 -1.445755500402236748e+02 1.217934822091848446e-02 2.935804232106431488e-02 2.168488153511802796e-01 7.670845327070109354e-01 5.240601067293295667e-01
1.763627544800004465e-56 -1.421246762599069484e+02 4.198813626003796706e-01 5.659352613192513148e-01 4.516253693884018094e-01 5.836566062265138299e-01 5.917095659026760934e-02
2.817171290172697604e-56 -1.416538157598654948e+02 5.398876353748162105e-01 1.058819170792071329e-01 1.142143039375701496e-01 9.704413058330488839e-01 1.640093549697480002e-01
3.002841562804745563e-54 -1.369823198388355650e+02 4.956075969763523714e-01 7.103954835051380368e-01 6.488710239578122652e-01 5.377335881553968466e-02 9.270304547717320709e-01
4.348257764292383178e-54 -1.366096036158884317e+02 4.428034588451765785e-01 3.917801273239230886e-01 6.228354061397897157e-01 1.697115521791359161e-02 8.412443556867104100e-01
3.350745214441428644e-53 -1.345651110006418207e+02 9.003762950338178861e-02 2.655241662576480755e-01 3.524878206842090300e-01 7.812968662701507139e-01 1.724702037377842112e-01
1.518876767001513027e-52 -1.330512375882100287e+02 2.688517452578157441e-01 3.941374649723768941e-01 3.275872165700578487e-01 6.133743758171850136e-01 8.570406472884828375e-02
5.576494247924779029e-52 -1.317481483728509488e+02 1.458323282331229764e-01 1.974958585449013704e-01 1.688048595514497485e-01 8.406645147922500172e-01 1.826686173581024697e-01
9.578357030226408432e-51 -1.289021175105253860e+02 5.157779025292821284e-01 1.334097099305309175e-02 6.070688529802907851e-01 9.600706254221129665e-01 4.323678343744508101e-01
