logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.989135036141384489e+02 -5.049062179008297448e+02 1.209999999999999964e+00
-5.049062179008297448e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.674913301266004169e+02 -3.734865444132917105e+02 1.205000000000000071e+00
-3.734865444132917105e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.575469210219705474e+02 -3.635446353086618387e+02 6.500000000000000222e-02
-3.635445871944597229e+02 3.761871257375133837e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -3.517571621993456574e+02 -3.577573764860369465e+02 5.000000000000000104e-03
-3.577543146545434638e+02 4.463957656975451549e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -3.338652408101426090e+02 -3.398679550968338958e+02 1.219999999999999973e+00
-3.398679550797709794e+02 8.585385305697972314e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -3.284529794686606579e+02 -3.344581937553519992e+02 1.030000000000000027e+00
-3.344537310205726612e+02 9.897482376962138062e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -3.111961702441922171e+02 -3.172038845308835562e+02 1.324999999999999956e+00
-3.172038844986367394e+02 1.245515520620924121e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.070755899140641532e+02 -3.130858042007554900e+02 7.199999999999999734e-01
-3.130696595015847947e+02 1.302462203602478219e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.046464127070566406e+02 -3.106591269937479751e+02 8.050000000000000488e-01
-3.105731626414043944e+02 2.107279494783142137e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -3.000642308082572072e+02 -3.060794450949485395e+02 7.199999999999999734e-01
-3.060683281102625983e+02 3.899746533975110729e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -2.951267433510894307e+02 -3.011444576377807607e+02 1.719999999999999973e+00
-3.011372130092253769e+02 3.519370964299040505e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -2.900265830879376949e+02 -2.960467973746290227e+02 1.229999999999999982e+00
-2.960406607811600566e+02 5.593779289940362887e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -2.886710163977024877e+02 -2.946937306843938131e+02 1.824999999999999956e+00
-2.944625893400666996e+02 4.077433579664090146e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -2.874418876746369165e+02 -2.934671019613282397e+02 1.524999999999999911e+00
-2.931526246397647242e+02 1.181213929439395072e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -2.864094332313902100e+02 -2.924371475180815310e+02 1.650000000000000078e-01
-2.920390704589842699e+02 8.185073194164065313e-01 -3.749999999999999861e-02 4.000000000000000000e+02 -2.780333935400980749e+02 -2.840636078267893936e+02 1.135000000000000009e+00
-2.840632640900566912e+02 3.889283542011039874e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -2.723076355641708233e+02 -2.783403498508621396e+02 7.499999999999999722e-02
-2.783370850192758326e+02 4.073357048217802756e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -2.596311906606424031e+02 -2.656664049473337172e+02 1.669999999999999929e+00
-2.656664018054299277e+02 6.657451726021559324e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.578379473353084563e+02 -2.638756616219997682e+02 7.049999999999999600e-01
-2.637213652662914569e+02 4.847335164140734065e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -2.551801090395161680e+02 -2.612203233262075059e+02 4.749999999999999778e-01
-2.611415125935509423e+02 4.508162505833431588e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.543371270262768178e+02 -2.603798413129681535e+02 6.350000000000000089e-01
-2.599966998823177846e+02 4.854821506111309581e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.518625277819535029e+02 -2.579077420686448363e+02 9.799999999999999822e-01
