weight logl pFat pLiver pSlow kMet fAbs
5.934782094952336460e-291 -6.750816174347548895e+02 6.152258538473251992e-01 7.490143038260059782e-01 1.153906847939358826e-01 1.935807102075415287e-03 8.445932640102248312e-01
6.592808388920011469e-284 -6.588558726790248556e+02 7.078767643783150376e-01 9.367783448392935641e-01 2.021109827800540160e-01 2.320438862317031337e-03 9.573993251978908381e-01
9.488653722235127035e-196 -4.558617671726715344e+02 9.865048746816912351e-01 7.424171273615921551e-01 6.646488592062258505e-01 2.989680112838610793e-02 9.918835441944201525e-01
1.579205275190781618e-182 -4.254162508804238882e+02 9.121704227257507736e-01 7.020448679156355842e-01 4.524100752626328825e-01 2.532138008134621199e-02 6.628396778425724722e-01
6.112373983178076660e-158 -3.687983151403385023e+02 9.796066435477294165e-01 1.675908181632865812e-01 4.106963088345868540e-01 2.562088258734462887e-02 7.962050389473352974e-01
9.270748792747192902e-158 -3.683792662264457363e+02 6.911984274921534332e-02 9.196505442667620711e-01 6.871536079873974412e-02 4.626572617150259692e-02 7.171549490693150952e-01
5.313662892583803071e-145 -3.389997427620318149e+02 7.108180588549590784e-01 3.981633102306227912e-01 8.509701040334575195e-01 3.194812913131317433e-02 8.094516177772859145e-01
1.644109507049742729e-143 -3.355651550792240414e+02 8.687330450713872665e-01 8.905798627569123660e-01 2.150120390415694027e-01 1.171168838025602454e-01 7.255003546106266743e-01
1.819430220738663026e-137 -3.216458200392577282e+02 1.482658981288020872e-02 3.219572687661753640e-02 2.498901980283499968e-01 9.966123050634220215e-01 2.306613586320516163e-02
4.047566799740361162e-130 -3.047256318644605244e+02 9.337625595404326351e-01 7.526611532197919896e-01 5.974418516570471072e-01 1.431113307486784336e-01 7.869482498878771493e-01
1.046001470037180977e-129 -3.037736879108196035e+02 2.749902441415963406e-01 5.934105961930552509e-01 9.032450294693447068e-01 2.257609836920049240e-02 6.552709756097335747e-01
1.050564933986235516e-128 -3.014642495370068218e+02 7.057539209667214042e-01 4.460504513696879059e-01 4.722995855052452008e-01 1.140039639672558724e-01 8.662738897698805118e-01
1.506265775431255216e-127 -2.987988589043451952e+02 5.051628066215839707e-01 6.632476714885414681e-01 6.676055084078269530e-01 8.025895323812981541e-02 6.709797633428480346e-01
1.653570283102903733e-126 -2.964004706446756927e+02 5.257466315130706613e-01 6.421285378127976617e-01 9.561149508475996761e-01 2.701235499218523906e-02 5.352281174678330533e-01
2.596355171175982964e-123 -2.890390435196200656e+02 4.149993604955488635e-01 6.438778452012181575e-01 7.695655290808046667e-01 9.649053696201659314e-02 7.884156875112016127e-01
3.299780140803315566e-117 -2.749812857236681225e+02 4.341999910138676366e-01 3.308542296487150258e-01 6.065865378279841069e-01 6.735725569471118224e-02 7.170116480130396264e-01
1.001016842697667792e-112 -2.646586997748885324e+02 8.159699316647869294e-01 7.527193527300796161e-01 6.613673386676943711e-01 1.749373892680792242e-01 7.234561395909060444e-01
1.566049535970163673e-112 -2.642086598717186803e+02 9.046716975558727336e-01 3.105962426531159171e-01 9.987080585005476685e-01 5.015860483009126902e-02 6.069097525893863976e-01
6.683493767979453437e-112 -2.627550752309715563e+02 1.807598330851731827e-01 7.483982623782261534e-01 6.321490738847657109e-01 1.013129098901952574e-01 7.121321612329372108e-01
1.930884402071719953e-111 -2.616916528705852443e+02 5.427257526829465384e-02 5.804632793309048022e-01 9.269942489832498911e-01 5.934714798481510734e-02 9.246850858435131659e-01
4.471671230193846835e-110 -2.585467836992120283e+02 6.803433993076665187e-01 6.460428418853182420e-01 9.222424331941059261e-01 8.468151122675771081e-02 5.323775232642428135e-01
2.584317055826024541e-109 -2.567899995439532859e+02 1.406269993272770691e-01 5.555952994444783855e-01 6.322038824104184718e-01 1.022387820299089922e-01 8.539706979589997138e-01
6.860372006000276567e-108 -2.535086140604282718e+02 9.580191724272211218e-01 8.660297400878019802e-01 7.369113443792050244e-01 2.948586868966198704e-01 9.545556990706687284e-01
1.525150410191671454e-103 -2.434968572291757880e+02 4.447036568905303744e-01 4.419205116268157818e-01 9.104084275464694453e-01 1.616376091569462492e-01 9.687801135836817679e-01
1.579708473380650889e-103 -2.434592099445093254e+02 2.663132474670522054e-01 4.479212014259448260e-02 5.067530326424134479e-01 8.367266771932557745e-04 6.431379394636886904e-01
7.453164403931854279e-102 -2.396027264765959899e+02 6.444375250935788779e-01 1.457883498101543163e-01 5.137881048639646453e-01 1.256467655824371477e-01 9.996398282083708287e-01
2.493727045006533441e-101 -2.383925016814135915e+02 9.853134981027220629e-01 1.988058661738845156e-01 7.268256480557464538e-01 7.755431294415604526e-02 5.958271738769691517e-01
