pFat pLiver pSlow kMet fAbs
2.819106189392188639e+02 6.526568887506422811e+01 1.464169859741886910e+02 1.529793781205172820e+02 8.033197683565511671e-01
3.972906311967039414e+02 7.652364407177647365e+01 3.069030686378390627e+01 1.524220175958298853e+02 8.613476318929762510e-01
4.672110997091283480e+02 6.888025034463613849e+01 1.423191691088853190e+02 1.998143340683721476e+02 8.233983667300038833e-01
1.520919932919167081e+02 4.173264354465645454e+01 4.519805454775485742e+01 8.583867372589087097e+01 7.462839234011913181e-01
3.571482967610388073e+02 3.123764776775241359e+01 3.493330790075825831e+01 1.232585199196988981e+02 9.100331412814424148e-01
3.404819660820948570e+02 4.699264325143071375e+01 2.105053434800075252e+01 1.102341466334315641e+02 7.978648049456181779e-01
4.464669596545630270e+02 6.518939574962807626e+01 7.615851515861994869e+01 1.475681497306418066e+02 8.423769852388840462e-01
3.133592020680561632e+02 7.556787625837804967e+01 9.651233291397200276e+01 1.627523338568119868e+02 8.480045554795033746e-01
3.360273997024954724e+02 8.551012185355257600e+01 1.134736067877813781e+02 1.777088987636830097e+02 9.409756972162059974e-01
3.246334601213584961e+02 8.958685335058017074e+01 6.625666527395044625e+01 1.506303905514174915e+02 7.554181786164221313e-01
2.230815218401423294e+02 4.569918508467978313e+01 1.206668696506885681e+02 1.413214784962465558e+02 8.470881320768050005e-01
3.920161210206343867e+02 1.061541601166871374e+02 4.076321740514484482e+00 7.433798746104496047e+01 3.551754209455998401e-01
5.617612011695948695e+02 7.888392361577383838e+01 1.551057147946865769e+02 2.379126083975423569e+02 9.458248361788281766e-01
3.593511091729807845e+02 4.425112395148417477e+01 5.163003137579714519e+01 1.121595188709551820e+02 7.561037213636986332e-01
3.001118818590936712e+02 1.179471674314180660e+02 1.934158988911818540e+02 2.096227778290178776e+02 9.690289106516228879e-01
4.227804028199255413e+02 1.158676600751538643e+02 1.492506928540258002e+02 1.437766279089575505e+02 6.682804934232255967e-01
3.555090221796041874e+02 4.976629995487758862e+01 8.640103925810383600e+01 1.505176279655540270e+02 9.290601745440820736e-01
6.517592766949791212e+02 9.952711786136399041e+01 3.045828126464537888e+01 1.544331379190606128e+02 7.494560803047389808e-01
2.016565678302312392e+02 6.674012063390254923e+01 5.856843057809840047e+01 1.078235178632166793e+02 8.473054665136527941e-01
2.450874425997571393e+02 5.190242894196370571e+01 8.959660150826636027e+01 9.626028091459671998e+01 7.089623815030944298e-01
1.309496188333539521e+02 2.575639123614748982e+01 1.854306762781120455e+01 7.575451981346564878e+01 7.416176826484983664e-01
2.145152913643926809e+02 4.104620653168689870e+01 1.598656585169618971e+01 1.171376719282990990e+02 9.191610054773458049e-01
2.587683215480244598e+02 5.617787587714244069e+01 1.135457621558862513e+02 1.705424434305810735e+02 9.627730562276836102e-01
3.037686062549670964e+02 4.942951455131606053e+01 1.469588897175203499e+02 2.038590751613411953e+02 9.860850864268365656e-01
3.048423468475374989e+02 7.095482045722951625e+01 4.933325610108558834e+01 9.948196723936010244e+01 7.939515803439871622e-01
1.426676321030159045e+02 3.969283085184073201e+01 1.157554957188225409e+01 9.156333058846671236e+01 8.658338690879172628e-01
2.817555726640896978e+02 9.178720040535871760e+01 1.423376961268951959e+02 1.866248275956742191e+02 9.334169540070645921e-01
1.192953209898793432e+02 3.534794652305643581e+01 2.146024093693129586e+01 1.238947956625382858e+02 8.764482688704551272e-01
3.386138570741388207e+02 5.076283703988775642e+01 4.968678918225208463e+01 1.178528503118887159e+02 8.955701958956522324e-01
2.477670618043054844e+02 6.223449422573472134e+01 3.358708927288229518e+01 1.066725432852956601e+02 8.676683642035959432e-01
1.724878633437511155e+02 4.761490987003879383e+01 1.554403325211692177e+01 8.055228242151704876e+01 7.052769939842201685e-01
2.397649377777920563e+02 5.610344542580413219e+01 6.096709026995816316e+01 1.108802369473055904e+02 7.628441940756219841e-01
2.965297408387576752e+02 9.231477742614995918e+01 1.073487941570837023e+02 2.396964405889135605e+02 9.336658094017140641e-01
3.410634584279884507e+02 4.793158343511497321e+01 6.322035284893478746e+01 1.163154789610231887e+02 8.374171459588370947e-01
3.059675341025181297e+02 4.424092709204717977e+01 2.491729655157212164e+01 1.206407424105791648e+02 7.743296862744657449e-01
8.863926979132678525e+02 1.093205942186387887e+02 1.386687958727153216e+02 1.965579407829412162e+02 7.095209874634968994e-01
3.300579956360143683e+02 2.451259716280628354e+01 4.451764013316351765e+01 7.731590415990983445e+01 7.023344456561230187e-01
2.825250853480371802e+02 8.882819100667363443e+01 4.945302924049525473e+01 9.681441751715506427e+01 4.504141168403082984e-01
2.874945072230396477e+02 1.098308164404543419e+02 1.319274000557828970e+02 1.788568447857121271e+02 8.776467975331254667e-01
5.512450163914579662e+02 9.486071207218813583e+01 6.495133863070383029e+01 1.700648799470167205e+02 9.282540423980283339e-01
2.164066648483680240e+02 2.958946670048786132e+01 7.679552053419524071e+00 9.022335668540138442e+01 8.702239459252376630e-01
3.278129812591188852e+02 5.866808896540732121e+01 3.550290527379799954e+01 1.182050297166305768e+02 9.300332958299136754e-01
4.756126294489689599e+02 1.189486988795916318e+02 2.506521549039587882e+01 1.496003785411406284e+02 6.263000424446918402e-01
3.001300873754660188e+02 4.656621953615993448e+01 3.003804229871981590e+01 1.144357160080059685e+02 9.226092216844341554e-01
2.795665296137420910e+02 4.584735607769657406e+01 5.209134414894698040e+01 1.368315084620868163e+02 9.849535349675302420e-01
5.091456329615371033e+02 6.849022251616295875e+01 1.295944748419672123e+02 1.664173978209837799e+02 9.184079922959602627e-01
1.063284283542659807e+02 3.061810879954938613e+01 3.475747358196701242e+01 6.969161660774798861e+01 6.307466340609877431e-01
3.654468604433610608e+02 5.885109379815757791e+01 2.108109107984921877e+02 1.753897764293632235e+02 9.280726099059503076e-01
1.668559872505797159e+02 3.262866807081009313e+01 3.871633053356996701e+00 5.062567183974109497e+01 6.002884008999376242e-01
5.020446283366974285e+02 4.176727987885856663e+01 1.662131315791716020e+02 1.519761248200788373e+02 9.567047171710996167e-01
2.680826998309195801e+02 4.145499633034049225e+01 6.818235338050185135e+01 1.061737868382202237e+02 7.228938398095587914e-01
3.576247644109193971e+02 6.375181837700889531e+01 1.182666725091106770e+02 1.024442043381231287e+02 6.383056199187954194e-01
3.974661705791072563e+02 1.055535560068133947e+02 1.212895541878685179e+02 1.693522433564243386e+02 7.500900347859614792e-01
4.960561629866841713e+02 9.419703836086183912e+01 1.359405948809998677e+02 2.006419800956242909e+02 8.448934643317537185e-01
3.665676632805284498e+02 7.957676314280476504e+01 7.576425292814906065e+00 1.685664640092512627e+02 5.905504115127133691e-01
3.379532166074010320e+02 8.338030714424215262e+01 1.507806588648378181e+02 1.795831601036290692e+02 8.181221597529406697e-01
4.086329638469138104e+02 7.351288728099235925e+01 1.385430599703063024e+02 1.935319201726022413e+02 9.136897355165043422e-01
3.517507432111909225e+02 9.439339590781879963e+01 9.526317463334881097e+01 1.700624504049457641e+02 9.752306250833597812e-01
3.328544349981944492e+02 6.307567875274359892e+01 1.381560664605439115e+02 1.482664612648815421e+02 8.543854084055625409e-01
5.293988328922143864e+02 9.151932673809392327e+01 9.717619031780751016e+01 1.790107517810215256e+02 9.616932769697676964e-01
3.511988997118595535e+02 5.045797421316078157e+01 4.311242665499170457e+00 7.742209653264347935e+01 5.219995950453326650e-01
2.371371414344224888e+02 8.024924366440018275e+01 1.059022049385988282e+02 1.369101450674369005e+02 7.209431302507454120e-01
2.835282646554290977e+02 7.056785722806475292e+01 1.444123874498279463e+02 1.822516434271076378e+02 9.512276509314830930e-01
2.346148206458036896e+02 9.093611255343412836e+01 8.077608128097513429e+01 1.541312986698638952e+02 9.000927900468075338e-01
4.083109592879732759e+02 4.567834125455072325e+01 6.668444296820571537e+01 1.216339443888303720e+02 6.644037766793514654e-01
2.243486588471119205e+02 5.541514965421525574e+01 4.358543357644064997e+01 5.430801400536824275e+01 4.156616566749669062e-01
2.842715847972179972e+02 7.337870749116994773e+01 1.589481526157433322e+01 1.421987411654595803e+02 9.542114440465336855e-01
2.294217953639532368e+02 9.689873650554015683e+01 3.209902786475991832e+01 1.337190519690042265e+02 8.076069702630099822e-01
4.821925178233105953e+02 9.703901774408336678e+01 1.851396189426144190e+02 2.443985172589792967e+02 9.349786321830038105e-01
5.398736164478522142e+02 1.035992769945508201e+02 8.796879168024884166e+01 2.416742356230592463e+02 9.963954641535293089e-01
4.231806233940041579e+02 7.471626988735343389e+01 9.761215159225514526e+00 1.139263643556813577e+02 6.013847797301171694e-01
3.688516983301062737e+02 6.617842652030171280e+01 5.055300566182691568e+01 2.214662677534273030e+02 9.120900941619992652e-01
2.228619539646275030e+02 6.669421066243258167e+01 3.695304602315576403e+01 9.940445984781966615e+01 5.616306724266401096e-01
3.799798238755287798e+02 1.171306180046681078e+02 4.864002870691356151e+01 1.495925368062916050e+02 7.828495002732487329e-01
2.084967566251627318e+02 6.138754279531166702e+01 9.576743850464011132e+01 1.185291142582790798e+02 8.457037416994586110e-01
6.301411261593793824e+02 4.700923150416433316e+01 6.234923416042857980e+01 1.783282556453703762e+02 7.775424308842081578e-01
1.769298172647513638e+02 4.329763324770661370e+01 7.171189194566052549e+01 1.467636969608157358e+02 9.526079098293412928e-01
4.221812151798206969e+02 7.474616231101944663e+01 7.980198443057700786e+01 1.723440712687282996e+02 8.289950413853904854e-01
3.261537491857245641e+02 6.759466495230898886e+01 7.636559129558202130e+01 1.610538229485033526e+02 8.042245907196804433e-01
3.161794423408470038e+02 4.508439467017815616e+01 1.132332194428973509e+02 8.062310605204474712e+01 5.301985651646203834e-01
6.048988566918802690e+02 5.962818792252885913e+01 5.294439669160569650e+01 1.300844125060339707e+02 5.548250052058091297e-01
1.950397258480996356e+02 6.238820093233583464e+01 6.045124027522293275e+00 7.439606681017154699e+01 4.678711622899666134e-01
2.923410619884737685e+02 1.021121691518406607e+02 4.972310391890653847e+01 1.438092774851661488e+02 7.312194022070361843e-01
1.454918904766715855e+02 3.266347824026411217e+01 6.959428294456121478e+01 9.078415611696138399e+01 9.532168818223943907e-01
1.802213486846450223e+02 4.030499272071379124e+01 5.336524258459495229e+01 7.741924408902755772e+01 6.585842728549159419e-01
2.696728837384807207e+02 6.383273780832748656e+01 5.195492870427482757e+01 7.699839172896079731e+01 4.840296247928308482e-01
3.833687077768365157e+02 8.814469974436811128e+01 7.840797976758808829e+01 2.740938429652101149e+02 9.730682204718613670e-01
6.692302436030270201e+02 6.859562753148469483e+01 1.036320623903618099e+02 1.943868526037162496e+02 7.505483966646163685e-01
3.752653384663309453e+02 1.697172339652977087e+02 2.659621459534897667e+02 2.765076871849875033e+02 9.025016926230823300e-01
2.573372594649067651e+02 3.610034917792327747e+01 1.992789789254744548e+01 5.928646201199234156e+01 4.196936287420769407e-01
4.288873440522210672e+02 6.719980487975486483e+01 1.152367166019066218e+02 1.400950771537746675e+02 6.581782338676701594e-01
5.493304890975482522e+02 5.523087430972137923e+01 1.578689220637064921e+02 1.705095433066576334e+02 9.808063181324552238e-01
4.321958579838471906e+02 9.851799294968442666e+01 8.076211027381054919e+01 1.504108360851258226e+02 6.311975349973424354e-01
2.754876077292993273e+02 4.713149684766803205e+01 4.865292207516634448e+01 9.943386823740961233e+01 5.734960762393073175e-01
7.034979547526431816e+02 6.346084400672462067e+01 1.698953335949751136e+02 2.383462891099702574e+02 9.444550858834158680e-01
2.432682424211218972e+02 5.334424053969580370e+01 4.617412472048845196e+00 7.175512691010271737e+01 6.310042999947291786e-01
1.765383844983039126e+02 1.548162285365438322e+02 7.343058084119998341e+01 1.638376141528036953e+02 9.147531488014448708e-01
3.502890945980975062e+02 5.129620397507905949e+01 1.113206929248410546e+02 2.168681580324062281e+02 9.029666489139864805e-01
2.684839132729729272e+02 5.970531742881750148e+01 4.357236754562229919e+00 6.788825069238225751e+01 6.640262659204860807e-01
1.443550449171708578e+02 3.849939740518069442e+01 8.640804133397818276e+00 9.465892641911989358e+01 8.910340537607185363e-01
6.756558626202025835e+02 9.767477843055947062e+01 2.328803042393925011e+02 2.716576685222420906e+02 8.943354836200574365e-01
