logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.163326398748592965e+02 -9.223253541615506492e+02 6.700000000000000400e-01
-9.223253541615506492e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.635724336692104544e+02 -8.695676479559017480e+02 1.929999999999999938e+00
-8.695676479559017480e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -8.183597056250474679e+02 -8.243574199117388162e+02 6.850000000000000533e-01
-8.243574199117388162e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.501829292251023844e+02 -6.561831435117936735e+02 1.179999999999999938e+00
-6.561831435117936735e+02 nan -1.000000000000000021e-02 4.000000000000000000e+02 -5.212600934619138116e+02 -5.272628077486051552e+02 6.099999999999999867e-01
-5.272628077486051552e+02 5.595470230448400173e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -4.761265041123293145e+02 -4.821317183990206559e+02 1.675000000000000044e+00
-4.821317183990206559e+02 4.841934961054039377e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.705177143539117424e+02 -4.765254286406030815e+02 1.379999999999999893e+00
-4.765217606976981983e+02 2.237651050602804226e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -4.603535679818111817e+02 -4.663637822685025185e+02 8.999999999999999667e-02
-4.663637435036975489e+02 5.215850941283899367e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.562873518190324944e+02 -4.623000661057238290e+02 1.594999999999999973e+00
-4.622830264054289842e+02 6.130083831943632156e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.345808457623358549e+02 -4.405960600490271872e+02 1.799999999999999933e-01
-4.405960600486457110e+02 1.410637791661409324e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.966117263175821108e+02 -4.026294406042734408e+02 5.649999999999999467e-01
-4.026294406042734408e+02 2.272648480166258267e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.953157921065489404e+02 -4.013360063932402682e+02 2.999999999999999889e-01
-4.010935881449270255e+02 2.258374485905956419e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.839603858625180237e+02 -3.899831001492093492e+02 3.449999999999999734e-01
-3.899830851946670691e+02 2.494653655110187174e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.827658546007280052e+02 -3.887910688874193283e+02 5.350000000000000311e-01
-3.885259327155342248e+02 7.817525991908355065e-01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.795812499081671376e+02 -3.856089641948584585e+02 1.540000000000000036e+00
-3.855562793066678182e+02 1.347556104726232329e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.690572590799856130e+02 -3.750874733666769316e+02 1.750000000000000000e+00
-3.750874449581195904e+02 5.955820450205917993e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.434589657313611042e+02 -3.494916800180524206e+02 7.950000000000000400e-01
-3.494916800180447467e+02 1.171018466725641716e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.370127317400080074e+02 -3.430479460266993215e+02 7.049999999999999600e-01
-3.430463568333091757e+02 3.722236192221053397e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.334263270070386511e+02 -3.394640412937299629e+02 1.649999999999999911e+00
-3.394366097761997025e+02 4.926819811203809074e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -3.271203937594424929e+02 -3.331606080461338024e+02 1.385000000000000009e+00
-3.331587289068727387e+02 6.622871103413344507e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -3.247448961761606938e+02 -3.307876104628520011e+02 1.320000000000000062e+00
-3.306983400935231430e+02 3.836911366535355583e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.201171896297382773e+02 -3.261624039164295823e+02 1.060000000000000053e+00
-3.261517440654237134e+02 5.118338679371338351e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -3.162824142327067989e+02 -3.223301285193981016e+02 1.645000000000000018e+00
-3.223084723128820315e+02 4.756107796686788625e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -2.991250154885268557e+02 -3.051752297752181562e+02 1.879999999999999893e+00
-3.051752297389832620e+02 1.106320526051190534e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.925159656450388184e+02 -2.985686799317301166e+02 1.530000000000000027e+00
-2.985673293571612703e+02 6.648307853100723364e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.905887124274925100e+02 -2.966439267141838059e+02 1.084999999999999964e+00
-2.965075540229897229e+02 7.107417812057038375e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.774196359673629786e+02 -2.834773502540542722e+02 5.400000000000000355e-01
-2.834773480609770218e+02 1.195095247657307524e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.728583545902836818e+02 -2.789185688769749731e+02 1.715000000000000080e+00
-2.789081485189861951e+02 6.370069899873949559e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.687509656772401740e+02 -2.748136799639314631e+02 1.385000000000000009e+00
-2.747971526945256642e+02 2.859994263233021972e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.565118930959334875e+02 -2.625771073826247743e+02 3.449999999999999734e-01
-2.625771024520144579e+02 7.188888742630646256e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.522018201750941273e+02 -2.582695344617854403e+02 1.620000000000000107e+00
-2.582561580661273979e+02 7.248891294484444359e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.520530274310368668e+02 -2.581232417177282059e+02 1.600000000000000089e+00
-2.574943459905919099e+02 3.167640848565950407e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.493034656176238286e+02 -2.553761799043151370e+02 3.300000000000000155e-01
-2.552626262816894780e+02 7.427903377966995624e-01 -8.250000000000003164e-02 4.000000000000000000e+02 -2.470673663326307405e+02 -2.531425806193220467e+02 1.044999999999999929e+00
-2.530292285881194800e+02 1.249713929060187967e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -2.331056461354721421e+02 -2.391833604221634459e+02 1.955000000000000071e+00
-2.391833594520653605e+02 7.779819735667680369e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -2.272142106566622601e+02 -2.332944249433535617e+02 1.784999999999999920e+00
-2.332916588460727780e+02 7.865489542074747931e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -2.215866371520591258e+02 -2.276693514387504251e+02 1.549999999999999989e-01
-2.276657416745685225e+02 7.281553125402817628e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -2.208971140620477911e+02 -2.269823283487391166e+02 9.250000000000000444e-01
-2.265736080834817301e+02 7.851853401595001003e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -2.178694938020028928e+02 -2.239572080886942160e+02 4.199999999999999845e-01
-2.238866886522133370e+02 4.053300525273978216e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -2.169544560407221070e+02 -2.230446703274134279e+02 1.120000000000000107e+00
-2.226864085940229643e+02 1.955266484020743878e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -2.094677098202541004e+02 -2.155604241069454190e+02 1.889999999999999902e+00
-2.155596204887822864e+02 4.438035307403358054e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -2.073563505917325926e+02 -2.134515648784239090e+02 1.479999999999999982e+00
-2.133369210497192512e+02 4.842198347048445761e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -2.069322639038605303e+02 -2.130299781905518444e+02 1.840000000000000080e+00
-2.124785716419500261e+02 2.699249007940081935e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -2.030493878567754393e+02 -2.091496021434667512e+02 7.900000000000000355e-01
