weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.163326398748592965e+02 3.927501316844866892e+02 4.533888706469035697e+02 6.888306437960765152e+02 7.809431715030156056e+02 2.621992506591896976e-03
0.000000000000000000e+00 -8.635724336692104544e+02 8.538874780788828502e+02 9.447266787564226433e+02 6.457705265042202427e+02 7.574552605650334272e+02 1.982274747925671932e-03
0.000000000000000000e+00 -8.183597056250474679e+02 9.012998605948072282e+02 5.636018031568083870e+02 7.528773319267203306e+02 3.100693879751364648e+02 1.209313962563185463e-03
5.332911132898030006e-272 -6.501829292251023844e+02 4.738515392735746445e+01 1.475565328628401573e+02 3.762285513438256999e+02 7.605011950854268434e+02 2.447236801098762182e-02
5.204209531455838708e-216 -5.212600934619138116e+02 5.957189514124073781e+01 5.073394340939270108e+01 9.531965435693394966e+02 6.733795954361846725e+02 5.433691700479670317e-02
2.072706649027800011e-196 -4.761265041123293145e+02 1.965526660451877490e+02 1.269925240793905914e+02 5.801057494592762396e+02 8.581705513815677477e+02 4.092168855327427135e-02
5.640512248069805396e-194 -4.705177143539117424e+02 9.861173546225677455e+01 3.821995528518882566e+02 2.951177781680846692e+02 5.605748871791415695e+02 2.693712495471989321e-02
1.460378710214040493e-189 -4.603535679818111817e+02 5.852512477232726269e+02 7.894918021917592341e+02 2.909476468575171566e+02 4.730199241757857749e+02 1.022353099046835467e-02
8.497966184264106038e-188 -4.562873518190324944e+02 7.198938278555116312e+02 5.709702820211041399e+02 1.221741163328734956e+02 7.395075313223100011e+02 1.805489774795843161e-02
2.265922564346399429e-178 -4.345808457623358549e+02 7.309785814548996541e+02 2.456732006652796088e+02 7.087552286096821490e+02 5.245267780842864340e+02 1.731255574282763998e-02
6.981333511582851292e-162 -3.966117263175821108e+02 7.304400347772193527e+02 2.940226269472800027e+02 6.084571219293478634e+02 2.447650179282395868e+02 1.040613566465298234e-02
2.544894166004639656e-161 -3.953157921065489404e+02 2.171837131941582868e+02 7.083235865744724151e+02 7.961783004400622303e+02 8.142428592950481061e+02 4.067804863501334189e-02
2.168574074705935777e-156 -3.839603858625180237e+02 4.131876224572984597e+02 2.669267943062100130e+02 1.951678702786487634e+02 9.223745626468053160e+02 4.990772039046698083e-02
7.142773204412790885e-156 -3.827658546007280052e+02 1.813683707185136598e+02 7.186939962993351401e+02 2.787902593344775823e+02 8.821608080570956645e+02 5.080362735680543640e-02
1.721223906794160726e-154 -3.795812499081671376e+02 2.612717799701232479e+02 8.854340792832476836e+02 1.959651435323364979e+02 8.621105355152881202e+02 4.320534027547795475e-02
6.386497957591262892e-150 -3.690572590799856130e+02 8.875047074590929697e+02 1.987866761726897664e+02 7.068151918842728492e+02 6.855029709065802308e+02 3.350234784007988242e-02
8.344005637969571520e-139 -3.434589657313611042e+02 4.917673926694490660e+02 4.418095753823929499e+02 9.090348594965375923e+02 7.024974946797053121e+01 8.428287088963815066e-03
5.246294961053580253e-136 -3.370127317400080074e+02 2.616816505501550409e+02 4.353936846799967384e+02 6.196846930210903110e+02 9.117784047220224011e+02 6.759986069828105570e-02
1.889394963601362489e-134 -3.334263270070386511e+02 9.119068832721713136e+01 3.306482651069283065e+02 8.544236212057177227e+02 9.829277991356580060e+02 1.256737960032969781e-01
1.032450002917304573e-131 -3.271203937594424929e+02 8.667670116485720655e+02 1.007745049335918708e+02 2.297760922783217907e+01 2.516344782577839396e+02 2.144940663349004240e-02
1.107767924145122592e-130 -3.247448961761606938e+02 4.681536180686838122e+01 1.327131664132236892e+02 4.940807757328079788e+02 7.673749048512302124e+02 1.662437287647753337e-01
1.130187414009665819e-128 -3.201171896297382773e+02 3.786985125919838424e+02 5.985413767440268202e+02 6.738075089863006042e+02 3.799291225231002613e+02 2.709244523876364052e-02
5.217789141754590980e-127 -3.162824142327067989e+02 6.515692419860804421e+02 8.320206280245305379e+02 1.205296457490250077e+02 9.446471095076516349e+02 5.563875442020038697e-02
1.471513961145657030e-119 -2.991250154885268557e+02 7.138864188735917082e+01 1.021498083606320222e+02 5.305609227177660614e+02 8.654451433825277036e+02 2.000465960466606408e-01
1.088811071512383866e-116 -2.925159656450388184e+02 1.685534194385076034e+02 5.413051565962302902e+02 7.680867931458614066e+02 3.044489572332070111e+02 3.984063989030450781e-02
7.462120016760772161e-116 -2.905887124274925100e+02 3.680140935441121997e+01 4.129949755944925727e+01 3.473867071752750348e+02 9.772942579334735456e+02 4.130090734015338105e-01
