weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.163326398748592965e+02 3.866162946307946102e-01 4.528417123592628490e-01 6.885191629590355911e-01 7.807238953984140251e-01 2.621992506591896976e-03
0.000000000000000000e+00 -8.635724336692104544e+02 8.524115940190736262e-01 9.446713501065291396e-01 6.454159424466668904e-01 7.572124730380714874e-01 1.982274747925671932e-03
0.000000000000000000e+00 -8.183597056250474679e+02 9.003028894897042722e-01 5.631649681249333295e-01 7.526299618886089782e-01 3.093787667418783638e-01 1.209313962563185463e-03
5.332911132898030006e-272 -6.501829292251023844e+02 3.776278174480551808e-02 1.467032360989390938e-01 3.756041554993250209e-01 7.602614565419688608e-01 2.447236801098762182e-02
5.204209531455838708e-216 -5.212600934619138116e+02 5.007262135478862675e-02 4.978372713652923220e-02 9.531496932626021268e-01 6.730526480842689008e-01 5.433691700479670317e-02
2.072706649027800011e-196 -4.761265041123293145e+02 1.884370364092805561e-01 1.261186427221127060e-01 5.796854348941704593e-01 8.580285799615292586e-01 4.092168855327427135e-02
5.640512248069805396e-194 -4.705177143539117424e+02 8.950680349722905937e-02 3.815811339858741214e-01 2.944121903584431266e-01 5.601350222013429248e-01 2.693712495471989321e-02
1.460378710214040493e-189 -4.603535679818111817e+02 5.810618663871440770e-01 7.892810832750342120e-01 2.902378847422594221e-01 4.724924165923781727e-01 1.022353099046835467e-02
8.497966184264106038e-188 -4.562873518190324944e+02 7.170644725813248854e-01 5.705408228439481366e-01 1.212954117446181090e-01 7.392467781004103955e-01 1.805489774795843161e-02
2.265922564346399429e-178 -4.345808457623358549e+02 7.282611933887874756e-01 2.449181187840636653e-01 7.084636923019841381e-01 5.240508289131996511e-01 1.731255574282763998e-02
6.981333511582851292e-162 -3.966117263175821108e+02 7.277172068456760901e-01 2.933159428901701560e-01 6.080651871164642897e-01 2.440090269551947744e-01 1.040613566465298234e-02
2.544894166004639656e-161 -3.953157921065489404e+02 2.092764779738972569e-01 7.080316181926650243e-01 7.959742747147769970e-01 8.140569162112594181e-01 4.067804863501334189e-02
2.168574074705935777e-156 -3.839603858625180237e+02 4.072602247043418666e-01 2.661929872935034913e-01 1.943622325111599158e-01 9.222968595063115727e-01 4.990772039046698083e-02
7.142773204412790885e-156 -3.827658546007280052e+02 1.730993643621350220e-01 7.184124087080432375e-01 2.780683276621397360e-01 8.820428509080037172e-01 5.080362735680543640e-02
1.721223906794160726e-154 -3.795812499081671376e+02 2.538098787577002247e-01 8.853193986819296590e-01 1.951603038361726661e-01 8.619725080233113790e-01 4.320534027547795475e-02
6.386497957591262892e-150 -3.690572590799856130e+02 8.863683913728211961e-01 1.979846608335232849e-01 7.065217135978707486e-01 6.851881590656458965e-01 3.350234784007988242e-02
8.344005637969571520e-139 -3.434589657313611042e+02 4.866337299691404494e-01 4.412508262086015653e-01 9.089438032998374828e-01 6.931906853650704470e-02 8.428287088963815066e-03
5.246294961053580253e-136 -3.370127317400080074e+02 2.542238894446010589e-01 4.348285131931899361e-01 6.193039970181084541e-01 9.116900948168392693e-01 6.759986069828105570e-02
1.889394963601362489e-134 -3.334263270070386511e+02 8.201079629011831518e-02 3.299782433502785883e-01 8.542778991048225468e-01 9.829107098455035496e-01 1.256737960032969781e-01
1.032450002917304573e-131 -3.271203937594424929e+02 8.654212238874465779e-01 9.987437931290477078e-02 2.199960883666884914e-02 2.508853636214053440e-01 2.144940663349004240e-02
1.107767924145122592e-130 -3.247448961761606938e+02 3.718723414835189978e-02 1.318450114246483285e-01 4.935743500828908559e-01 7.671420468981283713e-01 1.662437287647753337e-01
1.130187414009665819e-128 -3.201171896297382773e+02 3.724227399919028958e-01 5.981395162602871629e-01 6.734809899762769225e-01 3.793084309540543098e-01 2.709244523876364052e-02
5.217789141754590980e-127 -3.162824142327067989e+02 6.480497393798791972e-01 8.318524805050355742e-01 1.196492950440690706e-01 9.445917012088604903e-01 5.563875442020038697e-02
1.471513961145657030e-119 -2.991250154885268557e+02 6.200872917915067895e-02 1.012510594200520808e-01 5.300910137314975845e-01 8.653104538363640685e-01 2.000465960466606408e-01
1.088811071512383866e-116 -2.925159656450388184e+02 1.601549691298056466e-01 5.408460025988290898e-01 7.678546477936550874e-01 3.037527099431501787e-01 3.984063989030450781e-02
7.462120016760772161e-116 -2.905887124274925100e+02 2.707213066102143184e-02 4.033983739684610104e-02 3.467334406158909532e-01 9.772715294629364946e-01 4.130090734015338105e-01
3.899722748812702505e-110 -2.774196359673629786e+02 1.135745054776312601e-01 7.647195764938204965e-01 7.442112927009114642e-01 7.106187482604930938e-01 1.047259652840889510e-01
3.722951068043459725e-108 -2.728583545902836818e+02 1.525381777357379676e-01 4.787855048739009245e-02 3.836968383361272217e-01 7.827387250528058393e-01 1.958814065852196862e-01
2.257448918766819687e-106 -2.687509656772401740e+02 4.346915248642629903e-01 9.852798364576054180e-02 5.572568578954910645e-01 6.734987743353078038e-01 9.968102036167791891e-02
4.654723428200964982e-101 -2.565118930959334875e+02 8.984976644384672362e-01 2.984658879468955472e-01 3.906515001191458447e-01 2.785876223290314480e-01 2.721949868132511607e-02
3.456599249608973881e-99 -2.522018201750941273e+02 5.131561871976453304e-01 9.688803753267526409e-01 6.173460410848239377e-01 9.151309690851112677e-01 8.479825360842618842e-02
4.001134612216613428e-99 -2.520530274310368668e+02 2.125206412073000761e-01 4.381289081593413570e-01 4.288256450481660043e-01 2.945006288846926390e-01 4.502216099375633274e-02
6.240464972139194064e-98 -2.493034656176238286e+02 1.419248046996136603e-01 2.624539154973046795e-01 5.012357623989101008e-01 8.309851487569088757e-01 1.641335645606101235e-01
5.824475114949691093e-97 -2.470673663326307405e+02 2.245070139974350010e-01 6.214347820407644107e-01 3.128549386094877649e-01 1.827086206281778313e-01 2.721321910674812106e-02
