weight logl pFat pLiver pSlow kMet fAbs
4.214292237051893492e-272 -6.401265152435627215e+02 7.076643398415045567e+02 9.589511444432470171e+02 4.709467888238785349e+02 5.246952013508060730e+00 9.858177421904000814e-01
3.625112455355770897e-236 -5.573815482478488548e+02 7.799131477239585593e+02 6.621701498394344299e+02 6.232891535433548569e+01 4.434391268949084264e+01 8.475331953241410643e-01
4.520342401581215674e-223 -5.272247396053815010e+02 9.830964500153868357e+02 5.266774991600279918e+02 6.217020094033135820e+02 6.205921102924516930e+00 8.086778359401883831e-01
8.964489235445837359e-222 -5.242349711236702205e+02 8.685426229575716661e+02 8.423795565181432039e+02 1.993315511240097635e+02 6.416708829759343757e+01 8.812485677642254434e-01
9.468509962410899271e-222 -5.241777707040408814e+02 8.648058882125947378e+01 7.879185874470161934e+02 3.558880027352393540e+02 1.649902097130832601e+01 9.359215486069069057e-01
1.208593122668411551e-216 -5.124182747233603550e+02 9.852326226968940546e+02 5.758739938233187559e+02 8.896219700837579012e+02 4.103703445512209669e+00 9.265212612071035414e-01
4.768425925036819371e-200 -4.742018539543669249e+02 7.846849909167424357e+02 7.154801558320281174e+02 6.983727100077320529e+02 1.339278006567711365e+01 6.554233399539999283e-01
1.157063677019566064e-194 -4.617999741690766768e+02 2.486437286142413825e+02 3.005193498667621839e+02 3.414268471951503443e+02 1.725753243841214157e+01 7.717781846543934066e-01
2.448640486398029084e-186 -4.426271459411094042e+02 1.498474819714058093e+01 4.370360669377603813e+02 9.174021297601887781e+00 6.664532668626949317e+02 6.992208297972646314e-03
8.116942813623906676e-186 -4.414262253256449640e+02 2.670585501687999113e+02 6.809059675150821249e+02 6.083885463431371363e+02 2.287527167624276814e+01 7.321578663461317804e-01
1.955645735922563272e-184 -4.382417882835459864e+02 5.576583176779628275e+02 9.405546445592397049e+02 9.791046813274782608e+02 2.737810214024896993e+01 7.374574699313292125e-01
4.722466298783733461e-183 -4.350550924450972730e+02 8.574070641488517595e+02 2.890536256676686548e+02 4.504190668702995595e+02 1.011429344524749219e+01 5.254344617300227283e-01
2.531241523196981487e-176 -4.195581180751919987e+02 9.936293549518616146e+02 9.624891570232872482e+02 7.314276333035102198e+02 1.423936398223628714e+02 9.967717738844583675e-01
1.406997538406302785e-161 -3.856040935546907917e+02 2.424682453077002720e+02 8.648602751999314933e+02 8.413258685450333587e+02 4.695423606046465892e+01 7.153067848475960222e-01
1.143265648386116440e-160 -3.835065777191988445e+02 2.370041026973611622e+02 5.532574661455797695e+02 2.083406864476775979e+02 1.262839777739385028e+01 2.486370955027890073e-01
1.849566854050647894e-153 -3.669049193606043673e+02 8.545752116444390367e+02 3.950905471542272949e+02 4.001017511613077318e+02 8.197858130586702430e+01 6.378824221019784302e-01
1.220967822629806906e-151 -3.627125568118587466e+02 5.344270912271920224e+02 3.191891978563064640e+02 6.663674759433084773e+02 3.497736907244973992e+01 6.176755882632170014e-01
4.374947860180259142e-150 -3.591312209582879973e+02 2.195677982080827064e+02 1.409841047806468168e+02 6.321761003120486322e+01 3.017766225002601743e+01 5.285993294591945224e-01
4.653978187227381480e-150 -3.590668931823714729e+02 6.037645253772618616e+02 7.243588345199812295e+01 1.820862627410145649e+02 6.019767340702465219e+01 9.351531294844401820e-01
3.913894887317193536e-145 -3.477246570823353409e+02 8.591058472090750229e+02 1.546933979192840241e+02 2.453905129153656901e+02 8.252478573613861954e+02 2.942725440184479346e-03
1.726641820834080203e-144 -3.462379266243677876e+02 9.049519235940957742e+02 8.161958240108443761e+02 8.816079562897942878e+02 1.477727168631561199e+02 7.314259675721187515e-01
2.831586982972498818e-142 -3.411355974905511061e+02 9.258620322397154041e+02 5.082305933110388878e+02 6.568429398899540956e+02 1.822918099900396101e+02 9.957583092176929274e-01
3.554082370307663564e-142 -3.409058379101483638e+02 6.111768863399347538e+02 9.974504938555919580e+02 7.492876564638519312e+02 4.954307127641211395e+01 3.649990278770898211e-01
3.957359601579359469e-140 -3.361906875948127436e+02 9.090582629579597551e+02 8.327583335729098053e+02 2.456169813658068222e+02 1.468588363934374854e+02 6.598404700964793923e-01
3.239512909990377334e-138 -3.317831714623450807e+02 6.544674230181476560e+02 9.168960091380660060e+02 1.740595139860078291e+02 1.104981584551565277e+02 5.154625285947663782e-01
9.421448579372842763e-135 -3.238053503116735214e+02 9.536571785356873079e+02 6.720215843378775844e+02 7.458738363668643387e+02 1.234802091273364084e+02 5.633630724902355391e-01
2.813883831541692476e-133 -3.204061033039381527e+02 7.973954096437801127e+02 7.363491963808507990e+02 9.797480387847654129e+02 1.751675633720789165e+02 7.758810500405233235e-01
6.661463507063345027e-132 -3.172392446802436439e+02 9.228161708927225391e+02 7.075496762396362556e+02 7.536993814783813832e+02 1.805418381915168595e+02 7.226859292325827910e-01
4.325320015262027983e-131 -3.153660126638519614e+02 6.378684700957643372e+02 9.845186419682705719e+02 9.660499627068408017e+02 1.600488571825879944e+02 6.441848698875786150e-01
2.329090317865244321e-130 -3.136799359306463657e+02 5.455709593745248043e+01 9.325304371006177462e+02 3.685464471273800200e+02 6.785003868390612070e+02 5.788213797400576510e-03
5.042176028600454238e-130 -3.129050759598607669e+02 4.058794735547753021e+02 3.228893940142588121e+02 5.440998152695905219e+02 1.280623786615363429e+02 9.239642656006882282e-01
5.814269477522442996e-129 -3.104575134566528618e+02 3.061061766865232414e+01 6.521831940232391389e+02 1.530848546849291552e+02 5.986121366231948571e+01 5.359088121493122969e-01
2.652785597849584058e-126 -3.043319630715896551e+02 2.970931262149863414e+02 6.628882603507322528e+02 5.600276850711283032e+02 1.652204325784953767e+02 8.651078911971787910e-01
2.738384710780631008e-125 -3.019951200105514317e+02 8.275562588094350076e+02 4.051595114885508906e+02 6.272287928167237396e+02 9.686423670413559250e+01 5.073538118465421576e-01
6.953618325702382817e-125 -3.010607260889992176e+02 7.883620728903754298e+02 8.190587543866183751e+02 3.994008893696292262e+02 2.151185079399366202e+02 7.982220014490835069e-01
1.148193996110804279e-124 -3.005567128727282125e+02 5.884826483172766984e+02 8.449773803176292404e+02 7.654288489524182069e+02 2.358751184538425321e+02 8.775011231731676409e-01
3.628839510587958508e-124 -2.994034902393974562e+02 1.450727984840475528e+02 6.933787607015061667e+02 2.184236598752728469e+02 1.889269529326288577e+01 1.602443920442285785e-01
6.256088600764199465e-122 -2.942511777908512158e+02 8.136720727982062726e+02 6.242676150344757247e+01 8.607064792242475733e+02 2.565013540769692924e+01 6.950295233478652746e-01
3.738424090920438189e-119 -2.878558135209752891e+02 5.024389300260225468e+02 5.476962468888026478e+02 7.685172943793503464e+02 1.012754978632214886e+02 5.063926028975420657e-01
1.156436117074097614e-117 -2.844214645285409802e+02 9.218184178660759187e+01 2.483672333521303131e+02 9.585369669962752823e+02 5.412723589168919602e+01 9.297612903007403951e-01
1.307115449179039639e-117 -2.842964847293788466e+02 1.720433821905090213e+02 5.292036512083710704e+02 8.208826382166921576e+02 1.496486509727475323e+02 9.090586289241712192e-01
2.892802298141112192e-116 -2.811969967129056727e+02 5.583923725002977108e+02 8.579998743033563642e+02 8.768894939850194987e+02 1.980600628899040032e+02 6.456417028214548326e-01
1.099519013602534940e-115 -2.798592644817450719e+02 9.897029356033651766e+02 7.759422098252262003e+02 6.647939221222821971e+01 1.228191376877148286e+02 4.438797382867779584e-01
1.713858461050349983e-115 -2.794128900669463746e+02 5.211189956566502133e+02 7.390005707873835945e+02 8.885943876672658917e+02 2.581300419392468370e+02 9.076843387492408155e-01
6.639222344250153327e-114 -2.757535573727680003e+02 3.603572644571613068e+02 4.655173144085945864e+02 3.560264196159157564e+02 9.684105468838302500e+01 4.557919757435144881e-01
1.682365907774487183e-113 -2.748212660384155015e+02 8.881776073858907239e+02 8.104536691845291898e+02 9.610670344448463993e+02 1.390701177322550279e+02 4.221854675315424021e-01
7.870200482566626428e-113 -2.732758835831911028e+02 3.709915793988416794e+02 5.834128822039656370e+02 8.481358018932348841e+02 2.131762156576839971e+02 8.886382975396911466e-01
1.451888125957808381e-112 -2.726610171613839384e+02 8.912042029254727140e+02 7.609870864568813431e+02 3.214443277625365170e+01 2.961831167417072663e+01 8.413790501388129783e-02
1.185299593986850856e-111 -2.705588013690228308e+02 8.404742162945948394e+02 2.653458695265538267e+02 8.267886691410261619e+02 4.101087813739355425e+01 3.587692189622696537e-01
1.971325020937118458e-111 -2.700475910174689602e+02 7.816839775590468662e+02 2.225781749004549965e+02 9.931531543076381752e+01 8.804866875085251365e+01 4.928694733821425977e-01
6.390755712161026511e-108 -2.619611891283929026e+02 3.436360416566552658e+02 6.499072738829357831e+02 8.731957036187593530e+02 1.059029280624423848e+02 4.524383505731730537e-01
2.100482065360831582e-107 -2.607687896882900986e+02 2.441785894326626192e+02 3.110337010781985896e+02 8.894141584419223818e+02 1.482422670885390801e+02 9.066011183604794077e-01
