weight logl pFat pLiver pSlow kMet fAbs
4.214292237051893492e-272 -6.401265152435627215e+02 7.047114543853580937e-01 9.589100544977448015e-01 4.704172060299084412e-01 4.251203216724785960e-03 9.858177421904000814e-01
3.625112455355770897e-236 -5.573815482478488548e+02 7.776900482060187247e-01 6.618319818212556882e-01 6.139030565999548106e-02 4.338729998948032129e-02 8.475331953241410643e-01
4.520342401581215674e-223 -5.272247396053815010e+02 9.829257070862493784e-01 5.262037028628908653e-01 6.213233327360496716e-01 5.211132235159676718e-03 8.086778359401883831e-01
8.964489235445837359e-222 -5.242349711236702205e+02 8.672147706642138187e-01 8.422217782964396271e-01 1.985300812052149810e-01 6.323031861620964644e-02 8.812485677642254434e-01
9.468509962410899271e-222 -5.241777707040408814e+02 7.725312002147421975e-02 7.877062937407569576e-01 3.552432459812205900e-01 1.551453550681514137e-02 9.359215486069069057e-01
1.208593122668411551e-216 -5.124182747233603550e+02 9.850834572695899016e-01 5.754494432665853143e-01 8.895114815653232254e-01 3.106810255767977758e-03 9.265212612071035414e-01
4.768425925036819371e-200 -4.742018539543669249e+02 7.825100918350933465e-01 7.151953511832113142e-01 6.980707807885205840e-01 1.240518525092804136e-02 6.554233399539999283e-01
1.157063677019566064e-194 -4.617999741690766768e+02 2.410542713275165561e-01 2.998191690357979722e-01 3.407676148099603175e-01 1.627380624465679659e-02 7.717781846543934066e-01
2.448640486398029084e-186 -4.426271459411094042e+02 5.035099189030889377e-03 4.364725394772376310e-01 8.182203501102991439e-03 6.661193862489438455e-01 6.992208297972646314e-03
8.116942813623906676e-186 -4.414262253256449640e+02 2.596551011806059739e-01 6.805865540691512505e-01 6.079965428860231169e-01 2.189716884508785544e-02 7.321578663461317804e-01
1.955645735922563272e-184 -4.382417882835459864e+02 5.531902198767301160e-01 9.404951396989386092e-01 9.790837650925707791e-01 2.640450664689586446e-02 7.374574699313292125e-01
4.722466298783733461e-183 -4.350550924450972730e+02 8.559667314634866742e-01 2.883419676353039529e-01 4.498689358061056520e-01 9.123416862109601233e-03 5.254344617300227283e-01
2.531241523196981487e-176 -4.195581180751919987e+02 9.935650050018803858e-01 9.624516086319191421e-01 7.311587920956058584e-01 1.415351749973602358e-01 9.967717738844583675e-01
1.406997538406302785e-161 -3.856040935546907917e+02 2.348164094017174408e-01 8.647250002001316549e-01 8.411670355806140087e-01 4.600023629676142090e-02 7.153067848475960222e-01
1.143265648386116440e-160 -3.835065777191988445e+02 2.292970734316779335e-01 5.528102764220017562e-01 2.075482346823599444e-01 1.164003781520905889e-02 2.486370955027890073e-01
1.849566854050647894e-153 -3.669049193606043673e+02 8.531062743883223165e-01 3.944850321864137310e-01 3.995012524137214749e-01 8.105964094681383791e-02 6.378824221019784302e-01
1.220967822629806906e-151 -3.627125568118587466e+02 5.297243345729212294e-01 3.185077055618683595e-01 6.660335094527611854e-01 3.401138045290263978e-02 6.176755882632170014e-01
4.374947860180259142e-150 -3.591312209582879973e+02 2.116846446546289950e-01 1.401242290096564869e-01 6.227988992112598599e-02 2.920686911914516237e-02 5.285993294591945224e-01
4.653978187227381480e-150 -3.590668931823714729e+02 5.997621468457190463e-01 7.150739084284096769e-02 1.812675302712858372e-01 5.925693033736201265e-02 9.351531294844401820e-01
3.913894887317193536e-145 -3.477246570823353409e+02 8.576826739485606810e-01 1.538472451644484762e-01 2.446351480634291198e-01 8.250729302916778307e-01 2.942725440184479346e-03
1.726641820834080203e-144 -3.462379266243677876e+02 9.039918420142381006e-01 8.160118358466910138e-01 8.814894457355297863e-01 1.469196364996557813e-01 7.314259675721187515e-01
2.831586982972498818e-142 -3.411355974905511061e+02 9.251131638785003997e-01 5.077383316426815618e-01 6.564994393292833408e-01 1.814732832733129131e-01 9.957583092176929274e-01
3.554082370307663564e-142 -3.409058379101483638e+02 6.072493801413482162e-01 9.974479417973893813e-01 7.490366931570089370e-01 4.859166293935146541e-02 3.649990278770898211e-01
3.957359601579359469e-140 -3.361906875948127436e+02 9.081396595534947380e-01 8.325909244974072365e-01 2.448618432090158281e-01 1.460048412346721669e-01 6.598404700964793923e-01
3.239512909990377334e-138 -3.317831714623450807e+02 6.509771949678259118e-01 9.168128219600260032e-01 1.732327467327405834e-01 1.096077662213779114e-01 5.154625285947663782e-01
9.421448579372842763e-135 -3.238053503116735214e+02 9.531890692279669786e-01 6.716932776154931339e-01 7.456194558226870717e-01 1.226028119392756910e-01 5.633630724902355391e-01
2.813883831541692476e-133 -3.204061033039381527e+02 7.953488986300809582e-01 7.360852816625133022e-01 9.797277665513167699e-01 1.743419052773562683e-01 7.758810500405233235e-01
6.661463507063345027e-132 -3.172392446802436439e+02 9.220365362552752631e-01 7.072569331728090214e-01 7.534528343126940531e-01 1.797215597512681340e-01 7.226859292325827910e-01
4.325320015262027983e-131 -3.153660126638519614e+02 6.342105758543074012e-01 9.845031451133839928e-01 9.660159786855263553e-01 1.592080652478358171e-01 6.441848698875786150e-01
2.329090317865244321e-130 -3.136799359306463657e+02 4.500716761358836138e-02 9.324629000006183777e-01 3.679143614888689129e-01 6.781785654044656386e-01 5.788213797400576510e-03
5.042176028600454238e-130 -3.129050759598607669e+02 3.998782561159346383e-01 3.222116056198787160e-01 5.436434587283188735e-01 1.271895682297661256e-01 9.239642656006882282e-01
5.814269477522442996e-129 -3.104575134566528618e+02 2.081880572591143785e-02 6.518350290522914037e-01 1.522370917767058573e-01 5.892013379611560353e-02 5.359088121493122969e-01
2.652785597849584058e-126 -3.043319630715896551e+02 2.899930567828145067e-01 6.625508111618941820e-01 5.595872723434717200e-01 1.643848173958912806e-01 8.651078911971787910e-01
2.738384710780631008e-125 -3.019951200105514317e+02 8.258144028378131551e-01 4.045640755641149999e-01 6.268556484651889305e-01 9.596019690103663180e-02 5.073538118465421576e-01
6.953618325702382817e-125 -3.010607260889992176e+02 7.862243160508842754e-01 8.188776320186370583e-01 3.987996890586879006e-01 2.143328407807173486e-01 7.982220014490835069e-01
1.148193996110804279e-124 -3.005567128727282125e+02 5.843259073911886148e-01 8.448222025201493901e-01 7.651940429954136036e-01 2.351102286825250687e-01 8.775011231731676409e-01
3.628839510587958508e-124 -2.994034902393974562e+02 1.364371701859066199e-01 6.930718325340402552e-01 2.176413011764493088e-01 1.791060589916204648e-02 1.602443920442285785e-01
6.256088600764199465e-122 -2.942511777908512158e+02 8.117899725234406505e-01 6.148824975320077435e-02 8.605670462705180546e-01 2.467481021791484430e-02 6.950295233478652746e-01
3.738424090920438189e-119 -2.878558135209752891e+02 4.974130606323460269e-01 5.472434903791818517e-01 7.682855799593096835e-01 1.003758737369584431e-01 5.063926028975420657e-01
1.156436117074097614e-117 -2.844214645285409802e+02 8.301196140061373185e-02 2.476148482003306395e-01 9.584954624587340710e-01 5.318041630799719144e-02 9.297612903007403951e-01
1.307115449179039639e-117 -2.842964847293788466e+02 1.636801840308171885e-01 5.287323835919630621e-01 8.207033415582504210e-01 1.487974484211687098e-01 9.090586289241712192e-01
2.892802298141112192e-116 -2.811969967129056727e+02 5.539316893942400899e-01 8.578577320353917290e-01 8.767662602452647169e-01 1.972573202101141066e-01 6.456417028214548326e-01
1.099519013602534940e-115 -2.798592644817450719e+02 9.895989248518840542e-01 7.757179277529792083e-01 6.554493714937759119e-02 1.219410787664813034e-01 4.438797382867779584e-01
1.713858461050349983e-115 -2.794128900669463746e+02 5.162818137945962560e-01 7.387393100974810611e-01 8.884828705378037261e-01 2.573874293686154724e-01 9.076843387492408155e-01
6.639222344250153327e-114 -2.757535573727680003e+02 3.538962267244053495e-01 4.649822967052998912e-01 3.553818014173331097e-01 9.593699168006308842e-02 4.557919757435144881e-01
1.682365907774487183e-113 -2.748212660384155015e+02 8.870480882685765067e-01 8.102639331176468840e-01 9.610280625073537308e-01 1.382083260583133466e-01 4.221854675315424021e-01
7.870200482566626428e-113 -2.732758835831911028e+02 3.646379589887289718e-01 5.829958780820476694e-01 8.479837856789137485e-01 2.123886042619459458e-01 8.886382975396911466e-01
1.451888125957808381e-112 -2.726610171613839384e+02 8.901052554802754146e-01 7.607478342911725422e-01 3.117560838463828699e-02 2.864695863280353194e-02 8.413790501388129783e-02
1.185299593986850856e-111 -2.705588013690228308e+02 8.388628447420150014e-01 2.646104800065604001e-01 8.266152844254516241e-01 4.005092906646001705e-02 3.587692189622696537e-01
1.971325020937118458e-111 -2.700475910174689602e+02 7.794787652111584420e-01 2.217999748753303191e-01 9.841372915992374626e-02 8.713580455540792524e-02 4.928694733821425977e-01
6.390755712161026511e-108 -2.619611891283929026e+02 3.370061026834901829e-01 6.495568307136494468e-01 8.730687723911505493e-01 1.050079359984408267e-01 4.524383505731730537e-01
2.100482065360831582e-107 -2.607687896882900986e+02 2.365440297299622463e-01 3.103440451233219211e-01 8.893034619038262534e-01 1.473896567452843698e-01 9.066011183604794077e-01
7.720796444584780796e-107 -2.594645390364971149e+02 7.610348219531082314e-01 1.537076385964966097e-01 2.005708451261670744e-01 9.189353000485411815e-02 5.011096610271339458e-01
7.907432693614779668e-107 -2.594381533971629210e+02 5.943154262767035290e-01 3.623211108051018758e-01 1.794776924127428064e-02 1.078087287336291222e-01 7.438509879357750876e-01
1.338247774840799033e-105 -2.566069252480695013e+02 6.325271546394326538e-01 3.905290720893921375e-01 8.676591892974416798e-02 9.879986001817187002e-02 4.682837831410097129e-01
1.384022272963961614e-105 -2.565707924253733836e+02 1.686267883786546351e-01 2.236220866831351017e-02 5.756171428746472696e-01 5.665945324143994988e-03 7.392152836027220397e-01
4.147639617979737006e-105 -2.554707469699397961e+02 7.003419118826313960e-01 8.122974769552178120e-01 9.004265288508706000e-01 6.628664008660622997e-02 2.487012131756676236e-01
1.632869707112801109e-103 -2.517952771662667146e+02 2.247534358383990183e-01 7.118000834211781758e-01 7.958817061852665464e-01 5.873035742959865635e-01 3.029655328561586813e-03
6.217003660878260329e-102 -2.481532430325025871e+02 5.278600251038511049e-01 2.098985579651733158e-01 6.677870115931516803e-02 1.003641469429928934e-01 7.007570866422129230e-01
1.003847732193977730e-101 -2.476716056550387748e+02 6.308294844890399711e-01 9.868738923964379683e-01 2.152112308583122857e-01 2.243028169963500185e-01 6.658935981208294885e-01
3.788624258681622753e-100 -2.440383579498868301e+02 1.443768309040507347e-01 1.258132965527140046e-01 4.652318533084743857e-01 9.936422599267396016e-01 1.316969703556825078e-02
3.084787321633256228e-98 -2.396362080091851681e+02 1.121980586457493878e-01 6.756088125866044347e-02 3.556869352211394775e-01 7.405420462281653293e-02 8.680993403919815554e-01
2.676125585906704493e-97 -2.374732355600458220e+02 2.536379717745942397e-01 3.654835709372600272e-01 6.374623430314074746e-01 1.820866440293773536e-01 7.854886520230591751e-01
2.162065669742317455e-96 -2.353814564453853393e+02 3.144458173940410939e-01 1.763173998965019695e-01 9.704065967631014811e-01 6.894095399403732394e-02 5.830678408409054603e-01
6.645020369018878860e-95 -2.319535676882053110e+02 5.551736937866701416e-01 8.380188655592506475e-01 1.518931692965789226e-01 2.008620623411317974e-01 6.414394925626326627e-01
2.125870767141909889e-94 -2.307881688614717746e+02 6.068153985653844673e-01 2.453984194802013574e-01 8.530844929721970171e-01 1.910686062722359857e-01 7.292197121132747428e-01
