pFat pLiver pSlow kMet fAbs
9.291765789418388977e+02 5.411585631663762115e+02 6.912398739496495637e+02 7.942039610971003185e+02 9.934707566765663689e-01
3.522247845391540864e+02 2.113020373552606372e+02 3.001903850783720031e+02 4.544519182656071621e+02 9.210157510302232620e-01
4.187023329692203220e+02 2.204518793658925517e+02 2.537371541362890923e+02 3.608648403835570662e+02 8.275242466685542864e-01
4.936893396694637204e+02 2.192605985830442705e+02 3.302170082800817568e+02 4.478353944088300977e+02 9.506985771612116443e-01
2.642789920668992636e+02 1.755328849685845682e+02 2.047112949997404314e+02 2.329156361872860828e+02 9.112124135682139192e-01
4.939136679278402084e+02 5.250564123237943477e+02 3.662678940540257599e+02 4.109464520509253020e+02 5.432736951560090954e-01
1.715490879494025762e+02 1.720427997390021062e+02 2.238440674698174462e+02 2.724983915418208085e+02 6.867478941281291993e-01
5.147064456870659797e+02 3.245836369495613667e+02 2.796583170237876743e+02 3.926410534450839123e+02 9.849782239649393922e-01
3.975378028530753340e+02 2.360839611231030233e+02 1.111817233987471241e+02 1.721949636615350414e+02 3.364854916071192137e-01
4.364636407214441078e+02 5.482354526583911820e+02 2.640779851850339810e+02 4.867192665720327227e+02 9.041831015470700450e-01
2.756238603789760191e+02 2.015030540606954901e+02 1.382565736106859333e+02 3.219493696850973947e+02 6.872428462956248207e-01
8.141387714583321440e+02 4.564742932868135199e+02 2.239130795422497613e+02 4.731345406713045350e+02 7.882598141201921926e-01
4.529577928067640187e+02 3.368804039728875637e+02 1.897237089171943865e+02 3.600110313567594176e+02 8.685349200645235967e-01
3.717223203254122268e+02 1.979964157120617472e+02 1.427536430170828119e+01 1.299385823133933684e+02 4.097630082195062307e-01
2.061436092030908753e+02 1.723163965441331413e+02 2.095007356782007690e+01 1.627634700350512276e+02 7.226757742142768670e-01
3.706261675403101776e+02 2.407473338606687605e+02 2.309945903654230221e+02 3.159147634277232441e+02 7.296508934061616269e-01
8.115256610139329041e+02 3.300809250325070821e+02 3.444986877293890757e+02 4.323664758360637848e+02 7.967417331436383865e-01
5.282584505397036310e+02 2.780252839088857968e+02 2.795394751423460207e+02 4.264140043774228275e+02 9.872558940257137872e-01
2.676429737620562150e+02 1.635658411633867786e+02 2.230945273815178496e+02 3.558210890179018406e+02 9.482997319928491153e-01
4.077140291585270120e+02 2.575972054304132826e+02 1.604646938188623722e+02 3.286037366297876474e+02 6.939480581758183941e-01
2.371208207223156137e+02 1.146771918160625034e+02 6.972868478434065764e+01 1.803903659352925501e+02 8.452860691696227891e-01
3.868587517303332675e+02 3.301703563036872993e+02 2.756574607250077520e+02 4.126185546849033017e+02 8.146451373019861775e-01
2.829932948632234684e+02 1.685087793290228433e+02 1.310757885122961000e+02 2.487338611777080928e+02 6.331400276075306310e-01
3.744564586853547326e+02 1.187811872936536872e+02 8.051533780921302252e+01 1.844988662851233130e+02 4.945439120945153144e-01
6.984898146637260652e+02 3.121210222802706653e+02 4.574751682402961706e+02 4.824459511469311792e+02 8.641287784746929379e-01
3.098023349891276439e+02 3.447748553011532522e+02 3.038730190600273886e+02 4.598467647053869882e+02 9.778892781688061087e-01
5.831017609627368756e+02 3.272358728226964217e+02 3.926690577626031882e+02 4.991429704371124103e+02 9.295021443331743516e-01
4.668300666532808805e+02 5.952601840339705177e+02 2.072766117603002272e+02 4.192111710061987537e+02 9.380745530663897602e-01
5.776655584561427759e+02 2.410616570187723369e+02 2.840525812346174348e+02 3.276752806797575772e+02 7.286005035110739714e-01
4.576775069086862118e+02 4.619063013065882615e+02 1.136807070101276622e+02 2.456794722776883475e+02 3.937560612403574467e-01
6.064023089490966640e+02 3.062540027310621440e+02 3.280971136727069961e+02 3.896904620713440295e+02 9.182446567949583693e-01
5.865077222110068078e+02 2.611624394727487584e+02 3.063200703419122988e+02 3.517574570677371639e+02 7.109813888816362004e-01
6.151110964492512494e+02 2.125646703324642033e+02 1.345228752225368112e+02 3.216162536173731041e+02 7.096348972529620269e-01
4.858600982666893060e+02 1.486238488214923166e+02 4.261879375448980909e+02 4.048075953084043022e+02 9.999413230447500300e-01
3.375032303466507528e+02 2.122921837687728157e+02 2.966174162094765734e+02 2.919054387947574014e+02 9.120169818067440648e-01
4.902792259253410521e+02 2.062621425309941685e+02 1.321174383879676668e+02 4.434177014350614741e+02 9.948801387128531903e-01
4.479427059386644601e+02 1.019114573874264806e+02 2.145183501352153996e+02 2.885627725723450112e+02 8.426825683737867445e-01
4.827932592899213091e+02 1.958603373890630621e+02 2.386375939978620693e+02 2.324197679474164602e+02 8.468357764273679589e-01
3.453164329491057174e+02 1.848725843454282369e+02 2.793356281872488580e+02 3.041158557975008421e+02 7.990359011125655053e-01
4.128294667801348510e+02 2.007178683772002898e+02 1.080314522533387134e+02 2.044194187098947850e+02 4.093220349773284417e-01
5.062887398363425291e+02 4.521582470958290401e+02 1.451499836121400620e+02 5.222804124941230839e+02 9.541509376456325242e-01
1.965737863057361210e+02 1.351383458342928066e+02 3.434262883324601034e+02 2.416132388485223714e+02 5.950969388499933732e-01
3.155186823805935887e+02 3.017859600852339099e+02 7.812576498483630871e+01 1.735309114621736057e+02 4.426444784616153649e-01
5.184173635704421486e+02 2.666546178698103517e+02 1.250020132531884940e+02 2.679611440621998213e+02 7.876575176474167606e-01
3.734535606428035521e+02 1.407367866497301634e+02 1.350665054591669048e+02 3.153469670882658420e+02 8.699198148381774853e-01
2.905145783357038454e+02 1.334023872904818973e+02 1.546047434056334851e+02 1.822079268272434263e+02 4.428442529583939136e-01
3.312908613639194186e+02 3.138372272069598807e+02 4.520462768503234088e+02 3.987746752529174046e+02 7.521709637780019664e-01
4.167881486310697596e+02 2.561020318735130559e+02 1.509086773909024828e+02 3.732537354093721547e+02 8.889941983997785568e-01
5.776655584561427759e+02 2.410616570187723369e+02 2.840525812346174348e+02 3.276752806797575772e+02 7.286005035110739714e-01
3.135460505952989934e+02 1.888004430095551527e+02 8.617476723979086728e+01 2.538340793750620321e+02 8.102278533686401163e-01
3.088612009389434547e+02 2.069564824317985483e+02 1.945506874335168561e+02 2.705617353510544945e+02 5.943234359994571392e-01
4.254007452458760667e+02 2.558333970937812865e+02 3.665701582511280208e+02 3.735553290800398827e+02 9.828754770544682051e-01
3.585591225248004434e+02 3.852208627653611757e+02 2.534957712432142785e+02 3.132689559179125922e+02 7.232056292099686701e-01
4.412100859209036230e+02 1.704337512694700649e+02 3.602568763203207709e+02 4.017287276782089975e+02 9.877313170231960537e-01
3.540786955961780222e+02 2.906043573853266366e+02 9.915826068402552096e+01 2.022143588343911915e+02 5.924613356161207989e-01
2.894278106945142781e+02 1.644381669194874860e+02 3.392569788436890690e+02 2.403313466732382153e+02 5.341683572621190867e-01
4.134168686363079246e+02 3.556689730859959582e+02 2.670737077322020241e+02 3.868177490622190930e+02 7.217930650888703115e-01
5.799009729378982456e+02 2.116572972997147986e+02 2.422127838449929982e+02 3.086348706263907502e+02 5.138487555779657212e-01
2.468622631990457137e+02 2.242779940577574678e+02 6.209243758389037282e+01 8.259653593826141105e+01 1.712721701854741374e-01
3.901561600835582340e+02 3.574326992296067829e+02 2.170371742616372046e+02 4.725051154228720520e+02 8.826926720057405307e-01
2.553428397193696071e+02 1.882227410363727245e+02 3.520629250914074078e+02 2.716163009308601204e+02 8.096185888230325034e-01
4.192796686647853903e+02 2.323946531993570090e+02 1.897511623789464750e+02 2.944786303272079522e+02 9.054267110266929208e-01
2.845154106277707342e+02 2.327770861225658336e+02 1.967162314313861202e+02 3.286440328880817674e+02 8.720146413747407177e-01
