pFat pLiver pSlow kMet fAbs
4.331395448743097063e+02 1.825949800117831785e+02 1.729927125733211142e+02 1.829176953139492525e+02 7.475549698305790081e-01
2.684933872610614003e+02 1.996875578617334384e+02 1.062557725240937145e+02 1.355449119573239898e+02 9.697087478753518841e-01
5.930313774620703953e+02 1.577441946978764520e+02 1.184124172038812191e+02 1.273253784765837793e+02 5.273881061625460553e-01
7.384585064277328001e+02 2.895950831224284912e+02 1.134111023008611419e+01 1.819032240915220200e+02 7.865233113478603544e-01
6.422918628214665659e+02 3.330731755073001068e+02 1.620923270136124756e+02 2.104607623116241086e+02 7.358086440649123094e-01
3.094283744863824381e+02 1.039974353854655647e+02 4.442568559814742457e+01 8.355873882921686402e+01 6.578748186887530824e-01
7.626019277920808008e+02 2.134181684619610451e+02 3.951130354163602192e+02 3.162867026369442556e+02 9.997133803272778563e-01
2.215874537518774616e+02 1.138890116633791934e+02 1.040463318764183072e+02 1.170191758230646997e+02 9.849922203020540223e-01
4.571601805708153279e+02 1.818877725025027416e+02 8.392523629043444089e+01 1.630413016594677629e+02 7.785271020224673322e-01
2.824353285620865677e+02 1.242667319919986255e+02 4.107232328845996250e+01 5.996623169817535626e+01 3.453502132399855484e-01
3.521057820506950407e+02 2.213737918882818576e+02 4.762111243696099336e+02 2.316908750386874090e+02 9.406673842895642013e-01
8.472328776823336511e+02 2.313368400807550245e+02 1.344196141282164092e+02 1.971973206073518270e+02 8.022234696775841778e-01
2.606093539263728758e+02 2.624601075594259783e+02 7.015383584540352935e+00 6.935335958897495345e+01 6.234963682393336315e-01
7.822482601960385864e+02 4.568283768425669109e+02 6.144482104385821231e+01 2.646957703743562433e+02 9.521755914445781954e-01
4.887790483777965278e+02 1.483812271334656714e+02 7.213364815212524661e+01 1.252168008436081266e+02 6.763507201780423195e-01
5.539580611616838723e+02 1.587755374563323585e+02 1.877679373996677157e+02 2.060723432563562767e+02 8.687593367804699040e-01
4.340361080984502564e+02 1.063031197090223117e+02 1.346875988472988297e+02 1.585212849430767221e+02 9.186398687368180216e-01
5.800038814188234255e+02 2.513462147755106457e+02 2.472293377076885861e+02 2.278119593357219514e+02 8.156167737581584420e-01
4.192191990406534501e+02 1.471668211383462506e+02 1.740989055654439621e+00 9.416434133857293887e+01 9.122402919662749854e-01
5.539580611616838723e+02 1.587755374563323585e+02 1.877679373996677157e+02 2.060723432563562767e+02 8.687593367804699040e-01
3.328949358076279736e+02 1.421658466026692622e+02 6.059432269934966087e+01 1.198660005561256270e+02 7.013731175607420543e-01
1.865248519774672786e+02 1.263808099872135386e+02 1.230975020001136784e+02 1.125525468254522536e+02 9.717752355513805673e-01
3.267122575999506466e+02 1.676482151175669912e+02 5.341527738477538634e+01 9.241601918278895766e+01 6.334821528439318339e-01
8.778654293914512436e+02 2.773084481101995493e+02 1.971720946108216594e+02 2.623904609661640848e+02 9.435742775793047876e-01
6.482979678755777968e+02 1.323062892414970975e+02 7.506495788185219453e+01 1.933103822178500479e+02 9.118575080445568970e-01
3.284986193582820988e+02 1.607776110574091319e+02 2.321408911919728553e+02 1.358977449928787280e+02 9.572957855123587212e-01
5.210553495339445362e+02 2.487991054267901063e+02 2.663027817230767624e+01 8.433699428525824260e+01 4.343416217449399541e-01
5.055885547974235124e+02 1.780790730330576821e+02 1.410679352346706423e+02 2.046205979810436020e+02 8.052948092089309284e-01
5.400576621063106586e+02 2.259669724050068851e+02 9.483757402388152968e+01 1.376067843486371771e+02 7.358929957196264082e-01
5.444663037565265995e+02 2.754528159375814766e+02 4.286120625024307174e+01 1.618641464684868652e+02 9.428268832637023422e-01
4.421769938712783414e+02 1.725788063691511525e+02 5.783681388469808127e+01 1.015225786302922586e+02 7.248456589388782012e-01
4.711988581003688523e+02 1.180034263543876278e+02 1.608593888648916277e+02 1.913158080657536573e+02 8.926596625200678981e-01
4.326061368287388973e+02 1.570549688598687226e+02 1.365735136711494135e+02 1.579951303064057129e+02 6.326320708260835257e-01
7.228092154232938356e+02 2.482499636265939102e+02 9.630518230605690633e+01 1.935361211722266148e+02 9.652616076593487637e-01
4.076492147382406301e+02 2.209619522921422572e+02 1.125673994475627637e+02 1.063916988710691811e+02 5.710146575358017174e-01
6.965599902109140658e+02 4.609396635311180148e+02 1.567569866215132208e+02 2.155581568787839331e+02 9.414232655179891607e-01
6.346989702229640216e+02 2.682811800392030932e+02 1.877039547898581873e+02 2.165613743981032826e+02 9.251460461306418859e-01
5.286245418315991174e+02 1.775856672014963067e+02 1.145433628382884734e+02 1.372560545667689098e+02 6.489635757808589478e-01
7.198688870318318322e+02 3.611594361197564922e+02 1.022204185317313261e+02 1.766889257497006440e+02 6.586899513496700109e-01
9.879136525862263625e+02 3.179152935339951682e+02 1.395236424211501287e+02 3.060733123165707070e+02 9.706450318311494740e-01
3.058592072408395097e+02 1.408598763079403966e+02 1.815818415895721785e+02 1.471725775794618869e+02 9.151208005166044934e-01
3.011091792500368456e+02 9.654326453199995228e+01 1.190429396072324835e+02 8.627025826670657693e+01 6.625940321797137988e-01
5.524865240039410992e+02 2.281496659133125604e+02 1.106344183120523468e+02 2.004448407617854002e+02 6.641859897289567050e-01
3.881183637771537747e+02 2.494013285561916859e+02 1.331577856168105889e+01 1.188203134987126930e+02 8.489967544004362043e-01
3.350997393154539168e+02 1.645460947038340009e+02 1.350347946049343761e+02 1.708551153813611734e+02 9.260240845497020867e-01
5.964034195434317098e+02 2.660025103964808295e+02 2.021196142192180787e+02 2.413911278125882802e+02 8.348093800093228101e-01
7.525697792567433453e+02 1.807896364030288510e+02 6.982005268932516628e+01 2.126267094841693677e+02 9.874010198450293707e-01
5.755078137901598438e+02 2.589031948531867897e+02 1.373983481007438456e+02 1.306565331342591776e+02 4.109241288114388602e-01
3.406880867823603012e+02 1.155155682762259346e+02 2.750967343340989046e+01 6.300826106987580033e+01 4.324316138224287287e-01
2.174249196908917270e+02 1.040972800730931596e+02 7.987275437964963487e+01 6.679257596757425119e+01 3.683901349941505754e-01
9.291889009857335395e+02 4.537983804520930562e+02 2.970215292020729407e+02 2.948754944097823909e+02 8.011507875303858217e-01
3.480824071097459864e+02 2.148892775318361146e+02 1.638609802201622756e+02 1.772237831172593587e+02 7.372306526197718313e-01
4.142341391419343495e+02 2.628535605357888585e+02 1.020033605173885149e+02 1.536732990929196774e+02 9.391931637720702941e-01
7.526689390503989898e+02 2.097776183471886498e+02 1.424000234319236995e+02 1.929824939254486935e+02 7.320236567302479402e-01
2.454580899549173125e+02 9.525761341809329963e+01 7.784530627508588907e+01 1.447433191242061810e+02 9.760013139547405459e-01
5.308750212019020864e+02 2.018630236622919369e+02 1.267519799145300112e+02 1.710629668458462618e+02 8.392937478813442542e-01
3.346156139413898245e+02 2.687838548615583250e+02 4.193508987361230567e+01 1.023878088975241951e+02 7.464239759127068163e-01
4.376679873436951880e+02 2.158485099362651454e+02 2.418307454186622465e+02 1.597117267693733424e+02 6.354414224841055114e-01
5.662579259416504556e+02 1.187229168514944604e+02 8.119399760965534085e+01 1.474155226248445274e+02 9.993900929059014171e-01
5.018890724650132711e+02 1.210962354080962626e+02 7.220498817782301160e+01 1.578160775465743200e+02 9.926846801698232525e-01
7.883122164417103477e+02 1.839859454386230766e+02 1.750625504709773850e+02 2.571663933682839343e+02 8.919629454987572093e-01
2.937537221562314471e+02 1.386964262892697946e+02 8.555242690547851225e+01 1.659347512000421148e+02 9.005990271638153466e-01
4.628464191919707105e+02 1.422843084473026920e+02 1.120166646466033455e+02 1.479223435418788313e+02 6.676553515487153589e-01
5.775824158828927466e+02 2.303978348209620890e+02 1.763330655145263961e+02 2.198420941306153793e+02 8.360826710497806236e-01
8.022892806182045433e+02 5.066585865304775211e+02 1.914054753480894533e+02 2.741465596357385266e+02 9.322752334042722078e-01
7.805702764013990418e+02 4.636719703704395101e+02 2.905034271251151949e+02 3.152619230837201485e+02 9.467796533640717715e-01
4.391733501765496612e+02 2.045653212401159067e+02 1.360790422219053539e+02 1.592406787827848405e+02 7.987677253797625943e-01
6.619439673507545194e+02 1.915059921201890347e+02 3.511062214250559066e+01 1.287077784246182546e+02 9.300685297135358187e-01
6.036805850909863693e+02 1.694051280834179067e+02 1.203781864884094972e+02 1.598610536731657703e+02 9.926615445456579145e-01
4.486282109029239109e+02 1.352381149750362681e+02 8.417161710371799188e+01 1.424028153069192228e+02 6.576728545218224475e-01
3.573680778066080279e+02 1.313706670832727639e+02 4.960391447782293284e+01 1.015149610877880377e+02 6.335625713724581942e-01
5.859815517039061206e+02 2.302726280731157829e+02 9.721037456131207932e+01 1.725047590614047408e+02 8.661634067960753969e-01
4.711016955965970396e+02 2.660042757771494166e+02 1.144455011398117961e+02 2.261363625478369386e+02 9.851157223748746583e-01
7.704003168599426772e+02 2.526067277312709791e+02 1.304038393134285911e+02 1.495262789961777230e+02 4.622718197577543875e-01
4.666926168982417380e+02 1.175715363805743721e+02 1.753074556315012700e+01 8.866011033552481990e+01 6.683850408774009155e-01
6.296428843967252078e+02 1.564015624814666978e+02 3.165604979168135458e+01 1.589953031508220249e+02 8.999972714614907776e-01
7.604596459946733376e+02 2.084682431540727237e+02 2.882151749324523848e+02 2.090009915226999908e+02 7.623733760045335872e-01
7.291966976159940259e+02 1.834108343622581003e+02 2.155117741889239085e+02 3.042936866448507089e+02 9.976397520676636432e-01
2.591363757304645787e+02 1.055913486746046317e+02 7.223830962708653658e+01 1.282411574525548303e+02 9.583089957445176665e-01
6.454636716076688572e+02 2.767090126812564108e+02 1.699163851445599676e+02 1.890727757889568750e+02 7.938823320338656009e-01
7.218536023423424695e+02 1.495965843805048507e+02 1.610325816842053257e+02 1.823684796480597470e+02 7.866872902555954727e-01
6.383062087210855680e+02 5.090208192652011121e+02 1.670576517082259613e+02 2.335443532265972237e+02 9.023945845422481904e-01
5.189900023428388067e+02 1.619876247985908719e+02 1.251668423999463897e+02 1.776315170686098668e+02 8.824959913357844909e-01
3.428914413088139668e+02 1.818295783633278973e+02 1.876288551076574151e+01 1.374507041316705340e+02 8.766851687831069828e-01
7.847999226760239253e+02 2.579112295829687582e+02 1.199922592226465241e+02 1.913761933664328581e+02 6.194256434039671078e-01
4.382775611362677637e+02 1.812220837139210516e+02 1.052886445309081438e+02 1.504312115132835288e+02 7.815379313425722119e-01
6.325616443295974705e+02 2.107245272558330100e+02 1.188157357931070663e+02 1.237833091639398049e+02 5.487780688162839926e-01
8.595234275605574794e+02 2.211582445273317035e+02 1.341258989031150008e+02 2.173303597475510855e+02 9.950786815120472584e-01
3.917310518952210145e+02 8.477307749738130838e+01 6.793586496494243399e+00 4.229476492278758570e+01 2.950591269867453570e-01
7.186099831632511723e+02 1.798018628941296413e+02 1.955319662919688710e+02 2.523377380753547072e+02 9.308008183674582048e-01
7.990625156148926180e+02 3.628068352725921386e+02 1.078786763377291322e+02 1.996951103600280817e+02 7.950231086200244546e-01
8.180481772267513634e+02 2.506059239187202081e+02 9.872672072168155921e+01 1.994447509042256286e+02 5.352301324197619170e-01
4.536547389824845595e+02 1.058340194205931653e+02 8.722579685810769945e+01 1.027051664667284570e+02 5.647205152565145658e-01
3.984118892845980326e+02 2.760605872038470920e+02 9.786769194320626752e+01 1.613649503857133993e+02 9.557765374423674576e-01
5.296188227086182678e+02 1.146566584472950581e+02 5.961171292597154547e+01 1.395455634547669206e+02 6.548380088243006547e-01
4.955235538960965300e+02 1.993174389909014508e+02 4.514034368605098848e+02 2.755032314698162850e+02 9.730282861655985549e-01
4.693285485956535013e+02 1.736602000548988656e+02 6.876162285155945142e+01 1.238712232098181829e+02 7.237416989073390816e-01
3.455133371922111678e+02 2.727184282355412392e+02 6.078424124549037089e+01 8.915177208572514189e+01 6.096906919118356694e-01
5.355740311682997117e+02 1.314743060632536356e+02 2.158753986622587036e+02 1.390286326719103727e+02 8.105997897768636440e-01
7.357747517096316869e+02 1.649019956704214849e+02 1.605455847270731340e+02 1.885948633782880677e+02 8.463931664690880208e-01
2.986448917029954941e+02 1.248512273398581556e+02 5.772500298089202175e+01 1.157937071166323904e+02 9.212411352207195980e-01
4.711988581003688523e+02 1.180034263543876278e+02 1.608593888648916277e+02 1.913158080657536573e+02 8.926596625200678981e-01
4.789037886056738103e+02 2.787212481129926687e+02 1.723013487165712263e+02 1.815270357206218250e+02 8.666828362702083677e-01
3.643424023421762854e+02 9.340445529144986381e+01 1.340312392429856914e+02 1.035030380727498454e+02 4.345263226883286367e-01
3.546920850241702396e+02 1.889117270500291283e+02 1.596737907935645921e+02 1.906095403851690264e+02 9.306223583625552465e-01
5.990931882215393216e+02 1.616734738674444998e+02 2.065634002544390739e+02 1.743430393857867386e+02 8.206898264118437369e-01
5.229893851457447909e+02 2.344358907852658547e+02 1.196427917038276973e+02 1.173730939889224203e+02 5.322812627965045618e-01
4.839007720301184463e+02 2.054801183208274722e+02 5.823341727634485210e+01 1.356768101905233550e+02 9.977584817769347136e-01
4.568300745856203093e+02 2.487488742112753926e+02 6.314244866160564129e+01 8.898286602954284774e+01 4.506888651367874643e-01
5.586477268654099362e+02 3.740339592558815980e+02 1.140235105718825395e+02 2.103447075134646980e+02 8.837864647938825646e-01
