logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.190855133332599053e+03 -1.196847847619290405e+03 8.549999999999999822e-01
-1.196847847619290405e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.086301189208633332e+03 -1.092296403495324739e+03 1.929999999999999938e+00
-1.092296403495324739e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.153085249383087785e+02 -6.213062392250001267e+02 1.995000000000000107e+00
-6.213062392250001267e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.025270695484859971e+02 -6.085272838351772862e+02 3.099999999999999978e-01
-6.085272810156936885e+02 1.319746238765889075e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -4.997734494426359788e+02 -5.057761637293272656e+02 2.250000000000000056e-01
-5.057761637293272656e+02 1.600893605042807053e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.718738426817820937e+02 -4.778790569684733782e+02 7.000000000000000666e-02
-4.778790569684726393e+02 1.671264524210512832e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -4.681108976044578753e+02 -4.741186118911492144e+02 1.074999999999999956e+00
-4.740956052066290454e+02 3.748483175316864902e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.182946969500358705e+02 -4.243049112367272073e+02 5.949999999999999734e-01
-4.243049112367272073e+02 3.160559539893584713e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.772946416382414441e+02 -3.833073559249327786e+02 4.799999999999999822e-01
-3.833073559249327786e+02 4.653670027705748424e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.715875168746187001e+02 -3.776027311613100323e+02 1.709999999999999964e+00
-3.775994061683453538e+02 4.181958081483973899e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.577083531719429175e+02 -3.637260674586342475e+02 1.400000000000000133e-01
-3.637260665148225485e+02 2.961672356642332105e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.563014583678469762e+02 -3.623216726545383040e+02 7.550000000000000044e-01
-3.621021228905453313e+02 3.099518617157754719e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.438181158308723298e+02 -3.498408301175636552e+02 9.100000000000000311e-01
-3.498408253861907156e+02 3.405022488347766085e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.437392850100158626e+02 -3.497644992967071857e+02 1.745000000000000107e+00
-3.491087871285911888e+02 8.799265515765228862e-01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.338455802510619037e+02 -3.398732945377532246e+02 8.699999999999999956e-01
-3.398731970263613107e+02 4.521096403412887099e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.288680474613902902e+02 -3.348982617480816089e+02 7.449999999999999956e-01
-3.348913765395387259e+02 4.489192481009517621e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.028964413351482676e+02 -3.089291556218395840e+02 1.655000000000000027e+00
-3.089291556218342976e+02 1.169909348600799248e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -2.997670249042203068e+02 -3.058022391909116209e+02 1.250000000000000000e-01
-3.057593206959139707e+02 1.800858779562334311e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.975927185202876331e+02 -3.036304328069789449e+02 1.129999999999999893e+00
-3.035180246098005341e+02 2.507322341249266007e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -2.951257097190861600e+02 -3.011659240057774696e+02 1.120000000000000107e+00
-3.010750152803298647e+02 3.254549923274386192e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.908097074933214685e+02 -2.968524217800127758e+02 1.564999999999999947e+00
-2.968378676343272673e+02 3.993935115410842673e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.739813092840707895e+02 -2.800265235707620946e+02 6.500000000000000222e-02
-2.800265235207671708e+02 9.417887825255588652e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -2.738435808737318098e+02 -2.798912951604231125e+02 1.199999999999999956e-01
-2.792634780609208178e+02 4.675657518594446005e-01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.681308360836932252e+02 -2.741810503703845256e+02 4.450000000000000067e-01
-2.741748647137499688e+02 2.745521714446535810e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -2.640655353697337091e+02 -2.701182496564250073e+02 1.070000000000000062e+00
-2.701010902202768875e+02 3.136921268997440393e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.612962594082177361e+02 -2.673514736949090320e+02 1.100000000000000089e+00
-2.672894830600467913e+02 2.580279712217742105e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.588809469998894315e+02 -2.649386612865807251e+02 5.100000000000000089e-01
-2.648476413671948535e+02 3.251449984879056121e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -2.585683503406829686e+02 -2.646285646273742600e+02 1.334999999999999964e+00
-2.640389684485446082e+02 3.588718334220535766e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.567545709968842971e+02 -2.628172852835755862e+02 5.999999999999999778e-01
-2.625589802745839165e+02 1.015095041613489180e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.541653075471013210e+02 -2.602305218337926362e+02 3.800000000000000044e-01
-2.601375363085315939e+02 1.961760746666742605e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.470332761962221753e+02 -2.531009904829134882e+02 1.185000000000000053e+00
-2.531001117110577354e+02 4.624477922430235921e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.460122884411407256e+02 -2.520825027278320363e+02 1.405000000000000027e+00
-2.517739464257642510e+02 1.031704287837123202e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.423838154954319464e+02 -2.484565297821232548e+02 1.049999999999999961e-01
-2.484209248787702506e+02 1.209672326928780794e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.399488663549015541e+02 -2.460240806415928603e+02 5.000000000000000104e-03
-2.459369816360966752e+02 1.989688467280170237e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -2.355832616364067746e+02 -2.416609759230980785e+02 1.895000000000000018e+00
-2.416471735513610213e+02 2.203232940784968008e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -2.322604317974697210e+02 -2.383406460841610226e+02 1.415000000000000036e+00
-2.383046582856871112e+02 2.803259382201407135e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -2.317730762883938382e+02 -2.378557905750851376e+02 1.939999999999999947e+00
-2.373621006075946411e+02 2.319089008529235940e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -2.306606426619780734e+02 -2.367458569486693989e+02 2.099999999999999922e-01
-2.363140947010430182e+02 1.251327613581897591e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -2.298103691661023902e+02 -2.358980834527937134e+02 1.794999999999999929e+00
-2.353914629479935172e+02 1.055630491529209625e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -2.267296956802060208e+02 -2.328199099668973417e+02 1.290000000000000036e+00
-2.327462722386929670e+02 1.484422240325998121e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -2.257706882097266146e+02 -2.318634024964179332e+02 8.649999999999999911e-01
-2.315172668881122320e+02 1.449155988291929154e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -2.247375221838792072e+02 -2.308327364705705236e+02 1.310000000000000053e+00
