pFat pLiver pSlow kMet fAbs
5.720881096504314201e+02 3.724264509119571187e+01 9.249182798743937894e+00 1.230909885227280540e+02 5.136836231866399594e-01
5.495049792130625974e+02 9.176422275465711209e+01 1.085741195819505691e+02 2.917040815257141730e+02 9.734274155355722158e-01
3.613027160936798623e+02 4.534315804777278203e+01 9.488097927669583953e+01 2.740057043719350531e+02 9.130435450591696256e-01
3.594984306321311465e+02 7.835140204103143446e+01 5.063231115828423867e+01 1.720759117378133567e+02 6.902290687735528341e-01
3.643085323900357366e+02 2.824651288761469559e+01 7.614308031966331214e+01 1.643002680744108375e+02 9.582864144519805949e-01
9.146728973158670897e+02 5.150351223079788099e+01 2.051611157742929379e+02 3.479315569494546594e+02 8.346880277808632620e-01
5.512907383752345822e+02 7.533427013325024291e+01 7.206932688429914435e+01 2.615660368682069929e+02 9.751488840718478546e-01
4.472217497115213973e+02 7.952096727635469620e+01 1.542224376253155640e+02 3.153866477788296834e+02 9.862374864985716805e-01
3.976799457568293406e+02 3.849001827408363852e+01 6.248114835601651151e+01 1.575745731415371154e+02 9.260623335372739628e-01
4.741065890821582229e+02 4.840280392499465023e+01 7.186568315444186794e+01 1.994583702482396745e+02 7.380737989373057362e-01
7.718853943966312272e+02 8.241821534041982034e+01 1.295606083302416494e+02 2.481591625199719431e+02 5.814502606332135892e-01
4.998459784148733434e+02 5.080159456931223616e+01 9.695693184589715941e+01 2.318215280369156233e+02 7.035326176709990609e-01
5.145035775886024112e+02 3.198385060538753066e+01 1.375960855955104023e+02 2.267611636107777144e+02 9.994670475279280319e-01
4.174120810862929716e+02 3.939113761547126558e+01 8.599340216981357798e+01 1.558105673225353769e+02 8.449254342956967756e-01
4.660117207570191340e+02 4.632585722453817567e+01 8.401644821780838868e+01 1.975207655513930263e+02 7.715571750562273401e-01
1.885520595020321934e+02 1.714205341087767920e+01 4.733450401041503852e+01 1.135969329935651615e+02 8.120999066891129159e-01
5.073686950154084911e+02 5.136621279337460777e+01 8.607058720182519096e+01 2.696270285493340566e+02 9.028800094745905724e-01
3.297424730251514688e+02 3.942949005223603365e+01 9.966323208570169356e+01 1.303921916535302614e+02 6.409104234857102567e-01
2.791099963851551138e+02 2.527047382757445604e+01 1.535481732373455266e+01 8.570077770414656015e+01 5.752559623597884864e-01
6.366442502403542676e+02 2.373962509993599923e+01 3.466524648919178730e+01 1.099201063966784204e+02 7.586445120050698820e-01
5.859402086717059319e+02 4.950668899586077032e+01 2.021648014921780430e+02 2.275798800678198006e+02 7.974077706865855264e-01
3.213117471513299392e+02 3.439091267401204988e+01 6.069534782481618151e+01 1.365535560774646342e+02 7.793854569983829084e-01
4.829752432634398929e+02 3.482867166847732676e+01 1.783362927472859667e+02 2.649745262400896877e+02 9.311711261751506319e-01
4.874040414712538904e+02 2.281568551555456636e+01 7.904694346863705334e+01 1.723153001806052771e+02 9.734851736118634857e-01
4.201200223278335670e+02 3.227342766367442550e+01 6.146416922456217691e+01 1.596761922006510588e+02 7.033831394522336300e-01
2.825842230417281939e+02 3.285489475893345457e+01 5.134078134243760161e+01 1.397660567844611705e+02 9.044936281149583701e-01
4.176307818256832434e+02 5.184693130133950945e+01 1.403223820811249709e+02 2.067522772424984510e+02 7.164990833702015172e-01
4.245114473238962205e+02 7.123249468740337420e+01 7.468375468872778811e+01 1.705650957695653460e+02 5.318324718517630778e-01
2.876960892600911279e+02 2.486493270171279946e+01 1.015253063882616971e+02 1.568145358339853885e+02 9.181542511009834762e-01
4.465344986808582348e+02 6.097229526733684679e+01 1.249615463823419930e+02 2.571996952832641909e+02 8.893841962736045437e-01
6.520112454503257595e+02 6.920904965130918640e+01 9.410217063242976110e+01 2.539321598680704994e+02 7.043386151249342308e-01
4.658376879552616288e+02 5.243900451948379526e+01 1.711725670639376347e+02 2.910031747156521078e+02 9.938227344712635691e-01
5.337452171716013254e+02 4.901248982744116489e+01 1.528949232917588290e+02 2.340441177790355312e+02 8.330537585872381801e-01
4.162255220161776492e+02 6.206056475782539650e+01 1.082097603868498226e+02 3.069551129732766412e+02 9.275298921581520695e-01
5.202278353981040482e+02 4.731262287008992473e+01 1.385318250967733889e+02 2.453310166760517745e+02 9.003618978157447161e-01
3.621305088173432978e+02 5.714492181852092045e+01 1.276081059290109181e+02 2.212998929825299115e+02 8.783275080024440795e-01
2.215599122562029208e+02 1.747837363680586620e+01 4.278714324487646792e+01 1.268335607238266078e+02 8.575350525019058701e-01
3.846687599757416933e+02 4.082485991401230763e+01 5.864987960461481009e+01 1.747070728298704978e+02 8.629071879728300587e-01
5.297835562815062076e+02 6.655641476346876573e+01 8.056498335262956800e+01 1.976438220738683071e+02 9.189526078653044161e-01
1.655706434071954050e+02 1.291084362588010670e+01 2.541502754658231211e+01 6.494724328865859775e+01 5.695773266569171822e-01
3.379023954836002304e+02 4.537305852476857382e+01 4.431317935833163091e+01 1.036999698630094997e+02 5.387088746515824589e-01
6.299350982016029548e+02 2.725359538462907594e+01 1.771646439272752218e+02 2.875355284373076188e+02 9.699507725291360849e-01
7.117084048512589334e+02 6.349647981386337392e+01 3.099111841055624836e+02 3.297318235520490362e+02 9.033952572990275875e-01
6.961723546560850764e+02 6.125019090087388918e+01 7.601760441412662317e+01 3.217008015044977469e+02 9.579157357348777602e-01
