logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -8.501845696560156966e+02 -8.561772839427070494e+02 2.949999999999999845e-01
-8.561772839427070494e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.300561707351411087e+02 -7.360513850218324023e+02 5.999999999999999778e-01
-7.360513850218324023e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.645685488666873653e+02 -3.705662631533786566e+02 3.400000000000000244e-01
-3.705662631533786566e+02 1.007714256544866629e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -3.483583724557777259e+02 -3.543585867424690150e+02 1.060000000000000053e+00
-3.543585866510375695e+02 6.701960580122857003e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -3.109002814075377614e+02 -3.169029956942290482e+02 1.195000000000000062e+00
-3.169029956942290482e+02 1.778764372078010325e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -2.994226767029024359e+02 -3.054278909895937204e+02 3.499999999999999778e-01
-3.054278806041969574e+02 1.771778563364089010e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -2.800427140895050115e+02 -2.860504283761963507e+02 2.650000000000000133e-01
-2.860504283723550429e+02 2.102745465354824717e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -2.649754180394019158e+02 -2.709856323260932527e+02 1.669999999999999929e+00
-2.709856320393836882e+02 1.320347943151126913e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -2.603020400296467756e+02 -2.663147543163381101e+02 1.814999999999999947e+00
-2.663054338403571251e+02 7.222370929141488816e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -2.509834679868807541e+02 -2.569986822735720580e+02 1.064999999999999947e+00
-2.569985914686412229e+02 1.010876834175628858e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -2.508660476726129502e+02 -2.568837619593042518e+02 1.030000000000000027e+00
-2.562463822111415084e+02 9.540102585332244089e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -2.485969113910138617e+02 -2.546171256777051610e+02 9.649999999999999689e-01
-2.544380800681576602e+02 1.001967201938637331e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -2.480891669393675727e+02 -2.541118812260588982e+02 1.135000000000000009e+00
-2.535685913106445071e+02 4.126298351302311929e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -2.422469411604469940e+02 -2.482721554471383172e+02 1.495000000000000107e+00
-2.482671585361478890e+02 2.127606835261475204e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -2.374251231950348426e+02 -2.434528374817261636e+02 3.400000000000000244e-01
-2.434447574846895463e+02 3.666563486137563999e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -2.327916604248775059e+02 -2.388218747115688245e+02 8.449999999999999734e-01
-2.388120982239577188e+02 5.362988205783632445e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -2.317460275374606624e+02 -2.377787418241519788e+02 6.750000000000000444e-01
-2.374743422379289370e+02 4.451739163419199841e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -2.251517538835062169e+02 -2.311869681701975310e+02 3.599999999999999867e-01
-2.311851102603601475e+02 1.363547834332302422e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.215858604151082716e+02 -2.276235747017995834e+02 1.284999999999999920e+00
-2.275955751837898617e+02 2.441919995534955756e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -2.164672291986194637e+02 -2.225074434853107732e+02 1.439999999999999947e+00
-2.225012929032998557e+02 2.805067788312403998e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.132379668694290729e+02 -2.192806811561203801e+02 8.999999999999999667e-02
-2.192415271535179500e+02 1.993065926650343878e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.128491886385726843e+02 -2.188944029252639893e+02 8.299999999999999600e-01
