weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -7.904110898306651052e+02 2.422291496110005937e+01 5.057740639286153055e+02 2.106837978964437070e+02 9.168360034046255578e+02 8.047009030973328869e-03
9.396262259044730657e-218 -5.149941345847062166e+02 1.523128045327496238e+02 7.328439519195574121e+02 8.707637848604576902e+02 8.312054791274165382e+02 9.279706062069958961e-03
2.118385478012184434e-176 -4.197727184255700763e+02 3.133421779214359617e+02 4.409583299687835023e+01 2.155088604751152559e+01 9.508524806045253399e+02 4.162590863451409717e-02
6.440665400960965568e-149 -3.564884432883905561e+02 6.837986965261185901e+01 4.354880541078490523e+02 1.607187910263222648e+02 7.536020553127432322e+02 5.124698016756035202e-02
3.172699320237140248e-131 -3.157474607262763584e+02 1.630081123101614935e+02 7.461261236464367563e+00 3.818386650471144321e+02 9.634993229374812245e+02 1.546673771088784566e-01
5.330897586386360387e-130 -3.129234387527143326e+02 1.426630240434168400e+02 1.969816910336663796e+02 2.794184249844382748e+02 5.229190593495553685e+02 3.301481610714140924e-02
3.401787905365081192e-121 -2.926468913945383861e+02 1.240758836581722448e+02 4.025083873740663876e+02 8.971362142489863345e+02 7.996858698381769273e+02 5.138633319422014623e-02
4.313959768084860964e-121 -2.924068363204390835e+02 6.253868817320374092e+02 7.469323173232878617e+02 9.991003981790309751e+01 5.585642748285328807e+00 7.073648387251245673e-01
1.303815965705367491e-108 -2.636672910105934307e+02 9.967672990530088555e+02 8.298229343153500395e+02 9.229682253323992427e+02 8.444368881048063713e+02 2.332156789166506261e-02
9.897521209036430833e-107 -2.593352168976860526e+02 3.029117608332288825e+01 6.926068421126727799e+02 2.144550682069329071e+02 8.334810013309029273e+02 1.930937509064114543e-01
1.010452581221165633e-102 -2.501016774448744968e+02 8.888268719851838569e+02 2.152412457575485973e+02 8.471024371949930583e+02 8.266453519569110995e+02 3.557469346620611983e-02
1.254427200503856917e-101 -2.475803116281316534e+02 5.728994588323261041e+02 1.263851697503601486e+02 8.025855728435597030e+02 2.928351619534908536e+02 1.760485353452101442e-02
2.837457157311799285e-100 -2.444589973056428391e+02 8.955812405252016788e+02 3.523636491502355170e+02 8.589342162178996887e+02 3.523214505600209350e+02 1.445471323944569342e-02
1.375950772426339934e-98 -2.405750904405853134e+02 3.278706396694287406e+01 7.632634979825824075e+02 7.499338842710470772e+02 4.527039973990431463e+02 9.997267632166939588e-02
2.130655672343069170e-97 -2.378327205508661848e+02 2.656492273193256324e+02 1.664109944476105909e+02 8.601602653922365107e+02 4.378405539082190785e+02 3.582548189895795598e-02
4.930901310520405705e-96 -2.346885434246641182e+02 5.407408645659216972e+02 1.356872295242046178e+01 6.588633365293688939e+02 2.916408873614111599e+02 3.945636859103862637e-02
1.335443385271050052e-94 -2.313871316711175155e+02 2.498810434718401723e+02 7.084294691909786934e+02 8.562011302669289989e+02 5.112037336774280902e+02 3.660029987011503838e-02
3.142961218437226924e-94 -2.305287296129153560e+02 1.109587666693355601e+01 6.900043125429727979e+02 5.391298690656353756e+02 5.205228494201530793e+02 2.999748156251319520e-01
7.932107096858933240e-92 -2.249953061331995912e+02 1.328102077715005258e+01 6.416174924598059306e+02 9.706954916722444295e+02 8.375919295290478885e+02 4.407094113180104467e-01
5.233331176703118651e-91 -2.231060917410541151e+02 4.765442680208740285e+02 2.537418293563963445e+01 7.075770058670181015e+02 7.414250955866898494e+02 9.640760813369353421e-02
1.062495463260296545e-89 -2.200928492147224915e+02 5.250898505890371553e+02 6.755291200834849406e+02 3.665157359982838443e+02 1.372754337682946968e+01 8.781467260668714969e-01
1.078984348098311250e-89 -2.200749493864193482e+02 6.256550401366561118e+02 1.996012721010692417e+02 9.624256861787124535e+02 6.719865301413454972e+02 4.356392566142031075e-02
2.287176398625472990e-88 -2.170185664305844568e+02 2.194017748816437177e+02 5.895131826269015107e+01 9.555485594830468017e+02 8.866963199864856051e+02 1.253897546757928305e-01
6.865660634362347185e-88 -2.159168522068281391e+02 6.389500278179247772e+01 7.921941952625948034e+02 2.607454334212208096e+02 9.936131019183264925e+02 2.191518657391594571e-01
5.396826540801574753e-87 -2.138524882774783293e+02 9.287291156914549219e+02 7.780058986102089875e+02 8.358117307007161116e+02 8.558921121626618742e+02 3.930089673664749483e-02
1.768567524678091932e-86 -2.126630443768473242e+02 2.339556633712867750e+01 9.280388834764258945e+02 7.437827078564939711e+02 8.244026757262947740e+02 3.385933647953746073e-01
1.776539885195851219e-85 -2.103534616068943137e+02 3.934742025269608234e+02 1.909968493323931114e+02 6.871625689293794039e+02 3.212592681055015191e+02 2.778760607041597108e-02
2.012218583411282759e-85 -2.102263913084779006e+02 1.707252275341750192e+01 6.133460172801669614e+02 9.649180440058308932e+02 8.315661600326802727e+02 4.299844487214857791e-01
3.362165529953933872e-85 -2.097105439253462009e+02 2.817209263752042148e+02 1.635134626396769875e+02 8.336439401793539901e+02 8.958192214783422287e+02 9.603874051579908144e-02
3.544610787569272962e-84 -2.073526157396713643e+02 8.759996315851797135e+02 1.843166455693272212e+02 2.599817662292927878e+01 4.173720873253847685e+02 3.676336336770513746e-02
5.624517372750968731e-83 -2.045858238646832774e+02 7.629190332821186757e+02 3.298134867442941243e+01 9.314018154458658501e+02 4.691645571517447593e+02 5.506797448976974430e-02
5.958472674846798608e-82 -2.022230597300720376e+02 7.300365566830116677e+02 6.878332763321641323e+02 9.228337083704615225e+02 8.680695630569919103e+02 5.065632883158710520e-02
6.800406972734770909e-82 -2.020883914563760584e+02 7.866304666367660730e+02 7.999480758016388471e+00 8.812133741465565890e+02 9.206313346955827228e+02 1.993989891181272567e-01
