weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.563315629444270371e+03 5.048183114441398001e-01 6.070317810915634160e-01 5.047533611509569251e-02 7.975746304250658225e-01 1.728834115072297450e-04
0.000000000000000000e+00 -9.103758926138702918e+02 4.930522934010024283e-01 9.561977825270971953e-01 2.259687447004717908e-01 7.480083188667089322e-01 1.186001520618873428e-03
0.000000000000000000e+00 -8.017542629021767198e+02 8.575150674929730155e-01 2.676920288947385318e-01 1.180092727554815646e-02 8.903260922900696483e-01 3.053291504761190822e-03
4.699488165758171604e-308 -7.292028337205775870e+02 3.679877523196106726e-02 4.379707592734601862e-01 1.661298004774692805e-01 9.110688618644265935e-01 1.150108918238290645e-02
1.194519622554497315e-224 -5.371528953958911643e+02 3.769759413465951781e-01 7.796927751124900219e-01 5.193394056001978676e-01 1.414082520664472487e-01 1.215340838335077223e-03
4.299777677790930123e-192 -4.621868532166281511e+02 3.921086872067206519e-01 9.548653772774787774e-01 6.314983650161563045e-01 4.799441837102156327e-01 5.845427098976840874e-03
1.208044356285245663e-185 -4.473358180665756549e+02 4.853767440738621097e-03 1.699149566660762556e-02 7.015994435326835532e-01 9.745516349108075405e-01 1.573141424922576137e-01
4.253057998285248953e-171 -4.138384913290689724e+02 1.997127740895776604e-03 2.761658907427775311e-01 3.302244972415515623e-01 3.268561520046366908e-01 3.949547313197299125e-02
1.781759536816345664e-156 -3.801672518074807954e+02 7.019401645524651068e-01 7.594794816775620738e-01 9.589026422588941001e-01 9.818569831916684754e-01 1.736257178876277063e-02
8.605882710162021338e-153 -3.716821519029051046e+02 1.525722778813420888e-02 6.459657064923718384e-01 3.942007271522773859e-02 8.495668145171155761e-01 1.287301321256170139e-01
1.616862421796784574e-132 -3.249973234609104225e+02 3.695986125055539251e-01 9.586949428413967800e-01 6.278547640922771400e-02 1.474170105766281491e-02 7.993488915373917481e-01
1.300873496152347466e-128 -3.160019346245853171e+02 6.543857946603780507e-01 7.361913992427828735e-01 7.442624162259160459e-01 7.164736750755571482e-01 2.023175835627710750e-02
5.305766551821746397e-105 -2.616342191869401859e+02 2.305057772803705829e-01 9.475161103313655131e-01 2.730220908196274721e-01 1.383101455925961343e-02 7.732281189283335410e-01
5.346090171552035540e-105 -2.616241479599885906e+02 3.868838410072201750e-01 8.541318243522669773e-01 7.826974899429534061e-01 5.827641184031325805e-01 3.015520363569446083e-02
4.490868373774791581e-99 -2.479804568019193880e+02 3.912840869166285263e-01 8.807368943351578938e-01 3.221851686404356707e-01 2.536702061189133328e-02 8.909365159126688694e-01
1.371917767065375970e-97 -2.445586231097511813e+02 2.137710758842787939e-01 5.923435303190919266e-01 9.060129896184054843e-02 8.478164639507367317e-01 1.055540818511359058e-01
2.039383397185771969e-96 -2.418571001018372897e+02 3.633706088068677786e-05 7.566873321034782718e-01 9.775923717002510394e-02 9.401707512149818369e-01 8.942307849899554517e-01
2.680988926365661547e-91 -2.300681364139196887e+02 5.443346360886006652e-01 4.565042314988931871e-02 9.924828746479631425e-01 8.118690069533452958e-01 9.370127062936384199e-02
2.457776879278329597e-90 -2.278499798160150931e+02 7.148458876278070973e-01 5.175220791659168595e-01 7.908473679940508649e-02 9.473245174418498671e-03 3.665630473564941427e-01
5.731162346593696736e-90 -2.270008186867955544e+02 1.265940534252663063e-02 3.166185642250991528e-01 4.182981492444174387e-01 9.443137916380601737e-01 3.964561290016977990e-01
1.316528643889755170e-89 -2.261666534994403435e+02 3.180995614264436888e-02 7.295407334268678712e-01 4.775975973278612230e-03 5.592641998057202857e-01 2.320577315505720772e-01
3.817958834855407194e-89 -2.250994360133803696e+02 9.339175705684825690e-01 1.357759219407440598e-01 2.093624942618179663e-01 4.125938726209921192e-03 8.136666130276818398e-01
4.487456056134009854e-87 -2.203301958095154021e+02 4.446947853460075928e-01 8.374895417598634539e-01 1.530284313521297346e-01 5.973501949467254768e-01 5.274747709051763600e-02
7.003850867457471466e-86 -2.175799365560677359e+02 1.098131005273060845e-01 9.921598978610536301e-01 1.470317697174292615e-01 4.991629751292170347e-02 9.956359460063480826e-01
1.231824781839871279e-83 -2.124076447663365457e+02 8.650815146766032138e-01 5.667094679753957864e-01 4.363770661788733962e-01 1.559677290235335079e-01 1.011292661086971023e-02
3.880644035477128742e-82 -2.089550551774210021e+02 3.671759187739171981e-01 8.633306409039344098e-01 2.216365146275578457e-01 1.313089711461734588e-02 3.869476141282568449e-01
9.440704079759339657e-82 -2.080635257437102723e+02 7.896023108164696991e-01 8.806252429984849917e-01 5.886774484789115691e-01 7.362089532304991746e-01 4.754707509336530968e-02
1.871095408832526164e-81 -2.073769471733239698e+02 7.443738052809477646e-01 1.749140411089241676e-01 8.173132612780003026e-01 9.290241023849969970e-01 8.268474855563623382e-02
4.901770179180507255e-80 -2.041087897188837985e+02 4.370907796424107206e-01 3.363437021137342109e-01 9.135609818808938520e-01 8.706092743972992931e-01 8.414096217151556534e-02
5.219410894893702331e-80 -2.040435015796770131e+02 7.370381853795016092e-02 4.339754428528196373e-01 6.831424698285226693e-01 7.209126801206278135e-01 1.551807764828757596e-01
4.182029851646568175e-79 -2.019600042877166857e+02 3.376276655241770008e-01 4.370811535747901599e-01 7.464094566645375073e-01 6.440474908975712953e-01 6.706882946506853571e-02
