pFat pLiver pSlow kMet fAbs
5.414649785065270180e+02 1.709202749703341340e+02 9.373728226503983478e+02 2.542308809330105532e+02 8.084106802162305261e-02
5.798059222998633686e+02 1.022243865307319481e+02 6.215462750517635868e+02 3.335926464544965597e+01 1.397431537069586394e-02
2.009271036139116973e+02 3.120718090454240468e+01 9.521842484907241442e+02 1.908560370429169666e+02 1.599866277901745848e-01
3.697007082743193678e+02 5.246927105796196145e+01 9.440732684978303269e+02 3.403404468006643810e+02 1.313124194161849057e-01
1.833634096196214784e+02 3.357308609800562493e+01 7.240717189330785004e+02 8.691894141560548803e+01 8.257450027971757756e-02
9.131126811221027140e+01 1.408048812712693909e+01 7.343293807737750285e+02 7.811597825297806708e+01 1.912830544999222782e-01
3.152052811466283515e+02 8.822593882620820693e+01 7.878701231449650777e+02 7.334784367048732747e+02 1.514908946688776070e-01
5.569179116631918305e+02 3.274948607054033545e+01 6.408229689649856482e+02 4.100325062800544629e+02 1.413218446803714556e-01
5.949269458343827637e+02 6.994693654931209892e+01 7.366991172967533430e+02 2.764701964719898797e+02 8.997909575339901878e-02
1.523101968671612383e+02 4.211932766783605331e+01 9.340481281057757315e+02 5.658321565900535006e+02 3.190921858462379967e-01
1.465632494099037899e+02 2.490202658605385722e+01 5.424042628175211576e+02 2.588005223954070857e+02 1.501467891631200757e-01
3.413057595232303925e+02 4.965103523801069230e+01 9.289514945051919312e+02 2.995127164308240140e+02 9.340732734933335224e-02
4.379104707715457607e+02 1.074626363914234162e+02 5.846872635302194112e+02 1.049585597991341785e+02 2.178832192011548319e-02
2.909649261769001214e+02 4.426961504612493314e+01 7.931379153863796319e+02 1.813294717478653695e+02 5.115952167740126649e-02
8.664443513835603881e+02 2.394734269445879420e+02 5.560979181345211373e+02 4.600323570573463599e+02 4.536062798959317188e-02
7.420502789898050651e+02 1.404380601875039645e+02 6.859306091285270668e+02 1.448420979364194636e+02 2.965141494624108642e-02
7.507109972630526329e+01 1.303587606211549677e+01 8.125834338287854735e+02 5.430893759525807951e+01 1.243032390473007981e-01
3.603742519769282922e+02 2.196843747618981979e+01 7.203490982148013018e+02 2.783424478223762435e+02 1.722507314802055323e-01
1.400805021591821742e+02 2.959259080553408339e+01 8.584340006783764920e+02 1.115139301702117507e+02 1.255304459660521732e-01
9.600116863570318060e+01 1.350902444974907723e+01 7.727113542029683231e+02 2.944591012679286450e+02 2.884114944987280493e-01
2.629535498741378206e+02 3.515856942030598020e+01 5.634356721173702454e+02 3.089495573950370400e+01 2.284334208663519467e-02
4.898118708286700098e+02 1.033040341956206731e+02 9.605554768825688825e+02 4.502540346634698381e+02 9.912502488639274301e-02
1.746005087351228156e+02 3.757794292165286976e+01 8.559203952960160677e+02 5.705894489102046236e+02 2.563636176167245484e-01
4.876746567223405009e+02 6.485113841571484272e+01 8.610741630241760731e+02 1.656638577026966743e+02 6.357663241607480753e-02
4.481153056142753712e+02 3.983242620719987315e+01 7.056696998372520966e+02 2.738411556053654650e+01 2.584455791000885017e-02
1.997790983316067184e+02 2.886531414493703096e+01 4.611259508689511790e+02 1.719473128401601514e+02 1.539377572278101958e-01
8.623331223964180481e+02 6.513240323657970521e+01 4.370803382060731224e+02 2.124290444585824105e+02 5.009483879940213047e-02
2.904723034188421025e+02 7.845600433270045926e+01 6.315776770107254379e+02 1.257421627040150298e+02 5.094909120974389777e-02
1.328777281974479365e+02 3.161613598902664179e+01 5.092394774602222469e+02 1.593778480350581503e+02 1.119983873865374874e-01
7.204975511924112652e+02 4.348583345370459341e+01 9.839376837888300997e+02 4.654423797427273826e+02 1.078176971856582567e-01
7.574489197989137210e+02 8.182179452881133841e+01 5.214613019141281711e+02 3.272894339514410262e+02 7.091353291989321850e-02
1.667910505538730774e+02 3.416662495792350995e+01 9.645544451122458440e+02 2.941138592072899201e+02 1.956192540142151493e-01
6.312210182928415634e+02 6.820944439879076526e+01 1.606934321323015524e+02 1.138787672358837995e+02 4.347330662184711869e-02
6.902856999784710297e+02 1.537166527282391826e+02 6.875491166626968607e+02 2.282801927174805883e+02 3.823780770086526726e-02
2.165046922333180532e+02 1.467258990957170184e+01 7.456402426566299937e+02 5.882086840615494339e+01 8.379081585692006728e-02
5.216536710139223487e+02 7.776092702998444395e+01 5.408454804181667441e+02 7.196621251715251901e+02 1.704142793821399327e-01
6.451710224963342171e+02 6.109447483504001042e+01 8.739010303042680334e+02 6.741081809615084808e+01 2.143870431438785196e-02
1.261928680846928899e+02 1.751725638780174776e+01 8.693526657867098493e+02 2.632142830754619354e+02 1.589114917517094328e-01
1.388779127315995936e+02 4.678554794745060974e+01 7.652517470577776066e+02 3.721949852413920325e+02 1.787373879950677757e-01
5.067909989830166637e+02 1.147325637999542920e+02 9.543616113801036818e+02 1.974373044295989246e+02 4.178765739848640942e-02
8.713623490401689651e+02 6.822233176205985217e+01 4.544846653402151446e+02 1.758984395374803285e+02 4.662069392171264148e-02
4.260114413836033123e+02 6.737100224519338099e+01 8.665085254224698019e+02 7.404657227196194071e+02 1.193163895203503966e-01
1.340369276499457101e+02 2.757603455189783759e+01 8.512776758103866541e+02 1.742820251231007092e+02 1.710085129919944602e-01
1.546660392659457557e+02 5.003766718594506813e+01 5.727451699944818984e+02 6.062255201680292771e+01 3.865702732015491305e-02
7.713081789625869078e+02 5.735916182182328527e+01 9.504686821925355389e+02 1.750193665388139834e+02 5.692837822664052749e-02
6.250139131000073576e+02 3.723655211503344020e+01 7.482143286627530188e+02 2.796213602191255632e+02 1.363490630163465278e-01
9.145665414624966161e+01 9.881927331387313274e+00 9.403773388561897946e+02 3.723155741035616302e+02 3.484263519407911902e-01
3.495300164947416306e+02 5.893639961247410497e+01 4.742785017354994466e+02 1.706758671280588260e+02 5.494185105002934166e-02
6.334938693518809032e+02 3.442743885953635186e+01 7.709306668566459848e+02 3.108881717591061147e+02 6.391814812056985373e-02
9.816969852215624996e+02 1.069870548050748198e+02 4.153295979230510966e+02 2.588141512321267328e+02 4.923328201843044094e-02
6.763253019733660949e+02 9.346274082456231724e+01 2.154617694283870151e+02 9.525880124696678308e+01 1.545796970128547609e-02
2.942141408253515351e+02 1.358454968506216254e+01 7.067654106692026517e+02 2.039146831916280576e+02 1.297273206048088490e-01
5.030656056549318578e+02 2.008427908083083224e+01 7.336905062463979448e+02 9.610877163382046717e+01 4.812120958703625107e-02
1.878828694509492720e+02 2.280250073077348816e+01 4.211780523200209245e+02 3.545766986945316717e+02 2.423969098403214728e-01
2.608463434807752037e+02 4.132961551645463771e+01 9.890942967107234836e+02 2.614362505016529781e+02 1.355147651601738001e-01
1.809458489802148051e+02 4.264702149769363615e+01 8.573544347034639941e+02 5.264211645943970552e+02 3.171458120745528353e-01
