logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.043872828207706789e+02 -6.103799971074620316e+02 7.499999999999999722e-02
-6.103799971074620316e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.387550444750107772e+02 -5.447502587617020708e+02 1.000000000000000056e-01
-5.447502587617020708e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.314575932642200087e+02 -5.374553075509113569e+02 1.185000000000000053e+00
-5.374546288232467077e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -5.290574778147172310e+02 -5.350576921014085201e+02 1.125000000000000000e+00
-5.349706008100690724e+02 nan -1.000000000000000021e-02 4.000000000000000000e+02 -5.147941418329514818e+02 -5.207968561196428254e+02 1.790000000000000036e+00
-5.207968554207336638e+02 8.783396163729955575e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -4.957710990307093084e+02 -5.017763133174006498e+02 9.500000000000000111e-02
-5.017763133119117924e+02 5.946071243080710111e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -4.846915467172078706e+02 -4.906992610038992098e+02 1.879999999999999893e+00
-4.906992455408923206e+02 5.279370673744606002e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -4.782806449602413181e+02 -4.842908592469326550e+02 1.030000000000000027e+00
-4.842892129216390913e+02 3.345170883735897327e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.764048844721606883e+02 -4.824175987588520229e+02 4.600000000000000200e-01
-4.822744728446202203e+02 1.381363123379117930e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.716855851511991204e+02 -4.777007994378904527e+02 1.049999999999999961e-01
-4.776905323448177683e+02 2.220857130194799467e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -4.545296435428633117e+02 -4.605473578295546417e+02 6.999999999999999556e-01
-4.605473577936778042e+02 8.871264932833836880e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -4.487930837268742152e+02 -4.548132980135655430e+02 6.350000000000000089e-01
-4.548100693099066234e+02 9.305572409363593422e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -4.222236355058869890e+02 -4.282463497925783145e+02 1.510000000000000009e+00
-4.282463497925754154e+02 1.399100506658336762e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.148439118585619099e+02 -4.208691261452532331e+02 1.004999999999999893e+00
-4.208685010060658556e+02 1.357325325969928009e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -4.077576197294536655e+02 -4.137853340161449864e+02 1.304999999999999938e+00
-4.137844952565239396e+02 1.081932958200365924e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -4.003635953253827893e+02 -4.063938096120741079e+02 5.749999999999999556e-01
-4.063931928295390890e+02 1.321350052757934357e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.968140300365089388e+02 -4.028467443232002552e+02 1.705000000000000071e+00
