weight logl pFat pLiver pSlow kMet fAbs
1.206465717116759309e-255 -6.043872828207706789e+02 3.429385387636669975e+02 4.816267125379333152e+02 3.174154037534578947e+02 6.225981461768044234e+00 7.297408919875908451e-01
3.838382033829980737e-227 -5.387550444750107772e+02 6.448041792958078986e+02 1.192458863915927623e+02 1.118256079983998319e+02 1.860407374725959073e+00 3.649251744222222760e-01
5.653341940906744536e-224 -5.314575932642200087e+02 8.780008943814646045e+02 8.362962351702948354e+02 4.543902007144806703e+02 2.774184675371439823e+01 5.605838046125876106e-01
6.216936247989277800e-223 -5.290574778147172310e+02 3.725330635855970058e+02 7.811353334676701934e+02 7.369422332244725737e+01 5.561753590208981279e+01 8.099647360241328808e-01
9.704625665472066106e-217 -5.147941418329514818e+02 6.512489974217585313e+02 7.205838987697977700e+02 2.754443888300594949e+02 6.526707677144040076e+01 7.617258164388003294e-01
1.768054182341303775e-208 -4.957710990307093084e+02 3.558684184644143897e+02 2.081761591825166136e+02 1.902107890031676618e+02 4.493177531027122740e+01 9.444253983511924355e-01
1.143400204154081015e-203 -4.846915467172078706e+02 8.819307358217406545e+02 2.725185879406606091e+02 2.976953711558940654e+02 2.810176829844662194e+01 5.583050699973332032e-01
6.939557622810744127e-201 -4.782806449602413181e+02 9.146762232341977779e+02 5.522813112582252870e+02 6.244696090480528028e+02 1.108913456977477807e+01 4.960319987839616473e-01
4.517295275959494268e-200 -4.764048844721606883e+02 7.378057302721824726e+02 9.041264902463332191e+02 8.991944786281039796e+02 5.387320910288261189e+01 7.622938676009474168e-01
5.050779356684501997e-198 -4.716855851511991204e+02 6.183008509088062965e+02 3.245595500545391587e+02 3.034004962437713289e+02 7.426559669393893159e+01 9.587123099308574314e-01
1.422340030095456376e-190 -4.545296435428633117e+02 6.005601866390395571e+02 9.551913571497257180e+02 8.196495172251180747e+02 7.210100823549819893e+01 7.400520890826035592e-01
4.398189829201083033e-188 -4.487930837268742152e+02 3.987893566995261949e+02 3.366494518095605031e+02 4.783457737901491100e+02 2.905686280832786039e+01 6.484760255230973547e-01
1.517584853275307662e-176 -4.222236355058869890e+02 5.602866776187451023e+02 7.667444804350914183e+02 8.919265721738350976e+02 5.896089923479828343e+01 6.558769239879118640e-01
2.426836426872226188e-173 -4.148439118585619099e+02 8.984216503167181145e+02 9.427274784395771121e+02 6.396573144267246107e+02 8.408214140540330561e+01 5.151635834617641629e-01
2.893958758302568910e-170 -4.077576197294536655e+02 2.891295755184025893e+02 4.547907920736669212e+02 8.821781494953454512e+02 5.886934361725849385e+01 8.934305964590507632e-01
4.694513575202546173e-167 -4.003635953253827893e+02 6.124084793496673456e+02 7.275416657983627147e+02 4.810956616503314649e+02 1.179620274872621479e+02 6.973267615331401048e-01
1.629526701250520396e-165 -3.968140300365089388e+02 8.470086106409094100e+02 9.427765112984016014e+02 8.812786117613272552e+01 1.024731439056542968e+02 5.301936606231961724e-01
9.194830330932341745e-164 -3.927785931432702000e+02 1.827847654796808570e+02 8.829025080764345148e+02 3.317043329100040978e+02 1.102343936591997107e+02 7.529407082018709785e-01
1.782931549359902681e-161 -3.875087203224239829e+02 7.117748725776881429e+02 1.846165814442770454e+02 1.503088827613693184e+02 9.133285290608969831e+01 8.749150047908316186e-01
