weight logl pFat pLiver pSlow kMet fAbs
3.381884425984431271e-257 -6.074178573558874632e+02 7.756833545299529620e-01 9.488102630548054250e-01 3.538884523861208775e-01 4.537356669546599441e-02 7.678330174888522430e-01
9.427231930465161786e-256 -6.040876028246135547e+02 7.611423952191892495e-01 4.104662864282540014e-01 3.120182648068184905e-01 5.747986348413336444e-04 5.086115283390981734e-01
2.219014973936518913e-252 -5.963213015755510469e+02 4.473363680689308453e-01 7.807193924190271028e-01 1.968766145490291608e-01 3.731716293090436842e-02 6.685307931182575825e-01
5.202221097264211919e-246 -5.816512687410897797e+02 6.753535620581748722e-01 5.685051921067422187e-01 3.989468305473677923e-01 1.242496037798901387e-02 5.918181589896462924e-01
1.732601629036903379e-245 -5.804456452058763034e+02 7.042249876699648858e-01 7.230133558907336777e-01 8.550164481692713592e-01 1.320173646360423003e-02 9.033559600920600952e-01
1.601569256017370269e-236 -5.597985195460289560e+02 4.080509549553553716e-01 4.899679051269161256e-01 3.317721962651321022e-02 4.449743736699662833e-02 8.512892499129913748e-01
2.519905348990828025e-232 -5.501324417667602802e+02 6.997193848153755447e-01 4.339918652095741125e-01 4.408968890328907042e-01 2.668695336239290672e-02 7.152636748101605102e-01
3.231991752209699042e-219 -5.199474583099911342e+02 5.743125780891843446e-01 9.951962741093771658e-01 3.086409087901444970e-01 1.026952387842962056e-01 9.094028843708129584e-01
9.791186239695546005e-205 -4.866003829791043813e+02 9.821520462583654965e-02 5.099664986589145244e-01 3.861848854504569273e-01 1.486115208488991701e-02 5.658034727434096967e-01
1.741174769640029617e-196 -4.676015397194909156e+02 8.525770181558566252e-01 1.518312757567934490e-01 7.859874428669866298e-02 3.885798552491537272e-02 5.188249550415209299e-01
3.007219241505779339e-192 -4.578422435761658562e+02 7.191790777766100540e-01 7.450565947056877469e-01 5.649738690191660195e-01 1.264341547419745027e-01 8.707414536180623221e-01
2.001209143194712950e-191 -4.559444227254205657e+02 8.716542727474599905e-01 7.988688973872248855e-01 3.908652132724144135e-02 1.232638267093830731e-01 9.976251461183591740e-01
1.430569925257114330e-190 -4.539750162879009849e+02 4.000432036501926358e-01 5.433729303295277147e-01 5.075601709804804518e-01 1.903491472741980495e-02 4.286872868007953752e-01
9.255077706765134111e-190 -4.521054168597209468e+02 9.539910862366031141e-01 6.959019499917121765e-01 9.403826771186845068e-01 1.381981633534772325e-01 9.703713448162247790e-01
2.289466778145255882e-189 -4.511971851664286532e+02 9.531695005765390416e-01 5.321752665506116475e-01 9.771563676105540219e-01 3.321699623494656084e-02 6.046850997607237099e-01
8.633013907665011029e-187 -4.452622402426811732e+02 5.593760645692045230e-01 4.696341396680113744e-01 4.297500303951246048e-01 1.052355992480721314e-01 8.757675083169899066e-01
1.345008059144640684e-186 -4.448163488249629154e+02 9.786660574614136632e-02 5.320802635345582843e-01 7.567759678397408818e-01 5.204650203251104390e-02 9.830495066747250155e-01
2.421750508809020108e-183 -4.373180029215216678e+02 4.682226098949819892e-01 5.234738221036507877e-01 1.473183425558000081e-02 7.970527078776779017e-02 9.274197794786053217e-01
3.983139702668692403e-183 -4.368179231726265357e+02 2.829491879815261290e-01 6.847794136605300785e-02 1.701501612042730649e-01 3.785413727292041841e-02 8.165278331805265744e-01
2.418952966879298059e-180 -4.304064034837329586e+02 8.274560756469279132e-01 7.510032967896461686e-01 3.922501446032530259e-01 6.036472691578698146e-02 3.832929797699562435e-01
2.524008709117274999e-172 -4.119407091328163233e+02 4.903408418034830296e-01 9.649620506108457230e-01 6.791301453136536770e-01 1.917104747004458876e-01 9.593303049138308669e-01
1.808123784072331259e-169 -4.053640125247609376e+02 9.529245601272651189e-01 8.193787410277461047e-01 1.798522151773103150e-01 1.800441038318844056e-01 8.988891223287394094e-01
1.438680635553213971e-158 -3.802616397578079273e+02 2.412239618170249900e-01 7.047976588493560790e-01 8.196072894215846727e-01 1.704621898292401072e-01 9.986161722563003940e-01
3.044460353821251189e-156 -3.749043723783546511e+02 3.191387119360612479e-01 9.463933112911134815e-01 3.297328940245363160e-01 1.675838593767022822e-01 7.816459479482478212e-01
3.463630628024052406e-155 -3.724702935937306165e+02 7.703445949804950121e-01 1.202795336638191603e-01 6.064949511567733209e-01 1.025173565240610207e-01 9.263628954500292556e-01
6.565512656512207792e-155 -3.718282803530672709e+02 5.174143403864841506e-01 7.703815414846143517e-01 9.636424207864823233e-01 2.026931275190910764e-01 8.913381908188374725e-01
1.889594121747272142e-153 -3.684660787055132687e+02 1.983967401503923256e-01 2.988626422133344729e-01 2.017495127736950167e-01 8.248050677319718194e-02 6.916648707708616950e-01
2.635425757380938025e-152 -3.658283109214356159e+02 3.078666729256869239e-01 8.401403291936024864e-01 2.425657685909714534e-01 1.588824430308564128e-01 7.974081401632161503e-01
1.023299368270797513e-147 -3.552588981213947932e+02 2.150725486382505380e-01 8.949814811481335841e-01 8.708900622825803683e-01 1.712622714250758849e-01 7.793362903365498306e-01
