10:21:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/parameter_fit_updated/2,3,7,8-TCDF/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:22:06 [ultranest] [DEBUG] Testing resume consistency: [-3.56501780e+00 -3.43515914e+00  0.00000000e+00  1.21857529e-01
  2.42706162e-02  4.97110497e-01  2.90521265e-02  3.72983077e-02
  1.30638954e+02  2.52463456e+01  4.97613386e+02  3.00230744e+01
  3.72983077e-02]: u=[0.12185753 0.02427062 0.4971105  0.02905213 0.03729831] -> p=[1.30638954e+02 2.52463456e+01 4.97613386e+02 3.00230744e+01
 3.72983077e-02] -> L=-3.4351591358810776 
10:22:11 [ultranest] [INFO] Resuming from 5759 stored points
10:22:11 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:22:11 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:22:11 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
10:22:11 [ultranest] [DEBUG] iteration=0, ncalls=83424, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-275.99, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=40, ncalls=83424, regioncalls=0, ndraw=40, logz=-139.22, remainder_fraction=100.0000%, Lmin=-133.13, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=80, ncalls=83424, regioncalls=0, ndraw=40, logz=-112.63, remainder_fraction=100.0000%, Lmin=-107.23, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=120, ncalls=83424, regioncalls=0, ndraw=40, logz=-96.85, remainder_fraction=100.0000%, Lmin=-91.72, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=160, ncalls=83424, regioncalls=0, ndraw=40, logz=-85.06, remainder_fraction=100.0000%, Lmin=-80.49, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=200, ncalls=83424, regioncalls=0, ndraw=40, logz=-78.22, remainder_fraction=100.0000%, Lmin=-73.69, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=240, ncalls=83424, regioncalls=0, ndraw=40, logz=-72.11, remainder_fraction=100.0000%, Lmin=-67.64, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=280, ncalls=83424, regioncalls=0, ndraw=40, logz=-67.19, remainder_fraction=100.0000%, Lmin=-62.35, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=320, ncalls=83424, regioncalls=0, ndraw=40, logz=-62.32, remainder_fraction=100.0000%, Lmin=-57.56, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=360, ncalls=83424, regioncalls=0, ndraw=40, logz=-57.90, remainder_fraction=100.0000%, Lmin=-53.22, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=400, ncalls=83424, regioncalls=0, ndraw=40, logz=-54.10, remainder_fraction=100.0000%, Lmin=-49.36, Lmax=-6.22
10:22:11 [ultranest] [DEBUG] iteration=440, ncalls=83424, regioncalls=0, ndraw=40, logz=-50.34, remainder_fraction=100.0000%, Lmin=-45.56, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=450, ncalls=83424, regioncalls=0, ndraw=40, logz=-49.55, remainder_fraction=100.0000%, Lmin=-45.04, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=480, ncalls=83424, regioncalls=0, ndraw=40, logz=-46.92, remainder_fraction=100.0000%, Lmin=-42.30, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=520, ncalls=83424, regioncalls=0, ndraw=40, logz=-43.87, remainder_fraction=100.0000%, Lmin=-38.88, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=560, ncalls=83424, regioncalls=0, ndraw=40, logz=-40.85, remainder_fraction=100.0000%, Lmin=-36.14, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=600, ncalls=83424, regioncalls=0, ndraw=40, logz=-38.38, remainder_fraction=100.0000%, Lmin=-33.62, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=640, ncalls=83424, regioncalls=0, ndraw=40, logz=-36.10, remainder_fraction=100.0000%, Lmin=-31.33, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=680, ncalls=83424, regioncalls=0, ndraw=40, logz=-34.35, remainder_fraction=100.0000%, Lmin=-29.97, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=720, ncalls=83424, regioncalls=0, ndraw=40, logz=-32.94, remainder_fraction=100.0000%, Lmin=-28.55, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=760, ncalls=83424, regioncalls=0, ndraw=40, logz=-31.70, remainder_fraction=100.0000%, Lmin=-27.19, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=800, ncalls=83424, regioncalls=0, ndraw=40, logz=-30.32, remainder_fraction=100.0000%, Lmin=-25.40, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=810, ncalls=83424, regioncalls=0, ndraw=40, logz=-29.92, remainder_fraction=100.0000%, Lmin=-25.20, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=840, ncalls=83424, regioncalls=0, ndraw=40, logz=-28.77, remainder_fraction=100.0000%, Lmin=-23.96, Lmax=-6.22
10:22:12 [ultranest] [DEBUG] iteration=880, ncalls=83424, regioncalls=0, ndraw=40, logz=-27.54, remainder_fraction=100.0000%, Lmin=-22.82, Lmax=-5.78
10:22:12 [ultranest] [DEBUG] iteration=900, ncalls=83424, regioncalls=0, ndraw=40, logz=-26.99, remainder_fraction=99.9999%, Lmin=-22.38, Lmax=-5.78
10:22:12 [ultranest] [DEBUG] iteration=920, ncalls=83424, regioncalls=0, ndraw=40, logz=-26.50, remainder_fraction=99.9999%, Lmin=-21.99, Lmax=-5.78
10:22:12 [ultranest] [DEBUG] iteration=960, ncalls=83424, regioncalls=0, ndraw=40, logz=-25.67, remainder_fraction=99.9998%, Lmin=-21.13, Lmax=-5.78
10:22:12 [ultranest] [DEBUG] iteration=1000, ncalls=83424, regioncalls=0, ndraw=40, logz=-24.78, remainder_fraction=99.9995%, Lmin=-20.23, Lmax=-5.78
10:22:12 [ultranest] [DEBUG] iteration=1040, ncalls=83424, regioncalls=0, ndraw=40, logz=-23.96, remainder_fraction=99.9991%, Lmin=-19.31, Lmax=-5.43
10:22:12 [ultranest] [DEBUG] iteration=1080, ncalls=83424, regioncalls=0, ndraw=40, logz=-23.22, remainder_fraction=99.9984%, Lmin=-18.58, Lmax=-5.05
10:22:12 [ultranest] [DEBUG] iteration=1120, ncalls=83424, regioncalls=0, ndraw=40, logz=-22.52, remainder_fraction=99.9964%, Lmin=-17.77, Lmax=-5.05
10:22:12 [ultranest] [DEBUG] iteration=1160, ncalls=83424, regioncalls=0, ndraw=40, logz=-21.80, remainder_fraction=99.9922%, Lmin=-16.88, Lmax=-5.05
10:22:12 [ultranest] [DEBUG] iteration=1200, ncalls=83424, regioncalls=0, ndraw=40, logz=-21.14, remainder_fraction=99.9866%, Lmin=-16.38, Lmax=-5.05
10:22:12 [ultranest] [DEBUG] iteration=1240, ncalls=83424, regioncalls=0, ndraw=40, logz=-20.59, remainder_fraction=99.9763%, Lmin=-15.81, Lmax=-5.05
10:22:12 [ultranest] [DEBUG] iteration=1280, ncalls=83424, regioncalls=0, ndraw=40, logz=-20.09, remainder_fraction=99.9596%, Lmin=-15.37, Lmax=-5.05
10:22:12 [ultranest] [DEBUG] iteration=1320, ncalls=83424, regioncalls=0, ndraw=40, logz=-19.64, remainder_fraction=99.9405%, Lmin=-14.80, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1360, ncalls=83424, regioncalls=0, ndraw=40, logz=-19.21, remainder_fraction=99.9021%, Lmin=-14.41, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1400, ncalls=83424, regioncalls=0, ndraw=40, logz=-18.82, remainder_fraction=99.8441%, Lmin=-13.97, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1440, ncalls=83424, regioncalls=0, ndraw=40, logz=-18.46, remainder_fraction=99.7699%, Lmin=-13.63, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1480, ncalls=83424, regioncalls=0, ndraw=40, logz=-18.14, remainder_fraction=99.6655%, Lmin=-13.37, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1520, ncalls=83424, regioncalls=0, ndraw=40, logz=-17.87, remainder_fraction=99.5669%, Lmin=-13.08, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1530, ncalls=83424, regioncalls=0, ndraw=40, logz=-17.80, remainder_fraction=99.5291%, Lmin=-13.04, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1560, ncalls=83424, regioncalls=0, ndraw=40, logz=-17.62, remainder_fraction=99.4269%, Lmin=-12.87, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1600, ncalls=83424, regioncalls=0, ndraw=40, logz=-17.38, remainder_fraction=99.3296%, Lmin=-12.50, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1640, ncalls=83424, regioncalls=0, ndraw=40, logz=-17.15, remainder_fraction=99.1859%, Lmin=-12.24, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1680, ncalls=83424, regioncalls=0, ndraw=40, logz=-16.92, remainder_fraction=98.9734%, Lmin=-11.92, Lmax=-4.91
10:22:12 [ultranest] [DEBUG] iteration=1720, ncalls=83424, regioncalls=0, ndraw=40, logz=-16.71, remainder_fraction=98.8096%, Lmin=-11.67, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=1760, ncalls=83424, regioncalls=0, ndraw=40, logz=-16.51, remainder_fraction=98.5788%, Lmin=-11.44, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=1800, ncalls=83424, regioncalls=0, ndraw=40, logz=-16.32, remainder_fraction=98.2276%, Lmin=-11.26, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=1840, ncalls=83424, regioncalls=0, ndraw=40, logz=-16.15, remainder_fraction=97.8851%, Lmin=-10.97, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=1880, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.98, remainder_fraction=97.3619%, Lmin=-10.72, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=1920, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.81, remainder_fraction=96.7332%, Lmin=-10.54, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=1960, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.65, remainder_fraction=96.2232%, Lmin=-10.28, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
10:22:13 [ultranest] [DEBUG] iteration=2000, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.49, remainder_fraction=95.5520%, Lmin=-10.05, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=2040, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.34, remainder_fraction=94.8784%, Lmin=-9.83, Lmax=-4.91
10:22:13 [ultranest] [DEBUG] iteration=2070, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.23, remainder_fraction=94.3648%, Lmin=-9.67, Lmax=-4.76
10:22:13 [ultranest] [DEBUG] iteration=2080, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.19, remainder_fraction=94.1310%, Lmin=-9.62, Lmax=-4.76
10:22:13 [ultranest] [DEBUG] iteration=2120, ncalls=83424, regioncalls=0, ndraw=40, logz=-15.05, remainder_fraction=93.4320%, Lmin=-9.41, Lmax=-4.43
10:22:13 [ultranest] [DEBUG] iteration=2160, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.91, remainder_fraction=92.5502%, Lmin=-9.25, Lmax=-4.43
10:22:13 [ultranest] [DEBUG] iteration=2200, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.79, remainder_fraction=91.4018%, Lmin=-9.10, Lmax=-4.43
10:22:13 [ultranest] [DEBUG] iteration=2240, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.67, remainder_fraction=90.2315%, Lmin=-8.94, Lmax=-4.43
10:22:13 [ultranest] [DEBUG] iteration=2280, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.56, remainder_fraction=89.9899%, Lmin=-8.79, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2320, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.46, remainder_fraction=89.0327%, Lmin=-8.64, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2360, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.36, remainder_fraction=87.4457%, Lmin=-8.43, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2400, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.25, remainder_fraction=86.0869%, Lmin=-8.26, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2440, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.16, remainder_fraction=84.6095%, Lmin=-8.11, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2480, ncalls=83424, regioncalls=0, ndraw=40, logz=-14.06, remainder_fraction=83.0307%, Lmin=-7.95, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
10:22:13 [ultranest] [DEBUG] iteration=2520, ncalls=83424, regioncalls=0, ndraw=40, logz=-13.97, remainder_fraction=81.5978%, Lmin=-7.79, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2560, ncalls=83424, regioncalls=0, ndraw=40, logz=-13.89, remainder_fraction=80.5687%, Lmin=-7.65, Lmax=-3.19
10:22:13 [ultranest] [DEBUG] iteration=2600, ncalls=83424, regioncalls=0, ndraw=40, logz=-13.80, remainder_fraction=79.1184%, Lmin=-7.51, Lmax=-3.19
