pFat pLiver pSlow kMet fAbs
1.055348867190402373e+01 1.075778120916201459e+02 7.144700784950213119e+02 3.777924377267166847e+02 8.939152855559249211e-01
1.095626335879352098e+01 1.249885235450793033e+02 5.335212545057197531e+02 2.331854234092408831e+02 4.405681750818214448e-01
1.193025985053740712e+01 6.259055711876203532e+01 5.628441663859354094e+02 2.659972941533383732e+02 5.151607743510949744e-01
1.552462447234994514e+01 7.489391981523425557e+01 5.232460874773876185e+02 2.623306565645346495e+02 4.101032199803092970e-01
1.627405777606697512e+01 1.056960877029358699e+02 8.071994419585233800e+02 4.700513952718732185e+02 7.700977226194589687e-01
1.053839118933993291e+01 9.515989833822115429e+01 9.484891170910494793e+02 4.732008933452673318e+02 9.639022343627994260e-01
1.318417399015242708e+01 7.369722665915654147e+01 1.454955759575369143e+02 6.870136353973586552e+01 1.226652019591791265e-01
1.463040373988160425e+01 1.304150110959346591e+02 7.956233241196052859e+02 4.110897098918389929e+02 4.842937522835819020e-01
1.035757291523460744e+01 4.332290084528979435e+01 8.988320962862861734e+02 3.934129715528873135e+02 9.851777782527878502e-01
1.363465873783085769e+01 7.293198830918841225e+01 1.923818402912485510e+02 8.468342555803933180e+01 1.806158100287623136e-01
1.293208355581776559e+01 1.018832661792425256e+02 6.473372742423339332e+02 2.394657450909491274e+02 4.308003227585935346e-01
1.050305930007434974e+01 7.217647879524093923e+01 8.141124047743663823e+02 4.087170873907134592e+02 7.490114748201410766e-01
1.150669516865276520e+01 9.667813648110124802e+01 5.630555193302133148e+02 3.833675318922969382e+02 7.566032944874011568e-01
1.040488559870779461e+01 5.228805777318526538e+01 6.165276832851817517e+02 3.088208306742325249e+02 6.968229203286115947e-01
1.175478938904243087e+01 5.664825941886363836e+01 4.513349392093004440e+02 2.420546265675877464e+02 6.267659388300074186e-01
1.022084988110695036e+01 1.777787485372012384e+02 6.395024922684607418e+02 4.600054223058108960e+02 6.923602402116222354e-01
1.204222259722551236e+01 9.100953783653038442e+01 8.855134937513597606e+02 5.127959371482895676e+02 9.974084306253029331e-01
1.197643323903076151e+01 6.674408452569247174e+01 5.650798675430652338e+02 2.929559354367687547e+02 5.174162290340917902e-01
1.237881377844720276e+01 4.678471929912535643e+01 6.202994938295603333e+02 3.147294281921951438e+02 6.746789251380010954e-01
1.005609132274223505e+01 1.058828852405161314e+02 1.372884800349947909e+02 6.716060633134827640e+01 1.092681603378273802e-01
1.647533457490594344e+01 6.928609014987279124e+01 3.198914034983756665e+02 1.241153056364298948e+02 2.496882627029697321e-01
1.279425160905366710e+01 1.049352099993139120e+02 3.507220405505507870e+02 1.813716168979180168e+02 1.987801772021936531e-01
1.060457099543909010e+01 1.008643784385707534e+02 5.456438822020562611e+02 2.976697406166946394e+02 7.388237376261488354e-01
1.158568047779621679e+01 5.547314436310757912e+01 5.246490854416883849e+02 3.039269427970306765e+02 8.327264952540042175e-01
1.063267198093833876e+01 1.094086325604026513e+02 5.064392183462927619e+02 2.295428650668386865e+02 3.299592506318148599e-01
1.084506831624902823e+01 8.444856333709503815e+01 4.831709522582880254e+02 2.497918476655948155e+02 4.662138145186746074e-01
1.179404480764475949e+01 9.985855253153680167e+01 7.872447565862297552e+02 4.963941350790422575e+02 9.811389507593601955e-01
