weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.284040070244834624e+02 9.196630584768286099e+02 6.567546463770946730e+02 9.826353109484390416e+02 7.503942704356743434e+02 1.820638242217009761e-04
0.000000000000000000e+00 -7.906060782565510863e+02 3.947477783967474920e+02 2.309295289190514495e+02 2.430921324393822829e+02 9.121130051840029864e+02 3.705032414568210086e-03
3.190464292768031086e-285 -6.674113761272077454e+02 4.325351887783679672e+01 8.018219432651529814e+02 8.900572091047574474e+01 8.286355628685045076e+02 1.157948302571654153e-02
1.213832817074424944e-228 -5.371279093083805947e+02 1.434369905990042184e+02 8.778327400532000979e+01 6.918632664856119163e+02 9.682978809075033269e+02 7.295222837681580863e-03
2.021172153360646303e-205 -4.836560575231520716e+02 7.285137254942319487e+02 7.242722823469616742e+02 1.908764719003442849e+02 2.014514062525807336e+00 4.637210015569628307e-01
4.232183796875079941e-201 -4.737041766443596202e+02 8.323859467780025625e+02 1.870248363469628714e+02 2.103807462916086592e+02 1.393769280084823947e+01 8.915205754247895742e-01
8.378758576606099043e-201 -4.730186950059325000e+02 5.713686060651193657e+02 8.958446939112504879e+02 4.938304720667302945e+02 1.226202454783951801e+01 9.964592737191055871e-01
5.477979200486357365e-200 -4.711385734013257434e+02 8.325266808816292041e+02 5.527464499296560234e+02 7.736542000507884609e+01 2.273411144745265133e+01 6.151217000523936385e-01
9.245327555619690236e-199 -4.683101062874665104e+02 9.643666381201741160e+02 7.405762190319680940e+02 2.605303575089268975e+02 3.816866638382765586e+01 9.099968266070533884e-01
6.248120779138053318e-196 -4.617916885600673140e+02 7.267618039418952094e+02 8.231379198057253461e+02 1.362009142911615811e+02 4.098021904867731280e+01 8.923289185943984458e-01
8.960782830896154082e-195 -4.591260266175817719e+02 2.387975138679363241e+01 1.283449742227383013e+02 2.637817134055954966e+02 8.635577721202637349e+02 4.943535781793384487e-02
1.980423321886964608e-193 -4.560279034034961683e+02 7.146206141022013298e+02 1.057971140174155167e+00 2.540696723501808307e+01 9.396619750215357953e+02 6.647398876160307557e-01
2.268666436164940559e-188 -4.443765963735051514e+02 4.057704737798553651e+02 7.307934979919336911e+02 3.850445061983053279e+02 6.190473735476372141e+00 7.823651416245228640e-01
3.279840724466141704e-188 -4.440054936977104489e+02 4.982605814900828705e+02 5.048300517323758640e+02 1.133888178961291118e+02 3.416727595068720547e+01 9.455289760763032625e-01
1.341109076210698730e-172 -4.080559301309609168e+02 4.639024845681599913e+02 9.525025613463333229e+02 6.482687784480094706e+01 4.898153614197866546e+01 9.374461264374831515e-01
6.470176484167456114e-172 -4.064797236859623126e+02 3.952627162696751384e+02 8.667849334926804659e+02 3.625824600088895977e+02 4.276550875001879248e+00 5.377807304883860384e-01
5.442297322268376746e-164 -3.882295450538452997e+02 6.564726601117959035e+02 9.554640404257883119e+02 2.994332137338851680e+02 4.253947557073297503e+01 6.496655625706048154e-01
1.533871763504776540e-163 -3.871908661311623518e+02 7.435268607166700576e+02 1.910723157912720183e+02 8.156553939420840607e+02 8.027761780674175043e+02 5.887765705606340383e-03
3.939429282062932230e-154 -3.655218595369664740e+02 6.006829578083209071e+02 8.257405254883200314e+02 5.258981637935107756e+02 2.200225637569187853e+01 5.856943304610343626e-01
2.256727664740995638e-139 -3.315377031745485965e+02 8.332693823246479496e+02 7.460082766826718625e+02 3.559935291242987887e+02 6.774475512966299107e+01 6.007604334952566516e-01
7.042003987331103680e-138 -3.280946411226570945e+02 7.619125259665555632e+02 5.459280973165668911e+02 8.375564514358269719e+01 2.347832600096207756e+01 2.498426452008237764e-01
2.002548762237659701e-133 -3.178366876942965860e+02 5.905777600863982570e+02 5.438218814030439034e+02 4.782695060931735043e+02 9.388945476037602589e+01 9.803932649646258657e-01
7.851079033387423756e-133 -3.164679574658104571e+02 6.149525420732245493e+02 4.414002128939511636e+02 9.707201572403746468e+02 1.604614408280719573e+01 6.966251435896632094e-01
5.136030757681249902e-132 -3.145872427966320970e+02 9.290420453372852307e+02 9.061548155567654703e+02 5.369217419028482254e+02 1.485001168663987698e+02 9.600551776600039222e-01
9.414457710420091721e-132 -3.139787767896650621e+02 5.300865434577114002e+02 6.912086262328595012e+02 4.600718933686345622e+02 9.569857028488918615e+00 3.407425866343922749e-01
1.691745086843856048e-130 -3.110875925737185526e+02 4.276860859179745944e+02 1.160990082042383449e+02 8.473656686100938487e+02 3.915932189574008238e+00 9.451515593661627967e-01
1.443929033292787160e-128 -3.066383150863269407e+02 3.000174526488077618e+02 3.494732694660382322e+02 3.759192668759616254e+02 5.477878184894462521e+01 9.282482256268710374e-01
2.142879079834668676e-127 -3.039384475974260340e+02 9.906317819251547689e+02 7.782036263612669700e+02 5.436311395640167348e+02 1.110742308218946022e+02 6.889615300247936558e-01
6.087837283804616023e-127 -3.028918049938390595e+02 8.188194195391761241e+02 6.128057451180458202e+02 2.219573755463740099e+02 1.145788260753715946e+02 8.831158871294032542e-01
2.469780449388715765e-124 -2.968837133478925239e+02 8.038150169227739070e+02 6.752346338814548972e+02 4.705419944639177174e+02 5.186294999370169023e+01 4.324647485789858692e-01
2.956093883882891465e-122 -2.920963036586773001e+02 7.350759990722971224e+02 6.128412538897458717e+02 7.253956330637652172e+02 1.272793481475488022e+02 9.361732804852911372e-01
3.801472853629605775e-120 -2.872371136510203655e+02 5.436386132907236970e+02 9.192920454565638977e+01 5.525716830347394080e+02 5.714215822513108378e+01 9.798500460417195468e-01
2.152357836194418272e-119 -2.855008532334883853e+02 3.550409882882000261e+02 5.412186150897447305e+02 9.088173884001496106e+01 6.788062705797817671e+02 6.668544781970775492e-02
2.291538345111867588e-118 -2.831331086912737760e+02 2.024763206665757025e+02 7.827863363481362740e+02 9.500375858998776266e+02 2.871448181242563180e+01 8.373346523983744571e-01
1.833305953464442634e-117 -2.810511260877513564e+02 9.235056571584374296e+02 1.070063513829565949e+02 9.969940441761401644e+02 1.503645490762028736e+01 6.108710972205969592e-01
2.933489111524891166e-117 -2.805785544191285794e+02 7.488647823827492402e+02 8.705645228833509464e+02 1.807319902659218656e+02 3.280713815088418528e+01 2.081120669655125432e-01
5.014036534207540691e-115 -2.754348354845990912e+02 5.599048831291390798e+02 1.623433169545297616e+01 6.535829216079574167e+01 9.173413701751684357e+02 6.230805890737954877e-01
