weight logl pFat pLiver pSlow kMet fAbs
1.551460444818563805e-242 -5.687004704063310783e+02 7.511081815774586223e-01 1.770285189578424401e-01 1.161472822571933960e-01 7.249135810109099687e-01 1.011571032600566689e-02
6.272082671664157522e-209 -4.913157505832792822e+02 9.195065694226607356e-01 4.986213823686953539e-01 2.228439874368611795e-01 1.716840772214101030e-02 9.915560963326180977e-01
2.144987871471595601e-160 -3.795595555925627878e+02 7.889046162084091263e-01 4.172369502308993505e-01 2.877545267344702173e-01 5.081391082696998795e-01 6.088316790019310254e-03
6.900590584016072116e-159 -3.760859973977803179e+02 6.298398616517829618e-01 1.069285559443657885e-01 5.766279009265740108e-03 8.760885261553008618e-01 8.091017009274825700e-02
2.058917279689752335e-155 -3.680825837733851813e+02 4.927992228895113902e-01 6.776205660263225905e-01 2.110214200267005458e-01 3.028503716322861194e-02 6.635880218937708630e-01
7.622924263938904595e-151 -3.575607635959021309e+02 8.804704745218121520e-01 8.456549947265236122e-01 4.755834470352682253e-01 5.756308775718255166e-02 8.178283625603612883e-01
3.679297774113255493e-147 -3.490763613699584198e+02 5.376068278603192141e-01 9.625588451534936585e-01 3.048129664484151569e-01 2.790746946706268439e-02 5.372597804138126154e-01
8.461193324469227239e-144 -3.413333377841237848e+02 4.394052184805654626e-01 4.744338911049270635e-01 7.078570836471198557e-01 1.520702480798297174e-02 9.549241021539945917e-01
5.568690736722253208e-143 -3.394465829396369827e+02 8.966072889993504935e-01 9.935680402004072320e-01 3.083949086006193552e-01 6.103337472559688948e-02 6.266805402507031886e-01
1.831682276070835349e-142 -3.382534229955894602e+02 5.507881483248034948e-01 9.482378601634401383e-01 6.966197393453567033e-01 2.324203615480763263e-01 1.235893101166563035e-03
4.731229779938143206e-142 -3.373019726522389306e+02 8.104806742172814271e-01 6.949520647229024961e-01 2.985247172045391029e-01 2.667013154943664865e-02 4.452957546778223419e-01
1.156501043787273073e-141 -3.364056736184855367e+02 9.055571986710209131e-01 8.910289148102390477e-01 3.575289078332591908e-01 8.378772822936353393e-02 8.323671514809498628e-01
4.517276026463793828e-139 -3.304354933745603944e+02 5.937508881834548946e-01 6.046488283250360807e-01 1.801173738598144114e-01 9.592592147954104309e-01 4.888672661654180907e-02
7.483733085176297580e-136 -3.230204155156961292e+02 3.217615017078891970e-01 6.841773679395525276e-01 1.511858503806468024e-01 8.150877301520872420e-01 5.250598020784136288e-02
3.059060413523511977e-135 -3.216099543513406616e+02 6.483977611130141705e-01 7.958461896377037048e-01 5.805431891620190799e-01 8.057366352837258550e-02 9.721102783965178684e-01
9.126234378323446340e-134 -3.182118239080993476e+02 3.440330484000463374e-01 5.350957752339861040e-01 6.673054618524886239e-01 2.571808290509236539e-02 9.363541086069732122e-01
3.001565803063302784e-130 -3.101110026139176057e+02 9.219192443439315765e-01 7.353743594964141650e-01 7.631039757395839951e-01 1.059225667973013874e-01 9.895305436781357544e-01
3.756454660842115881e-127 -3.029764058185650129e+02 9.107341829402266775e-01 3.543669652280035942e-01 7.333559418462731738e-01 4.525111054502817254e-02 7.404568385129406405e-01
4.089160379334187725e-118 -2.821657759220969979e+02 7.100248117985707985e-03 3.515303213931683102e-01 1.182914745891925357e-01 9.848366874917757752e-01 2.896012741409900171e-01
2.246888593341681259e-116 -2.781568989870663700e+02 2.897538012690237252e-01 8.808072040476160325e-01 9.713621553939560949e-01 4.661109300207866291e-02 9.399411429046443667e-01
2.815383426085662391e-116 -2.779288469383460551e+02 1.026603370558927253e-01 3.146663577789666766e-01 4.713163117206138342e-01 8.687134989628431114e-01 4.470819448510876537e-02
3.066315477489012153e-116 -2.778409687282440927e+02 9.272418288645379869e-01 2.134822568060227299e-01 7.103096392393926095e-03 6.377738737149629689e-01 6.632712718461830637e-02
2.667672881586511615e-112 -2.687673985144515996e+02 5.501165209509297771e-01 6.677275568924616600e-01 2.303662897643520280e-01 1.117383593364946748e-01 9.913211136053178274e-01
1.084555936357673724e-110 -2.650597642129288261e+02 6.855671536656967602e-01 8.186945555578374334e-01 5.934115365219251315e-01 5.215148499143740235e-02 4.564544533092681489e-01
