pFat pLiver pSlow kMet fAbs
1.013217494319928278e+02 8.567541519572665720e+02 6.768545177429407431e+02 7.489490942253543153e+02 2.704401006934040175e-02
9.083718638214784846e+01 7.310786935761857421e+02 6.411534042862192564e+02 8.506175834124666153e+02 4.808136023221866451e-02
1.240638782025717148e+02 9.183852328732402839e+02 5.184828480312371539e+02 7.999373568440879581e+02 4.755427619324099908e-02
1.159139613943938230e+02 9.768038392006947106e+02 6.250841643722296794e+02 9.468098107415219147e+02 4.657783731796296539e-02
5.396948630148946791e+01 8.550710372048284853e+02 6.533434281682423261e+02 9.999547013743730304e+02 5.485466919361786653e-02
1.916137679875315030e+02 7.440493155573584545e+02 5.125537108961448212e+02 7.416914844526754678e+02 3.133073034149498615e-02
1.543364287766912639e+02 8.419474921441546940e+02 3.425817122058437008e+02 3.371411146369309222e+02 1.073851895846874779e-02
1.847141086981524154e+02 7.127024099996758650e+02 6.359099609424414439e+02 9.077887402927399307e+02 5.479935258951200427e-02
1.011901565573167545e+02 6.532228044347656351e+02 5.210461303123472590e+02 6.625757838996970577e+02 3.400772855580762311e-02
1.168542641602266769e+02 8.608043008332386989e+02 5.248187159161361706e+02 8.689183180761890526e+02 5.014228090247947744e-02
1.545150358203983956e+02 6.188522248705891116e+02 4.978091407304265772e+02 6.657039410475792920e+02 2.955510953246660161e-02
1.908862414169406634e+02 8.953154708952167766e+02 3.634645215153989852e+02 3.911953239418971293e+02 1.256697021717921581e-02
9.661182022704228700e+01 8.656449852696258631e+02 6.579045655168655458e+02 7.819253331270831495e+02 3.672753219004962211e-02
9.931234356229083460e+01 8.639710750326196376e+02 4.563830576123629044e+02 7.152367276416792947e+02 5.165340217757316554e-02
7.675791125862131992e+01 7.394577801155967336e+02 5.759106703176995552e+02 7.152258150635217362e+02 3.943191614222826824e-02
1.442912527865725849e+02 9.852607223390482432e+02 5.886733742381794627e+02 8.304697267703819534e+02 4.216257893123653150e-02
1.106059458681402248e+02 8.571324071375386211e+02 7.078582180047045540e+02 8.563512457298477329e+02 3.473162152092920674e-02
