logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.010267534229050511e+03 -1.016260248515741864e+03 1.330000000000000071e+00
-1.016260248515741864e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.090229271391965540e+02 -9.150181414258878476e+02 1.850000000000000089e+00
-9.150181414258878476e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -8.631742868053780740e+02 -8.691720010920694222e+02 1.199999999999999956e-01
-8.691720010920694222e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -8.548128262726479534e+02 -8.608130405593392425e+02 1.090000000000000080e+00
-8.608128062990386979e+02 nan -1.000000000000000021e-02 4.000000000000000000e+02 -8.319333183160779299e+02 -8.379360326027692736e+02 4.199999999999999845e-01
-8.379360326026531993e+02 nan -1.250000000000000069e-02 4.000000000000000000e+02 -8.224730000568866899e+02 -8.284782143435779744e+02 1.449999999999999956e+00
-8.284781362698772682e+02 4.668756098035195201e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -8.063056892909843327e+02 -8.123134035776756718e+02 1.395000000000000018e+00
-8.123134034822322747e+02 7.805190340690759676e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -7.906014865369861582e+02 -7.966117008236774382e+02 1.004999999999999893e+00
-7.966117006720293148e+02 1.310173582059395159e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -7.733347210866247678e+02 -7.793474353733161024e+02 1.864999999999999991e+00
-7.793474353415308542e+02 1.693045634926035348e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -7.720725515596748210e+02 -7.780877658463660964e+02 8.750000000000000000e-01
-7.778379820848306281e+02 1.267699923827226272e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -7.656391862302779145e+02 -7.716569005169692446e+02 1.665000000000000036e+00
-7.716548344629724170e+02 1.093005725393768479e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -7.643669856288286155e+02 -7.703871999155198864e+02 4.650000000000000244e-01
-7.701391712222858814e+02 2.178414667879664091e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -7.302926764991044593e+02 -7.363153907857957847e+02 7.449999999999999956e-01
-7.363153907857957847e+02 1.562699639582341327e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -7.248492645376712744e+02 -7.308744788243625408e+02 5.649999999999999467e-01
-7.308701526680524694e+02 1.100683810525798023e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -7.247007606441426333e+02 -7.307284749308339542e+02 2.149999999999999967e-01
-7.301036596419083935e+02 1.146427322257306258e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -7.222873498346780252e+02 -7.283175641213692870e+02 8.649999999999999911e-01
-7.281626023392640263e+02 1.605019592877137802e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -7.141488744225434857e+02 -7.201815887092348021e+02 3.499999999999999778e-01
-7.201812468749726577e+02 4.502391659090097420e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -7.113343221865776513e+02 -7.173695364732689086e+02 1.199999999999999956e-01
-7.173111712436663083e+02 4.476074573197166728e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -7.007082403717353145e+02 -7.067459546584266263e+02 1.479999999999999982e+00
-7.067459288608366705e+02 7.187559179792789799e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -6.886291577072042855e+02 -6.946693719938956519e+02 5.999999999999999778e-01
-6.946693663025264414e+02 1.104909777499801571e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -6.836525182081172716e+02 -6.896952324948085788e+02 1.495000000000000107e+00
-6.896883417847382134e+02 1.314051862653534641e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -6.829789319517802824e+02 -6.890241462384716442e+02 1.080000000000000071e+00
-6.886089371551793192e+02 1.140214966809744013e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -6.785821089418519705e+02 -6.846298232285432732e+02 7.850000000000000311e-01
-6.846112937608586435e+02 1.291683533100734582e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -6.600298498686062203e+02 -6.660800641552975776e+02 1.300000000000000044e+00
-6.660800641463441707e+02 1.039290236202755402e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -6.539265425759581376e+02 -6.599792568626494358e+02 5.699999999999999512e-01
-6.599770183122544722e+02 2.125437943037665534e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -6.478982935708454534e+02 -6.539535078575368061e+02 1.205000000000000071e+00
-6.539510896285077024e+02 3.335126136761335847e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -6.449789039950065899e+02 -6.510366182816978835e+02 1.594999999999999973e+00
-6.509838050838935715e+02 3.461306047536553354e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -6.394288236567560944e+02 -6.454890379434474426e+02 1.000000000000000021e-02
-6.454849381461225448e+02 3.248021984343563595e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -6.347609823834935696e+02 -6.408236966701848587e+02 1.774999999999999911e+00
-6.408142863689744217e+02 2.192362008803798279e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -6.325772958354873481e+02 -6.386425101221786917e+02 1.419999999999999929e+00
-6.385345754321857612e+02 2.412907185977203106e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -6.301576346833733169e+02 -6.362253489700646014e+02 1.014999999999999902e+00
-6.361306407317522371e+02 2.950658074141035314e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -6.254968184238210824e+02 -6.315670327105124215e+02 1.639999999999999902e+00
-6.315566622900604443e+02 1.615068243951043314e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -6.183657423001781126e+02 -6.244384565868693926e+02 1.334999999999999964e+00
-6.244376466956983904e+02 3.536811502291087095e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -6.167345531608070814e+02 -6.228097674474984160e+02 7.349999999999999867e-01
-6.226304959264708714e+02 4.071815753881508293e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -6.104049818710223008e+02 -6.164826961577135762e+02 1.925000000000000044e+00
-6.164805602592783771e+02 6.372300965893964886e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -6.094615709283569913e+02 -6.155417852150483213e+02 1.074999999999999956e+00
-6.152116856476972089e+02 5.768442981333782527e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -5.998787879988766463e+02 -6.059615022855679172e+02 8.000000000000000167e-02
-6.059614061961542575e+02 7.673299883819094447e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -5.972749183377607096e+02 -6.033601326244520351e+02 9.500000000000000111e-02
-6.032885759330450810e+02 5.735874592022184970e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -5.955840743080173070e+02 -6.016717885947085733e+02 1.540000000000000036e+00
-6.014906881973785175e+02 4.458897618557879028e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -5.832947364344408925e+02 -5.893849507211322134e+02 7.049999999999999600e-01
-5.893849451934404442e+02 4.452817434342111191e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -5.805093111703673685e+02 -5.866020254570586303e+02 1.929999999999999938e+00
-5.865420055964565336e+02 5.088650921998963739e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -5.681082838388260825e+02 -5.742034981255173989e+02 9.300000000000000488e-01
-5.742034937457268597e+02 8.916011754479567841e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -5.612559482439069143e+02 -5.673536625305981715e+02 1.270000000000000018e+00
-5.673526034570865022e+02 1.050474998462262022e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -5.585513773497282273e+02 -5.646515916364195391e+02 1.580000000000000071e+00
-5.645866117621894773e+02 6.522209370716514520e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -5.544863602622590406e+02 -5.605890745489504070e+02 7.000000000000000666e-02
-5.605708802712254055e+02 7.568304653172762464e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -5.539325400573618481e+02 -5.600377543440531554e+02 6.149999999999999911e-01
-5.595760551601043744e+02 1.883784483300954937e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -5.512117409032380237e+02 -5.573194551899293856e+02 1.060000000000000053e+00
-5.572198760592976896e+02 2.022387379710354871e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -5.468698871400127928e+02 -5.529801014267040955e+02 3.350000000000000200e-01
-5.529657934367186272e+02 1.943611105085211177e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -5.375787670028457796e+02 -5.436914812895371369e+02 8.000000000000000444e-01
-5.436913874907888840e+02 3.852395609608009863e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -5.301330738907042814e+02 -5.362482881773955796e+02 1.090000000000000080e+00
-5.362477028808806381e+02 5.079468417876457309e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -5.243582879380412578e+02 -5.304760022247326106e+02 1.344999999999999973e+00
-5.304728926082170801e+02 4.403533481949803985e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -5.241132404381071410e+02 -5.302334547247984347e+02 1.989999999999999991e+00
-5.296528772269792853e+02 4.379269403214154366e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -5.237133116525643572e+02 -5.298360259392557055e+02 7.199999999999999734e-01
-5.290471173183593692e+02 1.881313606846800823e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -5.124019278568736127e+02 -5.185271421435649017e+02 1.294999999999999929e+00
-5.185271151520679496e+02 6.120430403202179903e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -5.055736059517411149e+02 -5.117013202384324018e+02 1.549999999999999989e-01
-5.117002354142779268e+02 8.127043291428716287e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -5.029827421737822419e+02 -5.091129564604735833e+02 3.300000000000000155e-01
-5.090404270290044337e+02 5.381544670626733584e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -5.014730977794193336e+02 -5.076058120661106727e+02 4.400000000000000022e-01
-5.073921476482265120e+02 5.833661845872039287e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -4.976159126844461298e+02 -5.037511269711374666e+02 1.580000000000000071e+00
