weight logl pFat pLiver pSlow kMet fAbs
1.503333065852828160e-318 -7.410014819910289816e+02 5.384808645689943205e+02 4.137118790758270279e+02 5.238542714380329812e+01 7.550846854230341521e+00 8.472075751619678741e-01
3.567032383299671435e-315 -7.332271757780127928e+02 5.220105019625210616e+02 5.633008909446642747e+02 1.002386813220897324e+02 1.441309589674523828e+00 7.001446602144570930e-01
1.784279118872226370e-289 -6.740501828659566854e+02 5.525758740761035597e+02 7.314082382780856051e+02 1.795105108940048524e+02 1.065218258063617718e+01 8.036391518879612006e-01
1.846927551087708386e-246 -5.750020148706342979e+02 6.501382197219492127e+02 6.197940261077270634e+02 4.675980028571366915e+02 1.810897955220934108e+01 9.061954992997620639e-01
3.254285671867124649e-246 -5.744330655499703653e+02 8.102295135128282482e+02 9.011125977970348231e+02 4.081996354577226072e+01 5.387875068242039589e+01 8.018229030416567094e-01
2.832615499336814912e-212 -4.962814446945483269e+02 4.164419362438836174e+02 5.437218935549608432e+02 7.420856364599400194e+02 1.246824838597694551e+01 8.441041073481859724e-01
3.553804813673782392e-212 -4.960521263760593911e+02 9.727997859519568919e+02 2.380200987554949847e+02 1.926852757156347593e+02 4.773782755392998922e+01 7.983803421301020053e-01
1.152754094261090717e-204 -4.787548104963173614e+02 4.196292318212868508e+02 7.098703304217397090e+02 5.994000282801529238e+02 4.384157416099024651e+00 5.041230159299470159e-01
1.289455697546791804e-204 -4.786402442507038018e+02 5.563258947897071494e+02 8.644895870367810176e+02 7.630700324842795226e+02 3.042221071176074432e+01 6.781689835693232027e-01
9.615800520887602859e-203 -4.743259717140778093e+02 8.803109450707994199e+01 2.005259536346365223e+02 2.472218884147128790e+02 3.310077290355074364e+00 6.639163140698775001e-01
4.318302296735592236e-194 -4.544007511720593584e+02 4.570891660505284904e+02 9.364394864209599518e+02 4.844883224606459748e+02 8.249527159585926483e+01 7.411840927371285970e-01
2.208814214158427819e-190 -4.458583173213796158e+02 4.341373290892843784e+02 6.505883388044246658e+02 9.505388377490342009e+02 3.691580287145682604e+01 8.122605258106081472e-01
4.176200090628541871e-190 -4.452188713743778408e+02 8.465662603297010946e+02 9.571704249758992091e+02 7.626112967613855744e+02 4.619122947685559666e+01 5.205390646173482239e-01
1.004482459280403229e-188 -4.420361305092643533e+02 4.073556381914057738e+02 7.121282221715927108e+02 5.439268451744634376e+02 9.733500338708040545e+01 9.329488105453617175e-01
9.372252398915620582e-188 -4.398003495007928905e+02 7.537728275999741072e+02 5.469237773190101279e+02 1.736221546603890715e+02 8.008663783393096480e+01 6.277587279336611648e-01
1.346835810020654129e-185 -4.348300896763444143e+02 4.980003365809128582e+02 3.918972537271961869e+02 9.207199082216649231e+02 2.164424830652919951e+01 7.886467729305166596e-01
2.684023616952328300e-185 -4.341380306550293540e+02 6.810085873230922289e+02 7.841167783822329511e+02 6.126128500538233084e+02 1.251519881815824391e+02 8.928959222960232145e-01
1.293604085786149746e-184 -4.325628303925310547e+02 9.870918770477667294e+02 8.672186242943286061e+02 2.267471082771371016e+02 1.414755196761595357e+02 7.896614899410090427e-01
3.626012403568146295e-184 -4.315296290472114720e+02 9.759242997176927474e+02 7.218631803212824707e+02 5.129278235970314199e+02 7.173736245178599802e+01 5.321799111706652097e-01
1.035012871416416640e-182 -4.281756785314893818e+02 1.981613625120418760e+02 8.851237735640154369e+02 1.668610748376602970e+01 1.635350866840578021e+01 1.495502703108256837e-01
1.719748486818658568e-179 -4.207576590637592631e+02 5.748340277111892647e+02 8.995054720981137280e+02 3.045478917265215841e+02 1.623606291894012372e+02 9.962063386101683848e-01
3.119503284233524482e-175 -4.109493229579463787e+02 5.572732222942302087e+02 7.976387889522769683e+02 2.228086635891420428e+02 1.400134506319412537e+02 8.739501066574210109e-01
4.012565015282391616e-175 -4.106950660518116933e+02 2.332964134910114637e+02 5.601847171638278269e+02 9.636751094336287906e+02 1.977755660480040945e+01 7.150321309252291035e-01
6.447625597486911401e-175 -4.102182848047095831e+02 4.559667891395924926e+02 3.579891987166557783e+02 7.618884929489444175e+02 4.409607749256561959e+01 7.586419597938981463e-01
2.550390673228737705e-174 -4.088406650977048002e+02 9.004545105198133115e+02 6.232062873804239871e+02 5.231769519138282476e+02 8.053694856026821469e+01 5.347651106229940332e-01
1.181313238310751486e-171 -4.027000296378752751e+02 9.571590613130144902e+02 5.652808094040673268e+02 7.225988140104456079e+02 1.118531733908693298e+02 7.183647639800787577e-01
5.017108126363436361e-171 -4.012513026740802502e+02 8.131440089130994693e+02 6.977593488023320560e+02 5.546576151497451974e+02 6.976557356903400375e+01 4.636341847316679532e-01
3.642806893796078576e-169 -3.969637316762039063e+02 9.430198530565224928e+02 9.097993685697679211e+02 4.656331520762421405e+00 7.792032677100385740e+01 3.895176884891597968e-01
3.826184990479225098e-168 -3.946095328716314725e+02 6.452427866007934654e+02 6.647817836324365999e+02 1.419140694458543805e+02 4.134452091802317142e+01 2.413209779255310883e-01
1.799226259929270697e-165 -3.884537890964888902e+02 8.640770491065488841e+02 9.705101303655488891e+02 3.383776435823872930e+02 2.010653955807795796e+02 8.283210938868134088e-01
1.440404828127517339e-164 -3.863711365156655120e+02 1.671555546692052872e+02 3.393551999363386358e+02 5.040165827438981410e+02 6.926282404116642510e+01 9.046756016350843144e-01
6.389398949165484783e-163 -3.825763354245916616e+02 8.825563238317221249e+02 5.932519400071795417e+02 8.593189022917053990e+02 1.169772949558599180e+02 6.774875239756135148e-01
1.167643751551118292e-162 -3.819709027037513351e+02 5.242583144713895535e+02 8.282157849022154323e+02 8.923472885103499266e+02 1.323768300407772642e+02 7.470752314491622137e-01
2.746538463077386181e-162 -3.811130491562997236e+02 5.671387670452562588e+02 9.169395714399455528e+02 7.951659273249820217e+02 1.909165650516951303e+02 8.870357595582639698e-01
6.425105709556056957e-161 -3.779580923579104024e+02 1.433812484076650264e+02 8.931940176326935443e+02 5.953645694900193348e+02 3.735911478116900497e+00 2.869410056198838932e-01
6.427066613900200207e-161 -3.779552872103742516e+02 7.991684186509456822e+02 7.931581315946872337e+02 3.058702397961495763e+02 2.135458063216152880e+02 9.512057077582678488e-01
2.885117725783258308e-160 -3.764511546431199349e+02 5.337525314303456980e+02 6.663374474530872931e+02 6.099820056731093700e+02 1.017428031755697191e+02 5.862608025430916525e-01
8.255859042984109965e-159 -3.730947121201059531e+02 5.827133034600460633e+02 9.862185754451467119e+02 4.692353306195163754e+01 8.990741091804014218e+01 4.366313995834363304e-01
1.404208013352644716e-158 -3.725610767101354668e+02 1.844598112759871356e+02 2.975817817521916595e+02 2.912145325067920112e+02 5.654468557599453504e+01 6.216617531527354190e-01
8.180372405938384924e-158 -3.707963124864467090e+02 9.417144984112954944e+02 1.583490526517233263e+02 3.611472503363999067e+02 1.005337246647816869e+02 7.649233174209271180e-01
1.602251349590652310e-157 -3.701215553357178578e+02 7.803934121672929223e+02 8.265664219585535193e+02 3.913566125853776043e+02 2.341559596894563526e+02 9.533302561700474076e-01
2.052928272525521184e-153 -3.606608574979100581e+02 1.240048189503768441e+02 7.334001872903144204e+02 4.800359731221698780e+02 1.327704373549837840e+02 9.083107664058055475e-01
1.273940734559786694e-151 -3.565303394745810124e+02 7.427028249880589783e+02 4.199853620694424308e+02 9.648385753914890302e+02 1.570617506041980391e+02 8.691955750321453955e-01
2.672776605342779806e-149 -3.511816664663197685e+02 3.391312664511073081e+02 7.353402199294179127e+02 9.590937490929127307e+02 9.838359425330085628e+01 6.118393356928772953e-01
3.184335882033020517e-147 -3.463988703864822583e+02 9.875356467370572773e+02 3.603974495615430556e+02 2.968592806608118622e+02 7.833774578876872852e+01 3.519502295509877587e-01
1.342887707958027225e-146 -3.449572067452879196e+02 3.987953182016814253e+02 6.512644198901776917e+02 8.461675558749909669e+02 1.878305509908856266e+02 8.845337990307164944e-01
3.677931344815533266e-146 -3.439471785869318978e+02 7.073115748833106409e+02 7.188309677785513259e+02 4.821220405555795310e+02 2.155191169218317100e+02 7.649506595382794538e-01
4.847872100399607126e-146 -3.436684891800066453e+02 4.153637985159455752e+02 4.256607298293965300e+02 3.647533663545931404e+02 1.752520205683712788e+02 9.582634970208421255e-01
2.158582945657600503e-142 -3.352647367117904764e+02 6.946620308796253767e+02 7.176058284996295242e+02 5.034810627094399251e+02 2.405116019831023948e+02 8.108000953476083295e-01
3.345192021985597085e-142 -3.348241645769103343e+02 4.117547140478075676e+02 6.735905275157490451e+02 4.505441783494843548e+02 1.935038455744202111e+02 7.921936502551260029e-01
1.383820569530124736e-140 -3.310991702860331998e+02 9.384456212264599344e+02 3.022901551807887017e+02 8.765339783819904369e+02 1.734803486005279183e+02 7.889077208590509205e-01
3.291545766244289179e-140 -3.302301611963283108e+02 7.206342257111086838e+02 4.832023408350921159e+02 6.391464456133340946e+02 7.122910716199591263e+01 3.503582885515059697e-01
2.998132051202340462e-139 -3.280184439503944418e+02 1.632378110839565863e+02 4.323929756115835517e+02 8.050177900305353660e+02 7.697670242768049320e+01 6.643666832029420100e-01
3.782427593695947456e-139 -3.277835673714859581e+02 8.495988330665626336e+02 8.370138948496030480e+02 6.889394212170931269e+02 1.338824360131547166e+02 3.890416233820329639e-01
1.436768632238582693e-136 -3.218412815299094518e+02 7.566868864712980667e+02 9.047513849610579655e+02 4.914417871320775930e+02 1.213717539111015782e+02 3.207003204387139927e-01
1.672119964319296073e-136 -3.216870858554709685e+02 1.271326177836401996e+02 7.869207709397205690e+02 4.985930819477521823e+02 1.726021076780381236e+02 8.307695694608000503e-01
7.460375660036125046e-135 -3.178864872540393094e+02 5.138987317030473605e+02 3.628860871600622318e+02 7.082750555986361860e+02 1.424585877424276532e+02 6.588687045119705488e-01
6.397314226599225427e-134 -3.157351296803731202e+02 6.897085770296062037e+02 3.392994048290373144e+02 3.809869683062416357e+02 2.177586286851151272e+02 8.921116430305833234e-01
9.216279122166106953e-133 -3.130649514473839758e+02 7.097344548586930841e+02 3.222773710938437830e+02 9.294197381870885692e+02 1.716212003192582642e+02 7.354547108987938842e-01
2.769095007137501685e-132 -3.119623171899857539e+02 2.019573682277787441e+02 6.270958102346094165e+02 5.624883624219047533e+02 2.041829749298458125e+02 8.961734668383769531e-01
8.194262691788658222e-132 -3.108749035069255910e+02 7.566784979139562211e+02 8.820868710541092241e+02 9.851487603908403798e+02 3.321995280118036931e+02 8.095678850759202572e-01
6.626106113810907975e-130 -3.064796502400789677e+02 9.912156726725053204e+02 3.159446167999157069e+02 4.465076457698966692e+02 2.889546746947541465e+02 9.983333361040076515e-01
