weight logl pFat pLiver pSlow kMet fAbs
1.503333065852828160e-318 -7.410014819910289816e+02 5.338190551201963396e-01 4.131250040799069323e-01 5.143686400781111168e-02 6.557404258488830351e-03 8.472075751619678741e-01
3.567032383299671435e-315 -7.332271757780127928e+02 5.171823252146677818e-01 5.628637546993636720e-01 9.933801934143116075e-02 4.417513410155393672e-04 7.001446602144570930e-01
1.784279118872226370e-289 -6.740501828659566854e+02 5.480564384607106154e-01 7.311393776557413293e-01 1.786892000940989433e-01 9.661844425061238972e-03 8.036391518879612006e-01
1.846927551087708386e-246 -5.750020148706342979e+02 6.466042623454032467e-01 6.194134395472743471e-01 4.670650679250617499e-01 1.712610565786720773e-02 9.061954992997620639e-01
3.254285671867124649e-246 -5.744330655499703653e+02 8.083126399119476835e-01 9.010136114084432712e-01 3.985982336914140056e-02 5.293168236478518196e-02 8.018229030416567094e-01
2.832615499336814912e-212 -4.962814446945483269e+02 4.105474103473572001e-01 5.432651587136745341e-01 7.418274639238638946e-01 1.147972811409103677e-02 8.441041073481859724e-01
3.553804813673782392e-212 -4.960521263760593911e+02 9.725250363151080046e-01 2.372573561116065877e-01 1.918771528685032646e-01 4.678461216609608453e-02 7.983803421301020053e-01
1.152754094261090717e-204 -4.787548104963173614e+02 4.137669008295826734e-01 7.095799103320717949e-01 5.989990273074603522e-01 3.387544961060084958e-03 5.041230159299470159e-01
1.289455697546791804e-204 -4.786402442507038018e+02 5.518443381714213114e-01 8.643539409777587501e-01 7.628328653496291301e-01 2.945166237413487931e-02 6.781689835693232027e-01
9.615800520887602859e-203 -4.743259717140778093e+02 7.881928738088883613e-02 1.997256793139504660e-01 2.464683567714843759e-01 2.312389680035109585e-03 6.639163140698775001e-01
4.318302296735592236e-194 -4.544007511720593584e+02 4.516052182328570419e-01 9.363758622832432099e-01 4.839722947554013777e-01 8.157684844430357352e-02 7.411840927371285970e-01
2.208814214158427819e-190 -4.458583173213796158e+02 4.284215445346306606e-01 6.502385773818064596e-01 9.504893270761103352e-01 3.595175462608291017e-02 8.122605258106081472e-01
4.176200090628541871e-190 -4.452188713743778408e+02 8.450164245754556713e-01 9.571275525284276275e-01 7.623736704318173629e-01 4.523646594279839839e-02 5.205390646173482239e-01
1.004482459280403229e-188 -4.420361305092643533e+02 4.013693315064704725e-01 7.118400622338265649e-01 5.434703154899533928e-01 9.643143482190230653e-02 9.329488105453617175e-01
9.372252398915620582e-188 -4.398003495007928905e+02 7.512856844444182336e-01 5.464702475665766945e-01 1.727949496099990823e-01 7.916580363756853256e-02 6.277587279336611648e-01
1.346835810020654129e-185 -4.348300896763444143e+02 4.929296329100130158e-01 3.912885422694656334e-01 9.206405487704353297e-01 2.066491321974894824e-02 7.886467729305166596e-01
2.684023616952328300e-185 -4.341380306550293540e+02 6.777864518415073203e-01 7.839006790612942366e-01 6.122250751289523008e-01 1.242762644460284616e-01 8.928959222960232145e-01
1.293604085786149746e-184 -4.325628303925310547e+02 9.869614919674410958e-01 8.670857100043329879e-01 2.259730813584955866e-01 1.406161358119715210e-01 7.896614899410090427e-01
3.626012403568146295e-184 -4.315296290472114720e+02 9.756811108259523246e-01 7.215847650863688179e-01 5.124402638608923644e-01 7.080817062240840620e-02 5.321799111706652097e-01
1.035012871416416640e-182 -4.281756785314893818e+02 1.900619823353958404e-01 8.850087823463618220e-01 1.570180929305908801e-02 1.536887754595173128e-02 1.495502703108256837e-01
1.719748486818658568e-179 -4.207576590637592631e+02 5.705394219304942283e-01 8.994048769750888628e-01 3.038517434699915531e-01 1.615221513407419929e-01 9.962063386101683848e-01
3.119503284233524482e-175 -4.109493229579463787e+02 5.528012346406365740e-01 7.974362251774543831e-01 2.220306942834254782e-01 1.391526032351764197e-01 8.739501066574210109e-01
4.012565015282391616e-175 -4.106950660518116933e+02 2.255519328192034934e-01 5.597444616254533267e-01 9.636387481818106115e-01 1.879635295775816672e-02 7.150321309252291035e-01
6.447625597486911401e-175 -4.102182848047095831e+02 4.504715041814065790e-01 3.573465452619176697e-01 7.616501430920364912e-01 4.313921670927489682e-02 7.586419597938981463e-01
2.550390673228737705e-174 -4.088406650977048002e+02 8.994490005250639353e-01 6.228291164969209648e-01 5.226996515653936637e-01 7.961656512539361241e-02 5.347651106229940332e-01
1.181313238310751486e-171 -4.027000296378752751e+02 9.567263245586005160e-01 5.648456550591264280e-01 7.223211351455911533e-01 1.109641375283977327e-01 7.183647639800787577e-01
5.017108126363436361e-171 -4.012513026740802502e+02 8.112565746596964722e-01 6.974568056079399891e-01 5.542118269767218885e-01 6.883440797701101399e-02 4.636341847316679532e-01
3.642806893796078576e-169 -3.969637316762039063e+02 9.424442960166893313e-01 9.097090776474153762e-01 3.659991512274696213e-03 7.699732409509896236e-02 3.895176884891597968e-01
3.826184990479225098e-168 -3.946095328716314725e+02 6.416593804048419392e-01 6.644462298622988428e-01 1.410551245704247947e-01 4.038490582384701710e-02 2.413209779255310883e-01
1.799226259929270697e-165 -3.884537890964888902e+02 8.627040900066150764e-01 9.704806109765253819e-01 3.377153589413286472e-01 2.002656612420216087e-01 8.283210938868134088e-01
1.440404828127517339e-164 -3.863711365156655120e+02 1.587429845143487617e-01 3.386938938301687907e-01 5.035201028467448658e-01 6.833115519636279167e-02 9.046756016350843144e-01
6.389398949165484783e-163 -3.825763354245916616e+02 8.813700240724465784e-01 5.928447847919715574e-01 8.591780803720774351e-01 1.160933883442041292e-01 6.774875239756135148e-01
1.167643751551118292e-162 -3.819709027037513351e+02 5.194528429003935077e-01 8.280438287309463963e-01 8.922395280383883520e-01 1.315083383791564309e-01 7.470752314491622137e-01
2.746538463077386181e-162 -3.811130491562997236e+02 5.627664313588447431e-01 9.168564278678134061e-01 7.949608882131952159e-01 1.901066717234185521e-01 8.870357595582639698e-01
6.425105709556056957e-161 -3.779580923579104024e+02 1.347285337451161746e-01 8.930871047374310256e-01 5.949595290190383690e-01 2.738650128245145865e-03 2.869410056198838932e-01
6.427066613900200207e-161 -3.779552872103742516e+02 7.971398168191370370e-01 7.929510826773645826e-01 3.051754152113609342e-01 2.127585648865017998e-01 9.512057077582678488e-01
2.885117725783258308e-160 -3.764511546431199349e+02 5.290429610407532124e-01 6.660034509039912676e-01 6.095915972703797037e-01 1.008436468223921079e-01 5.862608025430916525e-01
8.255859042984109965e-159 -3.730947121201059531e+02 5.784982863232788208e-01 9.862047802253720574e-01 4.596950256451615147e-02 8.899640732536551191e-02 4.366313995834363304e-01
1.404208013352644716e-158 -3.725610767101354668e+02 1.762220315919061919e-01 2.968786604126042450e-01 2.905050375443363198e-01 5.560028586185639110e-02 6.216617531527354190e-01
8.180372405938384924e-158 -3.707963124864467090e+02 9.411257559710055620e-01 1.575065592109342605e-01 3.605077580944944238e-01 9.963335802280448572e-02 7.649233174209271180e-01
1.602251349590652310e-157 -3.701215553357178578e+02 7.781751638053463482e-01 8.263928147733268226e-01 3.907473599453229474e-01 2.333893490384948421e-01 9.533302561700474076e-01
2.052928272525521184e-153 -3.606608574979100581e+02 1.151563827781584282e-01 7.331333206109253986e-01 4.795154886107806380e-01 1.319023396946784610e-01 9.083107664058055475e-01
1.273940734559786694e-151 -3.565303394745810124e+02 7.401038636243020274e-01 4.194047668362786974e-01 9.648033787702592345e-01 1.562179685727708156e-01 8.691955750321453955e-01
2.672776605342779806e-149 -3.511816664663197685e+02 3.324558246980882092e-01 7.350752952246425442e-01 9.590528018948075717e-01 9.748107532862948510e-02 6.118393356928772953e-01
3.184335882033020517e-147 -3.463988703864822583e+02 9.874097441788457497e-01 3.597572067683113550e-01 2.961554360969087529e-01 7.741516094971845341e-02 3.519502295509877587e-01
1.342887707958027225e-146 -3.449572067452879196e+02 3.927225436380620271e-01 6.509153352254031244e-01 8.460135694444353982e-01 1.870175685594450687e-01 8.845337990307164944e-01
3.677931344815533266e-146 -3.439471785869318978e+02 7.043551261447582590e-01 7.185495172958471510e-01 4.816036441997793016e-01 2.147338507726043177e-01 7.649506595382794538e-01
4.847872100399607126e-146 -3.436684891800066453e+02 4.094583823393389554e-01 4.250858156450415537e-01 3.641174838384315660e-01 1.744264470153866764e-01 9.582634970208421255e-01
2.158582945657600503e-142 -3.352647367117904764e+02 6.915778089693185304e-01 7.173231516512807993e-01 5.029840467561961237e-01 2.397513533364388216e-01 8.108000953476083295e-01
3.345192021985597085e-142 -3.348241645769103343e+02 4.058128424725329086e-01 6.732637913070560476e-01 4.499941725220063526e-01 1.926965421165367509e-01 7.921936502551260029e-01
1.383820569530124736e-140 -3.310991702860331998e+02 9.378238598247069513e-01 3.015917469277163976e-01 8.764103887707611618e-01 1.726530016021300407e-01 7.889077208590509205e-01
3.291545766244289179e-140 -3.302301611963283108e+02 7.178123492031400765e-01 4.826850258609530764e-01 6.387852308441782645e-01 7.029940656856448200e-02 3.503582885515059697e-01
2.998132051202340462e-139 -3.280184439503944418e+02 1.547856677615723209e-01 4.318248004119955574e-01 8.048226126431785588e-01 7.605275518286336300e-02 6.643666832029420100e-01
3.782427593695947456e-139 -3.277835673714859581e+02 8.480796293601642333e-01 8.368507455951982310e-01 6.886280492663594544e-01 1.330154514646193498e-01 3.890416233820329639e-01
1.436768632238582693e-136 -3.218412815299094518e+02 7.542291782538363965e-01 9.046560410020599852e-01 4.909327198519295443e-01 1.204922461572588421e-01 3.207003204387139927e-01
1.672119964319296073e-136 -3.216870858554709685e+02 1.183157755390304988e-01 7.867074784181387059e-01 4.980911731208730320e-01 1.717738815595977186e-01 8.307695694608000503e-01
7.460375660036125046e-135 -3.178864872540393094e+02 5.089886178818660012e-01 3.622483354955577939e-01 7.079830386372734097e-01 1.416001879303580013e-01 6.588687045119705488e-01
6.397314226599225427e-134 -3.157351296803731202e+02 6.865743202319254390e-01 3.386380428719092395e-01 3.803673356418835194e-01 2.169756042894045445e-01 8.921116430305833234e-01
9.216279122166106953e-133 -3.130649514473839758e+02 7.068024796552455635e-01 3.215989700639076965e-01 9.293490872743629394e-01 1.707919923115698291e-01 7.354547108987938842e-01
2.769095007137501685e-132 -3.119623171899857539e+02 1.938963315432108425e-01 6.267225327673767721e-01 5.620504128347394435e-01 2.033863612911369634e-01 8.961734668383769531e-01
8.194262691788658222e-132 -3.108749035069255910e+02 7.542207049635921701e-01 8.819688398940032092e-01 9.851338942851255442e-01 3.315310590708745453e-01 8.095678850759202572e-01
6.626106113810907975e-130 -3.064796502400789677e+02 9.911269420934397667e-01 3.152598766765922766e-01 4.459535993692659295e-01 2.882429176123665338e-01 9.983333361040076515e-01
1.084112583809577631e-128 -3.036822356153746796e+02 7.405677507837171714e-01 5.891609314811036002e-01 2.759573644056465547e-01 2.872213209630337660e-01 9.559686153860700308e-01
6.985079884207392751e-128 -3.018167209434220126e+02 9.880242036451070131e-01 5.349960861641084309e-01 5.769800039397495750e-01 2.142015690543470630e-01 5.423713570479138379e-01
1.012383629339884933e-126 -2.991405196072061017e+02 8.448784252313793486e-01 2.485109031097828547e-01 8.586275905394886721e-01 2.638584720334274936e-01 9.735223106630311873e-01
3.659701757701015023e-125 -2.955503604364938042e+02 7.652105510557692947e-01 3.568769997533026705e-01 8.783158699818954807e-01 2.582338607568197553e-01 8.271270421766754311e-01
7.475786688655267029e-125 -2.948335727372513020e+02 9.568282358226287698e-01 9.985166441738662080e-01 4.677385483996977511e-01 3.741798854686465559e-01 7.686770561042208794e-01
1.056309001417195393e-124 -2.944853762431667974e+02 6.873146600525830152e-01 2.624203567536355086e-01 3.300406498029779812e-01 1.389394140694598656e-01 5.099445162775921858e-01
5.077056920236460931e-124 -2.929129252533315935e+02 1.290144265528955225e-01 9.096443151383759584e-02 5.052089335523709535e-01 1.924039104555175239e-02 4.819362196636937101e-01
4.237859783704369708e-121 -2.861833433478323627e+02 1.876785232893041222e-01 2.675190106950222635e-01 7.060705420719098901e-01 1.239368033194255814e-01 7.170352554016107272e-01
8.934936373102135023e-121 -2.854349326941430718e+02 8.612886564171100545e-01 1.972229649067989143e-01 1.324911876365618690e-01 2.045257206029499342e-01 8.846463800382223797e-01
2.227046909984225315e-119 -2.822165550833973953e+02 5.015316234786287852e-01 4.145797824261610032e-01 8.746054000932464989e-01 1.459267988499036717e-01 4.951254737284345175e-01
3.721818549658500021e-119 -2.817005191293873736e+02 3.122139866646570505e-01 3.959503780974692466e-01 8.658672072696611544e-01 2.513164790360008505e-01 9.310753172899017827e-01
1.505882185169177378e-118 -2.803002675466433971e+02 8.782581970156068119e-01 8.993955280493454163e-01 9.581838371543562882e-01 4.466367425872133090e-01 8.059974892169941008e-01
1.073494912357783173e-115 -2.737284715646574114e+02 7.867114004290254314e-01 8.114067282569464856e-01 9.315781195062513564e-01 2.781454885972788338e-01 5.032200075540451678e-01
1.010922531522119900e-114 -2.714834427591792974e+02 4.409825660207298270e-01 9.957419044205356728e-01 2.932324106607380187e-01 2.741089318042295719e-01 6.557658054190821373e-01
1.139136413132195794e-114 -2.713615356276918078e+02 3.466219734777464812e-01 9.546686276322764453e-01 5.787036975875943234e-01 3.925751717637994131e-01 9.448927363190792184e-01
1.218294242062832946e-114 -2.712918543525246946e+02 4.341142631870236190e-01 7.196356904588088188e-01 8.552048841502534193e-01 3.850959234741525572e-01 9.048202940482102941e-01
2.171665476828380748e-114 -2.707113116966686448e+02 8.264025812414501626e-01 6.258656351102488413e-01 4.583870167271275609e-01 1.792562334190437312e-01 3.425849200442014908e-01
6.424103931081285438e-114 -2.696242489156099964e+02 8.978909704695700045e-01 2.604765759757933230e-01 8.765354053543303881e-01 3.565308968760642072e-01 9.725965507777609709e-01
8.797988394093726574e-114 -2.693072829669125099e+02 8.142261807073642998e-01 3.071254894316249873e-01 4.228027056226720815e-01 3.368619089579637516e-01 9.783103778123557470e-01
5.393933621580743497e-113 -2.674914460590226781e+02 3.165761821026178424e-01 6.562024277167769482e-01 5.310542526458508217e-01 2.832323953690666363e-01 7.591463213855521586e-01
6.377741513924953390e-113 -2.673214069376881525e+02 4.773420323349486516e-03 5.699813059935822102e-01 4.349813458376291520e-01 4.906220559350282784e-02 3.577219821748642836e-01
3.081180636470828521e-112 -2.657438230376320121e+02 3.785844021321027597e-01 9.883657411122657166e-01 5.944239706588085870e-01 3.821658566421640701e-01 8.216787065629329589e-01
3.141220348015270911e-112 -2.657220245144156365e+02 1.717774694157961912e-01 3.836203038948071686e-01 5.566217902702115250e-01 1.530699192694267019e-01 5.936771323311668125e-01
4.272604879951128569e-111 -2.631093271083196896e+02 9.151462406910928493e-01 8.407961307129823147e-01 1.843146883217476883e-01 4.105050034685280291e-01 9.643100899254132274e-01
1.764079315690419270e-109 -2.593862516855980971e+02 7.529686194674308775e-01 4.663426646359847272e-01 3.210761957657435328e-01 2.193940927973639932e-01 4.804169734931217350e-01
