pFat pLiver pSlow kMet fAbs
4.426068449631886779e+02 6.082593422457988197e+01 7.702569412025184192e+00 2.962453160569332411e+01 5.435305468724069833e-01
3.742989217389372243e+02 3.820418688730111967e+01 1.236829794187269194e+01 2.080609761096997445e+01 3.933416710030877006e-01
3.171760109331636386e+02 3.043601937236450183e+01 9.198798731405696927e+00 1.751812813008461234e+01 3.707481927708996539e-01
4.231638032567165624e+02 2.557209215561641713e+01 8.145068902320797122e+01 5.115316216098308644e+01 9.551388363563029227e-01
7.674019198402295387e+02 3.716384525308014020e+01 3.674034592244389330e+01 4.222494214579701577e+01 6.989870596633901423e-01
4.637457277696915412e+02 4.050790015339006089e+01 3.150461485935410266e+01 4.328053373544228322e+01 9.341716397666401939e-01
6.447791583696576936e+02 3.136975835121140577e+01 3.521705659801055788e+01 4.680410489491123371e+01 7.068394773905537498e-01
3.697100616689836556e+02 3.146337784748426358e+01 4.175155251424620673e+01 3.349866300913591033e+01 9.499581438746713680e-01
4.211053338943135032e+02 2.487424845245761773e+01 2.565301499763208781e+01 3.678386146259326495e+01 6.227655436655017418e-01
5.661497374569513568e+02 4.673225368408008507e+01 2.789883804904292575e+01 4.721380011442756341e+01 7.630836776893273887e-01
5.496262198229890146e+02 4.429120277775586345e+01 2.142931742936500683e+01 4.556971738342837597e+01 9.367522057958539428e-01
6.426632679889320343e+02 3.036604219118717296e+01 6.138447135701403212e+00 3.077116526496613247e+01 5.037198723488908181e-01
5.935931695249331597e+02 1.958837976617039800e+01 1.408016550526076394e+01 3.126844965567492807e+01 8.997296476289665668e-01
4.073196137647478281e+02 2.403366406005770628e+01 4.907314176020956431e+00 3.231789868772946761e+01 8.549327614054801350e-01
6.598011587278529078e+02 2.188308372356884135e+01 2.944338349556457146e+01 4.610307967774785709e+01 9.987880905188466496e-01
7.188519542646496348e+02 4.375441844419240311e+01 1.140245586912271136e+02 7.774511341315434265e+01 8.315030884596761318e-01
3.860638390810028113e+02 5.886471628670724954e+01 4.163451568090907529e+01 4.747182943014583145e+01 8.769054680528607371e-01
4.311075501539240236e+02 5.812901270498633011e+01 2.991002149349113637e+01 3.036726900354759096e+01 5.852345908178966383e-01
3.647594357864973631e+02 4.662644875823904300e+01 6.716915337646064188e+01 4.809255899847835281e+01 9.941225499482275740e-01
3.700980529831156787e+02 2.955671252821338513e+01 1.520402771826073796e+01 3.267933786322979017e+01 6.806249365310976795e-01
7.536471503756064294e+02 5.910184413106899370e+01 5.954667494500792024e+00 5.490274778900734276e+01 8.194489691762176786e-01
3.920612586706200773e+02 1.692334623126560444e+01 9.688062609530925684e+00 2.925996312622675433e+01 9.429984542401034231e-01
2.699750096728915878e+02 6.186869384340937472e+01 6.972451263665442411e+01 5.560194990027957118e+01 9.977359673990648936e-01
3.787671046091879248e+02 2.988813477825503995e+01 2.963886910020360688e+01 3.852102909308236889e+01 8.951814320536133351e-01
5.595488023023597179e+02 3.812451879746273420e+01 6.845936051492434160e+01 6.199933725545754726e+01 9.775375137961572758e-01
2.464119426100464523e+02 1.977875234946017002e+01 1.583634290533082734e+01 2.108292331235420392e+01 7.119550285265610068e-01
5.061350238756827480e+02 5.652136932055961438e+01 2.693824474903496480e+01 4.487043676169955120e+01 8.135967359234917984e-01
5.487888126632652757e+02 5.196396863458894444e+01 3.061313361012000911e+01 5.247645381113670027e+01 9.701010764527657759e-01
6.985970204239862369e+02 3.639927093897334487e+01 3.333177113395827718e+01 5.713434703371560630e+01 8.248951470141652198e-01
5.463411412323222294e+02 3.485225738891130476e+01 1.190481871524848145e+02 7.108455371017339530e+01 8.678083155049696185e-01
4.637234256539837247e+02 4.178319305594988720e+01 5.028517522999789691e+01 3.992499521236668159e+01 6.607886969209384453e-01
4.307178028067694413e+02 3.253787069029418433e+01 9.238957750302353134e+01 5.913510898789679970e+01 9.809385048668616269e-01
6.972830758359365291e+02 5.604783936726747839e+01 4.409520267590970377e+01 5.745634208150440969e+01 9.580968808868519648e-01
3.742958691785574388e+02 2.312664822952127253e+01 6.973133275060281733e+01 3.401163760443459694e+01 9.176428461473490339e-01
6.653561296166236616e+02 5.254711283258144050e+01 9.132908501280509483e+01 6.459919459443790402e+01 8.486417472125346029e-01
5.358903059516301255e+02 2.977258222872390903e+01 3.619459301072369328e+01 4.269139618069321074e+01 7.299192973418928698e-01
4.434300449391784582e+02 2.666328594482102687e+01 7.768101020467884155e+01 4.822797856585864196e+01 8.437466465109321190e-01
7.677520208738047813e+02 4.164059379090549839e+01 8.772736211017208063e+01 6.817898795772327958e+01 9.784517317312553253e-01
2.884204157076231354e+02 3.351143448204805964e+01 3.099298942576932703e+01 2.822725305380637195e+01 5.514590069249680759e-01
1.975797991065429358e+02 2.504532032751636805e+01 9.559131433567485203e+01 4.465187308031539715e+01 8.898816372342835956e-01
3.017867943285256729e+02 2.605644272037174503e+01 7.041528697185907504e+01 2.959284093059308773e+01 6.687784020823677178e-01
8.420503076379578715e+02 4.112284437446945162e+01 6.007152687343820219e+01 6.320951147357407507e+01 9.150320931724582607e-01
3.698645051788083720e+02 2.392513356305657979e+01 6.833526212012110079e+01 5.224711297052911618e+01 9.343282036897934129e-01
5.734869476744272561e+02 8.619666084048553500e+01 1.894134821294375826e+01 4.631704114698811026e+01 6.834609459163817347e-01
8.464109180153601528e+02 2.416354629226005457e+01 9.134880780768750697e+01 7.317038862242995378e+01 9.319988917801982353e-01
4.157968887570377206e+02 4.551240144345684513e+01 9.086951799019571752e+01 5.623865908854014606e+01 9.070026153503867317e-01
9.463595555534784580e+02 8.665146558504542895e+01 7.022295721986260730e+01 5.889877049603154546e+01 7.113111409833253740e-01
4.520400791360143558e+02 3.470940801362358741e+01 3.420046516515790724e+00 2.679284391850682923e+01 5.822225729377332737e-01
4.914607503869086145e+02 5.564928629428338525e+01 9.258110879932553416e+01 5.662271402846241841e+01 7.719221922898698018e-01
3.381458082080661711e+02 1.688923067982424442e+01 1.342433094630680834e+01 2.187129833778362453e+01 7.266803567625613747e-01
6.601293749424454518e+02 6.598406725486557889e+01 5.364676063133744321e+01 7.473593030156169448e+01 8.542484512138901476e-01
6.453181443269338615e+02 7.747089093310060548e+01 4.711987633961142308e+01 5.965094098244728826e+01 8.992616344645915083e-01
3.983239139587243471e+02 1.770403815477434506e+01 9.414364274925102194e+00 2.281751940828507230e+01 6.768581071888241096e-01
5.300925839749532997e+02 3.356098060360416468e+01 2.443801752383908621e+00 3.466631299782790876e+01 9.590250771681976261e-01
5.326462611957335866e+02 2.335131646949811568e+01 6.256272346577648591e+01 5.618492185712014475e+01 9.771917367964619849e-01
6.492462022586508965e+02 3.289810767676353009e+01 3.157965977704137117e+01 4.635702641942689439e+01 7.803209910074053735e-01
5.938320816698515046e+02 4.604179488501226558e+01 4.177446280386161703e+01 5.416053174948135762e+01 8.473364131555373158e-01
4.196166733760160810e+02 2.787846959100699351e+01 9.357379509778860793e+00 2.930255739407848026e+01 5.730067870366970517e-01
4.996770315743661968e+02 2.010031841915608197e+01 2.621749399625458565e+01 4.356096832520913154e+01 9.564334355604415805e-01
5.293634883230832884e+02 2.571063422353020655e+01 5.846937673082305054e+01 4.669543607639264593e+01 9.104419730520888487e-01
7.607838657124189012e+02 7.849383312288057368e+01 7.384489847422875641e+01 9.807767352344218637e+01 9.622879815357840982e-01
2.856217717660920812e+02 3.158400968056068336e+01 5.317834962121096076e+00 2.112024346380528073e+01 5.100110808780706773e-01
9.884053848068367643e+02 6.065358745122768624e+01 2.229712996742769349e+01 5.411832695427588646e+01 6.085582308654878814e-01
4.909187351845034186e+02 2.094423111573145846e+01 2.426787993138848876e+01 3.339326129533439058e+01 8.790835195412051162e-01
4.197469308976271805e+02 3.241691738992928862e+01 4.342179075689706025e+01 4.517818058602935594e+01 9.819206051996673956e-01
6.107302231865552358e+02 4.264703360255651177e+01 1.261065587518948838e+01 4.561507662499098359e+01 9.370178505834190208e-01
7.076179470042283128e+02 3.806961707810972939e+01 2.725353974870973417e+00 5.391460946247593000e+01 9.720700491456926162e-01
5.652801411158135352e+02 5.755452687316357441e+01 3.571918400501712654e+01 5.895323547665876163e+01 9.435193906326222457e-01
4.993334672834232038e+02 3.423853185039279623e+01 1.353497679774830864e+01 3.234929573081321053e+01 5.980079537738050011e-01
1.460277443047222334e+02 1.260287242441365585e+01 3.293506715795115269e+01 1.870193758977829290e+01 7.344927397071771003e-01
6.950450531333008257e+02 3.684189156355996175e+01 5.998618606893109018e+01 5.611629844716274818e+01 9.174296900228311458e-01
