15:59:45 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit/PCB 123/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:00:04 [ultranest] [INFO] Sampling 400 live points from prior ...
16:42:15 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:42:15 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:42:15 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:42:21 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-2072.23, Lmax=-30.77
16:42:28 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-2078.22, remainder_fraction=100.0000%, Lmin=-1021.16, Lmax=-30.77
16:42:34 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-1027.16, remainder_fraction=100.0000%, Lmin=-987.56, Lmax=-30.77
16:42:40 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-993.56, remainder_fraction=100.0000%, Lmin=-743.21, Lmax=-30.77
16:42:47 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-749.21, remainder_fraction=100.0000%, Lmin=-700.75, Lmax=-30.77
16:42:53 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-706.75, remainder_fraction=100.0000%, Lmin=-690.82, Lmax=-30.77
16:43:00 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-696.82, remainder_fraction=100.0000%, Lmin=-673.69, Lmax=-30.77
16:43:06 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-679.70, remainder_fraction=100.0000%, Lmin=-643.29, Lmax=-30.77
16:43:14 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-649.30, remainder_fraction=100.0000%, Lmin=-639.87, Lmax=-30.77
16:43:20 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-645.85, remainder_fraction=100.0000%, Lmin=-624.35, Lmax=-30.77
16:43:26 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-630.37, remainder_fraction=100.0000%, Lmin=-567.09, Lmax=-30.77
16:43:33 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-573.11, remainder_fraction=100.0000%, Lmin=-560.89, Lmax=-30.77
16:43:39 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-566.91, remainder_fraction=100.0000%, Lmin=-560.20, Lmax=-30.77
16:43:46 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-565.82, remainder_fraction=100.0000%, Lmin=-541.44, Lmax=-30.77
16:43:52 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-547.46, remainder_fraction=100.0000%, Lmin=-510.23, Lmax=-30.77
