logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.036083841300832091e+03 -1.042076555587523444e+03 6.199999999999999956e-01
-1.042076555587523444e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.010215063890214310e+03 -1.016210278176905604e+03 7.149999999999999689e-01
-1.016210278176899806e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -9.106004993741581757e+02 -9.165982136608495239e+02 1.985000000000000098e+00
-9.165982136608495239e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -8.959184345302847987e+02 -9.019186488169760878e+02 7.550000000000000044e-01
-9.019186483955262474e+02 4.638718134533765181e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -7.719147140557605553e+02 -7.779174283424518990e+02 1.435000000000000053e+00
-7.779174283424518990e+02 6.422624560404574368e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -7.633131497901013063e+02 -7.693183640767925908e+02 1.310000000000000053e+00
-7.693181798156213063e+02 5.883698368639439735e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -6.852282944869664334e+02 -6.912360087736577725e+02 1.810000000000000053e+00
-6.912360087736577725e+02 7.582391646478596670e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -6.766741018934069416e+02 -6.826843161800982216e+02 1.780000000000000027e+00
-6.826841229809789411e+02 2.353579343540027224e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -6.431489965662544819e+02 -6.491617108529458164e+02 1.185000000000000053e+00
-6.491617108529458164e+02 3.432520722085994436e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -6.236156659177225947e+02 -6.296308802044138702e+02 3.549999999999999822e-01
-6.296308802011187709e+02 2.021323526786063951e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -6.055336743899669045e+02 -6.115513886766582345e+02 1.840000000000000080e+00
-6.115513886625919895e+02 2.175727613251214976e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -5.648303883613311882e+02 -5.708506026480224591e+02 2.449999999999999956e-01
-5.708506026480224591e+02 3.409100781808410119e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -5.635817029221026360e+02 -5.696044172087939614e+02 6.300000000000000044e-01
-5.693516373639341737e+02 3.465187527939361445e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -5.441069153943381025e+02 -5.501321296810293688e+02 9.200000000000000400e-01
-5.501321296765307807e+02 1.745601011687620385e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -5.291546721721449558e+02 -5.351823864588362767e+02 3.549999999999999822e-01
-5.351823861371674411e+02 2.083783312190411863e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -5.283947977137603402e+02 -5.344250120004516020e+02 1.300000000000000044e-01
-5.340405008553618700e+02 7.587746860727158094e-01 -4.000000000000000083e-02 4.000000000000000000e+02 -5.264595710027554105e+02 -5.324922852894467269e+02 5.150000000000000133e-01
-5.322994961639175244e+02 1.313551418968949003e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -5.066947939916223618e+02 -5.127300082783136759e+02 6.750000000000000444e-01
-5.127300082751435184e+02 1.007934448384973258e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -5.058852171485183931e+02 -5.119229314352097049e+02 1.195000000000000062e+00
-5.115540194185649057e+02 5.827489148677535091e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -4.901080847734264694e+02 -4.961482990601177789e+02 1.429999999999999938e+00
-4.961482988562349874e+02 1.119539295113971278e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -4.887786659626206074e+02 -4.948213802493119147e+02 1.499999999999999944e-01
-4.945860761567305417e+02 1.172823713306517845e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -4.698341151322156861e+02 -4.758793294189069911e+02 5.300000000000000266e-01
-4.758793294113948491e+02 1.760625315886600717e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -4.656786775598903887e+02 -4.717263918465816914e+02 1.524999999999999911e+00
-4.717107959222811360e+02 1.843890154773862378e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -4.633729372767587051e+02 -4.694231515634500056e+02 3.699999999999999956e-01
-4.693264738732169121e+02 7.438903137754872219e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -4.431660557183969900e+02 -4.492187700050882881e+02 1.360000000000000098e+00
-4.492187700032375801e+02 1.085625271202859210e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -4.203883515759590068e+02 -4.264435658626503027e+02 1.570000000000000062e+00
-4.264435658625218366e+02 8.233360206255659008e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -4.094294744704471327e+02 -4.154871887571384264e+02 1.024999999999999911e+00
-4.154871713108883569e+02 5.479978476724568281e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -4.009815578643798517e+02 -4.070417721510711431e+02 2.399999999999999911e-01
-4.070415572873516226e+02 7.369295495408640484e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.958260631740163262e+02 -4.018887774607076153e+02 1.520000000000000018e+00
-4.018830108140479069e+02 7.315433279557973734e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -3.951939635086793032e+02 -4.012591777953705900e+02 1.729999999999999982e+00
-4.008300701000828212e+02 2.164102152379814292e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -3.941026580012919567e+02 -4.001703722879832412e+02 3.800000000000000044e-01
-3.997536326144502823e+02 7.433811510269703327e-01 -7.750000000000002720e-02 4.000000000000000000e+02 -3.899328777660883816e+02 -3.960030920527797207e+02 1.054999999999999938e+00
-3.959798590058134096e+02 2.095298212558577511e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -3.761051719410670557e+02 -3.821778862277583926e+02 1.534999999999999920e+00
-3.821778852141290486e+02 6.206392049405803135e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -3.651542685049372494e+02 -3.712294827916285840e+02 3.250000000000000111e-01
-3.712294652056951918e+02 5.014639206927683723e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -3.644262514776008288e+02 -3.705039657642921611e+02 1.000000000000000021e-02
-3.701091688679957201e+02 3.699541095386797984e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -3.572908537543254397e+02 -3.633710680410167697e+02 6.899999999999999467e-01
-3.633698838471088379e+02 3.535697966940484882e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -3.544280958838449465e+02 -3.605108101705362742e+02 1.584999999999999964e+00
-3.604550710310541604e+02 3.682816142699828710e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -3.497970623574703382e+02 -3.558822766441616636e+02 1.530000000000000027e+00
-3.558720005683754266e+02 5.556910287834143425e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -3.482118750044469380e+02 -3.542995892911382612e+02 2.899999999999999800e-01
-3.541110006369610801e+02 7.475966174642324491e-01 -9.750000000000004496e-02 4.000000000000000000e+02 -3.452412941548612935e+02 -3.513315084415526144e+02 9.350000000000000533e-01
-3.512712885898173454e+02 1.695923811280279025e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -3.443571147044919485e+02 -3.504498289911832671e+02 1.054999999999999938e+00
-3.500853322285885270e+02 1.341653426201680821e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -3.372820771840474663e+02 -3.433772914707387827e+02 1.350000000000000089e-01
-3.433760711614958154e+02 3.284590407438175763e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -3.370863415195033213e+02 -3.431840558061946354e+02 9.000000000000000222e-01
-3.425823146289994270e+02 2.732937416703931977e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -3.343603905084754047e+02 -3.404606047951667165e+02 2.300000000000000100e-01
-3.403474309703051404e+02 1.267617958487671004e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -3.318856025224804966e+02 -3.379883168091718062e+02 7.800000000000000266e-01
-3.378980156066866130e+02 1.738092475847087259e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -3.311433196014161240e+02 -3.372485338881074313e+02 5.999999999999999778e-02
-3.368283007570323662e+02 1.360536178808537056e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -3.286554872595222037e+02 -3.347632015462135087e+02 1.084999999999999964e+00
-3.346438147222506245e+02 1.932511327098805687e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -3.254934004974419963e+02 -3.316036147841332991e+02 9.949999999999999956e-01
-3.315568978853773956e+02 2.450573785601936727e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -3.233169607677111230e+02 -3.294296750544024235e+02 1.270000000000000018e+00
-3.293170896954683826e+02 3.301147622761928968e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -3.218619733505049680e+02 -3.279771876371962662e+02 1.725000000000000089e+00
-3.277445918470137372e+02 3.691839793733386443e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -3.211206777292846937e+02 -3.272383920159759896e+02 1.175000000000000044e+00
-3.267666512059191177e+02 1.605983852829812930e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -3.168109704414785028e+02 -3.229311847281697965e+02 1.975000000000000089e+00
-3.229098232534918225e+02 2.244721531885563337e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -3.119180059217098915e+02 -3.180407202084011828e+02 1.675000000000000044e+00
-3.180330693003457441e+02 3.605811847805358017e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -3.093996266419079006e+02 -3.155248409285991897e+02 5.500000000000000444e-01
-3.154465730159011514e+02 3.816635732536442838e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -3.081657821536811639e+02 -3.142934964403724507e+02 1.885000000000000009e+00
-3.140191548760346905e+02 1.190023251586265207e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -3.038060508061173550e+02 -3.099362650928086396e+02 2.700000000000000178e-01
-3.099195469458013008e+02 2.186507922337625587e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -3.037895573604679385e+02 -3.099222716471592776e+02 1.514999999999999902e+00
-3.092277611879209189e+02 2.225286358491580518e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -3.028496664674759131e+02 -3.089848807541672500e+02 1.794999999999999929e+00
-3.084058179810041906e+02 2.524118883876523167e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -2.991564772519202506e+02 -3.052941915386115852e+02 1.665000000000000036e+00
-3.052506259766378207e+02 3.338116945549997272e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -2.972365327577750804e+02 -3.033767470444664127e+02 1.280000000000000027e+00
-3.032339228524643318e+02 4.288450428767165867e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -2.944669276269883085e+02 -3.006096419136796385e+02 1.899999999999999911e+00
-3.005396571275425117e+02 4.816594366023948304e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -2.921901789725142180e+02 -2.983353932592055457e+02 1.610000000000000098e+00
-2.982307344470064550e+02 5.013836469793280237e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -2.911802817974874529e+02 -2.973279960841787783e+02 1.449999999999999900e-01
-2.969876329643953454e+02 2.704676251368544726e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -2.910262680771098189e+02 -2.971764823638011421e+02 1.975000000000000089e+00
-2.963844590804965833e+02 2.085638555618261947e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -2.901796347776461289e+02 -2.963323490643374498e+02 1.290000000000000036e+00
-2.956649174985317359e+02 9.463273185266537491e-01 -1.625000000000000888e-01 4.000000000000000000e+02 -2.891239276196044443e+02 -2.952791419062957630e+02 9.799999999999999822e-01
-2.947603938945347863e+02 7.242342039430985645e-01 -1.650000000000000910e-01 4.000000000000000000e+02 -2.866390282301234720e+02 -2.927967425168147884e+02 9.200000000000000400e-01
