weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.036083841300832091e+03 6.668883658412170234e-01 4.631888511070075820e-01 2.881322303091012893e-01 5.004802909997861926e-01 1.852436259654144379e-03
0.000000000000000000e+00 -1.010215063890214310e+03 6.931354831707829955e-01 2.077739752046863231e-01 7.474570551529616802e-01 7.388586154908259873e-01 2.408140095605304509e-03
0.000000000000000000e+00 -9.106004993741581757e+02 5.199903086009819431e-01 1.151899533722855473e-03 3.388275022644845480e-01 8.435487885253278861e-01 5.261914599088046707e-02
0.000000000000000000e+00 -8.959184345302847987e+02 8.254849379464884729e-01 7.136645717778817843e-01 4.393489423463150523e-01 8.951738614644616510e-01 5.044813026186534266e-03
0.000000000000000000e+00 -7.719147140557605553e+02 5.572785724184525780e-02 3.538531157248137049e-02 2.256976368507048747e-01 1.159296117146594307e-01 3.205317326758772012e-03
0.000000000000000000e+00 -7.633131497901013063e+02 1.572387666601265943e-01 7.395079499812390322e-01 7.409735800015256890e-01 8.904044182227470738e-01 1.139967410320208430e-02
1.352490139465225476e-290 -6.852282944869664334e+02 5.555560604012442782e-01 2.283276470232054045e-02 5.939524833444320695e-02 4.744022275797891153e-01 4.843682390503900592e-02
6.999822248703955686e-287 -6.766741018934069416e+02 4.975351068349366246e-01 1.818842814941874497e-01 4.925167139568438213e-01 3.269920472824435764e-01 4.296214609772364135e-03
2.533783620927463133e-272 -6.431489965662544819e+02 4.325856490775541463e-01 4.726305850345413617e-01 1.625477709256712977e-01 5.747564579162623977e-01 2.712533469706457367e-02
7.689560213742662838e-264 -6.236156659177225947e+02 1.108694132944291200e-01 2.886774957149493837e-01 9.014942807577708273e-02 5.592335320753369921e-01 8.110451304938703920e-02
5.466695804914822679e-256 -6.055336743899669045e+02 7.817488285157603300e-03 9.365072846162832976e-01 4.044274645258896239e-01 8.848020594423329221e-01 1.300839977253634983e-01
2.593293607754154809e-238 -5.648303883613311882e+02 4.931658252501776030e-01 1.322855883785298836e-01 2.310935198452154227e-01 4.905224082990403689e-01 2.964465949434347269e-02
9.017022414205709935e-238 -5.635817029221026360e+02 2.587367593099876295e-01 7.826793713653235063e-01 2.474192338297666049e-01 6.743810478629799210e-01 4.644749705610318191e-02
2.580894027266298102e-229 -5.441069153943381025e+02 1.142515537184363161e-02 9.279724430291559356e-01 5.288650801032179771e-01 7.886392821059953206e-01 9.727220107055567500e-02
8.023450171623426305e-223 -5.291546721721449558e+02 3.684859716421962084e-03 9.497305210712496670e-01 1.905702184165586344e-01 9.044077290880028208e-01 4.491581894685778842e-01
1.711136707199297930e-222 -5.283947977137603402e+02 3.343310671734900374e-02 3.338170371768223177e-02 3.536777000639099722e-01 7.916973303301059195e-01 2.604089519751699999e-01
1.182108264043831495e-221 -5.264595710027554105e+02 8.928188820796301162e-02 8.791829778094339964e-03 9.479898960937649388e-02 7.477405276615018970e-01 5.786539533122376788e-01
4.521735027879061467e-213 -5.066947939916223618e+02 4.821548363760751466e-01 4.507368193419436508e-01 4.954128024390175300e-01 7.876448979347291379e-01 3.313504305220271728e-02
1.013477540192771495e-212 -5.058852171485183931e+02 4.040506315959241368e-01 2.183148273595713063e-01 9.687680831701090955e-01 6.806573784787168790e-01 2.197546526710203452e-02
7.188692771362446422e-206 -4.901080847734264694e+02 5.266759734833461604e-01 1.537663566425186978e-01 8.769221271232440218e-01 7.936216112237967080e-01 3.053637589071189762e-02
2.709713909761612781e-205 -4.887786659626206074e+02 3.015941918214637418e-03 8.119483230509966232e-01 7.432076736391080019e-02 7.763764161690921428e-01 7.333004991780889270e-01
4.564062597596840633e-197 -4.698341151322156861e+02 3.223786890692359464e-02 9.587157209341051756e-01 1.668468658935819970e-01 9.197587734391522440e-01 3.814825106423749279e-01
2.903684749557875389e-195 -4.656786775598903887e+02 1.344635708181269873e-01 9.402751209089160733e-01 3.469964382207478826e-01 4.656475281529763866e-01 3.493083293405430112e-02
2.905587838543089651e-194 -4.633729372767587051e+02 1.866035088198758629e-01 9.153981937468466112e-01 5.566635164043909345e-02 8.956591187403928345e-01 2.452446971561544897e-01
1.729360082041329502e-185 -4.431660557183969900e+02 4.191593768017658483e-01 3.166227563617221019e-01 7.304220673334138603e-01 8.133350593466570633e-01 4.171234369407628151e-02
1.345956156894694986e-175 -4.203883515759590068e+02 1.689523500296474801e-02 7.776081117249700192e-03 4.716614982400855194e-01 8.597139328597003249e-01 7.268793335834256020e-01
7.714806398562580923e-171 -4.094294744704471327e+02 6.868395032783825016e-01 1.618053566665844656e-02 2.597420379618764485e-02 7.458747266768338546e-01 3.857182533689623716e-01
3.590234876009215844e-167 -4.009815578643798517e+02 5.473307475846977965e-02 5.287202023628079228e-01 5.729753352562670932e-01 7.329707930874859168e-01 1.173098163546671957e-01
6.209262506080494709e-165 -3.958260631740163262e+02 7.932021473469519357e-02 6.134707664003034022e-01 7.848755582078881243e-02 1.992232735113080855e-01 6.869990908036860411e-02
1.165391057248660571e-164 -3.951939635086793032e+02 3.278244585088355700e-01 5.405198451286586936e-01 7.970168933300333380e-01 5.429463433096147762e-01 2.971432619514280393e-02
3.462054536567803794e-164 -3.941026580012919567e+02 7.679008638998330305e-02 2.902816815703257447e-03 6.155976954007517099e-01 5.988646854186843171e-01 2.859572175152247375e-01
2.234398934425238920e-162 -3.899328777660883816e+02 9.255064269628787699e-02 3.300201117144706542e-01 2.212207861318260527e-01 6.039107567474973903e-01 2.339956326419330157e-01
2.256167383755331772e-156 -3.761051719410670557e+02 1.170530625265663316e-01 5.814354499310081525e-02 5.716649542216389879e-02 5.295651220274275595e-01 5.349195118525645887e-01
1.282928681727113051e-151 -3.651542685049372494e+02 2.640618210214296102e-02 1.075323748858706407e-01 5.421960162932650817e-01 9.368454622925924680e-01 4.347973058449717820e-01
2.650272657443068653e-151 -3.644262514776008288e+02 9.248664833080123548e-01 4.618328041437957943e-02 3.212594812268195765e-01 6.733541134456382249e-01 1.137097925955888877e-01
3.319469458824131716e-148 -3.572908537543254397e+02 1.609470848956103817e-01 7.945846436798482681e-01 8.739047105717437924e-01 7.394069044412548974e-01 7.060365799237666717e-02
5.797795424581201366e-147 -3.544280958838449465e+02 5.948596435911371882e-01 4.535866445895625487e-01 7.276410109854856145e-01 9.066186356107380773e-01 6.877277229318179419e-02
5.934846038666940392e-145 -3.497970623574703382e+02 2.983373728850604589e-01 6.257678584245648379e-01 1.042273235856966407e-01 4.194731547413791395e-01 1.343052253742758051e-01
2.889095121942935913e-144 -3.482118750044469380e+02 1.375076324296191643e-01 2.548162630957282460e-01 5.486473015941918385e-01 5.732497154710131104e-01 8.885748902333867605e-02
5.620603840674608213e-143 -3.452412941548612935e+02 9.322996310580122792e-02 3.064021572823659723e-01 5.189294166266035235e-01 9.689024271132237187e-01 2.751654386577974121e-01
