09:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit/PCB 123/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:01:40 [ultranest] [INFO] Sampling 400 live points from prior ...
09:55:24 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
09:55:24 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
09:55:24 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
09:55:33 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1036.08, Lmax=-21.96
09:55:42 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-1042.08, remainder_fraction=100.0000%, Lmin=-1010.22, Lmax=-21.96
09:55:53 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-1016.21, remainder_fraction=100.0000%, Lmin=-910.60, Lmax=-21.96
09:56:03 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-916.60, remainder_fraction=100.0000%, Lmin=-895.92, Lmax=-21.96
09:56:13 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-901.92, remainder_fraction=100.0000%, Lmin=-771.91, Lmax=-21.96
09:56:24 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-777.92, remainder_fraction=100.0000%, Lmin=-763.31, Lmax=-21.96
09:56:35 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-769.32, remainder_fraction=100.0000%, Lmin=-685.23, Lmax=-21.96
09:56:45 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-691.24, remainder_fraction=100.0000%, Lmin=-676.67, Lmax=-21.96
09:56:56 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-682.68, remainder_fraction=100.0000%, Lmin=-643.15, Lmax=-21.96
09:57:05 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-649.16, remainder_fraction=100.0000%, Lmin=-623.62, Lmax=-21.96
09:57:15 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-629.63, remainder_fraction=100.0000%, Lmin=-605.53, Lmax=-21.96
09:57:26 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-611.55, remainder_fraction=100.0000%, Lmin=-564.83, Lmax=-21.96
09:57:35 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-570.85, remainder_fraction=100.0000%, Lmin=-563.58, Lmax=-21.96
09:57:46 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-569.35, remainder_fraction=100.0000%, Lmin=-544.11, Lmax=-21.96
09:57:55 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-550.13, remainder_fraction=100.0000%, Lmin=-529.15, Lmax=-21.96
09:58:05 [ultranest] [DEBUG] iteration=15, ncalls=416, regioncalls=640, ndraw=40, logz=-535.18, remainder_fraction=100.0000%, Lmin=-528.39, Lmax=-21.96
09:58:15 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-534.04, remainder_fraction=100.0000%, Lmin=-526.46, Lmax=-21.96
09:58:25 [ultranest] [DEBUG] iteration=17, ncalls=418, regioncalls=720, ndraw=40, logz=-532.30, remainder_fraction=100.0000%, Lmin=-506.69, Lmax=-21.96
09:58:36 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-512.73, remainder_fraction=100.0000%, Lmin=-505.89, Lmax=-21.96
09:58:46 [ultranest] [DEBUG] iteration=19, ncalls=420, regioncalls=800, ndraw=40, logz=-511.55, remainder_fraction=100.0000%, Lmin=-490.11, Lmax=-21.96
09:58:56 [ultranest] [DEBUG] iteration=20, ncalls=421, regioncalls=840, ndraw=40, logz=-496.15, remainder_fraction=100.0000%, Lmin=-488.78, Lmax=-21.96
09:59:05 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-494.59, remainder_fraction=100.0000%, Lmin=-469.83, Lmax=-21.96
09:59:15 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-475.88, remainder_fraction=100.0000%, Lmin=-465.68, Lmax=-21.96
09:59:25 [ultranest] [DEBUG] iteration=23, ncalls=424, regioncalls=960, ndraw=40, logz=-471.71, remainder_fraction=100.0000%, Lmin=-463.37, Lmax=-21.96
09:59:35 [ultranest] [DEBUG] iteration=24, ncalls=425, regioncalls=1000, ndraw=40, logz=-469.33, remainder_fraction=100.0000%, Lmin=-443.17, Lmax=-21.96
09:59:46 [ultranest] [DEBUG] iteration=25, ncalls=426, regioncalls=1040, ndraw=40, logz=-449.22, remainder_fraction=100.0000%, Lmin=-420.39, Lmax=-21.96
09:59:56 [ultranest] [DEBUG] iteration=26, ncalls=427, regioncalls=1080, ndraw=40, logz=-426.44, remainder_fraction=100.0000%, Lmin=-409.43, Lmax=-21.96
10:00:06 [ultranest] [DEBUG] iteration=27, ncalls=428, regioncalls=1120, ndraw=40, logz=-415.49, remainder_fraction=100.0000%, Lmin=-400.98, Lmax=-21.96
10:00:16 [ultranest] [DEBUG] iteration=28, ncalls=429, regioncalls=1160, ndraw=40, logz=-407.04, remainder_fraction=100.0000%, Lmin=-395.83, Lmax=-21.96
10:00:26 [ultranest] [DEBUG] iteration=29, ncalls=430, regioncalls=1200, ndraw=40, logz=-401.88, remainder_fraction=100.0000%, Lmin=-395.19, Lmax=-21.96
10:00:35 [ultranest] [DEBUG] iteration=30, ncalls=431, regioncalls=1240, ndraw=40, logz=-400.83, remainder_fraction=100.0000%, Lmin=-394.10, Lmax=-21.96
10:00:45 [ultranest] [DEBUG] iteration=31, ncalls=432, regioncalls=1280, ndraw=40, logz=-399.75, remainder_fraction=100.0000%, Lmin=-389.93, Lmax=-21.96
10:01:02 [ultranest] [DEBUG] iteration=32, ncalls=434, regioncalls=1360, ndraw=40, logz=-395.98, remainder_fraction=100.0000%, Lmin=-376.11, Lmax=-21.96
10:01:10 [ultranest] [DEBUG] iteration=33, ncalls=435, regioncalls=1400, ndraw=40, logz=-382.18, remainder_fraction=100.0000%, Lmin=-365.15, Lmax=-21.96
10:01:21 [ultranest] [DEBUG] iteration=34, ncalls=436, regioncalls=1440, ndraw=40, logz=-371.23, remainder_fraction=100.0000%, Lmin=-364.43, Lmax=-21.96
10:01:30 [ultranest] [DEBUG] iteration=35, ncalls=437, regioncalls=1480, ndraw=40, logz=-370.11, remainder_fraction=100.0000%, Lmin=-357.29, Lmax=-21.96
10:01:39 [ultranest] [DEBUG] iteration=36, ncalls=438, regioncalls=1520, ndraw=40, logz=-363.37, remainder_fraction=100.0000%, Lmin=-354.43, Lmax=-21.96
10:01:48 [ultranest] [DEBUG] iteration=37, ncalls=439, regioncalls=1560, ndraw=40, logz=-360.46, remainder_fraction=100.0000%, Lmin=-349.80, Lmax=-21.96
10:01:58 [ultranest] [DEBUG] iteration=38, ncalls=440, regioncalls=1600, ndraw=40, logz=-355.87, remainder_fraction=100.0000%, Lmin=-348.21, Lmax=-21.96
10:02:07 [ultranest] [DEBUG] iteration=39, ncalls=441, regioncalls=1640, ndraw=40, logz=-354.11, remainder_fraction=100.0000%, Lmin=-345.24, Lmax=-21.96
10:02:17 [ultranest] [DEBUG] iteration=40, ncalls=442, regioncalls=1680, ndraw=40, logz=-351.27, remainder_fraction=100.0000%, Lmin=-344.36, Lmax=-21.96
10:02:26 [ultranest] [DEBUG] iteration=41, ncalls=443, regioncalls=1720, ndraw=40, logz=-350.09, remainder_fraction=100.0000%, Lmin=-337.28, Lmax=-21.96
10:02:36 [ultranest] [DEBUG] iteration=42, ncalls=444, regioncalls=1760, ndraw=40, logz=-343.38, remainder_fraction=100.0000%, Lmin=-337.09, Lmax=-21.96
10:02:47 [ultranest] [DEBUG] iteration=43, ncalls=445, regioncalls=1800, ndraw=40, logz=-342.58, remainder_fraction=100.0000%, Lmin=-334.36, Lmax=-21.96
10:02:56 [ultranest] [DEBUG] iteration=44, ncalls=446, regioncalls=1840, ndraw=40, logz=-340.35, remainder_fraction=100.0000%, Lmin=-331.89, Lmax=-21.96
10:03:06 [ultranest] [DEBUG] iteration=45, ncalls=447, regioncalls=1880, ndraw=40, logz=-337.90, remainder_fraction=100.0000%, Lmin=-331.14, Lmax=-21.96
10:03:15 [ultranest] [DEBUG] iteration=46, ncalls=448, regioncalls=1920, ndraw=40, logz=-336.83, remainder_fraction=100.0000%, Lmin=-328.66, Lmax=-21.96
