weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.595748803164307446e+03 5.514020048537215946e-02 7.543421720916982931e-01 2.833592776167548344e-02 3.850785299771035675e-01 1.678959587281370069e-03
0.000000000000000000e+00 -1.550267146911079863e+03 2.843056501880417697e-01 3.610753575238031532e-01 7.569249783015074007e-01 4.008252889272516661e-01 5.121691519915927415e-04
0.000000000000000000e+00 -1.535851549786777014e+03 8.679633078142470204e-01 6.075154802406645960e-01 1.135318285183614107e-01 4.251040564172947622e-01 6.327045248588625270e-04
0.000000000000000000e+00 -1.301178944666411098e+03 3.352501019528932868e-01 3.973159554265441873e-01 3.842975011877565183e-01 7.521865090585037050e-01 3.481442205901741360e-03
0.000000000000000000e+00 -1.014995205055949100e+03 3.625457845244109967e-01 6.861029174738908498e-01 2.278983413108724987e-01 9.142672010106436264e-01 1.185759618334891741e-02
0.000000000000000000e+00 -9.480282684865636611e+02 1.401742897436741853e-02 2.690435235238454181e-01 6.422374397586837480e-01 8.075094246808818266e-01 3.445019677321137230e-02
0.000000000000000000e+00 -8.952588330469282027e+02 9.697998339874855933e-01 4.889267736515966467e-01 6.152694969586715024e-01 7.664859373845100965e-01 7.497194984004806884e-03
0.000000000000000000e+00 -8.811017566443100577e+02 5.337592033894834609e-01 2.986091616915380609e-01 8.724551619653053702e-01 6.902557125100092783e-01 8.504382691421619178e-03
0.000000000000000000e+00 -8.481981492184246463e+02 3.765056092531948728e-02 2.705213049418425664e-01 8.373450368050738835e-02 9.371160410513723615e-01 8.442987028494219892e-02
2.145233034242692495e-319 -7.458150994602503943e+02 3.457622325097995386e-01 3.332736800796554100e-02 4.719897365792199428e-01 5.209775706933540418e-01 3.236535879811519578e-02
3.307142024631882371e-301 -7.039332321813880071e+02 9.860530364677440041e-01 4.859126658940694510e-01 2.077386942242416268e-01 4.470403440021590846e-01 1.206077340471156667e-02
3.970388923733227481e-300 -7.014453674125630869e+02 3.017624799013793879e-01 5.499558465108744798e-02 7.476957326269725312e-01 8.710378624401390324e-01 5.685766555668358979e-02
2.118867878232639604e-298 -6.974656793558085610e+02 6.473226993587729572e-01 8.285178283711152059e-01 3.625417613743997514e-02 9.846813266426542866e-01 4.311628082373486492e-02
3.486071743264279142e-291 -6.808471901039101795e+02 9.039826221242146520e-01 5.971286449838713040e-01 2.861148452865609482e-01 9.862946219140132920e-01 3.527593847620824619e-02
3.973618346862279019e-283 -6.622931077852515500e+02 4.329736109585600179e-01 9.482541333662883876e-01 6.765833839332935362e-03 2.416881396252573699e-01 1.250011392116323616e-02
1.598207954450436931e-280 -6.562936466351821991e+02 3.857127087579638181e-01 1.837941509192926315e-01 1.292767042261562249e-01 8.991224208781908311e-01 8.344967062111152689e-02
4.107141862639287818e-264 -6.185059407443060309e+02 7.903356277653128537e-02 8.191051280238824672e-01 3.778729211205156258e-02 9.250651291823746014e-01 1.446389852038681978e-01
1.360374327953631148e-261 -6.127006529383535280e+02 3.354791784694084456e-01 4.978297913108920003e-02 2.695755818051157604e-01 5.719616417536178554e-01 8.041377362609780644e-02
1.312757016690621664e-259 -6.081286131368303813e+02 4.573875393002502232e-02 3.747699173591557686e-01 6.924205535866543304e-01 8.747890988706947812e-01 1.059626231368329119e-01
8.762868060745842255e-258 -6.039251343068317510e+02 1.323667768283189883e-01 7.446122092601061837e-01 1.957022838472946002e-01 3.354218264626146473e-01 3.010007030510697401e-02
3.828948506587885950e-246 -5.771195462223229242e+02 9.010692761858010158e-01 1.760603088388978943e-01 9.737173535559343618e-01 8.658064748488513152e-01 4.180641940458540429e-02
1.995680268891180302e-243 -5.708608961883471693e+02 6.814062364445316877e-02 7.741641832996288830e-01 4.684933119355534359e-01 9.633451885668911086e-01 1.337575756581299569e-01
4.376521507077131061e-239 -5.608627865631061695e+02 7.627336409547794682e-01 4.707119011462448377e-01 3.955258734932306508e-01 6.474826845458536706e-01 3.685612392597259479e-02
3.873855485954036647e-238 -5.586797054417938853e+02 6.261820999829386114e-01 5.220508312539462459e-01 5.075096932615451584e-01 8.938444907285297836e-01 5.566304023294932346e-02
1.601732435430126758e-236 -5.549551997009061779e+02 9.830743791949617671e-01 3.335705281991878657e-01 2.016578220752444084e-01 5.033692170566919089e-01 3.312063020565791938e-02
4.945749974022644272e-232 -5.446149165278709461e+02 6.117172016939435020e-01 2.405461424391825975e-01 5.221681721833304479e-02 8.601140136031546479e-01 1.124352330754164742e-01
1.507540780634136898e-230 -5.411952952574729352e+02 4.156683955032408617e-01 5.218339327818025675e-01 8.822680223349053108e-01 1.494965345451614303e-01 7.911497576114645547e-03
