pFat pLiver pSlow kMet fAbs
3.881876951494234618e+02 3.960991578569883131e+01 4.945981158335578698e+01 2.178247420345894980e+01 6.641377661923211217e-01
7.802109552836658395e+02 3.014525149256069270e+01 3.630215113960549189e+01 3.902739982957042031e+01 9.694372356440642546e-01
3.179633900375078497e+02 2.176411829634112038e+01 8.908602300458802858e+00 1.704993734106947656e+01 9.490780244687504474e-01
4.060827782457375292e+02 3.705816988134503021e+01 3.237907958199324199e+00 2.063781191978911878e+01 8.530544231587364745e-01
3.432253407973722688e+02 2.281603898120039275e+01 3.270702077481039538e+01 2.338441435392787682e+01 9.320053331343646219e-01
4.258765331317852088e+02 2.746529355989971677e+01 1.283353143397105711e+01 2.367529515375518301e+01 8.801743862159483456e-01
4.670554108317472242e+02 4.310026241544390047e+01 1.138668755564280488e+00 2.353256271052628890e+01 9.772843558127249919e-01
4.934934786465364027e+02 3.135150231494958106e+01 1.960195111602102003e+01 2.688102293471121484e+01 8.541241905165697368e-01
3.046700736289545830e+02 2.890233499894267410e+01 9.357682630377111010e+00 1.946899913968590923e+01 9.352860393849675713e-01
6.151365209541170316e+02 3.781048357258145387e+01 2.000628617509447338e+01 2.944856233600304307e+01 8.702142433060406912e-01
4.161980438265782709e+02 4.250160368597199323e+01 7.602889320870679590e+00 1.780394338197280035e+01 8.652873697507653672e-01
4.323560047406588751e+02 3.790212298439332983e+01 2.178656864851202002e+01 2.381455684529304051e+01 9.066485382943376692e-01
4.739329857670305159e+02 5.911250779571035707e+01 4.380086687557425051e+01 2.919295459109449098e+01 7.547580964349412946e-01
3.179870195742587384e+02 2.547907086015692713e+01 5.383150050765588723e+00 1.057446555835218582e+01 6.865068267965569460e-01
8.428028566733656817e+02 9.567640387283447012e+01 2.739808887238582003e+01 4.708651016311012683e+01 9.506856288267604427e-01
5.395470713757804333e+02 4.809308519104983048e+01 2.113526180007339761e+01 2.957809972078568705e+01 8.553452934530630936e-01
3.160157110695844835e+02 2.402631615212056815e+01 1.003844915094212276e+01 1.942672504410048617e+01 9.919862745747913824e-01
4.430876999478286393e+02 6.987619291237933794e+01 5.311993273080888756e+00 2.072357939447822872e+01 7.406274492182195468e-01
1.405879452680941881e+02 2.425884395058101006e+01 2.359540821202603311e+01 1.511638144228170333e+01 9.016857343419042436e-01
3.695528852687738777e+02 4.875554252647791742e+01 5.994318112001415955e+00 1.824080089293912366e+01 7.810907283642040122e-01
7.243745522993423265e+02 9.445642198168157222e+01 1.256341945828605411e+01 4.111678056124768688e+01 8.279010130781003785e-01
5.427842289796183195e+02 5.311087807166522623e+01 3.392455532126103623e+00 2.652432508699097369e+01 9.595490860286276513e-01
3.337919508954522030e+02 4.017894969516241588e+01 2.236085522110456125e+01 2.684391479079777909e+01 9.800281076145577197e-01
4.233813232754325782e+02 3.835586937867666535e+01 2.020032508564775142e+01 2.753440918303622809e+01 8.549023907152993873e-01
4.654085333745057369e+02 2.228585708585245229e+01 1.143741959959296928e+01 2.107321854505155656e+01 8.927450941309190702e-01
3.124074667270493251e+02 2.150672397423443272e+01 1.481631210464878912e+01 2.131517429802040553e+01 7.690047004788787000e-01
6.246994593076504998e+02 3.387194486317509501e+01 2.903996435643182217e+00 3.077268554517684507e+01 9.952734363759488945e-01
4.459830592778150731e+02 3.944251990769998173e+01 1.966669378786886746e+00 2.804235453317980387e+01 9.947004931673344430e-01
4.264449997131256964e+02 3.280185398743572023e+01 8.375486391225463123e+00 1.777845243881173687e+01 5.855291629687452426e-01
6.266476421178764440e+02 4.457179488467198780e+01 1.694685870569997377e+01 2.687381751529902019e+01 6.947773587476782087e-01
4.978993128228975706e+02 4.578987919973119602e+01 1.411440658068425869e+01 3.034636745791569012e+01 9.193154955538465067e-01
4.716974382773324237e+02 5.471107963850868572e+01 6.460683720707682376e+00 2.787051311622426297e+01 8.675604162077568127e-01
4.281565638986970157e+02 3.704287346977421436e+01 1.590689135813592081e+01 2.340487081185371210e+01 9.779272510859176037e-01
2.932202006913395280e+02 2.124503849874717432e+01 4.968093487737662350e+00 1.570920824720075082e+01 7.934083817836078412e-01
3.149664680382888946e+02 5.008885571063249387e+01 1.258947817433797312e+01 2.308349107693796398e+01 9.245406517316739903e-01
3.737611438568068252e+02 3.296825311845701378e+01 9.275818341625985397e+00 1.978630052007097007e+01 8.566543774390666943e-01
3.033380374307492957e+02 4.109703942179763914e+01 2.154594124022612434e+01 1.957670839151616704e+01 7.548612003741617116e-01
8.392649873022728571e+02 5.698357877625866763e+01 3.858291181958288973e+01 3.705323073702315639e+01 9.334677560997350909e-01
3.050682089804626571e+02 3.621626058307047202e+01 1.513238741245454655e+01 2.188610549225898438e+01 9.415242380186671367e-01
2.602621004511551064e+02 3.052722912064104932e+01 1.141979858307008122e+01 1.773960266351821247e+01 7.645480824449740753e-01
7.009390326758685887e+02 3.567092569971607929e+01 3.521330093217929402e+01 3.555973946800204999e+01 9.778059043414731866e-01
4.973021584971426705e+02 2.687650351009557070e+01 1.927634614831714188e+01 2.125546326429127220e+01 8.481415124394664495e-01
5.285928182009196235e+02 7.122302663887076335e+01 2.198991971703156167e+01 2.137848825067994341e+01 6.427752014025646110e-01
2.823954190541307412e+02 2.271105120228497043e+01 4.717625366471645876e+00 1.633210017817344806e+01 6.776884288467460715e-01
1.970313347755596851e+02 1.513030999591439851e+01 4.350008771484672465e+00 8.925484765879666327e+00 5.511101121364144761e-01
2.777504762058513279e+02 4.209878386756849977e+01 3.613024039619826766e+01 2.303948126401316543e+01 8.568047950491916032e-01
4.467969018722143915e+02 3.785535575021231836e+01 2.191231269719484587e+01 2.243081740807441449e+01 8.951554198812128327e-01
4.643720584874725432e+02 3.443601165019600074e+01 8.144645668499489233e+00 2.164257237565479386e+01 8.240661511632358938e-01
3.610042493696016095e+02 4.537745998253848967e+01 1.526161188421622583e+01 1.908722958222841726e+01 8.411011423469922921e-01
3.675250647727289106e+02 4.367232425656556671e+01 5.773242361624824781e+01 3.779629556483234154e+01 9.599504508129776958e-01
5.892711728812030287e+02 5.744543732090689048e+01 2.082381752892598925e+01 2.543619619945389942e+01 5.848179826927659697e-01
9.724300610583928801e+02 1.122021917249227556e+02 6.568519332950261358e+00 3.890009733947398729e+01 8.140325093465043960e-01
7.577991954398240750e+02 1.713531551032028233e+01 1.217121095316385038e+01 2.842271698762115051e+01 9.822425403160992552e-01
3.805253393275100962e+02 2.902242609910272719e+01 1.807759596578580652e+00 1.433946929110220481e+01 6.738752170762017935e-01
5.776752246945518436e+02 4.431417721017817968e+01 3.888372732963985001e+00 3.265060319815590617e+01 9.945059055169125362e-01
4.809558370107278620e+02 4.939977715900032962e+01 2.481460493681888124e+01 2.817135539515610532e+01 7.940345095530403352e-01
5.382369911820073867e+02 2.086968099199456361e+01 1.128181252667736878e+01 2.162028851066281021e+01 9.267093036501905523e-01
4.516682452217660284e+02 2.827126548426882025e+01 1.148758710214249135e+01 2.469584092280892662e+01 9.920305102050060997e-01
3.165531858294010590e+02 2.654782051286727906e+01 9.725692100422300257e+00 2.110540324315528693e+01 8.014418246932830669e-01
5.177601779116947682e+02 6.674132267410205088e+01 9.147869212097289093e+00 2.798624116471141932e+01 8.899232240479040268e-01
4.024565885384791954e+02 2.527970219763486170e+01 4.011570856372620142e+01 2.577110914149870879e+01 9.551436929019041511e-01
5.807335499610761644e+02 4.512677836946624410e+01 1.293856843743238194e+01 2.293343152379121364e+01 7.908364454823896272e-01
1.928524306350788606e+02 2.744148662344823464e+01 2.798232748646897861e+01 1.618514432359421917e+01 8.555637316468670539e-01
2.030881252809117541e+02 2.241453831216020731e+01 3.680611532995570201e+01 1.783136535833527248e+01 9.765342352455224084e-01
3.495397450575330822e+02 2.033139831721853952e+01 2.295441073949292843e+01 1.739403617099005217e+01 9.387029259453880670e-01
3.372873372678687929e+02 3.247153133057925345e+01 2.757258780271645904e+01 2.327824557219075174e+01 9.865276879792036491e-01
4.592843679807494937e+02 3.770418461010041256e+01 9.445538490570566381e+00 1.989390002697973614e+01 9.021921664001205654e-01
4.170051536521145295e+02 3.961405240548369022e+01 4.143908301972182961e+00 2.365961584660515982e+01 7.628649834578133948e-01
4.928408305006155388e+02 4.152946706018079936e+01 3.127790635874153224e+01 2.641643205451486054e+01 8.603671273010234932e-01
4.929406409885384619e+02 2.801619044520718305e+01 1.002786395354195115e+01 2.295811877393469658e+01 9.600533075324757526e-01
3.287275243515434227e+02 3.288700003582722786e+01 2.429422591411924071e+00 1.584197781662071769e+01 8.974433611985925818e-01
5.867120948062478192e+02 4.813744621911234134e+01 1.125647179500448303e+01 2.703974819083137504e+01 8.039166266784860682e-01
2.479024203674563864e+02 2.036284892476098207e+01 1.234868362283402243e+00 1.136154721980713944e+01 6.998644322186714506e-01
4.075826141412062498e+02 1.811793001581499496e+01 5.048192212626580577e+00 1.905968462376410244e+01 9.248030384982873775e-01
4.120542216730474934e+02 3.029560993147831383e+01 1.897059371701701913e+00 2.202902265114274982e+01 9.280144339864681013e-01
2.715718277936415461e+02 2.122318645965517092e+01 1.418206457312827418e+01 1.551018202115303168e+01 8.832795178419291515e-01
2.389640420408021555e+02 2.251370879322069030e+01 2.343996300821133616e+01 2.046472041497840166e+01 9.394090991765083887e-01
3.653705108730861753e+02 2.874361733810332353e+01 1.401724201066179676e+00 2.039799296859415279e+01 9.350798089444869454e-01
4.116120167662402309e+02 4.190580134539167290e+01 1.785850288042152911e+01 1.989986167188851951e+01 7.121174331486457287e-01
2.906621231454265057e+02 3.251821146518670957e+01 1.275135162768113517e+01 1.902887850204782794e+01 6.196653194339325488e-01
3.812910307122181734e+02 2.793507284743605368e+01 2.089900832250276252e+01 1.702767896862684793e+01 9.118538853359736684e-01
4.233226765224287078e+02 3.137044511015569270e+01 2.615755134465558029e+01 2.851503774650061729e+01 9.633863138470213361e-01
3.418527329826284245e+02 1.771085769974437341e+01 5.576442258844957145e+00 1.682698822412501016e+01 8.583422084014307174e-01
4.888726595100247323e+02 3.169314388428488627e+01 1.057566288832249679e+00 2.264942612805824851e+01 9.445735052134328624e-01
3.617279479858987088e+02 2.021391176216884134e+01 3.062509578812820266e+01 1.595963036305403371e+01 7.407469132488172514e-01
