11:08:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/fit_updated_intake/PCB 157/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:08:32 [ultranest] [DEBUG] Testing resume consistency: [-2.03335986e+01 -1.99756613e+01  0.00000000e+00  7.21248123e-01
  1.26012031e-02  4.13939088e-02  3.40897448e-02  8.05307628e-01
  7.24035641e+02  1.35886019e+01  4.23525149e+01  3.50556550e+01
  8.05307628e-01]: u=[0.72124812 0.0126012  0.04139391 0.03408974 0.80530763] -> p=[724.03564133  13.58860193  42.35251489  35.05565502   0.80530763] -> L=-19.975661315572392 
11:08:40 [ultranest] [INFO] Resuming from 3834 stored points
11:08:40 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:08:40 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:08:40 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:08:40 [ultranest] [DEBUG] iteration=0, ncalls=11068, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1971.10, Lmax=-19.36
11:08:40 [ultranest] [DEBUG] iteration=40, ncalls=11068, regioncalls=0, ndraw=40, logz=-719.90, remainder_fraction=100.0000%, Lmin=-712.72, Lmax=-19.36
11:08:40 [ultranest] [DEBUG] iteration=80, ncalls=11068, regioncalls=0, ndraw=40, logz=-472.77, remainder_fraction=100.0000%, Lmin=-465.48, Lmax=-19.36
11:08:40 [ultranest] [DEBUG] iteration=90, ncalls=11068, regioncalls=0, ndraw=40, logz=-445.80, remainder_fraction=100.0000%, Lmin=-437.30, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=120, ncalls=11068, regioncalls=0, ndraw=40, logz=-398.86, remainder_fraction=100.0000%, Lmin=-392.09, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=160, ncalls=11068, regioncalls=0, ndraw=40, logz=-359.66, remainder_fraction=100.0000%, Lmin=-352.92, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=200, ncalls=11068, regioncalls=0, ndraw=40, logz=-321.46, remainder_fraction=100.0000%, Lmin=-314.20, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=240, ncalls=11068, regioncalls=0, ndraw=40, logz=-293.91, remainder_fraction=100.0000%, Lmin=-286.97, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=270, ncalls=11068, regioncalls=0, ndraw=40, logz=-272.84, remainder_fraction=100.0000%, Lmin=-266.94, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=280, ncalls=11068, regioncalls=0, ndraw=40, logz=-267.58, remainder_fraction=100.0000%, Lmin=-261.14, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=320, ncalls=11068, regioncalls=0, ndraw=40, logz=-244.59, remainder_fraction=100.0000%, Lmin=-238.65, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=360, ncalls=11068, regioncalls=0, ndraw=40, logz=-225.04, remainder_fraction=100.0000%, Lmin=-219.23, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=400, ncalls=11068, regioncalls=0, ndraw=40, logz=-205.08, remainder_fraction=100.0000%, Lmin=-198.84, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=440, ncalls=11068, regioncalls=0, ndraw=40, logz=-188.63, remainder_fraction=100.0000%, Lmin=-181.85, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=480, ncalls=11068, regioncalls=0, ndraw=40, logz=-178.22, remainder_fraction=100.0000%, Lmin=-172.40, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=520, ncalls=11068, regioncalls=0, ndraw=40, logz=-165.41, remainder_fraction=100.0000%, Lmin=-159.25, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=540, ncalls=11068, regioncalls=0, ndraw=40, logz=-158.09, remainder_fraction=100.0000%, Lmin=-150.86, Lmax=-19.36
11:08:41 [ultranest] [DEBUG] iteration=560, ncalls=11068, regioncalls=0, ndraw=40, logz=-152.36, remainder_fraction=100.0000%, Lmin=-145.82, Lmax=-19.36
