weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.747747488426103473e+03 6.359241042578951237e+02 3.105270479897359905e+02 9.235143125004899503e+02 6.020696604603870128e+02 5.300387227259450995e-04
0.000000000000000000e+00 -1.575027320222038725e+03 3.002641119224770705e+02 9.384298891449326447e+02 1.618102314823595691e+02 5.502762182735691567e+02 3.334298090178378082e-03
0.000000000000000000e+00 -1.302063265933015828e+03 4.551692079646955449e+02 1.701783347125730472e+02 1.923756299954343092e+02 4.892639886840402710e+02 7.379494984888212983e-03
0.000000000000000000e+00 -1.185212569950486568e+03 3.702689531043633906e+02 5.911717414688063172e+02 2.702085671321180484e+02 7.601230091722691213e+02 1.457937577366330562e-02
0.000000000000000000e+00 -1.169702751309517225e+03 5.024551665521688193e+01 7.352969325480160023e+02 9.403372183507349291e+02 8.959509500183096407e+02 1.263479259289357337e-02
0.000000000000000000e+00 -1.160902981678237893e+03 7.744097815081664749e+01 4.462653230639569415e+02 3.960191028380590410e+02 2.715280877934687851e+02 3.356895572920626236e-03
0.000000000000000000e+00 -1.094088607570166914e+03 1.098308327553917962e+01 8.867305542715678257e+02 2.323851490916886462e+02 9.527966705567041572e+02 1.484529040637702080e-01
0.000000000000000000e+00 -1.030051819659018065e+03 3.282976711352178256e+01 2.846285696715008271e+02 9.308325686795212732e+02 8.741340024848133226e+02 3.073256980211813705e-02
0.000000000000000000e+00 -1.018988404750909467e+03 8.975105005854277351e+01 9.371179276875061532e+02 1.509829268044345270e+02 9.986498293540155373e+02 9.840924161169073425e-02
0.000000000000000000e+00 -9.900184994575022301e+02 8.755220698371002754e+02 4.707435769692058614e+01 7.716210079443746395e+01 3.116825172474337364e+02 1.305349229057706228e-02
0.000000000000000000e+00 -9.899645153679914529e+02 1.260779191535145571e+02 8.750301266192529965e+02 9.239689393537216233e+01 6.159980418115400198e+02 6.128259195490171063e-02
0.000000000000000000e+00 -9.761248897288844546e+02 1.086713555948262098e+02 8.942774848400925976e+02 7.608023788063549375e+01 7.478179471214702971e+02 9.737112228702837768e-02
0.000000000000000000e+00 -9.267577629094625991e+02 9.296696022165731392e+02 8.259350782504189965e+02 1.691585524531087401e+02 8.186669892334094811e+02 2.635970039812984833e-02
0.000000000000000000e+00 -9.187074731624086326e+02 2.420758109887780734e+02 2.523296167804529375e+02 9.906979642207173811e+02 8.852504480311499719e+02 2.123844249707862453e-02
0.000000000000000000e+00 -8.611040022121489983e+02 3.077096451704697699e+01 4.786940585785226858e+02 8.971686978085790543e+02 8.521012530176125210e+02 5.516948954366285296e-02
0.000000000000000000e+00 -8.373429332437274297e+02 3.564674004342187459e+02 9.602305798666270675e+02 2.024451847867834999e+02 8.082274012321851160e+02 7.102752516434285290e-02
0.000000000000000000e+00 -8.335946097029136581e+02 2.031002742272270609e+02 3.766163359343218531e+01 5.664337898729387177e+01 5.519399230556036855e+02 2.256240998789333929e-01
0.000000000000000000e+00 -8.255491791666760264e+02 7.411437508115591299e+01 4.029924510728545073e+01 2.064676817608862507e+02 9.364202388056997961e+02 4.267045999392482525e-01
0.000000000000000000e+00 -8.125527982381265701e+02 3.832078850150128915e+02 1.611875960351572985e+02 5.969161555577192075e+02 5.985028997684124761e+02 2.364201343107208420e-02
0.000000000000000000e+00 -7.970208645603194100e+02 5.504182459708837314e+02 8.220844354680665447e+02 1.525990425480560191e+02 7.817271815468800469e+02 7.342113707639463804e-02
0.000000000000000000e+00 -7.911154951309767966e+02 1.362001870501827909e+02 8.199009750697979371e+01 2.356145074665748496e+02 6.073107175830596134e+02 1.493143357617722211e-01
0.000000000000000000e+00 -7.856627310818737442e+02 2.447925257458351780e+02 9.704156953937476828e+02 7.136499844279272509e+01 4.258828908736991821e+02 6.546752392908994356e-02
0.000000000000000000e+00 -7.685351225227599343e+02 2.756963749272811626e+01 9.392296790807232583e+02 6.128187598319966156e+01 3.572378605253924206e+02 1.800540580675341618e-01
3.211426697968102537e-322 -7.572594407144382558e+02 3.451659787776260373e+02 8.912619028302124207e+02 2.869828883570384050e+02 5.308702586819135831e+02 3.405670637002644607e-02
6.027600879263207839e-322 -7.566306395897836410e+02 4.790532569761872850e+01 7.362487448161544989e+01 1.320063312013360814e+02 8.983856647871099312e+02 6.960990679463535669e-01
1.625475974817701130e-321 -7.556384832750875375e+02 4.858756154257424669e+02 3.279655622389329324e+02 1.223148325124032283e+02 7.796055895090387367e+02 1.325907201215325015e-01
4.990689004169870956e-317 -7.453027718037709519e+02 4.848871792224643400e+02 1.140039877324585689e+02 2.876911829468062933e+02 6.974855419370821892e+02 9.153228073811414678e-02
4.465802441382564503e-310 -7.292933012413189999e+02 6.698940353347745713e+02 1.307469564166425187e+02 4.992996848968343784e+02 7.296201981455043324e+02 4.667933738595131388e-02
1.169311541632928222e-306 -7.214204946359743644e+02 4.829813044392251982e+02 2.946061126502575007e+02 1.599638318917945234e+01 7.823873739588728995e+02 1.954460113064286908e-01
4.227108209314884209e-288 -6.786863599909348750e+02 5.420235917276710325e+02 8.054277679160916250e+02 5.819442330414350408e+02 8.626924837172228990e+02 4.670954779133729140e-02
4.086095711966030319e-284 -6.695074478192810830e+02 6.334744534966439460e+02 1.987367193780064270e+02 1.297747503803481379e+02 5.276793186057975618e+02 9.820397930057112035e-02
2.977325772306088809e-280 -6.606111718620169313e+02 7.027020208306372524e+02 6.503570777608977096e+02 1.014970597686645277e+02 7.320540645608738259e+02 1.248048915175252738e-01
1.656415021255868959e-277 -6.542872864475471033e+02 7.999250312635698492e+02 2.306546496862988249e+02 5.394241149749163924e+02 2.119597860304700134e+02 8.285832809269644272e-03
1.367922319506451673e-276 -6.521735639622157805e+02 2.877265778942253860e+01 1.073939666838918328e+01 4.159472336175688838e+02 7.357656470035882421e+02 6.904155677002683511e-01
1.440278308416083330e-276 -6.521195206311703032e+02 7.076479254100451044e+01 3.618351663064539139e+02 2.464596781435944592e+02 7.821949380659286817e+02 3.831805957632522519e-01
2.534706877394850059e-275 -6.492491939026848513e+02 4.853621561014758754e+02 7.115994245123640667e+02 2.486886573460263890e+02 1.232409080227494087e+02 4.590267980560058803e-03
6.514332762130550263e-272 -6.413950118341454072e+02 7.367871112667808120e+02 1.916638992311216612e+02 2.239132956332992421e+02 7.583353816646045971e+02 1.345904755696186728e-01
1.884209044660699777e-271 -6.403304234029604913e+02 2.656623048961709515e+02 8.520947766695819610e+02 2.697208577279270685e+02 5.174199703886498583e+02 7.127963667700643047e-02
8.567882004596785178e-271 -6.388134109694356084e+02 2.475454890095626226e+01 8.530333540001511494e+01 5.617495094557571633e+01 1.524901322886433661e+02 1.931677071620434560e-01
1.814140451282845547e-268 -6.334555644768832963e+02 5.324323128910932610e+02 3.925641943875617699e+02 6.011243291240698454e+02 8.370851783666278152e+02 6.418322056697201017e-02
7.864061588066787636e-267 -6.296837879444104829e+02 8.716004750621642643e+02 6.615078617823289733e+02 6.878114159927714581e+02 5.448179164066056046e+02 2.157070831649632314e-02
5.819804270288405998e-266 -6.276797394352337278e+02 6.273098625413898617e+02 8.205775377037830367e+02 1.502335556983441620e+02 7.929321636341910562e+02 1.527089475211709235e-01
6.484968438562010515e-255 -6.022405830920229164e+02 4.606479511637333530e+02 4.648556862302309582e+02 1.229125862514605245e+02 4.114716005066972002e+02 9.636102586438866080e-02
1.252035490314038615e-252 -5.969750441447879439e+02 1.161712878999453693e+02 3.403871260618734027e+02 6.553326529216435574e+02 9.541716133263344091e+02 1.757076676663142933e-01
8.918384363733980761e-250 -5.904040297729272879e+02 2.314703729467706239e+01 5.916942639638607204e+01 4.433967869827336017e+02 9.377536876673226516e+02 9.232900191907688070e-01
1.750566881575293368e-248 -5.874245347241746913e+02 1.321508517870138348e+02 1.826056864184056963e+02 1.286899504684793669e+02 9.745769922910176319e+02 9.159755614666682533e-01
1.221755194212900117e-246 -5.831765156973837065e+02 5.907003678124870021e+02 1.797800266015827475e+01 7.536874211640972376e+00 7.641986896315739841e+02 7.852039513529271986e-01
2.744235953331751875e-246 -5.823648015110056804e+02 2.471255381180873769e+02 7.149937503651069619e+02 8.258032163500604383e+02 6.117242026004684021e+02 4.882778611409555047e-02
8.485559213294355603e-245 -5.789308533103832133e+02 1.199505333844750226e+02 9.139693514382021249e+02 3.661509264266825312e+02 9.638567977013307200e+02 3.410356946088476393e-01
