logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.400199137749199281e+03 -1.406191852035890633e+03 7.249999999999999778e-01
-1.406191852035890633e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.359260946728610179e+03 -1.365256161015301586e+03 5.500000000000000444e-01
-1.365256161015301586e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.304817678272477451e+03 -1.310815392559168686e+03 7.099999999999999645e-01
-1.310815392559168686e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.087000720629783928e+03 -1.093000934916475217e+03 1.205000000000000071e+00
-1.093000934916475217e+03 1.031831699592827505e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -1.061274193001255071e+03 -1.067276907287946415e+03 2.300000000000000100e-01
-1.067276907287939594e+03 9.042462916475045631e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -9.955552537832822964e+02 -1.001560468069973581e+03 1.820000000000000062e+00
-1.001560468069973581e+03 1.117679233026210284e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -9.892788213694071828e+02 -9.952865356560985219e+02 8.100000000000000533e-01
-9.952846526279406589e+02 1.936376957443350832e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -8.823558418440543392e+02 -8.883660561307456192e+02 6.650000000000000355e-01
-8.883660561307456192e+02 5.215957586103204591e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -8.726025884033250577e+02 -8.786153026900163923e+02 7.700000000000000178e-01
-8.786152444409542568e+02 3.153603299213501998e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -8.720775642745181813e+02 -8.780927785612094567e+02 1.100000000000000006e-01
-8.776271241650449610e+02 3.199169919785698823e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -8.502496678126469760e+02 -8.562673820993383060e+02 8.549999999999999822e-01
-8.562673820988092075e+02 3.802202070605447659e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -8.209594620863949785e+02 -8.269796763730862494e+02 1.510000000000000009e+00
-8.269796763730860221e+02 1.254277931251383293e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -7.831778779930051542e+02 -7.892005922796964796e+02 8.599999999999999867e-01
-7.892005922796964796e+02 1.760497289640955998e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -7.518768133064978656e+02 -7.579020275931891319e+02 7.349999999999999867e-01
-7.579020275931891319e+02 2.585947439622661648e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -7.357800168203233397e+02 -7.418077311070146607e+02 2.300000000000000100e-01
-7.418077310046062394e+02 1.421820242081617636e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -7.353618934478291749e+02 -7.413921077345204367e+02 1.235000000000000098e+00
-7.408853330013872664e+02 4.642924356042762213e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -7.299465063612366293e+02 -7.359792206479279457e+02 1.475000000000000089e+00
-7.359718466967107133e+02 3.365593497869471484e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -7.219781294569071406e+02 -7.280133437435983979e+02 4.849999999999999867e-01
-7.280129941285133555e+02 6.028345755726395083e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -6.951362108180067025e+02 -7.011739251046980144e+02 1.364999999999999991e+00
-7.011739251046958543e+02 1.491831559185087031e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -6.933954027209572359e+02 -6.994356170076486023e+02 5.000000000000000278e-02
-6.992736532590946581e+02 1.443213121733150750e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -6.906602378736621404e+02 -6.967029521603534477e+02 1.879999999999999893e+00
-6.966292539315390968e+02 1.073334373455164048e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -6.467579563011084929e+02 -6.528031705877998547e+02 1.600000000000000089e+00
-6.528031705877998547e+02 2.216571432561077160e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -6.466171163840315330e+02 -6.526648306707228357e+02 1.199999999999999956e+00
-6.520384631122955170e+02 1.718585866624980341e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -6.131727970517489439e+02 -6.192230113384403012e+02 1.169999999999999929e+00
-6.192230113384403012e+02 2.377018366736880139e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -6.099763194247274214e+02 -6.160290337114187196e+02 5.300000000000000266e-01
-6.159888438239685229e+02 1.298799786378415710e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -6.098667452721807649e+02 -6.159219595588721177e+02 1.254999999999999893e+00
-6.152616954269450389e+02 1.006342448051529459e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -6.059619966519974241e+02 -6.120197109386887178e+02 6.899999999999999467e-01
-6.119813692156999423e+02 1.072892787234407130e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -5.957273425365780213e+02 -6.017875568232693695e+02 9.050000000000000266e-01
-6.017875194229417275e+02 1.364805634653404987e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -5.838293067600652648e+02 -5.898920210467565539e+02 3.500000000000000333e-02
-5.898920142257383077e+02 1.773494706220382255e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -5.825363737783472970e+02 -5.886015880650386407e+02 3.499999999999999778e-01
-5.883585215026997730e+02 9.377168679305048826e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -5.824785254647274542e+02 -5.885462397514187387e+02 4.000000000000000083e-02
