11:07:13 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/fit_updated_intake/PCB 189/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:07:23 [ultranest] [DEBUG] Testing resume consistency: [-1.45671161e+01 -1.44254119e+01  0.00000000e+00  5.72803312e-01
  5.16618597e-02  6.49858603e-02  4.26882207e-02  9.57666762e-01
  5.77075279e+02  5.26101978e+01  6.59208745e+01  4.36455325e+01
  9.57666762e-01]: u=[0.57280331 0.05166186 0.06498586 0.04268822 0.95766676] -> p=[577.07527909  52.61019782  65.92087447  43.6455325    0.95766676] -> L=-14.425411913567574 
11:07:31 [ultranest] [INFO] Resuming from 4876 stored points
11:07:31 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:07:31 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:07:31 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:07:31 [ultranest] [DEBUG] iteration=0, ncalls=15374, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-2092.56, Lmax=-44.03
11:07:31 [ultranest] [DEBUG] iteration=40, ncalls=15374, regioncalls=0, ndraw=40, logz=-595.80, remainder_fraction=100.0000%, Lmin=-590.12, Lmax=-44.03
11:07:31 [ultranest] [DEBUG] iteration=80, ncalls=15374, regioncalls=0, ndraw=40, logz=-464.19, remainder_fraction=100.0000%, Lmin=-455.84, Lmax=-44.03
11:07:31 [ultranest] [DEBUG] iteration=90, ncalls=15374, regioncalls=0, ndraw=40, logz=-444.96, remainder_fraction=100.0000%, Lmin=-436.76, Lmax=-44.03
11:07:31 [ultranest] [DEBUG] iteration=120, ncalls=15374, regioncalls=0, ndraw=40, logz=-379.94, remainder_fraction=100.0000%, Lmin=-372.95, Lmax=-44.03
11:07:31 [ultranest] [DEBUG] iteration=160, ncalls=15374, regioncalls=0, ndraw=40, logz=-322.61, remainder_fraction=100.0000%, Lmin=-315.86, Lmax=-44.03
11:07:31 [ultranest] [DEBUG] iteration=200, ncalls=15374, regioncalls=0, ndraw=40, logz=-288.32, remainder_fraction=100.0000%, Lmin=-282.20, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=240, ncalls=15374, regioncalls=0, ndraw=40, logz=-265.28, remainder_fraction=100.0000%, Lmin=-258.95, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:07:31 [ultranest] [DEBUG] iteration=280, ncalls=15374, regioncalls=0, ndraw=40, logz=-237.37, remainder_fraction=100.0000%, Lmin=-230.93, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=320, ncalls=15374, regioncalls=0, ndraw=40, logz=-214.43, remainder_fraction=100.0000%, Lmin=-207.67, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:07:31 [ultranest] [DEBUG] iteration=360, ncalls=15374, regioncalls=0, ndraw=40, logz=-200.21, remainder_fraction=100.0000%, Lmin=-194.60, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=400, ncalls=15374, regioncalls=0, ndraw=40, logz=-185.93, remainder_fraction=100.0000%, Lmin=-179.74, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=440, ncalls=15374, regioncalls=0, ndraw=40, logz=-173.67, remainder_fraction=100.0000%, Lmin=-168.21, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:07:31 [ultranest] [DEBUG] iteration=465, ncalls=15374, regioncalls=0, ndraw=40, logz=-166.63, remainder_fraction=100.0000%, Lmin=-161.14, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=480, ncalls=15374, regioncalls=0, ndraw=40, logz=-163.09, remainder_fraction=100.0000%, Lmin=-157.13, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=520, ncalls=15374, regioncalls=0, ndraw=40, logz=-151.09, remainder_fraction=100.0000%, Lmin=-145.36, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:07:31 [ultranest] [DEBUG] iteration=560, ncalls=15374, regioncalls=0, ndraw=40, logz=-141.32, remainder_fraction=100.0000%, Lmin=-135.30, Lmax=-22.67
11:07:31 [ultranest] [DEBUG] iteration=600, ncalls=15374, regioncalls=0, ndraw=40, logz=-132.21, remainder_fraction=100.0000%, Lmin=-126.59, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=630, ncalls=15374, regioncalls=0, ndraw=40, logz=-125.70, remainder_fraction=100.0000%, Lmin=-119.76, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=640, ncalls=15374, regioncalls=0, ndraw=40, logz=-124.29, remainder_fraction=100.0000%, Lmin=-118.01, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=680, ncalls=15374, regioncalls=0, ndraw=40, logz=-116.64, remainder_fraction=100.0000%, Lmin=-110.52, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=720, ncalls=15374, regioncalls=0, ndraw=40, logz=-111.39, remainder_fraction=100.0000%, Lmin=-105.38, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=760, ncalls=15374, regioncalls=0, ndraw=40, logz=-106.47, remainder_fraction=100.0000%, Lmin=-101.03, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=800, ncalls=15374, regioncalls=0, ndraw=40, logz=-102.04, remainder_fraction=100.0000%, Lmin=-96.53, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=810, ncalls=15374, regioncalls=0, ndraw=40, logz=-100.67, remainder_fraction=100.0000%, Lmin=-94.56, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=840, ncalls=15374, regioncalls=0, ndraw=40, logz=-97.65, remainder_fraction=100.0000%, Lmin=-92.06, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=880, ncalls=15374, regioncalls=0, ndraw=40, logz=-94.45, remainder_fraction=100.0000%, Lmin=-88.95, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=920, ncalls=15374, regioncalls=0, ndraw=40, logz=-92.07, remainder_fraction=100.0000%, Lmin=-86.49, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=960, ncalls=15374, regioncalls=0, ndraw=40, logz=-89.66, remainder_fraction=100.0000%, Lmin=-83.96, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=990, ncalls=15374, regioncalls=0, ndraw=40, logz=-87.94, remainder_fraction=100.0000%, Lmin=-82.41, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=1000, ncalls=15374, regioncalls=0, ndraw=40, logz=-87.46, remainder_fraction=100.0000%, Lmin=-81.91, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=1040, ncalls=15374, regioncalls=0, ndraw=40, logz=-85.43, remainder_fraction=100.0000%, Lmin=-79.99, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=1080, ncalls=15374, regioncalls=0, ndraw=40, logz=-83.73, remainder_fraction=100.0000%, Lmin=-78.09, Lmax=-22.67
11:07:32 [ultranest] [DEBUG] iteration=1120, ncalls=15374, regioncalls=0, ndraw=40, logz=-81.96, remainder_fraction=100.0000%, Lmin=-76.46, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1160, ncalls=15374, regioncalls=0, ndraw=40, logz=-80.16, remainder_fraction=100.0000%, Lmin=-74.15, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1170, ncalls=15374, regioncalls=0, ndraw=40, logz=-79.67, remainder_fraction=100.0000%, Lmin=-73.63, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1200, ncalls=15374, regioncalls=0, ndraw=40, logz=-78.28, remainder_fraction=100.0000%, Lmin=-72.40, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1240, ncalls=15374, regioncalls=0, ndraw=40, logz=-76.35, remainder_fraction=100.0000%, Lmin=-70.27, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1260, ncalls=15374, regioncalls=0, ndraw=40, logz=-75.51, remainder_fraction=100.0000%, Lmin=-69.76, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1280, ncalls=15374, regioncalls=0, ndraw=40, logz=-74.87, remainder_fraction=100.0000%, Lmin=-69.06, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1320, ncalls=15374, regioncalls=0, ndraw=40, logz=-73.23, remainder_fraction=100.0000%, Lmin=-67.25, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1360, ncalls=15374, regioncalls=0, ndraw=40, logz=-71.96, remainder_fraction=100.0000%, Lmin=-66.03, Lmax=-17.67
11:07:32 [ultranest] [DEBUG] iteration=1400, ncalls=15374, regioncalls=0, ndraw=40, logz=-70.67, remainder_fraction=100.0000%, Lmin=-64.42, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1440, ncalls=15374, regioncalls=0, ndraw=40, logz=-69.28, remainder_fraction=100.0000%, Lmin=-63.09, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1480, ncalls=15374, regioncalls=0, ndraw=40, logz=-67.81, remainder_fraction=100.0000%, Lmin=-61.27, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1520, ncalls=15374, regioncalls=0, ndraw=40, logz=-66.31, remainder_fraction=100.0000%, Lmin=-59.97, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1530, ncalls=15374, regioncalls=0, ndraw=40, logz=-66.01, remainder_fraction=100.0000%, Lmin=-59.75, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1560, ncalls=15374, regioncalls=0, ndraw=40, logz=-65.12, remainder_fraction=100.0000%, Lmin=-58.77, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1600, ncalls=15374, regioncalls=0, ndraw=40, logz=-63.93, remainder_fraction=100.0000%, Lmin=-57.51, Lmax=-17.67
11:07:33 [ultranest] [DEBUG] iteration=1640, ncalls=15374, regioncalls=0, ndraw=40, logz=-62.73, remainder_fraction=100.0000%, Lmin=-56.01, Lmax=-16.36
11:07:33 [ultranest] [DEBUG] iteration=1680, ncalls=15374, regioncalls=0, ndraw=40, logz=-61.46, remainder_fraction=100.0000%, Lmin=-54.73, Lmax=-16.36
11:07:33 [ultranest] [DEBUG] iteration=1710, ncalls=15374, regioncalls=0, ndraw=40, logz=-60.55, remainder_fraction=100.0000%, Lmin=-53.65, Lmax=-16.36
11:07:33 [ultranest] [DEBUG] iteration=1720, ncalls=15374, regioncalls=0, ndraw=40, logz=-60.22, remainder_fraction=100.0000%, Lmin=-53.29, Lmax=-14.66
11:07:33 [ultranest] [DEBUG] iteration=1760, ncalls=15374, regioncalls=0, ndraw=40, logz=-58.90, remainder_fraction=100.0000%, Lmin=-52.02, Lmax=-14.66
11:07:33 [ultranest] [DEBUG] iteration=1800, ncalls=15374, regioncalls=0, ndraw=40, logz=-57.85, remainder_fraction=100.0000%, Lmin=-51.02, Lmax=-14.66
11:07:33 [ultranest] [DEBUG] iteration=1840, ncalls=15374, regioncalls=0, ndraw=40, logz=-56.98, remainder_fraction=100.0000%, Lmin=-50.14, Lmax=-14.66
11:07:33 [ultranest] [DEBUG] iteration=1880, ncalls=15374, regioncalls=0, ndraw=40, logz=-56.03, remainder_fraction=100.0000%, Lmin=-49.05, Lmax=-14.66
11:07:33 [ultranest] [DEBUG] iteration=1920, ncalls=15374, regioncalls=0, ndraw=40, logz=-54.98, remainder_fraction=100.0000%, Lmin=-47.84, Lmax=-14.66
11:07:33 [ultranest] [DEBUG] iteration=1960, ncalls=15374, regioncalls=0, ndraw=40, logz=-54.07, remainder_fraction=100.0000%, Lmin=-46.91, Lmax=-14.66
