weight logl pFat pLiver pSlow kMet fAbs
1.312572499686494762e-308 -7.193381639116539645e+02 8.067267273547947752e+02 7.801824081330796616e+02 2.625870200393905307e+01 2.180701069866628927e+01 6.061313823307581394e-01
1.444250895767061303e-296 -6.916090409716309750e+02 9.136933040223790385e+02 7.013508376617306794e+02 3.380983285991443381e+02 1.804172696022433442e+01 8.758044397242253920e-01
2.166594228908363000e-275 -6.428466883398018581e+02 2.042815037588826215e+02 5.061509094889838138e+02 1.098828721532266854e+02 1.687104500167396637e+01 6.571542417524574020e-01
2.366687158137622088e-270 -6.312429281759850710e+02 9.831441535835853074e+02 9.844466195111808702e+02 2.028215264351373719e+02 5.296109008645050409e+01 8.018501129899300306e-01
1.427815769852559373e-251 -5.879966567199215888e+02 9.719194161308001867e+02 5.302146617423749149e+02 3.440819901225298736e+02 7.083649556391770297e+00 4.907636529327469299e-01
1.136079786391235945e-234 -5.490787724295771568e+02 4.506925545897501024e+02 4.685167911070550417e+02 5.685707144054955506e+02 2.724187893362719493e+01 9.211171381787183199e-01
2.861211496246858914e-223 -5.228241748237496722e+02 3.521421543699573249e+02 3.665041271426032381e+02 2.470678595829318169e+02 1.907846678991731793e+01 5.251317425280583873e-01
1.735335411174574785e-219 -5.141113788717219677e+02 7.308026265740636518e+02 6.456364279630629426e+02 4.688163660780433588e+02 3.692938882330022921e+01 5.881172700062283765e-01
8.742166696226797639e-209 -4.894660705923673163e+02 8.425514057333847404e+02 5.770319524640866575e+02 6.630701299623306113e+02 6.491402517583401277e+01 7.883691617707794252e-01
2.237756953152392814e-181 -4.263538720492536527e+02 8.733442049030973067e+02 7.033778475720818051e+02 8.948686534102461110e+02 1.526242722548842892e+02 9.400448134887484652e-01
1.806685580345923011e-179 -4.219601818716818116e+02 8.101320001094613588e+01 4.263076858345420419e+02 5.581308406175745631e+02 3.246802587542197216e+01 7.594496170936990698e-01
5.346336328247379566e-173 -4.070572537814044267e+02 2.065525630719136814e+02 8.293124282220258010e+02 6.704277685361450949e+02 7.129447280418960986e+01 6.342957418008602355e-01
1.977346880171505060e-169 -3.988390689506475724e+02 7.546924858224404034e+02 3.550463615305149006e+02 9.020952984302573441e+02 2.285127903743686062e+01 4.947573080957785585e-01
9.744414522234696068e-168 -3.949390455929591894e+02 8.756200851157669831e+02 8.931150343188636498e+02 8.361911455056285831e+02 3.497005904734499637e+01 3.243088013859369845e-01
2.540928747211941938e-165 -3.893729549026140262e+02 1.441298455432311698e+02 7.342788634677045820e+02 7.307826509646433806e+02 4.810943807450248499e+01 5.650525927450742447e-01
8.631067164376040390e-164 -3.858450313173580639e+02 3.636338506324036643e+02 8.532123966709774550e+02 8.471326059862162765e+02 5.921421745288891003e+01 4.815850055702484145e-01
1.354873917245956043e-160 -3.784838507003505015e+02 1.411556679400111705e+02 8.243927520123068007e+02 7.737837979360252803e+02 1.181862270263467707e+02 8.458475233078647237e-01
1.410970719445499711e-160 -3.784407811793276437e+02 2.298246194439631154e+02 6.760306857096345539e+02 5.779302217200330460e+02 1.119450808558608088e+02 7.408666876842332494e-01
3.031394250887065579e-158 -3.730683662518687811e+02 4.651008539316256929e+02 6.492963266905180717e+02 5.481553269443321597e+02 1.243395188342613267e+02 6.513970783728547653e-01
7.707277394603432125e-156 -3.675275537296727748e+02 6.958488768630143113e+02 1.627003171619438149e+02 9.056471399210960271e+02 4.639584105291144311e+01 6.922166793164009624e-01
8.374085906740329575e-154 -3.628369066160950069e+02 5.635887257270128430e+02 6.309386740612100084e+02 8.396770801305060559e+02 1.439333450237720342e+02 7.109567256458745321e-01
