11:22:14 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/fit_updated_intake/PCB 77/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:22:21 [ultranest] [DEBUG] Testing resume consistency: [-2.42882516e+01 -1.99445687e+01  0.00000000e+00  6.94602558e-01
  1.14467973e-01  4.82450807e-01  2.62420471e-01  4.61135219e-02
  6.97656532e+02  1.15353505e+02  4.82968356e+02  2.63158050e+02
  4.61135219e-02]: u=[0.69460256 0.11446797 0.48245081 0.26242047 0.04611352] -> p=[6.97656532e+02 1.15353505e+02 4.82968356e+02 2.63158050e+02
 4.61135219e-02] -> L=-19.944568741730123 
11:22:29 [ultranest] [INFO] Resuming from 2336 stored points
11:22:29 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:22:29 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:22:29 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:22:29 [ultranest] [DEBUG] iteration=0, ncalls=11267, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-808.20, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=40, ncalls=11267, regioncalls=0, ndraw=40, logz=-352.21, remainder_fraction=100.0000%, Lmin=-337.71, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=80, ncalls=11267, regioncalls=0, ndraw=40, logz=-259.73, remainder_fraction=100.0000%, Lmin=-250.05, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=120, ncalls=11267, regioncalls=0, ndraw=40, logz=-198.13, remainder_fraction=100.0000%, Lmin=-192.66, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=160, ncalls=11267, regioncalls=0, ndraw=40, logz=-172.63, remainder_fraction=100.0000%, Lmin=-167.00, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=180, ncalls=11267, regioncalls=0, ndraw=40, logz=-163.79, remainder_fraction=100.0000%, Lmin=-158.72, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=200, ncalls=11267, regioncalls=0, ndraw=40, logz=-157.61, remainder_fraction=100.0000%, Lmin=-152.49, Lmax=-13.62
11:22:29 [ultranest] [DEBUG] iteration=240, ncalls=11267, regioncalls=0, ndraw=40, logz=-146.82, remainder_fraction=100.0000%, Lmin=-141.52, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=280, ncalls=11267, regioncalls=0, ndraw=40, logz=-138.01, remainder_fraction=100.0000%, Lmin=-132.86, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=320, ncalls=11267, regioncalls=0, ndraw=40, logz=-130.28, remainder_fraction=100.0000%, Lmin=-125.60, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=360, ncalls=11267, regioncalls=0, ndraw=40, logz=-124.14, remainder_fraction=100.0000%, Lmin=-119.01, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=400, ncalls=11267, regioncalls=0, ndraw=40, logz=-117.66, remainder_fraction=100.0000%, Lmin=-112.17, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=440, ncalls=11267, regioncalls=0, ndraw=40, logz=-110.59, remainder_fraction=100.0000%, Lmin=-105.36, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=480, ncalls=11267, regioncalls=0, ndraw=40, logz=-106.62, remainder_fraction=100.0000%, Lmin=-102.00, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=520, ncalls=11267, regioncalls=0, ndraw=40, logz=-101.95, remainder_fraction=100.0000%, Lmin=-97.01, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:22:29 [ultranest] [DEBUG] iteration=560, ncalls=11267, regioncalls=0, ndraw=40, logz=-97.99, remainder_fraction=100.0000%, Lmin=-92.87, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=600, ncalls=11267, regioncalls=0, ndraw=40, logz=-93.51, remainder_fraction=100.0000%, Lmin=-88.23, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=640, ncalls=11267, regioncalls=0, ndraw=40, logz=-89.03, remainder_fraction=100.0000%, Lmin=-83.54, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=680, ncalls=11267, regioncalls=0, ndraw=40, logz=-84.95, remainder_fraction=100.0000%, Lmin=-79.36, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:22:29 [ultranest] [DEBUG] iteration=720, ncalls=11267, regioncalls=0, ndraw=40, logz=-81.85, remainder_fraction=100.0000%, Lmin=-76.42, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=760, ncalls=11267, regioncalls=0, ndraw=40, logz=-77.99, remainder_fraction=100.0000%, Lmin=-72.64, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=800, ncalls=11267, regioncalls=0, ndraw=40, logz=-75.22, remainder_fraction=100.0000%, Lmin=-70.05, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=840, ncalls=11267, regioncalls=0, ndraw=40, logz=-72.51, remainder_fraction=100.0000%, Lmin=-66.59, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=880, ncalls=11267, regioncalls=0, ndraw=40, logz=-68.88, remainder_fraction=100.0000%, Lmin=-63.47, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=920, ncalls=11267, regioncalls=0, ndraw=40, logz=-66.05, remainder_fraction=100.0000%, Lmin=-60.36, Lmax=-13.31
11:22:29 [ultranest] [DEBUG] iteration=960, ncalls=11267, regioncalls=0, ndraw=40, logz=-63.81, remainder_fraction=100.0000%, Lmin=-58.34, Lmax=-13.31
11:22:30 [ultranest] [DEBUG] iteration=1000, ncalls=11267, regioncalls=0, ndraw=40, logz=-61.58, remainder_fraction=100.0000%, Lmin=-55.91, Lmax=-13.31
11:22:30 [ultranest] [DEBUG] iteration=1040, ncalls=11267, regioncalls=0, ndraw=40, logz=-59.27, remainder_fraction=100.0000%, Lmin=-53.67, Lmax=-12.19
11:22:30 [ultranest] [DEBUG] iteration=1080, ncalls=11267, regioncalls=0, ndraw=40, logz=-57.61, remainder_fraction=100.0000%, Lmin=-52.11, Lmax=-11.66
11:22:30 [ultranest] [DEBUG] iteration=1120, ncalls=11267, regioncalls=0, ndraw=40, logz=-55.89, remainder_fraction=100.0000%, Lmin=-50.16, Lmax=-11.66
11:22:30 [ultranest] [DEBUG] iteration=1160, ncalls=11267, regioncalls=0, ndraw=40, logz=-54.11, remainder_fraction=100.0000%, Lmin=-48.30, Lmax=-11.66
11:22:30 [ultranest] [DEBUG] iteration=1200, ncalls=11267, regioncalls=0, ndraw=40, logz=-52.21, remainder_fraction=100.0000%, Lmin=-46.16, Lmax=-11.66
11:22:30 [ultranest] [DEBUG] iteration=1240, ncalls=11267, regioncalls=0, ndraw=40, logz=-50.53, remainder_fraction=100.0000%, Lmin=-44.70, Lmax=-11.66
11:22:30 [ultranest] [DEBUG] iteration=1280, ncalls=11267, regioncalls=0, ndraw=40, logz=-48.76, remainder_fraction=100.0000%, Lmin=-42.72, Lmax=-11.66
11:22:30 [ultranest] [DEBUG] iteration=1320, ncalls=11267, regioncalls=0, ndraw=40, logz=-47.37, remainder_fraction=100.0000%, Lmin=-41.47, Lmax=-11.66
