pFat pLiver pSlow kMet fAbs
5.776822683987594473e+02 1.706175683325404862e+02 1.421672519793098672e+02 1.620881433037203010e+02 8.399701963433285901e-01
6.078865335203820450e+02 2.414082686468317434e+02 1.409346921652915796e+02 1.541122447043816237e+02 6.107611817693054945e-01
1.831464606700923241e+02 1.715557183980174614e+02 1.689210330822837989e+02 1.474717165449906702e+02 8.324586097606749835e-01
5.111688361253474113e+02 1.215677084727424813e+02 2.612045293471518903e+02 1.604302273662537743e+02 8.461369505476415975e-01
6.429780456064819418e+02 1.017652043284030441e+02 8.318317416503421668e+01 1.236093991939429770e+02 7.998604282824792744e-01
7.170727283978892501e+02 2.746927212444285260e+02 1.612145214987030215e+02 2.104349532902626834e+02 8.907766884904877447e-01
6.792043987887582261e+02 1.614124262008986079e+02 3.042898563042130036e+02 2.310446890688585313e+02 8.939230623220990601e-01
6.490333509651690065e+02 1.116044918135901867e+02 1.458371373619215490e+02 1.759782606257842872e+02 9.085170106854009164e-01
8.055920198445780898e+02 2.830688025685230400e+02 2.815840289624739512e+02 2.388971679212233425e+02 8.090333930132087570e-01
4.317483044462866246e+02 9.867949253475799765e+01 2.123994162117666349e+02 1.601209093974404425e+02 6.233419179231434182e-01
3.515110403315088661e+02 1.590756327360010403e+02 1.532110022842581998e+02 1.269673670910877519e+02 7.490109784647533964e-01
4.347370381367719574e+02 4.823193376125545484e+01 6.243870316062263726e+01 6.820621512260426300e+01 5.222791442830083675e-01
5.978587458287721574e+02 1.185560046605806690e+02 1.698319798960566231e+02 1.632171513846492701e+02 7.358525264101960506e-01
1.649503424052112734e+02 8.092129170081341272e+01 1.461924828062539063e+02 9.791040392337511378e+01 9.406454385254439110e-01
3.562664723166121234e+02 8.627451264254857222e+01 1.709482714956864129e+02 1.361873968185596766e+02 8.680352358257552581e-01
6.704826534562508868e+02 1.372850001197834899e+02 3.374813905019938716e+02 2.907556570581489268e+02 9.967056310238767702e-01
5.642278113168658820e+02 1.310447297834767255e+02 2.780737929705647389e+02 1.659388249711155652e+02 8.682052219084086531e-01
4.290397493881152400e+02 1.327533303075764479e+02 1.915829588178143297e+02 1.530387252295991516e+02 7.269992795476661884e-01
7.551821416076313653e+02 1.725380627272926120e+02 2.248941100244153404e+02 2.113238782524516353e+02 8.041176762351848195e-01
3.666791213595911927e+02 7.676378004139002087e+01 1.670334269612120295e+02 1.318660466538626395e+02 6.992792263279006271e-01
4.503463500531734098e+02 1.053823139521469301e+02 5.198144515251253495e+01 8.324113692376018037e+01 4.026248313496563758e-01
6.124305767389766970e+02 1.226133676266433383e+02 6.656749050856514316e+01 1.153334955635045844e+02 6.980475509687689151e-01
7.950204073084263428e+02 1.650480380628292210e+02 3.867944719091922678e+01 8.310199553898067393e+01 3.612666249843026200e-01
3.917029270285314055e+02 7.815211674978041856e+01 1.990095448223892447e+02 1.625490355246892591e+02 9.183673048330462940e-01
3.934897913355233072e+02 1.387520721992430595e+02 1.878994460882534270e+02 1.346499710964884287e+02 9.397673782960456190e-01
6.223050782651874897e+02 8.285399873081422584e+01 1.389501473012365977e+02 1.526780910461533836e+02 8.338684545780050694e-01
7.985250007650553243e+02 1.622335976130493407e+02 1.127053381736744342e+02 1.785970148340248613e+02 9.941642302681517052e-01
3.010184315550796441e+02 1.178116280734173102e+02 2.471922955697559701e+02 1.907470499985405468e+02 9.097460388711439139e-01
3.822789976841118005e+02 3.599278462336290829e+01 6.818592552897126779e+01 6.729329804950366167e+01 5.965847006687551302e-01
3.553358647168180369e+02 7.247794844775340550e+01 1.083740023219254169e+02 8.765753021065532380e+01 6.714299813283151064e-01
3.461990245571284390e+02 6.467414494159692140e+01 1.146981902896314978e+02 1.083631095889166431e+02 8.072793775707128860e-01
6.890510757040581211e+02 1.083050378730156496e+02 2.627472273032863086e+02 1.832213550089527985e+02 7.330731657913015509e-01
3.140645560368541851e+02 2.815417601620094601e+01 1.566618422676773115e+01 3.357556744537244953e+01 5.462557856255527700e-01
3.372356292016576162e+02 1.849015021038618158e+02 2.123833519590754548e+01 4.298766384602372881e+01 3.006890805086880891e-01
4.267023964725419773e+02 6.604443030224119582e+01 1.096521425533005498e+02 9.554404649776716951e+01 6.698171601793800889e-01
4.664210152881683484e+02 1.274220295251540591e+02 1.797440561157487195e+02 1.666394174819773184e+02 9.449976673074244049e-01
5.120679439885352622e+02 9.446545345545902705e+01 4.573825658777995073e+01 7.255896515900937516e+01 6.109027730780927090e-01
5.146816186754739419e+02 9.819980260667223604e+01 2.676753445586782050e+02 1.661568234656370748e+02 8.183697532290049592e-01
7.963749957104524810e+02 1.273560259329906188e+02 3.014270100843246496e+02 2.224588289067714300e+02 8.223515386570648955e-01
2.556056006062850656e+02 1.155126306760543429e+02 3.931787101117866712e+01 4.853758138901440589e+01 4.565661266777648053e-01
5.127566940837334641e+02 1.466658556498562689e+02 2.525203306468808364e+02 1.791278760734505511e+02 8.435634432417076223e-01
7.271684687689291877e+02 8.249216704207739781e+01 1.641429820879908448e+02 1.527930244324640796e+02 9.403227681184762599e-01
3.831770612029275753e+02 1.540164636880524824e+02 1.031154137717289245e+02 1.059907882965325996e+02 7.684424895184108761e-01
6.380672055312010116e+02 8.525180083716279000e+01 1.893622161787465359e+02 1.656246518846423328e+02 8.553525041033334109e-01
7.822813543597095531e+02 1.390937827726684191e+02 1.350897902979178298e+02 1.728938452797559648e+02 8.202005280706021750e-01
3.033851361678256353e+02 1.176361859242642112e+02 1.010235621506001991e+02 9.504677871027665503e+01 7.225145027104129536e-01
5.339243747097201549e+02 1.061994680709102994e+02 1.858668635749103260e+02 1.703000649652116465e+02 8.868677197918705124e-01
6.008458350670136952e+02 1.526601404118864593e+02 1.386631783870720369e+02 1.243862149488490303e+02 5.774559350278276604e-01
6.062935080309367777e+02 1.259559124749343653e+02 1.286716061434561276e+01 9.883139361526390587e+01 6.650222300225112626e-01
4.256389997803409528e+02 5.753391557250979815e+01 1.063638610880005473e+02 9.969476405855655798e+01 8.909768679385406953e-01
4.945862368128795765e+02 2.079596468334981978e+02 7.906830338668514457e+01 1.025698939630082691e+02 4.492982215409010438e-01
6.541515296395898531e+02 7.544453986797954315e+01 3.344474955601535981e+01 7.590451571240242856e+01 6.841272837914234017e-01
3.913253790685892000e+02 1.341030780661768631e+02 1.263628468615518727e+02 1.283660031682646263e+02 9.538364580971021578e-01
7.667955260778869615e+02 9.624571248740470253e+01 1.792179806300750045e+02 1.859343470603449759e+02 9.297102955811746838e-01
7.257743782779308503e+02 8.029258950531855987e+01 1.916115993779922633e+02 1.525966935774243609e+02 8.319080086705015198e-01
5.631204436164331355e+02 1.329809629478399984e+02 8.656150948070965967e+01 1.184371258148458139e+02 7.920757907822909560e-01
5.824462959735199092e+02 2.347261674259162589e+02 3.602291510629548270e+02 2.200685920668582582e+02 6.236294392791653651e-01
3.406468253383144997e+02 1.285018171034559487e+02 1.372325294216659017e+02 1.215504709936204364e+02 8.548886707455621847e-01
6.196320399825151526e+02 1.019937127921599256e+02 1.517346954167999229e+02 1.697724912409270814e+02 8.640765926072201397e-01
4.329071681634472384e+02 5.817975061063199860e+01 9.385777935183207887e+01 1.094037272866765846e+02 7.583245472284660949e-01
9.087630393330749712e+02 8.492800021666167254e+01 1.537837280734960075e+02 1.344437841511980878e+02 6.284146577467758510e-01
2.567518654507694009e+02 3.676803948544459644e+01 1.153701136875982911e+02 1.184806000028040671e+02 9.101779399723228803e-01
5.334794787219524324e+02 7.011420149794042800e+01 7.943604163273516860e+01 1.146749997580590446e+02 8.123266292550105350e-01
6.252027940495282792e+02 1.189343005163274398e+02 9.620115350243162311e+01 1.563877262769800609e+02 9.709999010607881509e-01
4.200237142885910657e+02 6.779927308772971628e+01 1.538240442125033383e+02 1.076343242587068545e+02 8.904954413624567300e-01
5.102850796204799053e+02 1.174302654958009242e+02 1.364608257468994168e+02 1.496645650530515752e+02 9.820452231532658116e-01
5.824667653252879518e+02 1.290096636005951609e+02 1.755273936051799240e+02 1.954768200987003866e+02 8.424708012042341210e-01
4.919584908790865825e+02 1.002197494683033199e+02 7.667927178433167512e+01 9.964051890622999963e+01 6.093982381493756595e-01
2.659096758740540167e+02 1.006208057261978581e+02 1.462641157312457949e+02 8.049053499512277199e+01 5.653304703569169698e-01
4.404008415705300763e+02 8.986484874366848885e+01 1.009481415389465582e+02 8.870453230770189634e+01 6.047866202136551461e-01
3.708431292054581263e+02 9.633083563037777708e+01 7.466117160737836400e+01 7.665904970273959407e+01 5.127737553218270072e-01
3.337930120686912687e+02 1.324204549153392065e+02 1.728108926463020225e+02 1.647847332255992399e+02 8.337446908723641359e-01
5.445980771452152567e+02 1.484443618024688476e+02 2.688603433651435353e+02 1.817329893710604836e+02 7.782498238977740845e-01
5.108603101755976468e+02 1.088923187782500435e+02 1.792208523556829505e+02 1.679134751060945518e+02 8.127631559217199930e-01
