logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.160125180467663995e+03 -1.166117894754355348e+03 7.099999999999999645e-01
-1.166117894754355348e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.185652664336936368e+02 -9.245604807203849305e+02 1.510000000000000009e+00
-9.245604807203849305e+02 1.142737755680479097e+02 -5.000000000000000104e-03 4.000000000000000000e+02 -8.741410114569015377e+02 -8.801387257435928859e+02 1.725000000000000089e+00
-8.801387257435928859e+02 7.656697408430939333e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -6.120580863768491326e+02 -6.180583006635404217e+02 1.774999999999999911e+00
-6.180583006635404217e+02 8.442757932410016508e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -5.252248708292222545e+02 -5.312275851159135982e+02 9.799999999999999822e-01
-5.312275851159135982e+02 1.072681146129467464e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.853083603707751763e+02 -4.913135746574664608e+02 4.199999999999999845e-01
-4.913135746574664608e+02 4.379452881397607911e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.841077148067062694e+02 -4.901154290933976085e+02 2.650000000000000133e-01
-4.898517170641159169e+02 4.677908494587302357e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.828633369805354505e+02 -4.888735512672267873e+02 4.400000000000000022e-01
-4.885543704351630367e+02 9.509592352026070561e-01 -2.000000000000000042e-02 4.000000000000000000e+02 -4.799763603403467869e+02 -4.859890746270381214e+02 1.499999999999999944e-02
-4.859149913973802200e+02 1.797913885812115087e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.744450401269572808e+02 -4.804602544136486131e+02 4.849999999999999867e-01
-4.804559875284726331e+02 3.355130428047526703e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -4.494942358898956627e+02 -4.555119501765869927e+02 1.915000000000000036e+00
-4.555119501765723271e+02 1.271150426938438116e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -4.377116095201971007e+02 -4.437318238068884284e+02 1.949999999999999956e+00
-4.437318161517251269e+02 1.524359875192391911e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -4.324889842178712343e+02 -4.385116985045625597e+02 1.405000000000000027e+00
-4.385063063752495509e+02 1.258511045529994554e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.157405937971578282e+02 -4.217658080838491514e+02 1.600000000000000033e-01
-4.217658080301837913e+02 9.071391917589478382e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -4.074167994528050940e+02 -4.134445137394964149e+02 1.235000000000000098e+00
-4.134442704883000488e+02 1.070153871636222753e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.886865716389414160e+02 -3.947167859256327347e+02 5.849999999999999645e-01
-3.947167859182748089e+02 1.290941817737557429e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.778360767756763039e+02 -3.838687910623676203e+02 3.049999999999999933e-01
-3.838687716190007109e+02 4.286792552573194470e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -3.678587592495128433e+02 -3.738939735362041574e+02 9.549999999999999600e-01
-3.738939269786534965e+02 7.399690242140963825e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.578776966239352646e+02 -3.639154109106265764e+02 1.150000000000000050e-01
-3.639153645258508050e+02 7.269967879486520346e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -3.425200641721298211e+02 -3.485602784588211307e+02 1.395000000000000018e+00
-3.485602782443490355e+02 1.046505777935885284e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.419116257147203441e+02 -3.479543400014116514e+02 7.399999999999999911e-01
-3.475189521984147518e+02 8.758639745531892729e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.063612790054001493e+02 -3.124064932920914544e+02 1.574999999999999956e+00
-3.124064932920914544e+02 1.301831472528886202e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -2.958001236366955595e+02 -3.018478379233868623e+02 3.400000000000000244e-01
-3.018478119559790684e+02 1.240251791966073114e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.909619164291463562e+02 -2.970121307158376567e+02 1.020000000000000018e+00
-2.970042208052610704e+02 1.340122297199694756e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.897080319760436851e+02 -2.957607462627349832e+02 1.435000000000000053e+00
-2.955073602711198077e+02 1.401664151274055037e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -2.893149068829514476e+02 -2.953701211696427436e+02 1.500000000000000000e+00
-2.947432410637426301e+02 9.381071458897765059e-01 -6.500000000000001610e-02 4.000000000000000000e+02 -2.882048371775449027e+02 -2.942625514642361964e+02 1.429999999999999938e+00
-2.937811401345736044e+02 9.513619275742150050e-01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.849749703640799225e+02 -2.910351846507712139e+02 1.300000000000000044e-01
-2.909729735778674353e+02 1.655384825057873766e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.807180208688461107e+02 -2.867807351555373998e+02 1.324999999999999956e+00
-2.867657357915335297e+02 3.267613458481416266e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.769677805948190326e+02 -2.830329948815103194e+02 8.449999999999999734e-01
-2.830093494866470678e+02 4.656125322773147168e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.721458209623028210e+02 -2.782135352489941624e+02 5.250000000000000222e-01
-2.782053049440525569e+02 5.335441499852008107e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.681871940981944817e+02 -2.742574083848858209e+02 4.550000000000000155e-01
-2.742382969321535029e+02 6.184293973457013038e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.648909340366926131e+02 -2.709636483233839499e+02 1.504999999999999893e+00
-2.709265161743009003e+02 6.636767333123433588e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.594328066530535466e+02 -2.655080209397448812e+02 4.000000000000000222e-01
-2.655035969266579059e+02 7.252361996752479278e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -2.582381439315025204e+02 -2.643158582181938527e+02 1.500000000000000000e+00
-2.640497241641425603e+02 1.033113554380455268e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -2.509157504656526498e+02 -2.569959647523439799e+02 6.899999999999999467e-01
-2.569951009713784060e+02 1.973988415375669048e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -2.441660300906171130e+02 -2.502487443773084124e+02 1.675000000000000044e+00
-2.502475699138693130e+02 4.792917374949818843e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -2.389484602102759254e+02 -2.450336744969672509e+02 1.284999999999999920e+00
-2.450282488031242849e+02 6.859041948651485754e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -2.388817349256488001e+02 -2.449694492123401233e+02 1.989999999999999991e+00
-2.443052697154314785e+02 4.581727612880581724e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -2.384079883875971291e+02 -2.444982026742884500e+02 8.000000000000000444e-01
-2.437039433220801925e+02 2.650660878118693109e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -2.369477228406980203e+02 -2.430404371273893389e+02 4.000000000000000222e-01
-2.426249937506615595e+02 1.041011781909047196e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -2.305208260759320638e+02 -2.366160403626233801e+02 5.450000000000000400e-01
-2.366135867172716019e+02 3.550715006514421734e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -2.273201164733519590e+02 -2.334178307600432731e+02 5.000000000000000278e-02
-2.333777108665260016e+02 3.634947540740438132e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -2.232137786370033439e+02 -2.293139929236946557e+02 1.449999999999999900e-01
-2.292969539084055555e+02 2.185398149082822705e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -2.228302080868151052e+02 -2.289329223735064147e+02 1.900000000000000022e-01
-2.284053167555507287e+02 1.732309656776569895e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -2.217911036322512643e+02 -2.278963179189425716e+02 1.004999999999999893e+00
-2.274256288533807435e+02 1.863076073993180426e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -2.137428187356541400e+02 -2.198505330223454450e+02 1.425000000000000044e+00
-2.198500200826701985e+02 4.858244539870219647e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -2.089310617477061385e+02 -2.150412760343974412e+02 1.915000000000000036e+00
-2.150331510323595126e+02 4.983663529596319641e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -2.069912067094684858e+02 -2.131039209961597862e+02 3.300000000000000155e-01
-2.129682893103648951e+02 4.445804108714737524e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -1.967570650698516772e+02 -2.028722793565430038e+02 3.049999999999999933e-01
-2.028722381136015258e+02 9.454365061113703561e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -1.965359713561841204e+02 -2.026536856428754447e+02 1.849999999999999978e-01
-2.020638558950468564e+02 9.311542829382974062e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -1.963972814417702750e+02 -2.025174957284615971e+02 1.280000000000000027e+00
-2.015720225828382581e+02 7.271297649881826253e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -1.946768367154892019e+02 -2.007995510021805217e+02 1.574999999999999956e+00
-2.004198344907579497e+02 7.420330129828897059e-01 -1.325000000000000622e-01 4.000000000000000000e+02 -1.944691550560151825e+02 -2.005943693427065000e+02 1.824999999999999956e+00
-1.998101517576798187e+02 5.072967315008731770e-01 -1.350000000000000644e-01 4.000000000000000000e+02 -1.921336305611258410e+02 -1.982613448478171563e+02 7.199999999999999734e-01
-1.980686593857080595e+02 1.071157715809153199e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -1.885834759094359470e+02 -1.947136901961272599e+02 1.129999999999999893e+00
-1.946793752990050450e+02 1.929710768156038592e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -1.861436157124994111e+02 -1.922763299991907218e+02 9.899999999999999911e-01
-1.921897467795442935e+02 2.440464624020069362e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -1.856334915910170480e+02 -1.917687058777083564e+02 1.900000000000000022e-01
-1.912640814892799028e+02 1.174213816651022979e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -1.846032346850594763e+02 -1.907409489717507824e+02 4.149999999999999800e-01
-1.902755426967842141e+02 1.028600624702594946e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -1.795906499552157527e+02 -1.857308642419070566e+02 1.250000000000000000e+00
-1.857202966875853178e+02 3.196190676268609643e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -1.734191765966631635e+02 -1.795618908833544651e+02 1.385000000000000009e+00
-1.795597774948315362e+02 3.883652489894572124e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -1.720819126897769422e+02 -1.782271269764682415e+02 1.824999999999999956e+00
-1.779930219718745548e+02 3.167053799301033923e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -1.719650259987740526e+02 -1.781127402854653781e+02 7.950000000000000400e-01
-1.773579434576576546e+02 3.054974632867977657e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -1.713711541806686682e+02 -1.775213684673599914e+02 3.699999999999999956e-01
-1.767431740237429381e+02 3.319790418059738180e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -1.692901577768713537e+02 -1.754428720635626746e+02 1.165000000000000036e+00
-1.752019282713645225e+02 2.126284201172615518e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -1.690156332903569023e+02 -1.751708475770482210e+02 1.300000000000000044e-01
-1.744931199973115099e+02 1.150730323715991821e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -1.668031222197298007e+02 -1.729608365064211171e+02 1.314999999999999947e+00
-1.727652353696785212e+02 1.192328277313286389e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -1.657918874791589303e+02 -1.719521017658502444e+02 4.799999999999999822e-01
