weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.160125180467663995e+03 2.394504584085352406e+01 7.701154562358757971e+01 4.103221400698116668e+02 3.898871075873477139e+02 1.980121792650835211e-03
0.000000000000000000e+00 -9.185652664336936368e+02 2.831178754337266241e+02 9.846997167843019270e+02 1.364648815050242376e+02 8.035286419727975726e+02 3.584805244593702866e-03
0.000000000000000000e+00 -8.741410114569015377e+02 4.647169196493612162e+02 3.720509635699573323e+02 3.075284252652967325e+02 8.302528053215680757e+02 3.983379705750689226e-03
6.248097611458544739e-263 -6.120580863768491326e+02 6.672361997429146641e+01 6.462796651801378403e+02 4.737197318174286238e+02 9.148539769194123892e+02 2.280410899885998433e-02
3.205150506258533939e-225 -5.252248708292222545e+02 4.539889675330275622e+02 4.918168844668753081e+02 2.362286060684597828e+02 8.917923521350289775e+02 2.170797802482504757e-02
6.922818100243379396e-208 -4.853083603707751763e+02 7.721442347321554678e+01 1.992377548768874362e+02 5.489547770178379693e+01 9.347421943691980459e+02 9.355009065450092809e-02
2.294198162023623030e-207 -4.841077148067062694e+02 4.314149314373915445e+02 1.635471959278126519e+02 2.568708530214363464e+02 8.666787426661657037e+02 3.638625789075455863e-02
7.942763192866994434e-207 -4.828633369805354505e+02 6.361491475879299742e+02 4.585209068236136432e+02 5.602449930966022293e+02 6.068926070063089355e+02 9.459757737362628482e-03
1.421293934377615519e-205 -4.799763603403467869e+02 4.535277699817517600e+02 5.495718820858316178e+01 1.373251177551102558e+02 7.432555839320855284e+02 5.097020974836063978e-02
3.579480597884659751e-203 -4.744450401269572808e+02 2.021394540007663920e+02 3.255688451998386768e+01 8.690505598731483587e+02 4.111217638111540964e+02 1.765367640390747006e-02
2.447546072667251833e-192 -4.494942358898956627e+02 3.476256818025254915e+02 6.890735828647988228e+02 9.659488038747590508e+02 4.284554156413846044e+02 6.800434955664513836e-03
3.197236440559451355e-187 -4.377116095201971007e+02 7.412278595200353948e+02 1.598369707164200122e+02 3.741647982985875274e+02 6.693286816191491653e+02 2.335009053507808297e-02
5.913524056056273626e-185 -4.324889842178712343e+02 3.891448964531466004e+02 7.051665497041499293e+02 5.631421386106627551e+02 9.016171189280022418e+02 2.484186842158175867e-02
1.107883698376158407e-177 -4.157405937971578282e+02 7.705472292857224659e+01 4.973122914376540962e+02 1.193362912193206427e+02 2.775742303203803658e+02 2.336796748583502836e-02
4.553930393463579393e-174 -4.074167994528050940e+02 4.652963683540118041e+02 8.093045664881030916e+02 4.672019771238400381e+02 9.103566019947081713e+02 2.937247619525318321e-02
6.190635535391023911e-166 -3.886865716389414160e+02 1.375064888283626772e+02 9.495924075482529361e+02 3.073564254448377042e+01 7.491716433527141135e+02 7.320034835609112722e-02
3.183900925160016051e-161 -3.778360767756763039e+02 6.719102581206545892e+02 3.767769291964317517e+02 8.776978066210662064e+02 7.192699910362144919e+02 1.862980325767193968e-02
6.838608704811841449e-157 -3.678587592495128433e+02 2.930750467448257837e+02 3.828690459237384403e+02 8.778019388331042592e+02 7.752877826364313023e+02 2.962527134678882845e-02
1.474356267658266901e-152 -3.578776966239352646e+02 2.210504186970014473e+02 5.864235527187625507e+01 3.906643503248243405e+02 3.466845367209604092e+02 2.981650588532303026e-02
6.874668056279255121e-146 -3.425200641721298211e+02 8.913749378260756373e+01 2.504722104628362160e+02 2.571452652197179987e+02 9.498103607636076049e+02 1.552364547869187206e-01
1.260107108478393213e-145 -3.419116257147203441e+02 5.164467690647509244e+02 3.286592505272740823e+02 4.387559168784043777e+02 9.139301392547077967e+02 5.666950204880150110e-02
3.456536369780675516e-130 -3.063612790054001493e+02 4.294630239178089681e+01 9.820880229866147602e+02 1.880551598571505778e+01 8.866535266515754756e+02 2.663667252011682196e-01
1.331088385074990645e-125 -2.958001236366955595e+02 8.962109703685130171e+02 1.046171907449602827e+02 5.431968233512342294e+02 5.308718827314522741e+02 3.508151566556516610e-02
1.676207772727931023e-123 -2.909619164291463562e+02 6.747753571743054124e+01 7.917116826729525201e+02 1.497637930740039849e+02 4.590184344714441522e+02 9.388931056699700850e-02
5.858645402515623769e-123 -2.897080319760436851e+02 1.131171308135742670e+01 2.696131936028181713e+02 8.546551554381445612e+02 5.228411137663429145e+02 1.495086464027823858e-01
8.658517425848275745e-123 -2.893149068829514476e+02 7.161472262646068430e+02 1.917145599913570493e+02 1.886814091458917915e+02 9.653624988222495631e+02 1.179056925926397215e-01
2.620927132103399592e-122 -2.882048371775449027e+02 5.139767434381715248e+02 2.473644215377458124e+02 4.704731087986786520e+02 1.782220534705886053e+02 8.865336039623139541e-03
6.608190357045755753e-121 -2.849749703640799225e+02 1.751901427930998807e+02 5.547963609714155382e+02 3.816182784652442450e+01 5.955052308230417566e+02 1.174867956550943449e-01
4.653358198218167105e-119 -2.807180208688461107e+02 2.767536418854951208e+01 2.272226976781472274e+02 2.797872746789391272e+02 5.470183372543571068e+02 2.080647577112372248e-01
1.974192077839143929e-117 -2.769677805948190326e+02 4.601703418792255320e+02 4.427930159249111171e+02 5.645492347530404231e+02 7.341068940341697271e+02 5.277985885161573520e-02
2.445986912493195605e-115 -2.721458209623028210e+02 5.746281738600187055e+02 1.225779655758638711e+02 3.850602190970157039e+02 8.046545168352574819e+02 1.074018259815675558e-01
1.278139320891534142e-113 -2.681871940981944817e+02 1.979444583842350269e+01 2.305596210750300941e+02 7.373415218354396075e+02 9.979678131752632453e+02 3.554023159994619263e-01
3.443816600649409522e-112 -2.648909340366926131e+02 7.034908815608426380e+01 7.596311644908336120e+02 5.622735540873799209e+02 8.572267602234181822e+02 1.480046940449207815e-01
8.060999295896523669e-110 -2.594328066530535466e+02 4.053631430470285864e+02 2.898901793960994837e+02 6.525125731360411692e+02 9.302204317435235907e+02 9.259479191523800612e-02
2.655452728885929521e-109 -2.582381439315025204e+02 6.987382292976593590e+02 9.091785659511660924e+02 5.629214268323041779e+02 6.606201593203604716e+02 3.621023623886454601e-02
4.009848044172950877e-106 -2.509157504656526498e+02 2.353259299162160119e+02 9.070125203781386745e+02 1.178680994303354908e+02 9.876889978830193968e+02 1.896526071520211465e-01
3.415139845098217614e-103 -2.441660300906171130e+02 3.642508906471668979e+02 3.931721876672755229e+02 2.726263731453206560e+02 7.570520823851123851e+02 1.179505428592299010e-01
6.284700179614798831e-101 -2.389484602102759254e+02 1.430626811242406404e+02 1.599855936291908165e+02 4.476228846402843260e+02 4.017811834148656089e+02 6.817418835130828469e-02
6.701580683037309112e-101 -2.388817349256488001e+02 9.475835940062850113e+02 3.879476843019238004e+02 5.103122274937482672e+01 6.891869981550444209e+02 9.570414169567775797e-02
1.073586450432456616e-100 -2.384079883875971291e+02 1.556313650306585998e+02 5.783893432289873999e+02 3.901538659729723690e+01 3.675379579256723446e+02 1.031151867055248861e-01
4.612501863464147959e-100 -2.369477228406980203e+02 6.127407825463987479e+01 6.277287701554073465e+02 3.110194003234201432e+01 8.168629443662841823e+02 3.863176297373933643e-01
2.844569958336506071e-97 -2.305208260759320638e+02 5.385773574336642469e+02 7.975131046035529607e+02 8.748992439227812383e+02 6.399493158929162746e+02 4.054326059703605711e-02
