weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.160125180467663995e+03 1.408590488975103305e-02 7.608763325684442247e-02 4.097318719417534227e-01 3.892763839713190288e-01 1.980121792650835211e-03
0.000000000000000000e+00 -9.185652664336936368e+02 2.758766418522491382e-01 9.846844011854873902e-01 1.356004819870112454e-01 8.033319739467442711e-01 3.584805244593702866e-03
0.000000000000000000e+00 -8.741410114569015377e+02 4.593100198478395901e-01 3.714223859559132590e-01 3.068352605258225507e-01 8.300828882097778250e-01 3.983379705750689226e-03
6.248097611458544739e-263 -6.120580863768491326e+02 5.729658583261765248e-02 6.459255907709087197e-01 4.731929247421707840e-01 9.147687456650774873e-01 2.280410899885998433e-02
3.205150506258533939e-225 -5.252248708292222545e+02 4.484737045788157461e-01 4.913081926595348481e-01 2.354640701385983803e-01 8.916840361712001783e-01 2.170797802482504757e-02
6.922818100243379396e-208 -4.853083603707751763e+02 6.789335704365206947e-02 1.984361910679554031e-01 5.394942712891270808e-02 9.346768712404385226e-01 9.355009065450092809e-02
2.294198162023623030e-207 -4.841077148067062694e+02 4.256716479165570943e-01 1.627099058336463067e-01 2.561269800014377429e-01 8.665452879541197806e-01 3.638625789075455863e-02
7.942763192866994434e-207 -4.828633369805354505e+02 6.324738864524545034e-01 4.579788857093229915e-01 5.598047978944967751e-01 6.064991061124213045e-01 9.459757737362628482e-03
1.421293934377615519e-205 -4.799763603403467869e+02 4.480078484664159477e-01 5.401119940799115060e-02 1.364615793344446937e-01 7.429985825146001588e-01 5.097020974836063978e-02
3.579480597884659751e-203 -4.744450401269572808e+02 1.940802565664306867e-01 3.158847299297684597e-02 8.689194793525009120e-01 4.105322961072613852e-01 1.765367640390747006e-02
2.447546072667251833e-192 -4.494942358898956627e+02 3.410360422247732393e-01 6.887623452100087862e-01 9.659147185933524282e-01 4.278832989403249520e-01 6.800434955664513836e-03
3.197236440559451355e-187 -4.377116095201971007e+02 7.386139995151872473e-01 1.589959666831031182e-01 3.735383366352227341e-01 6.689976792984476672e-01 2.335009053507808297e-02
5.913524056056273626e-185 -4.324889842178712343e+02 3.829746428819662540e-01 7.048714211252752326e-01 5.627048434541168653e-01 9.015186375655678264e-01 2.484186842158175867e-02
1.107883698376158407e-177 -4.157405937971578282e+02 6.773204336219418309e-02 4.968091005381922720e-01 1.184547459652859347e-01 2.768510814017821620e-01 2.336796748583502836e-02
4.553930393463579393e-174 -4.074167994528050940e+02 4.598953215697089147e-01 8.091136801682713431e-01 4.666686457696096468e-01 9.102668688635717764e-01 2.937247619525318321e-02
6.190635535391023911e-166 -3.886865716389414160e+02 1.287944331599623071e-01 9.495419494977507258e-01 2.976540795243620696e-02 7.489205639166307549e-01 7.320034835609112722e-02
3.183900925160016051e-161 -3.778360767756763039e+02 6.685962203238935420e-01 3.761530822787104711e-01 8.775753820030692820e-01 7.189889800162306832e-01 1.862980325767193968e-02
6.838608704811841449e-157 -3.678587592495128433e+02 2.859343906513391875e-01 3.822512972209594073e-01 8.776796184515558430e-01 7.750628454819131763e-01 2.962527134678882845e-02
1.474356267658266901e-152 -3.578776966239352646e+02 2.131822411080822599e-01 5.770005532720345887e-02 3.900544047295538830e-01 3.460305672882486583e-01 2.981650588532303026e-02
6.874668056279255121e-146 -3.425200641721298211e+02 7.993686240667430276e-02 2.497219323952314385e-01 2.564016668866045956e-01 9.497601208844921317e-01 1.552364547869187206e-01
1.260107108478393213e-145 -3.419116257147203441e+02 5.115623929946979676e-01 3.279872377650391302e-01 4.381941109893937591e-01 9.138439832379456895e-01 5.666950204880150110e-02
3.456536369780675516e-130 -3.063612790054001493e+02 3.327909332503120599e-02 9.820700930796945061e-01 1.782333932504009955e-02 8.865400667182937733e-01 2.663667252011682196e-01
1.331088385074990645e-125 -2.958001236366955595e+02 8.951625963318313728e-01 1.037209116566168987e-01 5.427395629141483768e-01 5.304022850164687997e-01 3.508151566556516610e-02
1.676207772727931023e-123 -2.909619164291463562e+02 5.805811688629347600e-02 7.915031858588112978e-01 1.489127057797837717e-01 4.584769113828269793e-01 9.388931056699700850e-02
5.858645402515623769e-123 -2.897080319760436851e+02 1.324962708441845827e-03 2.688820756784966459e-01 8.545096651032477730e-01 5.223634772435864493e-01 1.495086464027823858e-01
8.658517425848275745e-123 -2.893149068829514476e+02 7.132800265299058529e-01 1.909054654568138609e-01 1.878692784243161107e-01 9.653278266488984904e-01 1.179056925926397215e-01
2.620927132103399592e-122 -2.882048371775449027e+02 5.090674176143146212e-01 2.466110325703161354e-01 4.699430518505292032e-01 1.773994529235121131e-01 8.865336039623139541e-03
6.608190357045755753e-121 -2.849749703640799225e+02 1.668587300940402862e-01 5.543507116830986847e-01 3.719902687339782243e-02 5.951003311541959162e-01 1.174867956550943449e-01
4.653358198218167105e-119 -2.807180208688461107e+02 1.785390322075708358e-02 2.264491468249721917e-01 2.790663410199590855e-01 5.465649021565136545e-01 2.080647577112372248e-01
1.974192077839143929e-117 -2.769677805948190326e+02 4.547175170497227414e-01 4.422352511760871963e-01 5.641133481011415540e-01 7.338407347689386295e-01 5.277985885161573520e-02
2.445986912493195605e-115 -2.721458209623028210e+02 5.703314887474936201e-01 1.216996652411049817e-01 3.844446637607764616e-01 8.044589758110685107e-01 1.074018259815675558e-01
1.278139320891534142e-113 -2.681871940981944817e+02 9.893379634771215514e-03 2.297894104855155994e-01 7.370786004358754750e-01 9.979657789542174529e-01 3.554023159994619263e-01
3.443816600649409522e-112 -2.648909340366926131e+02 6.095867490513562359e-02 7.593905550458794895e-01 5.618353894768567391e-01 8.570838440674856118e-01 1.480046940449207815e-01
8.060999295896523669e-110 -2.594328066530535466e+02 3.993567101485137050e-01 2.891793587548543432e-01 6.521647378739150458e-01 9.301505823258494621e-01 9.259479191523800612e-02
2.655452728885929521e-109 -2.582381439315025204e+02 6.956951811087468407e-01 9.090876536047708401e-01 5.624839107430472662e-01 6.602804397601206299e-01 3.621023623886454601e-02
4.009848044172950877e-106 -2.509157504656526498e+02 2.276019494103191931e-01 9.069194398179566408e-01 1.169850845148503460e-01 9.876766745575770168e-01 1.896526071520211465e-01
3.415139845098217614e-103 -2.441660300906171130e+02 3.578291824718857761e-01 3.925647524196952398e-01 2.718982714167373915e-01 7.568088912763887288e-01 1.179505428592299010e-01
6.284700179614798831e-101 -2.389484602102759254e+02 1.344067486103440734e-01 1.591447383675583804e-01 4.470699545948791931e-01 4.011823657806462551e-01 6.817418835130828469e-02
6.701580683037309112e-101 -2.388817349256488001e+02 9.470541353598838086e-01 3.873350193212450332e-01 5.008130405342825497e-02 6.888758740290734650e-01 9.570414169567775797e-02
1.073586450432456616e-100 -2.384079883875971291e+02 1.471023889198571633e-01 5.779673105395268795e-01 3.805344003733457381e-02 3.669048627884607949e-01 1.031151867055248861e-01
4.612501863464147959e-100 -2.369477228406980203e+02 5.179199823700997296e-02 6.273561262816890194e-01 3.013207210444646122e-02 8.166796239902744947e-01 3.863176297373933643e-01
2.844569958336506071e-97 -2.305208260759320638e+02 5.339165226602669012e-01 7.973104150185715833e-01 8.747740179407219596e-01 6.395889047977140196e-01 4.054326059703605711e-02
6.965966819597901870e-96 -2.273201164733519590e+02 4.064809109636247086e-04 6.690760147800234314e-01 2.899942227882205126e-01 4.545871591228488606e-01 3.789552292271345380e-01
4.219446925286198309e-94 -2.232137786370033439e+02 7.060469970154431563e-01 2.642273956229734821e-03 2.763163983947579672e-01 8.047736803047008669e-01 8.644239844403130979e-01
6.176641080860839761e-94 -2.228302080868151052e+02 8.306207244547614277e-02 1.909398736526666251e-01 6.365748453350743574e-01 8.865494990004222364e-01 2.377913317975134389e-01
1.741582131136127886e-93 -2.217911036322512643e+02 8.508953552598034209e-01 6.423673415102583162e-01 6.936847054170115490e-01 9.761891189569911198e-01 7.747990045048591679e-02
5.434804712544496864e-90 -2.137428187356541400e+02 9.726896406727000288e-01 8.410069583891857103e-01 6.064131750861199155e-01 3.057063264147532600e-01 1.648272130848160710e-02
6.665269516736548059e-88 -2.089310617477061385e+02 2.251628440408892651e-02 3.020921253615611590e-01 9.600131243037408613e-01 6.936150223964293593e-01 2.254607169776658981e-01
4.625943433004181947e-87 -2.069912067094684858e+02 8.027888864099436139e-01 1.166934164766286752e-02 4.164879271044414910e-01 7.135088112928056336e-01 3.353050729861215551e-01
1.284534646971497783e-82 -1.967570650698516772e+02 5.868903356565478013e-01 5.088409277482989213e-01 3.840771180763113968e-02 1.876715167142606333e-02 8.495111813176263738e-01
1.598379372906651945e-82 -1.965359713561841204e+02 8.689803300319204338e-01 5.977789353977036590e-02 6.437759091958367152e-01 7.529081829587166430e-01 1.463259926047909554e-01
1.831582117450721119e-82 -1.963972814417702750e+02 2.790521564601855520e-02 5.188229575576721597e-01 1.575853522730485956e-02 6.951850822808761654e-01 6.347587972330229755e-01
1.020752164476163377e-81 -1.946768367154892019e+02 7.956908508457761764e-01 2.671355310394861737e-01 7.568603731702865378e-01 3.405553829881897698e-01 3.098625607156602069e-02
1.253226506800873711e-81 -1.944691550560151825e+02 6.221676051132118968e-02 9.871022894562908601e-02 2.467415702505048047e-01 6.147502818090810894e-01 4.052872256847726007e-01
1.291960501192820840e-80 -1.921336305611258410e+02 7.139437117448161896e-01 6.173896218109299339e-01 1.456785756500398321e-01 9.977727126444796424e-01 2.033165112633995575e-01
4.487206697351848164e-79 -1.885834759094359470e+02 9.201501882663044585e-01 8.361867620937533108e-01 7.694468326093292232e-01 7.950844600899790171e-01 6.621124848788018102e-02
5.134618238848340646e-78 -1.861436157124994111e+02 6.748241587199986791e-01 1.243698183281841674e-01 6.037716531839255607e-01 7.935420697915582799e-01 1.497202404691005961e-01
8.530343387845127665e-78 -1.856334915910170480e+02 8.385259379169751615e-01 3.553987892313981156e-02 9.367898841895900830e-01 7.232447073566958817e-01 1.619067170202374006e-01
2.384051687926127618e-77 -1.846032346850594763e+02 2.544912077733842981e-01 6.092679815749773020e-01 2.838552535320009174e-01 4.491402438361270510e-01 9.669617092819116078e-02
3.574109213328496559e-75 -1.795906499552157527e+02 5.730474718896938491e-01 8.347425608043329559e-01 6.153256994012730186e-01 9.924835700388290327e-02 1.101287791065852506e-02
1.707335645853024317e-72 -1.734191765966631635e+02 7.949832740732528658e-01 3.758983060342128146e-01 7.440148933567369838e-02 8.926014609506084385e-01 2.488088255624693046e-01
6.486336973137323413e-72 -1.720819126897769422e+02 8.036464351709420306e-01 1.712657206103551655e-02 8.328554336119409207e-01 8.672132845287036096e-01 3.491639183276425973e-01
7.272387568550664337e-72 -1.719650259987740526e+02 9.450089599099464888e-02 4.463696494602557019e-01 3.733916954872873450e-01 6.975957453647386730e-01 2.954642146904883360e-01
1.313731257338852913e-71 -1.713711541806686682e+02 7.075318275912391153e-01 4.230180910659295801e-01 5.989702205665506929e-01 1.830184664704717079e-01 1.934167210051662700e-02
1.049992149395116304e-70 -1.692901577768713537e+02 5.034533045825182462e-01 5.993310370009752308e-01 7.637948873468560773e-01 5.996852376033302567e-01 7.307648770202868072e-02
