17:33:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=scripts/calibration/fit_updated_intake/TEQ2022/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:34:02 [ultranest] [INFO] Sampling 400 live points from prior ...
18:24:35 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:24:35 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
18:24:35 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:24:42 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1160.13, Lmax=-8.64
18:24:48 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-1166.12, remainder_fraction=100.0000%, Lmin=-918.57, Lmax=-8.64
18:24:55 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-924.56, remainder_fraction=100.0000%, Lmin=-874.14, Lmax=-8.64
18:25:01 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-880.14, remainder_fraction=100.0000%, Lmin=-612.06, Lmax=-8.64
18:25:08 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-618.06, remainder_fraction=100.0000%, Lmin=-525.22, Lmax=-8.64
18:25:15 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-531.23, remainder_fraction=100.0000%, Lmin=-485.31, Lmax=-8.64
18:25:22 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-491.31, remainder_fraction=100.0000%, Lmin=-484.11, Lmax=-8.64
18:25:30 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-489.85, remainder_fraction=100.0000%, Lmin=-482.86, Lmax=-8.64
18:25:37 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-488.55, remainder_fraction=100.0000%, Lmin=-479.98, Lmax=-8.64
18:25:45 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-485.91, remainder_fraction=100.0000%, Lmin=-474.45, Lmax=-8.64
18:25:56 [ultranest] [DEBUG] iteration=10, ncalls=412, regioncalls=480, ndraw=40, logz=-480.46, remainder_fraction=100.0000%, Lmin=-449.49, Lmax=-8.64
18:26:02 [ultranest] [DEBUG] iteration=11, ncalls=413, regioncalls=520, ndraw=40, logz=-455.51, remainder_fraction=100.0000%, Lmin=-437.71, Lmax=-8.64
18:26:08 [ultranest] [DEBUG] iteration=12, ncalls=414, regioncalls=560, ndraw=40, logz=-443.73, remainder_fraction=100.0000%, Lmin=-432.49, Lmax=-8.64
18:26:15 [ultranest] [DEBUG] iteration=13, ncalls=415, regioncalls=600, ndraw=40, logz=-438.51, remainder_fraction=100.0000%, Lmin=-415.74, Lmax=-8.64
18:26:23 [ultranest] [DEBUG] iteration=14, ncalls=416, regioncalls=640, ndraw=40, logz=-421.77, remainder_fraction=100.0000%, Lmin=-407.42, Lmax=-8.64
18:26:37 [ultranest] [DEBUG] iteration=15, ncalls=418, regioncalls=720, ndraw=40, logz=-413.44, remainder_fraction=100.0000%, Lmin=-388.69, Lmax=-8.64
18:26:44 [ultranest] [DEBUG] iteration=16, ncalls=419, regioncalls=760, ndraw=40, logz=-394.72, remainder_fraction=100.0000%, Lmin=-377.84, Lmax=-8.64
18:26:51 [ultranest] [DEBUG] iteration=17, ncalls=420, regioncalls=800, ndraw=40, logz=-383.87, remainder_fraction=100.0000%, Lmin=-367.86, Lmax=-8.64
18:26:58 [ultranest] [DEBUG] iteration=18, ncalls=421, regioncalls=840, ndraw=40, logz=-373.89, remainder_fraction=100.0000%, Lmin=-357.88, Lmax=-8.64
18:27:05 [ultranest] [DEBUG] iteration=19, ncalls=422, regioncalls=880, ndraw=40, logz=-363.92, remainder_fraction=100.0000%, Lmin=-342.52, Lmax=-8.64
18:27:12 [ultranest] [DEBUG] iteration=20, ncalls=423, regioncalls=920, ndraw=40, logz=-348.56, remainder_fraction=100.0000%, Lmin=-341.91, Lmax=-8.64
18:27:19 [ultranest] [DEBUG] iteration=21, ncalls=424, regioncalls=960, ndraw=40, logz=-347.52, remainder_fraction=100.0000%, Lmin=-306.36, Lmax=-8.64
18:27:26 [ultranest] [DEBUG] iteration=22, ncalls=425, regioncalls=1000, ndraw=40, logz=-312.41, remainder_fraction=100.0000%, Lmin=-295.80, Lmax=-8.64
18:27:34 [ultranest] [DEBUG] iteration=23, ncalls=426, regioncalls=1040, ndraw=40, logz=-301.85, remainder_fraction=100.0000%, Lmin=-290.96, Lmax=-8.64
18:27:41 [ultranest] [DEBUG] iteration=24, ncalls=427, regioncalls=1080, ndraw=40, logz=-297.00, remainder_fraction=100.0000%, Lmin=-289.71, Lmax=-8.64
18:27:49 [ultranest] [DEBUG] iteration=25, ncalls=428, regioncalls=1120, ndraw=40, logz=-295.51, remainder_fraction=100.0000%, Lmin=-289.31, Lmax=-8.64
18:27:56 [ultranest] [DEBUG] iteration=26, ncalls=429, regioncalls=1160, ndraw=40, logz=-294.74, remainder_fraction=100.0000%, Lmin=-288.20, Lmax=-8.64
18:28:17 [ultranest] [DEBUG] iteration=27, ncalls=432, regioncalls=1280, ndraw=40, logz=-293.78, remainder_fraction=100.0000%, Lmin=-284.97, Lmax=-8.64
18:28:24 [ultranest] [DEBUG] iteration=28, ncalls=433, regioncalls=1320, ndraw=40, logz=-290.97, remainder_fraction=100.0000%, Lmin=-280.72, Lmax=-8.64
18:28:31 [ultranest] [DEBUG] iteration=29, ncalls=434, regioncalls=1360, ndraw=40, logz=-286.77, remainder_fraction=100.0000%, Lmin=-276.97, Lmax=-8.64
18:28:38 [ultranest] [DEBUG] iteration=30, ncalls=435, regioncalls=1400, ndraw=40, logz=-283.01, remainder_fraction=100.0000%, Lmin=-272.15, Lmax=-8.64
18:28:46 [ultranest] [DEBUG] iteration=31, ncalls=436, regioncalls=1440, ndraw=40, logz=-278.21, remainder_fraction=100.0000%, Lmin=-268.19, Lmax=-8.64
18:28:53 [ultranest] [DEBUG] iteration=32, ncalls=437, regioncalls=1480, ndraw=40, logz=-274.24, remainder_fraction=100.0000%, Lmin=-264.89, Lmax=-8.64
18:29:00 [ultranest] [DEBUG] iteration=33, ncalls=438, regioncalls=1520, ndraw=40, logz=-270.93, remainder_fraction=100.0000%, Lmin=-259.43, Lmax=-8.64
18:29:08 [ultranest] [DEBUG] iteration=34, ncalls=439, regioncalls=1560, ndraw=40, logz=-265.50, remainder_fraction=100.0000%, Lmin=-258.24, Lmax=-8.64
18:29:14 [ultranest] [DEBUG] iteration=35, ncalls=440, regioncalls=1600, ndraw=40, logz=-264.05, remainder_fraction=100.0000%, Lmin=-250.92, Lmax=-8.64
18:29:22 [ultranest] [DEBUG] iteration=36, ncalls=441, regioncalls=1640, ndraw=40, logz=-257.00, remainder_fraction=100.0000%, Lmin=-244.17, Lmax=-8.64
18:29:28 [ultranest] [DEBUG] iteration=37, ncalls=442, regioncalls=1680, ndraw=40, logz=-250.25, remainder_fraction=100.0000%, Lmin=-238.95, Lmax=-8.64
18:29:35 [ultranest] [DEBUG] iteration=38, ncalls=443, regioncalls=1720, ndraw=40, logz=-245.03, remainder_fraction=100.0000%, Lmin=-238.88, Lmax=-8.64
18:29:42 [ultranest] [DEBUG] iteration=39, ncalls=444, regioncalls=1760, ndraw=40, logz=-244.31, remainder_fraction=100.0000%, Lmin=-238.41, Lmax=-8.64
18:29:49 [ultranest] [DEBUG] iteration=40, ncalls=445, regioncalls=1800, ndraw=40, logz=-243.70, remainder_fraction=100.0000%, Lmin=-236.95, Lmax=-8.64
18:29:56 [ultranest] [DEBUG] iteration=41, ncalls=446, regioncalls=1840, ndraw=40, logz=-242.62, remainder_fraction=100.0000%, Lmin=-230.52, Lmax=-8.64
18:30:03 [ultranest] [DEBUG] iteration=42, ncalls=447, regioncalls=1880, ndraw=40, logz=-236.61, remainder_fraction=100.0000%, Lmin=-227.32, Lmax=-8.64
18:30:10 [ultranest] [DEBUG] iteration=43, ncalls=448, regioncalls=1920, ndraw=40, logz=-233.38, remainder_fraction=100.0000%, Lmin=-223.21, Lmax=-8.64
18:30:18 [ultranest] [DEBUG] iteration=44, ncalls=449, regioncalls=1960, ndraw=40, logz=-229.30, remainder_fraction=100.0000%, Lmin=-222.83, Lmax=-8.64
18:30:25 [ultranest] [DEBUG] iteration=45, ncalls=450, regioncalls=2000, ndraw=40, logz=-228.41, remainder_fraction=100.0000%, Lmin=-221.79, Lmax=-8.64
18:30:32 [ultranest] [DEBUG] iteration=46, ncalls=451, regioncalls=2040, ndraw=40, logz=-227.43, remainder_fraction=100.0000%, Lmin=-213.74, Lmax=-8.64
18:30:39 [ultranest] [DEBUG] iteration=47, ncalls=452, regioncalls=2080, ndraw=40, logz=-219.85, remainder_fraction=100.0000%, Lmin=-208.93, Lmax=-8.64
18:30:47 [ultranest] [DEBUG] iteration=48, ncalls=453, regioncalls=2120, ndraw=40, logz=-215.03, remainder_fraction=100.0000%, Lmin=-206.99, Lmax=-8.64
18:30:54 [ultranest] [DEBUG] iteration=49, ncalls=454, regioncalls=2160, ndraw=40, logz=-212.97, remainder_fraction=100.0000%, Lmin=-196.76, Lmax=-8.64
18:31:08 [ultranest] [DEBUG] iteration=50, ncalls=456, regioncalls=2240, ndraw=40, logz=-202.87, remainder_fraction=100.0000%, Lmin=-196.54, Lmax=-8.64
18:31:16 [ultranest] [DEBUG] iteration=51, ncalls=457, regioncalls=2280, ndraw=40, logz=-202.06, remainder_fraction=100.0000%, Lmin=-196.40, Lmax=-8.64
18:31:23 [ultranest] [DEBUG] iteration=52, ncalls=458, regioncalls=2320, ndraw=40, logz=-201.57, remainder_fraction=100.0000%, Lmin=-194.68, Lmax=-8.64
18:31:31 [ultranest] [DEBUG] iteration=53, ncalls=459, regioncalls=2360, ndraw=40, logz=-200.42, remainder_fraction=100.0000%, Lmin=-194.47, Lmax=-8.64
18:31:39 [ultranest] [DEBUG] iteration=54, ncalls=460, regioncalls=2400, ndraw=40, logz=-199.81, remainder_fraction=100.0000%, Lmin=-192.13, Lmax=-8.64
18:31:46 [ultranest] [DEBUG] iteration=55, ncalls=461, regioncalls=2440, ndraw=40, logz=-198.07, remainder_fraction=100.0000%, Lmin=-188.58, Lmax=-8.64
18:31:53 [ultranest] [DEBUG] iteration=56, ncalls=462, regioncalls=2480, ndraw=40, logz=-194.68, remainder_fraction=100.0000%, Lmin=-186.14, Lmax=-8.64
18:32:01 [ultranest] [DEBUG] iteration=57, ncalls=463, regioncalls=2520, ndraw=40, logz=-192.19, remainder_fraction=100.0000%, Lmin=-185.63, Lmax=-8.64
18:32:07 [ultranest] [DEBUG] iteration=58, ncalls=464, regioncalls=2560, ndraw=40, logz=-191.26, remainder_fraction=100.0000%, Lmin=-184.60, Lmax=-8.64
18:32:15 [ultranest] [DEBUG] iteration=59, ncalls=465, regioncalls=2600, ndraw=40, logz=-190.28, remainder_fraction=100.0000%, Lmin=-179.59, Lmax=-8.64
18:32:23 [ultranest] [DEBUG] iteration=60, ncalls=466, regioncalls=2640, ndraw=40, logz=-185.72, remainder_fraction=100.0000%, Lmin=-173.42, Lmax=-8.64
18:32:30 [ultranest] [DEBUG] iteration=61, ncalls=467, regioncalls=2680, ndraw=40, logz=-179.56, remainder_fraction=100.0000%, Lmin=-172.08, Lmax=-8.64
