pFat pLiver pSlow kMet fAbs
3.744294435705151045e+02 9.505497338378239647e+01 9.397820937643173522e+01 9.059449855675909191e+01 9.845366304174061334e-01
2.833839462974089543e+02 1.005486818323519742e+02 7.076289709518529492e+01 7.187256499559998701e+01 8.427559572051013248e-01
4.700420534469197378e+02 9.324198916563287298e+01 7.145075620804261973e+01 9.805803839221491103e+01 7.932864137526663972e-01
5.903661988067660786e+02 1.201413514183163329e+02 6.163598620478749268e+01 8.508616250062705433e+01 5.721093992846033593e-01
4.480523384481720086e+02 6.153203835665043897e+01 2.456193163003957238e+02 1.074006834457775597e+02 6.760891726389323120e-01
3.598474447834322518e+02 7.124598747325805448e+01 9.708823074073892201e+01 1.038184788736169253e+02 9.367594596399886342e-01
6.061427861119924501e+02 8.557901790164991951e+01 5.167504255870362329e+01 1.142644104876701761e+02 8.396155058313977682e-01
4.561862038991126838e+02 8.300745650605405501e+01 6.509177297113070892e+01 8.346078357389883706e+01 4.830175103921683366e-01
9.367078440856506631e+02 1.038196857887162849e+02 3.463326115385051196e+01 1.138269359502510838e+02 7.689022567984808987e-01
3.778027144669261475e+02 7.957592348639917645e+01 7.628417833717378471e+01 7.868291788550001797e+01 7.935109161405783373e-01
3.869506430164115613e+02 7.398849710037568173e+01 1.247248073521123359e+02 1.014512839207208401e+02 7.220082707018153911e-01
6.449377686150287445e+02 1.267880445808272611e+02 7.794493528063583199e+01 1.286612873115207947e+02 8.021008861468909013e-01
4.508077161583444763e+02 9.303786265877815254e+01 7.772923642817281120e+01 8.515018605010844510e+01 7.916160173321036275e-01
3.880556798411615205e+02 7.616191532364044292e+01 5.735488521101259352e+01 5.391698103570194434e+01 4.426155682499529065e-01
4.814204596572307651e+02 9.966095658508918120e+01 5.892063074172234138e+01 9.391398153993885956e+01 8.211454138154555826e-01
6.682210178479149363e+02 1.409766866798333069e+02 8.730532323297518360e+01 1.427662055075565775e+02 9.577349859202197724e-01
6.082011833465692234e+02 1.239450347725965713e+02 1.321216858818728213e+02 1.479610416062833451e+02 9.260189305994304121e-01
8.795620699902102615e+02 5.300804667096210210e+01 1.157146883434723890e+02 1.053409830638738782e+02 8.471028232699160387e-01
5.945646520930379211e+02 2.643484134502966185e+02 1.075554410705490369e+02 1.630398454520590406e+02 9.749148882998535104e-01
7.308385787435396423e+02 2.132377379744997086e+02 1.284817160360671551e+02 1.617231212220901284e+02 9.223362228028361143e-01
5.083937401313354485e+02 1.288370962529403982e+02 1.312624923937200094e+02 1.237723635485553757e+02 9.860863458545822136e-01
4.960958851963252414e+02 8.628458483969592407e+01 7.877789332840673353e+01 1.014224487252711384e+02 8.724468214536506006e-01
2.318917575112381257e+02 8.132247154455104976e+01 9.140175266176157720e+01 7.094992664069978616e+01 8.343294384745145731e-01
3.695440805041224053e+02 8.213752797854300525e+01 7.843475279694183655e+01 9.814832744134177744e+01 9.276580166503147762e-01
3.574595246564697959e+02 1.273788379205138028e+02 1.486747114611373775e+02 9.019677267191863734e+01 5.484981068971237494e-01
4.633675045336443077e+02 1.199238081013306783e+02 1.205090361101996308e+02 1.172407094103997309e+02 7.740681888738577543e-01
5.254818962035241157e+02 1.099235197783850992e+02 1.712654672337898774e+02 1.378949659334847979e+02 7.862571290406805691e-01
7.025988862439334071e+02 1.289765966593943176e+02 3.105769701973069985e+01 1.513824290750833370e+02 9.904104487881407737e-01
6.145295891309036733e+02 1.277078107153914175e+02 4.975002331515857179e+01 7.528692819452744800e+01 5.547763344115372863e-01
5.564719539333544844e+02 1.284411169253727678e+02 9.059128252731768782e+01 1.155304662409597967e+02 9.679446578277610680e-01
4.564022033121942172e+02 1.332338106374244546e+02 8.748595635591287589e+01 8.661631465542821218e+01 6.503570532913383051e-01
9.425229743391133752e+02 1.304598632429901386e+02 1.515050421619270367e+02 1.307846152574978191e+02 6.955142921213901541e-01
7.989196833328259117e+02 1.547697264342948245e+02 4.165776876392105521e+01 1.536786997289702015e+02 9.486817617543716885e-01
5.469354480871714941e+02 9.500590425905132008e+01 3.926570636818788529e+01 6.504165075928641215e+01 6.054976635887545644e-01
