logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.449372780305625611e+03 -1.455365494592316963e+03 1.844999999999999973e+00
-1.455365494592316963e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.169646158556251976e+03 -1.175641372842943383e+03 6.250000000000000000e-01
-1.175641372842943383e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.662297510985375766e+02 -6.722274653852289248e+02 1.195000000000000062e+00
-6.722274653852289248e+02 1.886722508476755422e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -5.871073457207177171e+02 -5.931075600074090062e+02 8.399999999999999689e-01
-5.931075600074090062e+02 3.914033402288796992e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -5.752590124295713849e+02 -5.812617267162627286e+02 1.049999999999999961e-01
-5.812617195479257362e+02 2.473180044295780888e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -5.583291797439570701e+02 -5.643343940306483546e+02 5.749999999999999556e-01
-5.643343939861282479e+02 2.978707497252360881e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -5.363803386880482549e+02 -5.423880529747395940e+02 1.725000000000000089e+00
-5.423880529744452588e+02 1.243984286506849912e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -5.045267596244805191e+02 -5.105369739111718559e+02 1.229999999999999982e+00
-5.105369739111718559e+02 2.569670339418175331e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -4.873931484367415123e+02 -4.934058627234328469e+02 2.250000000000000056e-01
-4.934058626871205888e+02 2.875459571077905707e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -4.846491934299934883e+02 -4.906644077166848206e+02 8.950000000000000178e-01
-4.906019246184260396e+02 2.462575076182903899e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.781336569981166917e+02 -4.841513712848080218e+02 1.594999999999999973e+00
-4.841497928832847606e+02 6.977877790102533062e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -4.649460578162827460e+02 -4.709662721029740737e+02 7.249999999999999778e-01
-4.709662702216255070e+02 1.103898303898637856e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -4.353602562244612386e+02 -4.413829705111525641e+02 1.235000000000000098e+00
-4.413829705111524504e+02 1.511919396234021207e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.199115403788019876e+02 -4.259367546654933108e+02 6.350000000000000089e-01
