weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.449372780305625611e+03 4.836604048394816004e+02 3.025303796050595793e+02 7.073047726052841426e+02 8.986472508897716125e+02 6.792503032787555739e-04
0.000000000000000000e+00 -1.169646158556251976e+03 7.368041665299358556e+02 2.230631108549884232e+02 2.886726315315984266e+02 3.799719877822611238e+02 7.013975414020823251e-04
3.205833061939031222e-286 -6.662297510985375766e+02 3.734031776843453940e+02 8.366000593300196897e+02 1.003203823967511283e+02 9.924970136047462574e+02 2.138529063071270553e-02
7.366805739497136147e-252 -5.871073457207177171e+02 9.339432418953482511e+02 7.665859768787176165e+01 7.767216847560627002e+01 4.477107239685434479e+02 1.741374301605513875e-02
1.027683182726626135e-246 -5.752590124295713849e+02 6.897539542121489831e+01 4.331534713722787728e+02 4.861890376133354863e+01 2.759642424518912662e+02 2.068943492520292082e-02
2.308375351787894391e-239 -5.583291797439570701e+02 1.952610354437760876e+01 1.301536525549533394e+02 1.374666505203669260e+02 8.571543961249880113e+02 1.660776721508002707e-01
7.842982517282654648e-230 -5.363803386880482549e+02 8.427984009087135746e+02 8.281642885220755090e+01 8.339371036772881780e+02 7.179671090261475683e+02 2.027847304893037883e-02
5.336163487834821934e-216 -5.045267596244805191e+02 1.364571447119985237e+02 5.343926637412864693e+02 8.784384742169196443e+02 7.409181045919533517e+02 2.776907310077436630e-02
1.469522312621659724e-208 -4.873931484367415123e+02 1.225078729297283786e+01 7.310421546164792517e+02 6.533118111378722688e+02 9.006038706784426040e+02 1.384925099703580020e-01
2.279160798399663323e-207 -4.846491934299934883e+02 9.173528754493558779e+01 5.694858292602986012e+02 1.559585655831784550e+02 8.891420012462756404e+02 8.863630555210777473e-02
1.535856886032947072e-204 -4.781336569981166917e+02 3.785001069732468864e+02 4.123831482749747011e+02 4.199006598139375228e+02 9.635863306473775083e+02 4.694146405600163607e-02
8.176483548100282603e-199 -4.649460578162827460e+02 7.115680447065643648e+02 4.490299583019532292e+02 7.374145708056781814e+02 4.145795418805608392e+02 9.523417039255965832e-03
