weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.449372780305625611e+03 4.784448533732137410e-01 3.018322118168764723e-01 7.070117843896738252e-01 8.985457966864580648e-01 6.792503032787555739e-04
0.000000000000000000e+00 -1.169646158556251976e+03 7.341456227575109406e-01 2.222853962512396642e-01 2.879605921237221589e-01 3.793513391213825248e-01 7.013975414020823251e-04
3.205833061939031222e-286 -6.662297510985375766e+02 3.670739168528741603e-01 8.364364958258455607e-01 9.941980219895008020e-02 9.924895031078541097e-01 2.138529063071270553e-02
7.366805739497136147e-252 -5.871073457207177171e+02 9.332760019144932251e-01 7.573433201989165919e-02 7.674891739299927185e-02 4.471578818503938457e-01 1.741374301605513875e-02
1.027683182726626135e-246 -5.752590124295713849e+02 5.957110648607566450e-02 4.325860574297084593e-01 4.766657033166521451e-02 2.752394819338250809e-01 2.068943492520292082e-02
2.308375351787894391e-239 -5.583291797439570701e+02 9.622326812502635107e-03 1.292829354904437844e-01 1.366032537741410646e-01 8.570114075325204750e-01 1.660776721508002707e-01
7.842982517282654648e-230 -5.363803386880482549e+02 8.412105059683975261e-01 8.189832717938694273e-02 8.337708745518400688e-01 7.176847938199675259e-01 2.027847304893037883e-02
5.336163487834821934e-216 -5.045267596244805191e+02 1.277344896080793157e-01 5.339265903316180450e-01 8.783167910079275886e-01 7.406587633553086691e-01 2.776907310077436630e-02
1.469522312621659724e-208 -4.873931484367415123e+02 2.273522518154380556e-03 7.307729275440232319e-01 6.529647759137860996e-01 9.005043750534961200e-01 1.384925099703580020e-01
2.279160798399663323e-207 -4.846491934299934883e+02 8.256089651003595264e-02 5.690548841444430517e-01 1.551136792624409066e-01 8.890310322785541786e-01 8.863630555210777473e-02
1.535856886032947072e-204 -4.781336569981166917e+02 3.722223302760069297e-01 4.117949432181928771e-01 4.193199797937312567e-01 9.635498805279054668e-01 4.694146405600163607e-02
8.176483548100282603e-199 -4.649460578162827460e+02 7.086545906126913152e-01 4.484784367386919213e-01 7.371517225282063768e-01 4.139935354159768321e-01 9.523417039255965832e-03
5.760115675116162652e-186 -4.353602562244612386e+02 6.048045769225107726e-02 1.730221457779618222e-01 4.853351956562161895e-01 4.049986907849764117e-01 4.102493709994725624e-02
2.941965077235351408e-179 -4.199115403788019876e+02 9.744746748700380268e-01 6.578095018110636794e-01 6.667104029567705314e-02 7.826200540400569672e-01 4.308870226987038254e-02
4.773110254858453014e-173 -4.056096094350752992e+02 8.208483528381582683e-02 2.492917970295849273e-02 2.883112776169705072e-02 6.913980826781116473e-01 2.982421079112237416e-01
1.026195581888960465e-170 -4.002364939393435179e+02 1.647851009826922786e-01 5.177502798592487077e-01 4.358542086677319460e-02 5.542952629218660388e-01 7.941474037867046754e-02
1.759139931024418829e-169 -3.973924421864991245e+02 1.364732324677252473e-01 2.933340106904903655e-01 3.082614462942377953e-01 7.764007817851923399e-01 1.011844806916859518e-01
1.653280088962357109e-168 -3.951494208602665026e+02 3.881143045338042441e-03 4.574201136747225727e-01 2.590280434349683247e-01 7.808099323211350473e-01 3.009176281681351650e-01
1.636594689632154093e-165 -3.882493091542281149e+02 5.907883712999206782e-02 8.786176519557367115e-01 8.263572864097150639e-01 8.516117759974605184e-01 8.419659857038763739e-02
2.892013940475871765e-161 -3.784671333319586211e+02 3.457667865160501952e-01 9.439813474017811901e-01 7.852879751416996790e-02 9.930985515073662562e-01 1.050570436066650126e-01
3.927977844350329545e-160 -3.758558766135716951e+02 1.799132700427251708e-01 1.184583667419294439e-01 1.133884995841405452e-01 9.294588536752186325e-01 2.097530731871449783e-01
7.075758834947654093e-160 -3.752648266700068689e+02 5.411919077036868586e-01 1.112128241632914794e-02 2.335351730109912483e-01 3.896439001068000563e-01 9.408130677364545669e-02
1.414581324884012788e-157 -3.699644124807866774e+02 2.149130506214428360e-01 9.096650725225242651e-01 9.252332500697351136e-01 9.967270962807420753e-01 6.508962597908185543e-02
8.015064398962954051e-152 -3.567144977988209575e+02 8.707796114368255846e-01 1.474170443876531289e-01 2.213275780542610649e-01 7.788370503073753781e-01 8.586283535948380230e-02
4.802619856685518568e-150 -3.526189888611737615e+02 1.330971382837964345e-02 3.906101750634010106e-01 2.187088629371702897e-02 8.591736655253537913e-01 4.633546875680560895e-01
1.284727141207537809e-145 -3.424221786143701820e+02 3.484970935899047717e-01 8.405489140992987718e-01 4.802765013417487072e-01 8.824037156127061410e-01 7.756182378424114621e-02
1.941716225750175477e-144 -3.397040676412535163e+02 4.079223843840928954e-02 6.372143956146369970e-02 4.021150697494021431e-01 9.042364003588428956e-01 3.838884589640038092e-01
2.437680171884474480e-133 -3.141456570149397294e+02 2.324639310220956157e-01 9.490934345510261272e-01 3.817692273018624682e-02 6.685979621974413867e-01 1.313158721625624636e-01
7.323050178543008631e-133 -3.130431769205290493e+02 1.987998016215924979e-01 6.042406599177096993e-02 4.406944161331518561e-01 7.513771375154492116e-01 2.022656826449000800e-01
6.446189412110705955e-132 -3.108656295923712491e+02 1.085142569421048142e-01 2.797996047936602837e-01 3.514096902142780365e-01 6.445507612924117335e-01 1.493236947912471857e-01
1.460568633103960009e-130 -3.077426227391629254e+02 2.006191205279783674e-01 4.503529363215519332e-02 5.187913880700223412e-02 8.194778160898250619e-01 3.984936699512717784e-01
1.040806638873044784e-129 -3.057763674539712611e+02 7.957572361349252166e-01 3.924456648044469809e-01 7.660266268126647571e-02 3.021099531582263076e-01 3.411871007657640842e-02
4.290170561290465060e-129 -3.043575369907660502e+02 3.062025684212287269e-01 5.649485195186174646e-01 6.690415647025381718e-01 6.906255943339260073e-01 6.873178852993344634e-02
5.543944035364541694e-129 -3.040986573135867843e+02 7.314194341861816051e-01 8.319949567545825708e-02 5.582088589790574762e-01 9.500980721553293762e-01 1.506367860252199042e-01
7.750081977453607294e-127 -2.991559898737588696e+02 3.193624235014003165e-02 7.486067481451436079e-01 1.449991549287588111e-02 7.316239445586028012e-01 3.958248126916892318e-01
2.010905867769389993e-125 -2.958974378077887195e+02 3.229335556946197894e-01 3.869708538895254568e-01 2.417108952545791167e-01 7.679045989646345882e-01 1.388808210260739084e-01
6.512869134885870657e-125 -2.947197430223623087e+02 5.988565649914330269e-01 1.042553594155147811e-01 8.058185723865399774e-01 4.691245317294281403e-01 5.153797083835554016e-02
3.355006308002009465e-124 -2.930779843652206864e+02 4.466043756828763645e-01 3.008519286672519666e-01 8.002958044759926892e-01 6.236298640421250594e-01 6.053916832564709694e-02
6.219435537364612538e-124 -2.924582588628087478e+02 2.892305058717499211e-01 1.145247931898396576e-02 5.856232728752068795e-01 6.680754677812064113e-01 2.752716022906704918e-01
4.661509433672616989e-121 -2.858363434283454581e+02 1.988978473574818384e-01 2.108343220263212414e-01 3.940100092127301057e-01 6.513556047707852459e-01 1.456377650562993287e-01
4.499616263619847981e-120 -2.835666055254567937e+02 6.125854442181610793e-03 6.047060059046653890e-01 1.803944369836579797e-01 7.646374373026701976e-01 6.579945486278719891e-01
2.689005530015069803e-119 -2.817763411170349741e+02 3.403866045630462578e-01 5.550253459677445544e-02 3.146011970043092187e-01 9.755228592687490430e-01 3.358213824951397086e-01
7.678166810239214751e-119 -2.807246317287682018e+02 4.106134114697438386e-01 1.005941099779201764e-01 1.567879192792008824e-01 5.886564539172303157e-01 1.663255600846940130e-01
3.100643871170580266e-118 -2.793263176675557702e+02 2.658549765927284980e-01 1.660739730852234253e-03 6.528669278445368152e-01 6.448341803844103159e-01 5.843296022834290060e-01
7.443704065363769449e-110 -2.600273781307028571e+02 9.099662700052966180e-01 7.129431574563318552e-01 2.891796267375679186e-03 2.105632287226014698e-01 2.718955256828736733e-02
3.970162388604052864e-107 -2.537456844371301941e+02 4.197477483817054766e-01 5.717871486768533185e-02 7.736634924306495797e-02 9.112187046258163337e-01 4.543203045018665565e-01
5.017087011849058472e-107 -2.535091419461692794e+02 1.173865527085471427e-01 7.646179334172337194e-01 6.892264064267642487e-01 3.810970355513925156e-01 6.377588160761882285e-02
3.207465986505746155e-105 -2.493488400358467061e+02 4.455431085843326589e-01 7.788682497345269518e-01 4.090527486463964024e-01 4.117314696779220684e-01 4.993766686851996983e-02
1.325556714850929285e-104 -2.479274036225946816e+02 3.584933864968637973e-01 7.448856251115987259e-02 2.039191188682644151e-01 6.406934429131633246e-01 2.564945003340877161e-01
5.318616241555922174e-104 -2.465355229913914172e+02 8.055381957259580838e-01 3.109454689402944005e-01 9.474841062805010594e-01 5.052444898718456701e-01 5.145212917148411780e-02
8.521213961120452415e-103 -2.437590922485561009e+02 5.923187217656024073e-01 3.097573890584151002e-01 3.656871230948037788e-01 8.956138075900152984e-01 1.849925169938051450e-01
1.388008685686473183e-102 -2.432686958501888057e+02 3.044175718227126737e-02 4.651596115936795783e-02 7.766335581802719101e-01 8.941409030676933378e-01 6.617580048746942722e-01
4.586187317202359704e-101 -2.397684318479142576e+02 8.054581854422326881e-02 2.694959945572129589e-01 2.768903410302866464e-01 6.057619399864955234e-01 2.914240571527486612e-01
3.404465290770059581e-100 -2.377613078931795201e+02 3.614816499138295836e-02 8.006300648228075190e-01 8.930467759270949157e-01 5.170859596678577530e-01 1.671353125203319800e-01
1.850192388677432448e-99 -2.360660210634079306e+02 8.067097484934993012e-02 3.726944514133367914e-02 7.988451056658102400e-01 4.485072928020850114e-01 2.087480106511592215e-01
4.839174896068535924e-98 -2.327994813677998991e+02 7.333663888621325677e-01 3.643673086090282176e-02 7.638970596414315084e-01 7.595338668957989370e-01 2.156072254478401673e-01
3.702978864122781626e-95 -2.261568327248508297e+02 1.857903387970329945e-01 9.949454064677010212e-02 7.137539086661168763e-01 2.680180295383386424e-01 7.039543751839238972e-02
3.567983350814911444e-92 -2.192837144915571059e+02 2.254831851485278316e-01 5.546609597455733898e-01 3.406360880979369954e-01 4.645523160724231992e-01 1.224811230379287963e-01
4.709084688280782041e-92 -2.190037214845678477e+02 8.574735205964612028e-02 4.669023299687714568e-01 8.319430082363153955e-01 9.475789626768922336e-01 3.271088907743097129e-01
2.121501930359397395e-90 -2.151934205584615825e+02 2.298717803694982909e-02 7.914457450283217677e-01 1.936493124655561671e-01 8.282607467372543608e-01 8.456838676748615891e-01
5.188484024432849191e-90 -2.142966032949998691e+02 9.519954823943260758e-01 7.920064372513465623e-01 2.274144306614950262e-01 4.965351293226237805e-01 7.839427442179802696e-02
7.197398367721811473e-88 -2.093616550451290550e+02 6.179238747657195274e-01 1.639875026124529844e-01 6.503031276745298017e-01 6.670211523624336447e-01 1.457983676707579335e-01
2.248681879576727629e-87 -2.082199453617914173e+02 2.425573495419514058e-01 7.649581004212845370e-01 3.634962783289831245e-01 9.964221854352228736e-01 3.335522991657815517e-01
5.384341792344955601e-86 -2.050417094087443957e+02 9.893107035325293674e-01 3.076775199990872123e-01 1.619728567837452893e-02 7.268792438421606272e-01 2.267757089789268488e-01
7.310632346454932045e-86 -2.047333747077248916e+02 5.005826234937478247e-01 3.453965356369814721e-02 5.326050699911631936e-01 6.414502656739907716e-01 2.939432876111480741e-01
9.953645289527115924e-86 -2.044222656372149913e+02 9.801688522918712287e-01 9.578937612354201381e-01 8.780288558569139257e-01 8.331913741635553761e-01 9.816127615647585181e-02
1.899514756590919716e-85 -2.037735209267676737e+02 1.366120007348849974e-01 5.265540018132162103e-01 8.038263298354116904e-01 4.995291681503728487e-01 1.305399407349203678e-01
9.562259344433479959e-85 -2.021547953568134517e+02 5.077310903270496611e-01 2.376111685044000055e-01 6.439568384452888372e-01 5.083686597561455356e-01 1.027487601537417916e-01
1.582250758139058816e-84 -2.016486859322345140e+02 1.873342295956941239e-01 3.155442994772295062e-02 9.019255354716522177e-01 8.365614559407685835e-01 4.758225390705955737e-01
1.924091768676714175e-83 -1.991479951551426950e+02 1.671636861372494121e-02 3.465881358495945808e-01 5.333947850899621868e-01 9.180408853163625205e-01 9.942256263547518680e-01
5.400817973022263874e-83 -1.981133987844817170e+02 2.457937074705803804e-01 3.481933939731109984e-01 9.763379526527049546e-01 7.963258415640364074e-01 1.984876789458878132e-01
2.348092537979087515e-82 -1.966412607974777984e+02 2.727498763243277891e-01 9.996006982681184816e-01 9.934115538714513027e-01 7.213023446078451473e-01 1.395350549465598222e-01
3.187302079951731837e-82 -1.963331892940795456e+02 9.797847006293373129e-01 4.625430425069426699e-01 1.053119165826349457e-01 3.278996287341531257e-01 7.084953830467166647e-02
6.826714641954336421e-82 -1.955690205709636018e+02 8.730404296056537561e-03 3.922988295057373564e-01 4.875982587980886018e-01 5.203287884503340344e-01 5.927504469890079175e-01
1.063523560866294504e-80 -1.928206064145891787e+02 8.596462091813640294e-01 9.567327419477238415e-01 5.884314338905874964e-01 8.643778330927651687e-01 1.436788688213278542e-01
1.203020374211206768e-80 -1.926948585510659484e+02 9.906720820816902195e-01 1.599579317110955134e-02 1.387822636103339669e-01 7.568389773621130301e-01 7.013123039847796170e-01
6.491551364702232707e-80 -1.910066923826880156e+02 3.644866637250743224e-01 7.901988411703638748e-01 8.545879658108709309e-01 1.962471135956166401e-01 3.698162944628047288e-02
9.030732752141621102e-80 -1.906740604135307251e+02 3.496680469776278777e-01 1.026856613717357369e-01 4.131272105939551853e-01 8.444600015094710921e-01 4.284383121629539160e-01
1.544323920226503234e-79 -1.901350226085980353e+02 1.791652323784371781e-01 4.388443836679960519e-01 1.913135236646034132e-01 9.405446095555132224e-01 5.488594920115076325e-01
1.639235054493810449e-78 -1.877702940352588996e+02 5.148712921732476744e-01 9.095784414193751610e-01 4.706057599474037234e-01 2.049462878617764883e-01 3.098606462946895679e-02
1.678735617419799833e-78 -1.877439828367115524e+02 6.954650604757999233e-01 1.217607355749501519e-01 5.961731858298321418e-01 8.923011283937312133e-01 2.942820876574465672e-01
1.809328049043618090e-78 -1.876665682053684634e+02 7.597238055257631295e-01 8.025804820768619452e-01 1.678062105472045706e-01 7.656604477602939607e-01 2.155453155677566901e-01
6.174599380221152187e-78 -1.864365797353835319e+02 3.251751715391062447e-01 3.257567380584902583e-02 1.714740877666148799e-01 6.956464419352407225e-01 6.821660425021995877e-01
7.512952467698723546e-78 -1.862378952114028436e+02 1.630458657657362087e-01 7.884709940764367264e-02 9.217460098363353671e-01 3.461824488793807664e-01 1.451295329139220547e-01
9.362466489210138161e-78 -1.860153149685156109e+02 2.550509565489117447e-01 7.564562694538624621e-01 6.899019729648860899e-01 2.831474578090017458e-01 5.996787392216895718e-02
4.881296501680447702e-77 -1.843615277839487590e+02 2.712806565128089709e-01 5.033323968454652686e-01 1.531935580620308324e-01 9.382088230288503361e-01 4.975844088038420265e-01
6.757250945832869591e-77 -1.840338225025751910e+02 2.440550855796650431e-01 6.242024716315897059e-02 4.425522874916950622e-01 7.209628435160759796e-01 4.754228594310592193e-01
1.117769763555501697e-76 -1.835280181345795256e+02 8.289378478430486918e-02 2.620994252188153517e-01 8.327936596374688749e-01 5.932922561057114574e-01 2.717676136669724407e-01
2.396992163753826713e-76 -1.827626388658499934e+02 8.016124398751489633e-02 9.542494117568592893e-01 9.265625373647334850e-01 8.453643671454144082e-01 3.518494381630847823e-01
2.544473708211480342e-76 -1.827004297179061609e+02 3.483941985478611336e-02 9.660069495072337586e-01 7.531500726337393425e-01 6.087622122260979429e-01 3.719443075954214084e-01
7.792366265411580735e-76 -1.815787089815576678e+02 1.311399248107780746e-02 6.479492940180106020e-01 8.428454890847507652e-01 2.060158576440240807e-01 1.909930395751341381e-01
1.332598900071025898e-75 -1.810396373633685414e+02 5.453246935091827785e-01 2.950606475955053210e-01 9.464795210082692645e-01 8.930221234387760720e-01 2.098665943207340678e-01
7.731615359775200277e-75 -1.792789506455422099e+02 2.882496596740783401e-01 1.565961721881339308e-01 1.081089778556080239e-01 3.662351874623931414e-01 2.283954918701687209e-01
1.357222357059579200e-74 -1.787137431393982183e+02 3.044316810269912521e-01 2.293468792099744302e-01 2.633738302005382836e-01 7.867606681570337157e-01 4.201356000255006551e-01
1.338266776998714834e-73 -1.764227229463922981e+02 2.215776414572416808e-01 9.843280901401612049e-01 4.237991079345524437e-01 7.592763093674997910e-01 2.996034846296418142e-01
